,지점명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연 합계,연 평균
A-01,성산로(금화터널),1861317.0,1755894.0,2026551.0,1975709.0,2075569.0,1995073.0,2040162.0,1964635.0,1949389.0,2103589.0,2040761.0,1913446.0,23702095.0,1975174.5833333333
A-02,사직로(사직터널),2184781.0,1970608.0,2301642.0,2221416.0,2301322.0,2201684.0,2118680.0,2018600.0,1796711.0,2285515.0,2138615.0,2105624.0,25645198.0,2137099.8333333335
A-03,자하문로(자하문터널),904280.0,842601.0,925891.0,929245.0,964652.0,927382.0,951705.0,926961.0,894624.0,957028.0,823319.0,882815.0,10930503.0,910875.25
A-04,대사관로(삼청터널),313940.0,301836.0,357839.0,357744.0,358418.0,353584.0,372332.0,362361.0,344824.0,368712.0,350208.0,326055.0,4167853.0,347321.0833333333
A-05,율곡로(안국역),272514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1306517.0,1579031.0,131585.91666666666
A-06,창경궁로(서울여자대학교),1292327.0,1158093.0,1274903.0,873007.0,0.0,1266690.0,1292591.0,1212215.0,683581.0,240341.0,1273335.0,1204821.0,11771904.0,980992.0
A-07,대학로(한국방송통신대학교),1143582.0,1023597.0,1184012.0,1127287.0,1032633.0,1109357.0,1137951.0,1125482.0,1055474.0,1108528.0,1155368.0,1097726.0,13300997.0,1108416.4166666667
A-08,종로(동묘앞역),1582937.0,1416246.0,1645613.0,1517119.0,1589475.0,1561244.0,1575441.0,1474611.0,1266012.0,1413838.0,1581815.0,1516411.0,18140762.0,1511730.1666666667
A-09,퇴계로(신당역),600693.0,638601.0,730706.0,683681.0,607571.0,275022.0,0.0,0.0,0.0,893529.0,1265655.0,1304320.0,6999778.0,583314.8333333334
A-10,동호로(장충체육관),1960555.0,1695491.0,2037616.0,1979107.0,1999390.0,1954531.0,1999234.0,1948465.0,1801196.0,821818.0,0.0,1403499.0,19600902.0,1633408.5
A-11,장충단로(장충단공원),1513019.0,1377101.0,1590225.0,1562215.0,1567335.0,1563606.0,1478735.0,1442361.0,1510139.0,1627529.0,1594908.0,1476806.0,18303979.0,1525331.5833333333
