,지점명,지점코드,시군구명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연 합계,연 평균,4월~12월
D-12,동부간선도로(월계1교),11350,노원구,3622030,3286491,3731784,3495062,3710328,3603459,3664878,3599879,3578319,3777279,3654777,3512001,43236287,3603023.917,3621775.778
D-31,동작대로(총신대입구역),11650,서초구,3209400,3070786,3517602,2869567,2907659,2788963,2744044,2523640,2454248,2713153,2303478,2532707,33635247,2802937.25,2648606.556
D-39,남부순환로(수서IC),11680,강남구,2458191,2419405,2972773,2869426,2897266,2874646,2956429,2698160,2285582,2906421,2333526,2737254,32409079,2700756.583,2728745.556
D-04,서빙고로(한남역),11170,용산구,2756736,2495042,2876258,2682072,2792772,2677283,2794887,2714766,2600199,2780690,2634016,2534627,32339348,2694945.667,2690145.778
D-36,사평대로(고속터미널역),11650,서초구,2678715,2446134,2853318,2728843,2828572,2707557,2767121,2486766,2235745,2415659,2510260,2374105,31032795,2586066.25,2561625.333
D-37,반포대로(서초역),11650,서초구,3112522,2685409,3187770,2515594,2548432,2440108,2036407,2409267,2319667,2584200,2524305,2367152,30730833,2560902.75,2416125.778
D-33,남부순환로(낙성대역),11620,관악구,3035231,2770683,3188204,3054020,3141644,2868387,3051298,2967735,1402350,1483495,1366325,1389939,29719311,2476609.25,2302799.222
D-24,시흥대로(시흥IC),11545,금천구,2335193,2222078,2572656,2456645,2563442,2445072,2535197,2194400,2367534,2480875,2485477,2307923,28966492,2413874.333,2426285
D-19,남부순환로(신월IC),11470,양천구,3229348,2990798,2982756,1691537,1770681,3044462,1758578,0,1594299,3198419,2978744,3040108,28279730,2356644.167,2119647.556
D-16,성산로(연희IC),11410,서대문구,1894581,2093736,2426283,2334230,2415224,2338454,2414836,2347964,2255433,2431464,2364890,2260494,27577589,2298132.417,2351443.222
D-43,강남대로(신사역),11680,강남구,2369615,2322684,2919429,1994985,2283959,2227809,2334389,2253422,2116981,2229857,2241999,2141637,27436766,2286397.167,2202782
D-26,시흥대로(구로디지털단지역),11560,영등포구,2215471,2120529,2411021,2334065,2417745,2309370,2378541,2294926,2212478,2291409,2280618,2160761,27426934,2285577.833,2297768.111
D-30,양녕로(상도터널),11590,동작구,2180971,2018429,2301453,2193702,2305831,2232948,2281518,2227223,2182175,2241965,2039908,2031475,26237598,2186466.5,2192971.667
A-02,사직로(사직터널),11110,종로구,2184781,1970608,2301642,2221416,2301322,2201684,2118680,2018600,1796711,2285515,2138615,2105624,25645198,2137099.833,2132018.556
D-10,화랑로(화랑대역),11350,노원구,2267436,2248149,2554014,2066246,2095655,2038920,2123745,2036508,1990355,2148385,2064133,1948773,25582319,2131859.917,2056968.889
D-42,테헤란로(선릉역),11680,강남구,2197865,1882556,2308158,2182933,2126091,2079643,2244462,2211520,2028991,2207419,1985116,1852084,25306838,2108903.167,2102028.778
D-08,화랑로(상월곡역),11290,성북구,2016560,1894741,2188816,2096223,2145876,2107959,2089282,2065992,2058882,2148566,2050245,1990886,24854028,2071169,2083767.889
A-20,남산1호터널,11170,용산구,1941286,1790041,2084563,2048475,2079037,2054582,2098078,2116600,2034824,2180268,2114173,1976121,24518048,2043170.667,2078017.556
D-06,뚝섬로(용비교),11200,성동구,2055297,1923129,2157625,2001900,2026394,2012591,2110296,2024980,1928188,2078905,1838917,1897492,24055714,2004642.833,1991073.667
D-14,증산로(디지털미디어시티역),11380,은평구,2187233,1994242,2268653,2216791,2278068,2203971,2264685,2208194,2148812,1781186,861635,1408337,23821807,1985150.583,1930186.556
A-01,성산로(금화터널),11410,서대문구,1861317,1755894,2026551,1975709,2075569,1995073,2040162,1964635,1949389,2103589,2040761,1913446,23702095,1975174.583,2006481.444
D-15,통일로(산골고개정류장),11410,서대문구,1920206,1856665,2104334,1984395,2071595,2054678,2106213,2022036,1965847,2029706,1864227,1654527,23634429,1969535.75,1972580.444
D-07,동일로(군자교),11215,광진구,981580,1814880,2388461,2050046,2113033,2040391,2113080,2019073,1921446,2102879,1800182,1936419,23281470,1940122.5,2010727.667
D-03,동호로(금호터널),11140,중구,1921469,1710578,2032984,1957374,1938207,1940454,1999933,1830071,1846161,1971245,1842709,1838441,22829626,1902468.833,1907177.222
A-17,세종대로(시청역2),11140,중구,2204998,1987392,1128309,1962363,1903757,1957312,2071812,2098639,1607929,1937565,1846278,1034061,21740415,1811701.25,1824412.889
D-40,헌릉로(세곡동사거리),11680,강남구,1709025,1609397,1856046,1821507,1891116,1838262,1853915,1646917,1776451,1888013,1730579,1707552,21328780,1777398.333,1794923.556
D-29,여의대방로(여의교),11560,영등포구,1948132,2311039,2648902,2598457,2600528,1919077,1317147,1281416,1219865,600695,430812,2403548,21279618,1773301.5,1596838.333
D-35,강남대로(강남역-신분당),11650,서초구,2273538,2025862,2291412,1034235,1696944,1635040,1714003,1645206,1554305,1735592,1725584,1646135,20977856,1748154.667,1598560.444
D-38,언주로(매봉터널),11680,강남구,1862111,1579538,1937976,1869115,1680581,1733527,1857706,1704721,1472610,1760754,1631593,1710784,20801016,1733418,1713487.889
D-05,천호대로(군자교),11200,성동구,2464931,2276933,2604030,2489612,2422362,1312878,1368740,1334067,1275051,844181,569594,1255441,20217820,1684818.333,1430214
