time,pm10,pm2.5
2018-11-01:01,31,16
2018-11-01:02,31,15
2018-11-01:03,30,15
2018-11-01:04,30,15
2018-11-01:05,28,14
2018-11-01:06,28,13
2018-11-01:07,30,13
2018-11-01:08,29,13
2018-11-01:09,33,11
2018-11-01:10,37,16
2018-11-01:11,37,15
2018-11-01:12,35,14
2018-11-01:13,29,12
2018-11-01:14,24,10
2018-11-01:15,25,14
2018-11-01:16,23,11
2018-11-01:17,25,10
2018-11-01:18,30,14
2018-11-01:19,28,16
2018-11-01:20,29,14
2018-11-01:21,34,17
2018-11-01:22,36,18
2018-11-01:23,32,18
2018-11-01:24,33,18
2018-11-02:01,34,20
2018-11-02:02,34,19
2018-11-02:03,34,18
2018-11-02:04,37,18
2018-11-02:05,41,22
2018-11-02:06,38,20
2018-11-02:07,41,20
2018-11-02:08,42,21
2018-11-02:09,43,20
2018-11-02:10,49,25
2018-11-02:11,55,25
2018-11-02:12,54,26
2018-11-02:13,50,23
2018-11-02:14,43,21
2018-11-02:15,37,20
2018-11-02:16,33,17
2018-11-02:17,31,16
2018-11-02:18,36,18
2018-11-02:19,41,18
2018-11-02:20,39,19
2018-11-02:21,44,22
2018-11-02:22,49,26
2018-11-02:23,58,32
2018-11-02:24,56,33
2018-11-03:01,48,29
2018-11-03:02,42,24
2018-11-03:03,44,27
2018-11-03:04,46,27
2018-11-03:05,45,28
2018-11-03:06,47,26
2018-11-03:07,48,29
2018-11-03:08,49,26
2018-11-03:09,51,26
2018-11-03:10,57,28
2018-11-03:11,60,31
2018-11-03:12,63,34
2018-11-03:13,54,31
2018-11-03:14,49,26
2018-11-03:15,48,24
2018-11-03:16,52,27
2018-11-03:17,51,29
2018-11-03:18,59,33
2018-11-03:19,69,37
2018-11-03:20,60,34
2018-11-03:21,51,29
2018-11-03:22,44,25
2018-11-03:23,38,22
2018-11-03:24,33,19
2018-11-04:01,38,23
2018-11-04:02,44,27
2018-11-04:03,49,31
2018-11-04:04,49,30
2018-11-04:05,51,31
2018-11-04:06,52,31
2018-11-04:07,54,30
2018-11-04:08,51,30
2018-11-04:09,51,27
2018-11-04:10,57,31
2018-11-04:11,63,34
2018-11-04:12,52,29
2018-11-04:13,33,16
2018-11-04:14,24,12
2018-11-04:15,31,15
