time,pm10,pm2.5
2017-02-01:01,14,12
2017-02-01:02,14,12
2017-02-01:03,15,14
2017-02-01:04,16,14
2017-02-01:05,20,15
2017-02-01:06,20,17
2017-02-01:07,24,18
2017-02-01:08,26,21
2017-02-01:09,30,20
2017-02-01:10,35,23
2017-02-01:11,42,27
2017-02-01:12,38,25
2017-02-01:13,38,24
2017-02-01:14,29,16
2017-02-01:15,31,20
2017-02-01:16,30,19
2017-02-01:17,32,17
2017-02-01:18,31,15
2017-02-01:19,28,10
2017-02-01:20,26,10
2017-02-01:21,28,11
2017-02-01:22,29,13
2017-02-01:23,27,12
2017-02-01:24,26,12
2017-02-02:01,25,12
2017-02-02:02,20,8
2017-02-02:03,17,8
2017-02-02:04,16,7
2017-02-02:05,15,6
2017-02-02:06,14,6
2017-02-02:07,16,9
2017-02-02:08,17,8
2017-02-02:09,18,6
2017-02-02:10,27,15
2017-02-02:11,41,25
2017-02-02:12,47,28
2017-02-02:13,39,24
2017-02-02:14,27,17
2017-02-02:15,28,18
2017-02-02:16,29,19
2017-02-02:17,24,13
2017-02-02:18,27,19
2017-02-02:19,28,18
2017-02-02:20,27,18
2017-02-02:21,33,18
2017-02-02:22,32,19
2017-02-02:23,30,18
2017-02-02:24,35,19
2017-02-03:01,40,24
2017-02-03:02,36,23
2017-02-03:03,38,25
2017-02-03:04,37,24
2017-02-03:05,34,27
2017-02-03:06,37,25
2017-02-03:07,37,27
2017-02-03:08,39,29
2017-02-03:09,43,32
2017-02-03:10,54,42
2017-02-03:11,73,53
2017-02-03:12,66,48
2017-02-03:13,69,46
2017-02-03:14,62,47
2017-02-03:15,,
2017-02-03:16,,
2017-02-03:17,,
2017-02-03:18,92,68
2017-02-03:19,87,69
2017-02-03:20,71,53
2017-02-03:21,68,57
2017-02-03:22,63,51
2017-02-03:23,54,42
2017-02-03:24,51,43
2017-02-04:01,54,45
2017-02-04:02,56,45
2017-02-04:03,55,43
2017-02-04:04,56,44
2017-02-04:05,59,47
2017-02-04:06,55,43
2017-02-04:07,61,47
2017-02-04:08,57,47
2017-02-04:09,59,50
2017-02-04:10,75,62
2017-02-04:11,97,77
2017-02-04:12,87,71
2017-02-04:13,88,66
2017-02-04:14,76,62
2017-02-04:15,89,76
2017-02-04:16,85,71
2017-02-04:17,90,73
2017-02-04:18,83,66
2017-02-04:19,90,71
2017-02-04:20,80,66
2017-02-04:21,83,70
2017-02-04:22,75,65
2017-02-04:23,70,60
2017-02-04:24,70,58
2017-02-05:01,76,63
2017-02-05:02,71,61
2017-02-05:03,60,51
2017-02-05:04,51,44
2017-02-05:05,65,54
2017-02-05:06,73,63
2017-02-05:07,81,68
2017-02-05:08,91,78
2017-02-05:09,111,89
2017-02-05:10,90,78
2017-02-05:11,89,75
2017-02-05:12,70,60
2017-02-05:13,57,46
2017-02-05:14,17,15
2017-02-05:15,7,7
2017-02-05:16,9,9
2017-02-05:17,16,15
2017-02-05:18,29,
2017-02-05:19,48,47
2017-02-05:20,62,60
2017-02-05:21,70,65
2017-02-05:22,69,64
2017-02-05:23,54,46
2017-02-05:24,45,38
2017-02-06:01,51,42
2017-02-06:02,45,37
2017-02-06:03,43,38
2017-02-06:04,41,34
2017-02-06:05,40,32
2017-02-06:06,35,29
2017-02-06:07,34,27
2017-02-06:08,33,28
2017-02-06:09,35,29
2017-02-06:10,37,29
2017-02-06:11,43,30
2017-02-06:12,39,29
2017-02-06:13,32,25
2017-02-06:14,30,23
2017-02-06:15,30,21
2017-02-06:16,32,22
2017-02-06:17,29,20
2017-02-06:18,31,21
2017-02-06:19,30,16
2017-02-06:20,25,15
2017-02-06:21,25,13
2017-02-06:22,21,13
2017-02-06:23,19,13
2017-02-06:24,18,13
2017-02-07:01,18,12
2017-02-07:02,20,15
2017-02-07:03,20,14
2017-02-07:04,19,14
2017-02-07:05,21,14
2017-02-07:06,20,13
2017-02-07:07,19,14
2017-02-07:08,20,14
2017-02-07:09,24,15
2017-02-07:10,32,22
2017-02-07:11,37,25
2017-02-07:12,33,20
2017-02-07:13,34,22
2017-02-07:14,38,25
