time,pm10,pm2.5
2019-09-01:01,10.0,6.0
2019-09-01:02,10.0,6.0
2019-09-01:03,13.0,7.0
2019-09-01:04,11.0,5.0
2019-09-01:05,10.0,7.0
2019-09-01:06,16.0,8.0
2019-09-01:07,14.0,7.0
2019-09-01:08,20.0,10.0
2019-09-01:09,17.0,15.0
2019-09-01:10,20.0,13.0
2019-09-01:11,22.0,11.0
2019-09-01:12,22.0,11.0
2019-09-01:13,12.0,9.0
2019-09-01:14,16.0,8.0
2019-09-01:15,14.0,8.0
2019-09-01:16,17.0,10.0
2019-09-01:17,17.0,6.0
2019-09-01:18,16.0,7.0
2019-09-01:19,15.0,8.0
2019-09-01:20,18.0,10.0
2019-09-01:21,17.0,10.0
2019-09-01:22,15.0,9.0
2019-09-01:23,12.0,11.0
2019-09-01:24,12.0,9.0
2019-09-02:01,16.0,9.0
2019-09-02:02,17.0,9.0
2019-09-02:03,21.0,12.0
2019-09-02:04,18.0,11.0
2019-09-02:05,17.0,10.0
2019-09-02:06,17.0,11.0
2019-09-02:07,21.0,11.0
2019-09-02:08,23.0,13.0
2019-09-02:09,24.0,14.0
2019-09-02:10,26.0,13.0
2019-09-02:11,20.0,11.0
2019-09-02:12,19.0,9.0
2019-09-02:13,15.0,10.0
2019-09-02:14,21.0,9.0
2019-09-02:15,22.0,8.0
2019-09-02:16,25.0,10.0
2019-09-02:17,25.0,0.0
2019-09-02:18,23.0,8.0
2019-09-02:19,20.0,8.0
2019-09-02:20,18.0,9.0
2019-09-02:21,16.0,9.0
2019-09-02:22,25.0,15.0
2019-09-02:23,17.0,0.0
2019-09-02:24,0.0,9.0
2019-09-03:01,18.0,9.0
2019-09-03:02,17.0,8.0
2019-09-03:03,18.0,12.0
2019-09-03:04,17.0,11.0
2019-09-03:05,18.0,13.0
2019-09-03:06,22.0,12.0
2019-09-03:07,20.0,10.0
2019-09-03:08,23.0,13.0
2019-09-03:09,27.0,18.0
2019-09-03:10,34.0,20.0
2019-09-03:11,25.0,13.0
2019-09-03:12,22.0,11.0
2019-09-03:13,16.0,10.0
2019-09-03:14,19.0,10.0
2019-09-03:15,21.0,11.0
2019-09-03:16,9.0,7.0
2019-09-03:17,12.0,5.0
2019-09-03:18,14.0,6.0
2019-09-03:19,7.0,2.0
2019-09-03:20,4.0,1.0
2019-09-03:21,4.0,1.0
2019-09-03:22,3.0,1.0
2019-09-03:23,3.0,1.0
2019-09-03:24,0.0,1.0
2019-09-04:01,6.0,1.0
2019-09-04:02,6.0,2.0
2019-09-04:03,5.0,2.0
2019-09-04:04,6.0,1.0
2019-09-04:05,4.0,1.0
2019-09-04:06,3.0,1.0
2019-09-04:07,3.0,1.0
2019-09-04:08,5.0,1.0
