time,pm10,pm2.5
2016-05-01:01,63.0,27.0
2016-05-01:02,76.0,34.0
2016-05-01:03,75.0,28.0
2016-05-01:04,67.0,29.0
2016-05-01:05,70.0,30.0
2016-05-01:06,61.0,28.0
2016-05-01:07,63.0,29.0
2016-05-01:08,61.0,27.0
2016-05-01:09,60.0,30.0
2016-05-01:10,54.0,26.0
2016-05-01:11,43.0,14.0
2016-05-01:12,37.0,19.0
2016-05-01:13,42.0,12.0
2016-05-01:14,46.0,22.0
2016-05-01:15,38.0,15.0
2016-05-01:16,38.0,12.0
2016-05-01:17,0.0,8.0
2016-05-01:18,0.0,11.0
2016-05-01:19,35.0,12.0
2016-05-01:20,32.0,9.0
2016-05-01:21,29.0,4.0
2016-05-01:22,51.0,16.0
2016-05-01:23,63.0,17.0
2016-05-01:24,47.0,21.0
2016-05-02:01,36.0,15.0
2016-05-02:02,49.0,18.0
2016-05-02:03,48.0,26.0
2016-05-02:04,46.0,20.0
2016-05-02:05,45.0,21.0
2016-05-02:06,50.0,22.0
2016-05-02:07,51.0,20.0
2016-05-02:08,51.0,22.0
2016-05-02:09,52.0,16.0
2016-05-02:10,49.0,29.0
2016-05-02:11,52.0,23.0
2016-05-02:12,55.0,23.0
2016-05-02:13,52.0,28.0
2016-05-02:14,50.0,25.0
2016-05-02:15,49.0,23.0
2016-05-02:16,44.0,25.0
2016-05-02:17,50.0,26.0
2016-05-02:18,53.0,21.0
2016-05-02:19,0.0,32.0
2016-05-02:20,61.0,25.0
2016-05-02:21,45.0,18.0
2016-05-02:22,47.0,28.0
2016-05-02:23,47.0,25.0
2016-05-02:24,40.0,19.0
2016-05-03:01,28.0,13.0
2016-05-03:02,22.0,12.0
2016-05-03:03,26.0,13.0
2016-05-03:04,22.0,12.0
2016-05-03:05,21.0,9.0
2016-05-03:06,23.0,13.0
2016-05-03:07,28.0,10.0
2016-05-03:08,12.0,9.0
2016-05-03:09,11.0,5.0
2016-05-03:10,12.0,4.0
2016-05-03:11,7.0,3.0
2016-05-03:12,14.0,10.0
2016-05-03:13,18.0,8.0
2016-05-03:14,16.0,7.0
2016-05-03:15,14.0,8.0
2016-05-03:16,9.0,0.0
2016-05-03:17,18.0,2.0
2016-05-03:18,13.0,2.0
2016-05-03:19,14.0,3.0
2016-05-03:20,19.0,3.0
2016-05-03:21,12.0,7.0
2016-05-03:22,18.0,5.0
2016-05-03:23,18.0,4.0
2016-05-03:24,24.0,2.0
2016-05-04:01,43.0,4.0
2016-05-04:02,45.0,7.0
