time,pm10,pm2.5
2018-04-01:01,62.0,0.0
2018-04-01:02,60.0,0.0
2018-04-01:03,62.0,0.0
2018-04-01:04,61.0,0.0
2018-04-01:05,61.0,0.0
2018-04-01:06,51.0,0.0
2018-04-01:07,57.0,0.0
2018-04-01:08,66.0,0.0
2018-04-01:09,78.0,0.0
2018-04-01:10,76.0,0.0
2018-04-01:11,73.0,0.0
2018-04-01:12,71.0,0.0
2018-04-01:13,62.0,0.0
2018-04-01:14,59.0,0.0
2018-04-01:15,65.0,0.0
2018-04-01:16,75.0,0.0
2018-04-01:17,77.0,0.0
2018-04-01:18,85.0,0.0
2018-04-01:19,109.0,0.0
2018-04-01:20,85.0,0.0
2018-04-01:21,90.0,0.0
2018-04-01:22,98.0,0.0
2018-04-01:23,92.0,0.0
2018-04-01:24,83.0,0.0
2018-04-02:01,88.0,0.0
2018-04-02:02,88.0,0.0
2018-04-02:03,78.0,0.0
2018-04-02:04,83.0,0.0
2018-04-02:05,85.0,0.0
2018-04-02:06,79.0,0.0
2018-04-02:07,77.0,0.0
2018-04-02:08,72.0,0.0
2018-04-02:09,87.0,0.0
2018-04-02:10,80.0,0.0
2018-04-02:11,78.0,0.0
2018-04-02:12,67.0,0.0
2018-04-02:13,75.0,0.0
2018-04-02:14,85.0,0.0
2018-04-02:15,88.0,0.0
2018-04-02:16,72.0,0.0
2018-04-02:17,62.0,0.0
2018-04-02:18,75.0,0.0
2018-04-02:19,70.0,0.0
2018-04-02:20,64.0,0.0
2018-04-02:21,64.0,0.0
2018-04-02:22,50.0,0.0
2018-04-02:23,47.0,0.0
2018-04-02:24,53.0,0.0
2018-04-03:01,55.0,0.0
2018-04-03:02,56.0,0.0
2018-04-03:03,58.0,0.0
2018-04-03:04,70.0,0.0
2018-04-03:05,63.0,0.0
2018-04-03:06,60.0,0.0
2018-04-03:07,56.0,0.0
2018-04-03:08,53.0,0.0
2018-04-03:09,67.0,0.0
2018-04-03:10,58.0,0.0
2018-04-03:11,70.0,0.0
2018-04-03:12,88.0,0.0
2018-04-03:13,91.0,0.0
2018-04-03:14,89.0,0.0
2018-04-03:15,95.0,0.0
2018-04-03:16,99.0,0.0
2018-04-03:17,101.0,0.0
2018-04-03:18,101.0,0.0
2018-04-03:19,84.0,0.0
2018-04-03:20,72.0,0.0
2018-04-03:21,62.0,0.0
2018-04-03:22,58.0,0.0
2018-04-03:23,54.0,0.0
2018-04-03:24,68.0,0.0
2018-04-04:01,50.0,0.0
2018-04-04:02,44.0,0.0
2018-04-04:03,21.0,0.0
2018-04-04:04,23.0,0.0
2018-04-04:05,16.0,0.0
2018-04-04:06,7.0,0.0
2018-04-04:07,9.0,0.0
2018-04-04:08,15.0,0.0
2018-04-04:09,22.0,0.0
2018-04-04:10,24.0,0.0
2018-04-04:11,40.0,0.0
2018-04-04:12,17.0,0.0
2018-04-04:13,11.0,0.0
2018-04-04:14,11.0,0.0
2018-04-04:15,16.0,0.0
2018-04-04:16,11.0,0.0
2018-04-04:17,5.0,0.0
2018-04-04:18,9.0,0.0
2018-04-04:19,17.0,0.0
2018-04-04:20,13.0,0.0
2018-04-04:21,18.0,0.0
2018-04-04:22,16.0,0.0
2018-04-04:23,14.0,0.0
2018-04-04:24,14.0,0.0
2018-04-05:01,11.0,0.0
2018-04-05:02,13.0,0.0
2018-04-05:03,14.0,0.0
2018-04-05:04,14.0,0.0
2018-04-05:05,9.0,0.0
2018-04-05:06,14.0,0.0
2018-04-05:07,13.0,0.0
2018-04-05:08,10.0,0.0
2018-04-05:09,8.0,0.0
2018-04-05:10,12.0,0.0
2018-04-05:11,15.0,0.0
2018-04-05:12,17.0,0.0
2018-04-05:13,14.0,0.0
2018-04-05:14,10.0,0.0
2018-04-05:15,0.0,0.0
2018-04-05:16,0.0,0.0
2018-04-05:17,12.0,0.0
2018-04-05:18,13.0,0.0
2018-04-05:19,12.0,0.0
2018-04-05:20,14.0,0.0
2018-04-05:21,11.0,0.0
2018-04-05:22,12.0,0.0
2018-04-05:23,10.0,0.0
2018-04-05:24,11.0,0.0
2018-04-06:01,14.0,0.0
2018-04-06:02,12.0,0.0
2018-04-06:03,13.0,0.0
2018-04-06:04,12.0,0.0
2018-04-06:05,13.0,0.0
2018-04-06:06,13.0,0.0
2018-04-06:07,13.0,0.0
2018-04-06:08,16.0,0.0
2018-04-06:09,33.0,0.0
2018-04-06:10,46.0,0.0
2018-04-06:11,83.0,0.0
2018-04-06:12,94.0,0.0
2018-04-06:13,163.0,0.0
2018-04-06:14,246.0,0.0
2018-04-06:15,281.0,0.0
2018-04-06:16,264.0,0.0
2018-04-06:17,276.0,0.0
2018-04-06:18,246.0,0.0
2018-04-06:19,200.0,0.0
2018-04-06:20,147.0,0.0
2018-04-06:21,119.0,0.0
2018-04-06:22,89.0,0.0
2018-04-06:23,116.0,0.0
2018-04-06:24,94.0,0.0
2018-04-07:01,58.0,0.0
2018-04-07:02,50.0,0.0
2018-04-07:03,41.0,0.0
2018-04-07:04,40.0,0.0
2018-04-07:05,49.0,0.0
2018-04-07:06,57.0,0.0
2018-04-07:07,71.0,0.0
2018-04-07:08,76.0,0.0
2018-04-07:09,81.0,0.0
2018-04-07:10,93.0,0.0
2018-04-07:11,70.0,0.0
2018-04-07:12,65.0,0.0
2018-04-07:13,46.0,0.0
2018-04-07:14,39.0,0.0
2018-04-07:15,38.0,0.0
2018-04-07:16,35.0,0.0
2018-04-07:17,37.0,0.0
2018-04-07:18,32.0,0.0
2018-04-07:19,36.0,0.0
2018-04-07:20,33.0,0.0
2018-04-07:21,30.0,0.0
2018-04-07:22,28.0,0.0
2018-04-07:23,31.0,0.0
2018-04-07:24,31.0,0.0
2018-04-08:01,31.0,0.0
2018-04-08:02,26.0,0.0
2018-04-08:03,25.0,0.0
2018-04-08:04,29.0,0.0
2018-04-08:05,21.0,0.0
2018-04-08:06,27.0,0.0
2018-04-08:07,28.0,0.0
2018-04-08:08,41.0,0.0
2018-04-08:09,48.0,0.0
2018-04-08:10,36.0,0.0
2018-04-08:11,30.0,0.0
2018-04-08:12,25.0,0.0
2018-04-08:13,24.0,0.0
2018-04-08:14,37.0,0.0
2018-04-08:15,39.0,0.0
2018-04-08:16,28.0,0.0
2018-04-08:17,28.0,0.0
2018-04-08:18,30.0,0.0
