time,pm10,pm2.5
2019-06-01:01,37.0,26.0
2019-06-01:02,37.0,22.0
2019-06-01:03,64.0,34.0
2019-06-01:04,0.0,0.0
2019-06-01:05,46.0,37.0
2019-06-01:06,51.0,28.0
2019-06-01:07,56.0,41.0
2019-06-01:08,51.0,34.0
2019-06-01:09,54.0,38.0
2019-06-01:10,64.0,40.0
2019-06-01:11,57.0,42.0
2019-06-01:12,61.0,48.0
2019-06-01:13,52.0,38.0
2019-06-01:14,48.0,32.0
2019-06-01:15,62.0,29.0
2019-06-01:16,52.0,26.0
2019-06-01:17,62.0,29.0
2019-06-01:18,40.0,22.0
2019-06-01:19,38.0,29.0
2019-06-01:20,38.0,31.0
2019-06-01:21,43.0,22.0
2019-06-01:22,36.0,24.0
2019-06-01:23,40.0,20.0
2019-06-01:24,44.0,30.0
2019-06-02:01,46.0,20.0
2019-06-02:02,31.0,19.0
2019-06-02:03,29.0,22.0
2019-06-02:04,43.0,27.0
2019-06-02:05,45.0,36.0
2019-06-02:06,57.0,38.0
2019-06-02:07,60.0,43.0
2019-06-02:08,57.0,43.0
2019-06-02:09,57.0,50.0
2019-06-02:10,53.0,27.0
2019-06-02:11,38.0,18.0
2019-06-02:12,50.0,23.0
2019-06-02:13,69.0,29.0
2019-06-02:14,69.0,41.0
2019-06-02:15,66.0,64.0
2019-06-02:16,51.0,20.0
2019-06-02:17,44.0,29.0
2019-06-02:18,45.0,29.0
2019-06-02:19,38.0,27.0
2019-06-02:20,46.0,17.0
2019-06-02:21,35.0,18.0
2019-06-02:22,41.0,22.0
2019-06-02:23,0.0,15.0
2019-06-02:24,31.0,11.0
2019-06-03:01,35.0,15.0
2019-06-03:02,37.0,17.0
2019-06-03:03,29.0,23.0
2019-06-03:04,28.0,16.0
2019-06-03:05,36.0,16.0
2019-06-03:06,48.0,19.0
2019-06-03:07,43.0,35.0
2019-06-03:08,49.0,38.0
2019-06-03:09,48.0,25.0
2019-06-03:10,46.0,35.0
2019-06-03:11,45.0,21.0
2019-06-03:12,57.0,23.0
2019-06-03:13,65.0,36.0
2019-06-03:14,50.0,31.0
2019-06-03:15,49.0,0.0
2019-06-03:16,54.0,33.0
2019-06-03:17,59.0,49.0
2019-06-03:18,61.0,26.0
2019-06-03:19,61.0,37.0
2019-06-03:20,74.0,51.0
2019-06-03:21,69.0,42.0
2019-06-03:22,58.0,36.0
2019-06-03:23,39.0,20.0
2019-06-03:24,39.0,19.0
2019-06-04:01,35.0,22.0
2019-06-04:02,37.0,20.0
2019-06-04:03,36.0,23.0
2019-06-04:04,38.0,29.0
2019-06-04:05,37.0,24.0
2019-06-04:06,54.0,34.0
2019-06-04:07,49.0,28.0
2019-06-04:08,35.0,19.0
2019-06-04:09,29.0,15.0
2019-06-04:10,29.0,19.0
2019-06-04:11,32.0,12.0
2019-06-04:12,43.0,19.0
2019-06-04:13,22.0,15.0
2019-06-04:14,34.0,17.0
2019-06-04:15,30.0,15.0
2019-06-04:16,27.0,18.0
2019-06-04:17,32.0,16.0
2019-06-04:18,30.0,18.0
2019-06-04:19,31.0,21.0
2019-06-04:20,35.0,20.0
2019-06-04:21,36.0,23.0
2019-06-04:22,32.0,23.0
2019-06-04:23,32.0,28.0
2019-06-04:24,35.0,24.0
2019-06-05:01,47.0,29.0
2019-06-05:02,43.0,29.0
2019-06-05:03,55.0,37.0
2019-06-05:04,51.0,39.0
2019-06-05:05,57.0,41.0
2019-06-05:06,60.0,49.0
2019-06-05:07,70.0,51.0
2019-06-05:08,69.0,54.0
2019-06-05:09,77.0,53.0
2019-06-05:10,81.0,58.0
2019-06-05:11,82.0,58.0
2019-06-05:12,79.0,65.0
2019-06-05:13,83.0,64.0
2019-06-05:14,82.0,58.0
2019-06-05:15,102.0,64.0
2019-06-05:16,103.0,65.0
2019-06-05:17,84.0,57.0
2019-06-05:18,82.0,57.0
2019-06-05:19,93.0,68.0
2019-06-05:20,91.0,61.0
2019-06-05:21,82.0,52.0
2019-06-05:22,74.0,54.0
2019-06-05:23,0.0,49.0
2019-06-05:24,54.0,38.0
2019-06-06:01,50.0,33.0
2019-06-06:02,47.0,29.0
2019-06-06:03,48.0,31.0
2019-06-06:04,52.0,39.0
2019-06-06:05,70.0,53.0
2019-06-06:06,71.0,53.0
2019-06-06:07,70.0,49.0
2019-06-06:08,91.0,60.0
2019-06-06:09,93.0,68.0
2019-06-06:10,91.0,66.0
2019-06-06:11,90.0,65.0
2019-06-06:12,86.0,64.0
2019-06-06:13,85.0,57.0
2019-06-06:14,89.0,51.0
2019-06-06:15,106.0,72.0
2019-06-06:16,103.0,63.0
2019-06-06:17,107.0,69.0
2019-06-06:18,119.0,71.0
2019-06-06:19,111.0,73.0
2019-06-06:20,76.0,50.0
2019-06-06:21,48.0,36.0
2019-06-06:22,50.0,33.0
2019-06-06:23,0.0,27.0
2019-06-06:24,26.0,21.0
2019-06-07:01,22.0,17.0
2019-06-07:02,25.0,18.0
2019-06-07:03,22.0,10.0
2019-06-07:04,14.0,9.0
2019-06-07:05,10.0,9.0
2019-06-07:06,11.0,8.0
2019-06-07:07,12.0,7.0
2019-06-07:08,11.0,11.0
2019-06-07:09,17.0,7.0
2019-06-07:10,17.0,7.0
2019-06-07:11,21.0,9.0
2019-06-07:12,27.0,8.0
2019-06-07:13,22.0,7.0
2019-06-07:14,0.0,0.0
2019-06-07:15,25.0,7.0
2019-06-07:16,25.0,9.0
2019-06-07:17,26.0,6.0
2019-06-07:18,18.0,10.0
2019-06-07:19,16.0,6.0
2019-06-07:20,0.0,13.0
2019-06-07:21,21.0,10.0
2019-06-07:22,21.0,7.0
2019-06-07:23,20.0,9.0
2019-06-07:24,24.0,8.0
2019-06-08:01,25.0,8.0
2019-06-08:02,27.0,7.0
2019-06-08:03,26.0,0.0
2019-06-08:04,25.0,13.0
2019-06-08:05,26.0,13.0
2019-06-08:06,29.0,11.0
2019-06-08:07,35.0,13.0
2019-06-08:08,35.0,9.0
2019-06-08:09,29.0,16.0
2019-06-08:10,42.0,15.0
2019-06-08:11,28.0,17.0
2019-06-08:12,30.0,16.0
2019-06-08:13,27.0,16.0
2019-06-08:14,30.0,10.0
2019-06-08:15,41.0,14.0
2019-06-08:16,66.0,0.0
2019-06-08:17,64.0,45.0
2019-06-08:18,53.0,31.0
2019-06-08:19,41.0,31.0
2019-06-08:20,43.0,26.0
2019-06-08:21,28.0,23.0
2019-06-08:22,40.0,32.0
2019-06-08:23,40.0,27.0
2019-06-08:24,51.0,25.0
2019-06-09:01,48.0,25.0
2019-06-09:02,78.0,0.0
2019-06-09:03,83.0,69.0
2019-06-09:04,76.0,0.0
2019-06-09:05,82.0,0.0
2019-06-09:06,82.0,67.0
2019-06-09:07,71.0,63.0
2019-06-09:08,72.0,61.0
2019-06-09:09,59.0,50.0
2019-06-09:10,44.0,35.0
2019-06-09:11,39.0,36.0
2019-06-09:12,41.0,27.0
2019-06-09:13,55.0,39.0
2019-06-09:14,46.0,42.0
2019-06-09:15,48.0,35.0
2019-06-09:16,49.0,33.0
2019-06-09:17,54.0,38.0
2019-06-09:18,45.0,38.0
2019-06-09:19,36.0,22.0
2019-06-09:20,27.0,22.0
2019-06-09:21,31.0,15.0
2019-06-09:22,23.0,12.0
2019-06-09:23,17.0,11.0
2019-06-09:24,11.0,11.0
2019-06-10:01,18.0,10.0
2019-06-10:02,10.0,10.0
2019-06-10:03,0.0,14.0
2019-06-10:04,7.0,8.0
2019-06-10:05,10.0,6.0
2019-06-10:06,13.0,8.0
2019-06-10:07,12.0,10.0
2019-06-10:08,10.0,11.0
2019-06-10:09,22.0,9.0
2019-06-10:10,31.0,14.0
2019-06-10:11,40.0,8.0
2019-06-10:12,28.0,6.0
2019-06-10:13,23.0,7.0
2019-06-10:14,29.0,6.0
2019-06-10:15,19.0,5.0
2019-06-10:16,18.0,6.0
2019-06-10:17,18.0,7.0
2019-06-10:18,26.0,11.0
2019-06-10:19,28.0,10.0
2019-06-10:20,21.0,8.0
2019-06-10:21,21.0,6.0
2019-06-10:22,14.0,5.0
2019-06-10:23,14.0,5.0
2019-06-10:24,12.0,7.0
2019-06-11:01,12.0,5.0
2019-06-11:02,13.0,5.0
2019-06-11:03,11.0,4.0
2019-06-11:04,11.0,3.0
2019-06-11:05,15.0,6.0
2019-06-11:06,15.0,12.0
2019-06-11:07,24.0,7.0
2019-06-11:08,22.0,9.0
2019-06-11:09,22.0,7.0
2019-06-11:10,21.0,7.0
2019-06-11:11,21.0,7.0
2019-06-11:12,22.0,6.0
2019-06-11:13,13.0,9.0
2019-06-11:14,17.0,9.0
2019-06-11:15,20.0,7.0
2019-06-11:16,23.0,15.0
2019-06-11:17,28.0,14.0
2019-06-11:18,24.0,15.0
2019-06-11:19,0.0,11.0
2019-06-11:20,33.0,14.0
2019-06-11:21,37.0,16.0
2019-06-11:22,31.0,17.0
2019-06-11:23,29.0,19.0
2019-06-11:24,29.0,11.0
2019-06-12:01,30.0,15.0
2019-06-12:02,27.0,8.0
2019-06-12:03,29.0,14.0
2019-06-12:04,27.0,9.0
2019-06-12:05,20.0,11.0
2019-06-12:06,32.0,11.0
2019-06-12:07,36.0,20.0
2019-06-12:08,45.0,29.0
2019-06-12:09,45.0,27.0
2019-06-12:10,50.0,29.0
2019-06-12:11,61.0,32.0
2019-06-12:12,69.0,41.0
2019-06-12:13,73.0,43.0
2019-06-12:14,77.0,36.0
2019-06-12:15,61.0,29.0
2019-06-12:16,53.0,27.0
2019-06-12:17,59.0,24.0
2019-06-12:18,48.0,20.0
2019-06-12:19,35.0,18.0
2019-06-12:20,34.0,10.0
2019-06-12:21,34.0,17.0
2019-06-12:22,40.0,13.0
2019-06-12:23,31.0,19.0
2019-06-12:24,32.0,20.0
2019-06-13:01,34.0,25.0
2019-06-13:02,39.0,20.0
2019-06-13:03,33.0,25.0
2019-06-13:04,27.0,21.0
2019-06-13:05,31.0,9.0
2019-06-13:06,33.0,0.0
2019-06-13:07,35.0,19.0
2019-06-13:08,40.0,26.0
2019-06-13:09,41.0,20.0
2019-06-13:10,43.0,17.0
2019-06-13:11,47.0,25.0
2019-06-13:12,41.0,24.0
2019-06-13:13,42.0,24.0
2019-06-13:14,64.0,29.0
2019-06-13:15,64.0,30.0
2019-06-13:16,54.0,27.0
2019-06-13:17,46.0,22.0
2019-06-13:18,35.0,19.0
2019-06-13:19,39.0,19.0
2019-06-13:20,37.0,24.0
2019-06-13:21,38.0,34.0
2019-06-13:22,43.0,30.0
2019-06-13:23,42.0,23.0
2019-06-13:24,37.0,27.0
2019-06-14:01,38.0,26.0
2019-06-14:02,40.0,28.0
2019-06-14:03,41.0,32.0
2019-06-14:04,46.0,36.0
2019-06-14:05,49.0,27.0
2019-06-14:06,56.0,31.0
2019-06-14:07,64.0,41.0
2019-06-14:08,64.0,44.0
2019-06-14:09,55.0,36.0
2019-06-14:10,51.0,33.0
2019-06-14:11,47.0,32.0
2019-06-14:12,51.0,33.0
2019-06-14:13,50.0,29.0
2019-06-14:14,51.0,37.0
2019-06-14:15,37.0,20.0
2019-06-14:16,34.0,15.0
2019-06-14:17,46.0,25.0
2019-06-14:18,43.0,23.0
2019-06-14:19,48.0,28.0
2019-06-14:20,47.0,22.0
2019-06-14:21,44.0,19.0
2019-06-14:22,41.0,23.0
2019-06-14:23,47.0,20.0
2019-06-14:24,47.0,25.0
2019-06-15:01,47.0,17.0
2019-06-15:02,50.0,23.0
2019-06-15:03,46.0,27.0
2019-06-15:04,47.0,29.0
2019-06-15:05,47.0,24.0
2019-06-15:06,47.0,30.0
2019-06-15:07,51.0,30.0
2019-06-15:08,60.0,31.0
2019-06-15:09,58.0,39.0
2019-06-15:10,56.0,30.0
2019-06-15:11,54.0,35.0
2019-06-15:12,58.0,28.0
