time,pm10,pm2.5
2019-12-01:01,53.0,37.0
2019-12-01:02,46.0,30.0
2019-12-01:03,42.0,28.0
2019-12-01:04,38.0,26.0
2019-12-01:05,39.0,30.0
2019-12-01:06,37.0,26.0
2019-12-01:07,37.0,28.0
2019-12-01:08,41.0,30.0
2019-12-01:09,52.0,38.0
2019-12-01:10,55.0,41.0
2019-12-01:11,60.0,44.0
2019-12-01:12,62.0,49.0
2019-12-01:13,70.0,55.0
2019-12-01:14,69.0,55.0
2019-12-01:15,72.0,60.0
2019-12-01:16,68.0,57.0
2019-12-01:17,58.0,50.0
2019-12-01:18,42.0,36.0
2019-12-01:19,48.0,41.0
2019-12-01:20,44.0,38.0
2019-12-01:21,43.0,40.0
2019-12-01:22,36.0,30.0
2019-12-01:23,30.0,24.0
2019-12-01:24,31.0,22.0
2019-12-02:01,36.0,31.0
2019-12-02:02,37.0,28.0
2019-12-02:03,38.0,29.0
2019-12-02:04,39.0,27.0
2019-12-02:05,37.0,26.0
2019-12-02:06,29.0,19.0
2019-12-02:07,27.0,17.0
2019-12-02:08,25.0,16.0
2019-12-02:09,22.0,15.0
2019-12-02:10,24.0,12.0
2019-12-02:11,25.0,16.0
2019-12-02:12,22.0,10.0
2019-12-02:13,21.0,10.0
2019-12-02:14,26.0,15.0
2019-12-02:15,37.0,21.0
2019-12-02:16,31.0,16.0
2019-12-02:17,27.0,14.0
2019-12-02:18,20.0,10.0
2019-12-02:19,17.0,11.0
2019-12-02:20,19.0,8.0
2019-12-02:21,18.0,11.0
2019-12-02:22,19.0,10.0
2019-12-02:23,22.0,10.0
2019-12-02:24,20.0,11.0
2019-12-03:01,20.0,11.0
2019-12-03:02,21.0,10.0
2019-12-03:03,22.0,11.0
2019-12-03:04,21.0,12.0
2019-12-03:05,20.0,14.0
2019-12-03:06,19.0,11.0
2019-12-03:07,21.0,12.0
2019-12-03:08,25.0,12.0
2019-12-03:09,29.0,15.0
2019-12-03:10,29.0,13.0
2019-12-03:11,30.0,17.0
2019-12-03:12,30.0,17.0
2019-12-03:13,34.0,23.0
2019-12-03:14,41.0,28.0
2019-12-03:15,45.0,33.0
2019-12-03:16,46.0,29.0
2019-12-03:17,48.0,33.0
2019-12-03:18,48.0,34.0
2019-12-03:19,44.0,33.0
2019-12-03:20,36.0,22.0
2019-12-03:21,37.0,23.0
2019-12-03:22,34.0,22.0
2019-12-03:23,32.0,24.0
2019-12-03:24,35.0,23.0
2019-12-04:01,32.0,24.0
2019-12-04:02,30.0,20.0
2019-12-04:03,35.0,21.0
2019-12-04:04,29.0,15.0
2019-12-04:05,22.0,15.0
2019-12-04:06,24.0,15.0
2019-12-04:07,24.0,16.0
2019-12-04:08,23.0,14.0
2019-12-04:09,28.0,16.0
2019-12-04:10,28.0,14.0
2019-12-04:11,36.0,20.0
2019-12-04:12,37.0,19.0
2019-12-04:13,35.0,18.0
2019-12-04:14,32.0,17.0
2019-12-04:15,38.0,21.0
2019-12-04:16,39.0,21.0
2019-12-04:17,43.0,23.0
2019-12-04:18,37.0,21.0
2019-12-04:19,34.0,22.0
2019-12-04:20,37.0,23.0
2019-12-04:21,39.0,26.0
2019-12-04:22,39.0,23.0
2019-12-04:23,41.0,29.0
2019-12-04:24,45.0,29.0
2019-12-05:01,45.0,30.0
2019-12-05:02,41.0,25.0
2019-12-05:03,36.0,24.0
2019-12-05:04,37.0,22.0
2019-12-05:05,35.0,23.0
2019-12-05:06,26.0,15.0
2019-12-05:07,26.0,15.0
2019-12-05:08,24.0,15.0
2019-12-05:09,23.0,14.0
2019-12-05:10,21.0,9.0
2019-12-05:11,22.0,10.0
2019-12-05:12,20.0,9.0
2019-12-05:13,21.0,8.0
2019-12-05:14,23.0,12.0
2019-12-05:15,23.0,11.0
2019-12-05:16,20.0,9.0
2019-12-05:17,23.0,14.0
2019-12-05:18,23.0,12.0
2019-12-05:19,23.0,10.0
2019-12-05:20,24.0,13.0
2019-12-05:21,29.0,15.0
2019-12-05:22,34.0,19.0
2019-12-05:23,42.0,22.0
2019-12-05:24,40.0,18.0
2019-12-06:01,35.0,23.0
2019-12-06:02,37.0,21.0
2019-12-06:03,41.0,22.0
2019-12-06:04,38.0,21.0
2019-12-06:05,36.0,21.0
2019-12-06:06,35.0,20.0
2019-12-06:07,36.0,20.0
2019-12-06:08,37.0,21.0
2019-12-06:09,34.0,18.0
2019-12-06:10,37.0,21.0
2019-12-06:11,45.0,26.0
2019-12-06:12,53.0,31.0
2019-12-06:13,42.0,27.0
2019-12-06:14,35.0,20.0
2019-12-06:15,32.0,18.0
2019-12-06:16,27.0,16.0
2019-12-06:17,21.0,10.0
2019-12-06:18,29.0,20.0
2019-12-06:19,31.0,22.0
2019-12-06:20,32.0,20.0
2019-12-06:21,31.0,22.0
2019-12-06:22,34.0,21.0
2019-12-06:23,38.0,21.0
2019-12-06:24,38.0,22.0
2019-12-07:01,42.0,26.0
2019-12-07:02,40.0,25.0
2019-12-07:03,44.0,27.0
2019-12-07:04,38.0,25.0
2019-12-07:05,39.0,27.0
2019-12-07:06,40.0,28.0
2019-12-07:07,45.0,29.0
2019-12-07:08,42.0,28.0
2019-12-07:09,44.0,30.0
2019-12-07:10,46.0,30.0
2019-12-07:11,49.0,33.0
2019-12-07:12,49.0,31.0
2019-12-07:13,52.0,37.0
2019-12-07:14,55.0,34.0
2019-12-07:15,58.0,40.0
2019-12-07:16,59.0,38.0
2019-12-07:17,64.0,43.0
2019-12-07:18,66.0,47.0
2019-12-07:19,70.0,51.0
2019-12-07:20,70.0,49.0
2019-12-07:21,79.0,58.0
2019-12-07:22,80.0,0.0
2019-12-07:23,83.0,60.0
2019-12-07:24,64.0,43.0
2019-12-08:01,56.0,40.0
2019-12-08:02,56.0,40.0
2019-12-08:03,61.0,42.0
2019-12-08:04,59.0,42.0
2019-12-08:05,59.0,45.0
2019-12-08:06,60.0,44.0
2019-12-08:07,65.0,48.0
2019-12-08:08,68.0,52.0
2019-12-08:09,72.0,55.0
2019-12-08:10,72.0,0.0
2019-12-08:11,82.0,58.0
2019-12-08:12,81.0,0.0
2019-12-08:13,82.0,59.0
2019-12-08:14,72.0,0.0
2019-12-08:15,67.0,50.0
2019-12-08:16,61.0,44.0
2019-12-08:17,61.0,43.0
2019-12-08:18,53.0,38.0
2019-12-08:19,59.0,46.0
2019-12-08:20,62.0,47.0
2019-12-08:21,62.0,47.0
2019-12-08:22,59.0,45.0
2019-12-08:23,60.0,50.0
2019-12-08:24,61.0,46.0
2019-12-09:01,71.0,59.0
2019-12-09:02,68.0,55.0
2019-12-09:03,70.0,57.0
2019-12-09:04,69.0,55.0
2019-12-09:05,76.0,58.0
2019-12-09:06,76.0,60.0
2019-12-09:07,84.0,66.0
2019-12-09:08,78.0,0.0
2019-12-09:09,78.0,63.0
2019-12-09:10,77.0,0.0
2019-12-09:11,79.0,58.0
2019-12-09:12,74.0,53.0
2019-12-09:13,0.0,0.0
2019-12-09:14,0.0,0.0
