time,pm10,pm2.5
2018-08-01:01,21.0,0.0
2018-08-01:02,21.0,0.0
2018-08-01:03,23.0,19.0
2018-08-01:04,23.0,21.0
2018-08-01:05,22.0,18.0
2018-08-01:06,19.0,18.0
2018-08-01:07,23.0,20.0
2018-08-01:08,31.0,25.0
2018-08-01:09,40.0,27.0
2018-08-01:10,32.0,17.0
2018-08-01:11,30.0,24.0
2018-08-01:12,26.0,23.0
2018-08-01:13,34.0,27.0
2018-08-01:14,34.0,28.0
2018-08-01:15,34.0,29.0
2018-08-01:16,45.0,32.0
2018-08-01:17,34.0,25.0
2018-08-01:18,42.0,29.0
2018-08-01:19,45.0,32.0
2018-08-01:20,38.0,28.0
2018-08-01:21,38.0,31.0
2018-08-01:22,35.0,27.0
2018-08-01:23,35.0,29.0
2018-08-01:24,44.0,34.0
2018-08-02:01,40.0,35.0
2018-08-02:02,32.0,29.0
2018-08-02:03,37.0,28.0
2018-08-02:04,33.0,33.0
2018-08-02:05,32.0,26.0
2018-08-02:06,25.0,22.0
2018-08-02:07,21.0,19.0
2018-08-02:08,0.0,26.0
2018-08-02:09,28.0,26.0
2018-08-02:10,31.0,25.0
2018-08-02:11,34.0,26.0
2018-08-02:12,38.0,25.0
2018-08-02:13,39.0,33.0
2018-08-02:14,58.0,38.0
2018-08-02:15,63.0,45.0
2018-08-02:16,59.0,43.0
2018-08-02:17,50.0,42.0
2018-08-02:18,49.0,37.0
2018-08-02:19,50.0,36.0
2018-08-02:20,54.0,42.0
2018-08-02:21,58.0,45.0
2018-08-02:22,60.0,48.0
2018-08-02:23,57.0,50.0
2018-08-02:24,66.0,50.0
2018-08-03:01,55.0,50.0
2018-08-03:02,49.0,49.0
2018-08-03:03,49.0,45.0
2018-08-03:04,54.0,48.0
2018-08-03:05,50.0,47.0
2018-08-03:06,49.0,44.0
2018-08-03:07,45.0,44.0
2018-08-03:08,39.0,35.0
2018-08-03:09,40.0,33.0
2018-08-03:10,45.0,32.0
2018-08-03:11,37.0,0.0
2018-08-03:12,37.0,32.0
2018-08-03:13,49.0,38.0
2018-08-03:14,59.0,52.0
2018-08-03:15,0.0,0.0
2018-08-03:16,86.0,45.0
2018-08-03:17,45.0,39.0
2018-08-03:18,38.0,34.0
2018-08-03:19,39.0,33.0
2018-08-03:20,37.0,35.0
2018-08-03:21,37.0,32.0
2018-08-03:22,30.0,0.0
2018-08-03:23,28.0,28.0
2018-08-03:24,26.0,23.0
2018-08-04:01,22.0,0.0
2018-08-04:02,28.0,24.0
2018-08-04:03,32.0,26.0
2018-08-04:04,27.0,25.0
2018-08-04:05,26.0,0.0
2018-08-04:06,26.0,0.0
2018-08-04:07,24.0,0.0
2018-08-04:08,25.0,0.0
2018-08-04:09,33.0,25.0
2018-08-04:10,33.0,26.0
2018-08-04:11,45.0,28.0
2018-08-04:12,43.0,33.0
2018-08-04:13,36.0,31.0
2018-08-04:14,31.0,0.0
2018-08-04:15,29.0,21.0
2018-08-04:16,23.0,20.0
2018-08-04:17,17.0,16.0
2018-08-04:18,22.0,18.0
2018-08-04:19,18.0,0.0
2018-08-04:20,23.0,17.0
2018-08-04:21,23.0,23.0
2018-08-04:22,28.0,27.0
2018-08-04:23,30.0,24.0
2018-08-04:24,30.0,25.0
2018-08-05:01,24.0,22.0
2018-08-05:02,30.0,28.0
2018-08-05:03,25.0,0.0
2018-08-05:04,29.0,22.0
2018-08-05:05,27.0,0.0
2018-08-05:06,33.0,24.0
