time,pm10,pm2.5
2019-05-01:01,33.0,18.0
2019-05-01:02,31.0,17.0
2019-05-01:03,31.0,16.0
2019-05-01:04,34.0,18.0
2019-05-01:05,31.0,18.0
2019-05-01:06,32.0,18.0
2019-05-01:07,32.0,17.0
2019-05-01:08,29.0,14.0
2019-05-01:09,34.0,15.0
2019-05-01:10,40.0,18.0
2019-05-01:11,56.0,24.0
2019-05-01:12,73.0,31.0
2019-05-01:13,72.0,34.0
2019-05-01:14,66.0,26.0
2019-05-01:15,66.0,30.0
2019-05-01:16,73.0,33.0
2019-05-01:17,84.0,36.0
2019-05-01:18,84.0,31.0
2019-05-01:19,109.0,31.0
2019-05-01:20,122.0,31.0
2019-05-01:21,140.0,23.0
2019-05-01:22,125.0,20.0
2019-05-01:23,107.0,17.0
2019-05-01:24,96.0,15.0
2019-05-02:01,90.0,16.0
2019-05-02:02,85.0,20.0
2019-05-02:03,82.0,25.0
2019-05-02:04,71.0,21.0
2019-05-02:05,65.0,20.0
2019-05-02:06,57.0,15.0
2019-05-02:07,54.0,11.0
2019-05-02:08,61.0,12.0
2019-05-02:09,71.0,16.0
2019-05-02:10,58.0,13.0
2019-05-02:11,41.0,8.0
2019-05-02:12,38.0,6.0
2019-05-02:13,31.0,7.0
2019-05-02:14,31.0,7.0
2019-05-02:15,34.0,7.0
2019-05-02:16,39.0,10.0
2019-05-02:17,52.0,13.0
2019-05-02:18,47.0,11.0
2019-05-02:19,40.0,8.0
2019-05-02:20,29.0,7.0
2019-05-02:21,27.0,8.0
2019-05-02:22,35.0,10.0
2019-05-02:23,43.0,13.0
2019-05-02:24,36.0,14.0
2019-05-03:01,37.0,15.0
2019-05-03:02,34.0,14.0
2019-05-03:03,37.0,16.0
2019-05-03:04,37.0,15.0
2019-05-03:05,41.0,16.0
2019-05-03:06,37.0,16.0
2019-05-03:07,33.0,12.0
2019-05-03:08,37.0,11.0
2019-05-03:09,45.0,15.0
2019-05-03:10,47.0,15.0
2019-05-03:11,53.0,20.0
2019-05-03:12,56.0,20.0
2019-05-03:13,59.0,19.0
2019-05-03:14,60.0,19.0
2019-05-03:15,81.0,35.0
2019-05-03:16,80.0,34.0
2019-05-03:17,82.0,31.0
2019-05-03:18,67.0,27.0
2019-05-03:19,88.0,41.0
2019-05-03:20,101.0,52.0
2019-05-03:21,109.0,52.0
2019-05-03:22,85.0,46.0
2019-05-03:23,93.0,49.0
2019-05-03:24,87.0,49.0
2019-05-04:01,89.0,50.0
2019-05-04:02,82.0,48.0
2019-05-04:03,87.0,50.0
2019-05-04:04,86.0,51.0
2019-05-04:05,89.0,52.0
2019-05-04:06,92.0,55.0
2019-05-04:07,95.0,52.0
2019-05-04:08,92.0,53.0
2019-05-04:09,109.0,62.0
2019-05-04:10,114.0,63.0
2019-05-04:11,110.0,56.0
2019-05-04:12,102.0,53.0
2019-05-04:13,109.0,52.0
2019-05-04:14,83.0,39.0
2019-05-04:15,79.0,33.0
2019-05-04:16,72.0,35.0
2019-05-04:17,97.0,52.0
2019-05-04:18,85.0,45.0
2019-05-04:19,86.0,40.0
2019-05-04:20,74.0,37.0
2019-05-04:21,71.0,40.0
2019-05-04:22,64.0,37.0
2019-05-04:23,71.0,43.0
2019-05-04:24,59.0,35.0
2019-05-05:01,62.0,36.0
2019-05-05:02,60.0,37.0
2019-05-05:03,60.0,36.0
2019-05-05:04,59.0,37.0
2019-05-05:05,61.0,39.0
2019-05-05:06,58.0,36.0
2019-05-05:07,53.0,33.0
2019-05-05:08,53.0,31.0
2019-05-05:09,64.0,37.0
2019-05-05:10,75.0,43.0
2019-05-05:11,90.0,52.0
2019-05-05:12,82.0,45.0
2019-05-05:13,69.0,29.0
2019-05-05:14,58.0,29.0
2019-05-05:15,59.0,31.0
2019-05-05:16,52.0,24.0
2019-05-05:17,55.0,26.0
2019-05-05:18,56.0,27.0
2019-05-05:19,58.0,30.0
2019-05-05:20,57.0,29.0
2019-05-05:21,72.0,37.0
2019-05-05:22,75.0,31.0
2019-05-05:23,75.0,24.0
2019-05-05:24,69.0,18.0
2019-05-06:01,45.0,10.0
2019-05-06:02,35.0,7.0
2019-05-06:03,29.0,10.0
2019-05-06:04,26.0,6.0
2019-05-06:05,22.0,7.0
2019-05-06:06,24.0,6.0
2019-05-06:07,27.0,8.0
2019-05-06:08,31.0,8.0
2019-05-06:09,34.0,12.0
2019-05-06:10,32.0,11.0
2019-05-06:11,34.0,10.0
2019-05-06:12,29.0,9.0
2019-05-06:13,34.0,10.0
2019-05-06:14,31.0,11.0
2019-05-06:15,35.0,11.0
2019-05-06:16,30.0,7.0
2019-05-06:17,28.0,10.0
2019-05-06:18,29.0,8.0
2019-05-06:19,41.0,11.0
2019-05-06:20,56.0,17.0
2019-05-06:21,53.0,15.0
2019-05-06:22,46.0,8.0
2019-05-06:23,47.0,7.0
2019-05-06:24,41.0,9.0
2019-05-07:01,41.0,12.0
2019-05-07:02,37.0,10.0
2019-05-07:03,29.0,10.0
2019-05-07:04,25.0,8.0
2019-05-07:05,27.0,9.0
2019-05-07:06,28.0,9.0
2019-05-07:07,30.0,7.0
2019-05-07:08,32.0,7.0
2019-05-07:09,42.0,9.0
2019-05-07:10,57.0,17.0
2019-05-07:11,59.0,18.0
2019-05-07:12,56.0,17.0
2019-05-07:13,66.0,23.0
2019-05-07:14,50.0,14.0
2019-05-07:15,50.0,16.0
2019-05-07:16,57.0,16.0
2019-05-07:17,54.0,21.0
2019-05-07:18,62.0,24.0
2019-05-07:19,61.0,24.0
2019-05-07:20,63.0,27.0
2019-05-07:21,68.0,29.0
2019-05-07:22,50.0,20.0
2019-05-07:23,43.0,18.0
2019-05-07:24,40.0,15.0
2019-05-08:01,40.0,14.0
2019-05-08:02,54.0,16.0
2019-05-08:03,38.0,14.0
2019-05-08:04,35.0,15.0
2019-05-08:05,33.0,13.0
2019-05-08:06,31.0,14.0
2019-05-08:07,29.0,11.0
2019-05-08:08,35.0,12.0
2019-05-08:09,44.0,18.0
2019-05-08:10,44.0,13.0
2019-05-08:11,57.0,17.0
2019-05-08:12,65.0,18.0
2019-05-08:13,68.0,21.0
2019-05-08:14,67.0,22.0
2019-05-08:15,70.0,27.0
2019-05-08:16,66.0,22.0
2019-05-08:17,76.0,25.0
2019-05-08:18,76.0,29.0
2019-05-08:19,79.0,33.0
2019-05-08:20,82.0,34.0
2019-05-08:21,86.0,37.0
2019-05-08:22,85.0,38.0
2019-05-08:23,84.0,37.0
2019-05-08:24,85.0,35.0
2019-05-09:01,73.0,30.0
2019-05-09:02,69.0,31.0
2019-05-09:03,70.0,30.0
2019-05-09:04,63.0,29.0
2019-05-09:05,63.0,29.0
2019-05-09:06,55.0,27.0
2019-05-09:07,55.0,25.0
2019-05-09:08,54.0,23.0
