time,pm10,pm2.5
2016-06-01:01,51.0,0.0
2016-06-01:02,0.0,0.0
2016-06-01:03,55.0,0.0
2016-06-01:04,51.0,0.0
2016-06-01:05,51.0,0.0
2016-06-01:06,43.0,0.0
2016-06-01:07,50.0,0.0
2016-06-01:08,48.0,0.0
2016-06-01:09,47.0,0.0
2016-06-01:10,37.0,0.0
2016-06-01:11,39.0,0.0
2016-06-01:12,29.0,0.0
2016-06-01:13,27.0,0.0
2016-06-01:14,31.0,0.0
2016-06-01:15,44.0,0.0
2016-06-01:16,31.0,0.0
2016-06-01:17,26.0,0.0
2016-06-01:18,50.0,0.0
2016-06-01:19,30.0,0.0
2016-06-01:20,40.0,0.0
2016-06-01:21,28.0,0.0
2016-06-01:22,39.0,0.0
2016-06-01:23,27.0,0.0
2016-06-01:24,31.0,0.0
2016-06-02:01,21.0,0.0
2016-06-02:02,29.0,0.0
2016-06-02:03,22.0,0.0
2016-06-02:04,21.0,0.0
2016-06-02:05,33.0,0.0
2016-06-02:06,23.0,0.0
2016-06-02:07,35.0,0.0
2016-06-02:08,36.0,0.0
2016-06-02:09,42.0,0.0
2016-06-02:10,28.0,0.0
2016-06-02:11,32.0,0.0
2016-06-02:12,29.0,0.0
2016-06-02:13,0.0,0.0
2016-06-02:14,0.0,0.0
2016-06-02:15,62.0,0.0
2016-06-02:16,35.0,0.0
2016-06-02:17,41.0,0.0
2016-06-02:18,37.0,0.0
2016-06-02:19,40.0,0.0
2016-06-02:20,40.0,0.0
2016-06-02:21,57.0,0.0
2016-06-02:22,61.0,0.0
2016-06-02:23,25.0,0.0
2016-06-02:24,31.0,0.0
2016-06-03:01,45.0,0.0
2016-06-03:02,47.0,0.0
2016-06-03:03,39.0,0.0
2016-06-03:04,39.0,0.0
2016-06-03:05,40.0,0.0
2016-06-03:06,33.0,0.0
2016-06-03:07,45.0,0.0
2016-06-03:08,37.0,0.0
2016-06-03:09,50.0,0.0
2016-06-03:10,47.0,0.0
2016-06-03:11,29.0,0.0
2016-06-03:12,37.0,0.0
2016-06-03:13,42.0,0.0
2016-06-03:14,42.0,0.0
2016-06-03:15,45.0,0.0
2016-06-03:16,49.0,0.0
2016-06-03:17,52.0,0.0
2016-06-03:18,38.0,0.0
2016-06-03:19,44.0,0.0
2016-06-03:20,45.0,0.0
2016-06-03:21,59.0,0.0
2016-06-03:22,37.0,0.0
2016-06-03:23,43.0,0.0
2016-06-03:24,49.0,0.0
2016-06-04:01,61.0,0.0
2016-06-04:02,42.0,0.0
2016-06-04:03,35.0,0.0
2016-06-04:04,36.0,0.0
2016-06-04:05,50.0,0.0
2016-06-04:06,53.0,0.0
2016-06-04:07,47.0,0.0
2016-06-04:08,42.0,0.0
2016-06-04:09,47.0,0.0
2016-06-04:10,45.0,0.0
2016-06-04:11,58.0,0.0
2016-06-04:12,41.0,0.0
2016-06-04:13,58.0,0.0
2016-06-04:14,34.0,0.0
2016-06-04:15,36.0,0.0
2016-06-04:16,59.0,0.0
