time,pm10,pm2.5
2019-02-01:01,46.0,14.0
2019-02-01:02,38.0,12.0
2019-02-01:03,32.0,11.0
2019-02-01:04,28.0,11.0
2019-02-01:05,29.0,14.0
2019-02-01:06,33.0,16.0
2019-02-01:07,44.0,20.0
2019-02-01:08,43.0,21.0
2019-02-01:09,47.0,19.0
2019-02-01:10,50.0,22.0
2019-02-01:11,57.0,27.0
2019-02-01:12,0.0,0.0
2019-02-01:13,0.0,0.0
2019-02-01:14,55.0,29.0
2019-02-01:15,59.0,30.0
2019-02-01:16,46.0,24.0
2019-02-01:17,47.0,19.0
2019-02-01:18,40.0,20.0
2019-02-01:19,39.0,20.0
2019-02-01:20,39.0,23.0
2019-02-01:21,41.0,25.0
2019-02-01:22,42.0,27.0
2019-02-01:23,43.0,28.0
2019-02-01:24,47.0,31.0
2019-02-02:01,49.0,33.0
2019-02-02:02,47.0,33.0
2019-02-02:03,48.0,35.0
2019-02-02:04,47.0,34.0
2019-02-02:05,49.0,37.0
2019-02-02:06,48.0,35.0
2019-02-02:07,46.0,35.0
2019-02-02:08,48.0,36.0
2019-02-02:09,53.0,37.0
2019-02-02:10,55.0,37.0
2019-02-02:11,63.0,38.0
2019-02-02:12,61.0,41.0
2019-02-02:13,61.0,40.0
2019-02-02:14,65.0,42.0
2019-02-02:15,70.0,41.0
2019-02-02:16,67.0,43.0
2019-02-02:17,69.0,42.0
2019-02-02:18,65.0,46.0
2019-02-02:19,70.0,46.0
2019-02-02:20,68.0,48.0
2019-02-02:21,71.0,48.0
2019-02-02:22,70.0,48.0
2019-02-02:23,72.0,48.0
2019-02-02:24,64.0,47.0
2019-02-03:01,66.0,45.0
2019-02-03:02,61.0,46.0
2019-02-03:03,64.0,45.0
2019-02-03:04,67.0,46.0
2019-02-03:05,57.0,42.0
2019-02-03:06,48.0,40.0
2019-02-03:07,42.0,33.0
2019-02-03:08,35.0,30.0
2019-02-03:09,31.0,27.0
2019-02-03:10,29.0,25.0
2019-02-03:11,29.0,23.0
2019-02-03:12,25.0,23.0
2019-02-03:13,22.0,18.0
2019-02-03:14,24.0,20.0
2019-02-03:15,25.0,21.0
2019-02-03:16,20.0,18.0
2019-02-03:17,18.0,17.0
2019-02-03:18,17.0,15.0
2019-02-03:19,18.0,16.0
2019-02-03:20,16.0,15.0
2019-02-03:21,26.0,25.0
2019-02-03:22,38.0,33.0
2019-02-03:23,39.0,36.0
2019-02-03:24,49.0,45.0
2019-02-04:01,76.0,57.0
2019-02-04:02,125.0,74.0
2019-02-04:03,147.0,80.0
2019-02-04:04,137.0,76.0
2019-02-04:05,130.0,76.0
2019-02-04:06,108.0,65.0
2019-02-04:07,104.0,58.0
2019-02-04:08,93.0,52.0
2019-02-04:09,93.0,52.0
2019-02-04:10,85.0,50.0
2019-02-04:11,87.0,49.0
2019-02-04:12,79.0,44.0
2019-02-04:13,60.0,32.0
2019-02-04:14,39.0,20.0
2019-02-04:15,37.0,18.0
2019-02-04:16,40.0,19.0
2019-02-04:17,44.0,20.0
2019-02-04:18,39.0,19.0
2019-02-04:19,43.0,22.0
2019-02-04:20,45.0,21.0
2019-02-04:21,46.0,19.0
2019-02-04:22,41.0,20.0
2019-02-04:23,46.0,19.0
2019-02-04:24,48.0,25.0
2019-02-05:01,51.0,26.0
2019-02-05:02,45.0,25.0
2019-02-05:03,43.0,26.0
2019-02-05:04,41.0,24.0
2019-02-05:05,41.0,22.0
2019-02-05:06,41.0,25.0
2019-02-05:07,43.0,22.0
2019-02-05:08,42.0,26.0
2019-02-05:09,63.0,22.0
2019-02-05:10,52.0,22.0
2019-02-05:11,54.0,23.0
2019-02-05:12,61.0,25.0
2019-02-05:13,85.0,23.0
2019-02-05:14,103.0,29.0
2019-02-05:15,103.0,27.0
2019-02-05:16,113.0,30.0
2019-02-05:17,122.0,31.0
2019-02-05:18,119.0,33.0
2019-02-05:19,119.0,38.0
2019-02-05:20,107.0,37.0
2019-02-05:21,109.0,35.0
2019-02-05:22,106.0,38.0
2019-02-05:23,108.0,39.0
2019-02-05:24,98.0,40.0
2019-02-06:01,102.0,39.0
2019-02-06:02,94.0,40.0
2019-02-06:03,94.0,40.0
2019-02-06:04,89.0,39.0
2019-02-06:05,86.0,37.0
2019-02-06:06,82.0,37.0
2019-02-06:07,87.0,35.0
2019-02-06:08,83.0,37.0
2019-02-06:09,87.0,35.0
2019-02-06:10,91.0,39.0
2019-02-06:11,101.0,43.0
2019-02-06:12,105.0,46.0
2019-02-06:13,109.0,43.0
2019-02-06:14,100.0,41.0
2019-02-06:15,102.0,38.0
2019-02-06:16,92.0,33.0
2019-02-06:17,91.0,32.0
2019-02-06:18,78.0,25.0
2019-02-06:19,72.0,21.0
2019-02-06:20,71.0,21.0
2019-02-06:21,72.0,26.0
