time,pm10,pm2.5
2018-12-01:01,29.0,18.0
2018-12-01:02,37.0,18.0
2018-12-01:03,50.0,23.0
2018-12-01:04,52.0,23.0
2018-12-01:05,54.0,24.0
2018-12-01:06,49.0,25.0
2018-12-01:07,43.0,22.0
2018-12-01:08,45.0,22.0
2018-12-01:09,51.0,24.0
2018-12-01:10,60.0,28.0
2018-12-01:11,79.0,42.0
2018-12-01:12,110.0,34.0
2018-12-01:13,73.0,32.0
2018-12-01:14,49.0,26.0
2018-12-01:15,46.0,21.0
2018-12-01:16,64.0,27.0
2018-12-01:17,62.0,27.0
2018-12-01:18,72.0,29.0
2018-12-01:19,59.0,22.0
2018-12-01:20,70.0,32.0
2018-12-01:21,81.0,39.0
2018-12-01:22,83.0,48.0
2018-12-01:23,68.0,32.0
2018-12-01:24,62.0,33.0
2018-12-02:01,59.0,35.0
2018-12-02:02,45.0,26.0
2018-12-02:03,46.0,23.0
2018-12-02:04,50.0,30.0
2018-12-02:05,49.0,22.0
2018-12-02:06,50.0,26.0
2018-12-02:07,59.0,32.0
2018-12-02:08,52.0,26.0
2018-12-02:09,58.0,31.0
2018-12-02:10,59.0,26.0
2018-12-02:11,57.0,27.0
2018-12-02:12,66.0,36.0
2018-12-02:13,72.0,36.0
2018-12-02:14,58.0,31.0
2018-12-02:15,66.0,30.0
2018-12-02:16,61.0,29.0
2018-12-02:17,65.0,30.0
2018-12-02:18,67.0,30.0
2018-12-02:19,58.0,27.0
2018-12-02:20,58.0,27.0
2018-12-02:21,52.0,27.0
2018-12-02:22,49.0,27.0
2018-12-02:23,55.0,36.0
2018-12-02:24,56.0,27.0
2018-12-03:01,0.0,0.0
2018-12-03:02,47.0,22.0
2018-12-03:03,44.0,14.0
2018-12-03:04,45.0,19.0
2018-12-03:05,44.0,21.0
2018-12-03:06,54.0,24.0
2018-12-03:07,45.0,25.0
2018-12-03:08,48.0,30.0
2018-12-03:09,56.0,32.0
2018-12-03:10,60.0,35.0
2018-12-03:11,64.0,38.0
2018-12-03:12,61.0,43.0
2018-12-03:13,63.0,47.0
2018-12-03:14,64.0,40.0
2018-12-03:15,66.0,45.0
2018-12-03:16,57.0,48.0
2018-12-03:17,60.0,49.0
2018-12-03:18,59.0,41.0
2018-12-03:19,49.0,40.0
2018-12-03:20,54.0,40.0
2018-12-03:21,44.0,36.0
2018-12-03:22,34.0,31.0
2018-12-03:23,33.0,30.0
2018-12-03:24,33.0,28.0
2018-12-04:01,0.0,29.0
2018-12-04:02,39.0,33.0
2018-12-04:03,41.0,35.0
2018-12-04:04,44.0,32.0
2018-12-04:05,31.0,18.0
2018-12-04:06,20.0,18.0
2018-12-04:07,22.0,18.0
2018-12-04:08,25.0,17.0
2018-12-04:09,26.0,21.0
2018-12-04:10,26.0,20.0
2018-12-04:11,39.0,26.0
2018-12-04:12,36.0,23.0
2018-12-04:13,48.0,20.0
2018-12-04:14,62.0,30.0
2018-12-04:15,63.0,26.0
2018-12-04:16,61.0,26.0
2018-12-04:17,58.0,22.0
2018-12-04:18,61.0,20.0
2018-12-04:19,81.0,16.0
2018-12-04:20,53.0,13.0
2018-12-04:21,42.0,11.0
2018-12-04:22,32.0,10.0
2018-12-04:23,33.0,6.0
2018-12-04:24,27.0,7.0
2018-12-05:01,26.0,10.0
2018-12-05:02,20.0,7.0
2018-12-05:03,28.0,8.0
2018-12-05:04,27.0,6.0
2018-12-05:05,23.0,6.0
2018-12-05:06,20.0,8.0
2018-12-05:07,30.0,10.0
2018-12-05:08,31.0,10.0
2018-12-05:09,35.0,8.0
2018-12-05:10,41.0,9.0
2018-12-05:11,39.0,14.0
2018-12-05:12,41.0,13.0
2018-12-05:13,38.0,15.0
2018-12-05:14,0.0,0.0
2018-12-05:15,57.0,19.0
2018-12-05:16,48.0,19.0
2018-12-05:17,45.0,15.0
2018-12-05:18,41.0,19.0
2018-12-05:19,32.0,11.0
2018-12-05:20,44.0,26.0
2018-12-05:21,43.0,22.0
2018-12-05:22,46.0,14.0
2018-12-05:23,37.0,18.0
2018-12-05:24,42.0,23.0
