time,pm10,pm2.5
2017-05-01:01,86.0,63.0
2017-05-01:02,90.0,73.0
2017-05-01:03,91.0,67.0
2017-05-01:04,89.0,66.0
2017-05-01:05,95.0,67.0
2017-05-01:06,85.0,58.0
2017-05-01:07,101.0,66.0
2017-05-01:08,96.0,69.0
2017-05-01:09,85.0,73.0
2017-05-01:10,80.0,54.0
2017-05-01:11,71.0,31.0
2017-05-01:12,68.0,41.0
2017-05-01:13,66.0,38.0
2017-05-01:14,63.0,25.0
2017-05-01:15,69.0,24.0
2017-05-01:16,64.0,26.0
2017-05-01:17,57.0,20.0
2017-05-01:18,63.0,19.0
2017-05-01:19,70.0,40.0
2017-05-01:20,88.0,50.0
2017-05-01:21,86.0,58.0
2017-05-01:22,91.0,53.0
2017-05-01:23,101.0,49.0
2017-05-01:24,94.0,57.0
2017-05-02:01,97.0,61.0
2017-05-02:02,94.0,43.0
2017-05-02:03,92.0,68.0
2017-05-02:04,91.0,73.0
2017-05-02:05,92.0,76.0
2017-05-02:06,96.0,67.0
2017-05-02:07,97.0,71.0
2017-05-02:08,96.0,70.0
2017-05-02:09,94.0,60.0
2017-05-02:10,87.0,57.0
2017-05-02:11,88.0,55.0
2017-05-02:12,81.0,44.0
2017-05-02:13,87.0,42.0
2017-05-02:14,85.0,28.0
2017-05-02:15,87.0,29.0
2017-05-02:16,77.0,43.0
2017-05-02:17,95.0,35.0
2017-05-02:18,99.0,55.0
2017-05-02:19,96.0,66.0
2017-05-02:20,101.0,46.0
2017-05-02:21,82.0,55.0
2017-05-02:22,77.0,29.0
2017-05-02:23,63.0,22.0
2017-05-02:24,58.0,25.0
2017-05-03:01,52.0,15.0
2017-05-03:02,49.0,15.0
2017-05-03:03,43.0,20.0
2017-05-03:04,45.0,20.0
2017-05-03:05,43.0,14.0
2017-05-03:06,49.0,14.0
2017-05-03:07,58.0,39.0
2017-05-03:08,49.0,31.0
2017-05-03:09,50.0,32.0
2017-05-03:10,71.0,49.0
2017-05-03:11,66.0,38.0
2017-05-03:12,74.0,47.0
2017-05-03:13,79.0,38.0
2017-05-03:14,75.0,43.0
2017-05-03:15,77.0,26.0
2017-05-03:16,76.0,32.0
2017-05-03:17,66.0,41.0
2017-05-03:18,78.0,32.0
2017-05-03:19,72.0,29.0
2017-05-03:20,84.0,23.0
2017-05-03:21,80.0,34.0
2017-05-03:22,84.0,18.0
2017-05-03:23,67.0,25.0
2017-05-03:24,53.0,32.0
2017-05-04:01,41.0,23.0
2017-05-04:02,50.0,34.0
2017-05-04:03,51.0,23.0
2017-05-04:04,43.0,14.0
2017-05-04:05,56.0,15.0
2017-05-04:06,55.0,34.0
2017-05-04:07,52.0,32.0
2017-05-04:08,58.0,26.0
2017-05-04:09,64.0,41.0
