time,pm10,pm2.5
2019-08-01:01,17.0,15.0
2019-08-01:02,20.0,16.0
2019-08-01:03,10.0,11.0
2019-08-01:04,5.0,6.0
2019-08-01:05,5.0,4.0
2019-08-01:06,6.0,6.0
2019-08-01:07,12.0,7.0
2019-08-01:08,9.0,8.0
2019-08-01:09,12.0,11.0
2019-08-01:10,11.0,7.0
2019-08-01:11,6.0,2.0
2019-08-01:12,9.0,5.0
2019-08-01:13,21.0,15.0
2019-08-01:14,24.0,18.0
2019-08-01:15,25.0,14.0
2019-08-01:16,15.0,10.0
2019-08-01:17,16.0,10.0
2019-08-01:18,13.0,9.0
2019-08-01:19,17.0,11.0
2019-08-01:20,17.0,10.0
2019-08-01:21,27.0,18.0
2019-08-01:22,24.0,17.0
2019-08-01:23,20.0,14.0
2019-08-01:24,15.0,13.0
2019-08-02:01,15.0,13.0
2019-08-02:02,17.0,13.0
2019-08-02:03,14.0,9.0
2019-08-02:04,17.0,13.0
2019-08-02:05,24.0,15.0
2019-08-02:06,22.0,16.0
2019-08-02:07,21.0,15.0
2019-08-02:08,16.0,12.0
2019-08-02:09,14.0,5.0
2019-08-02:10,17.0,11.0
2019-08-02:11,18.0,14.0
2019-08-02:12,17.0,12.0
2019-08-02:13,22.0,10.0
2019-08-02:14,17.0,11.0
2019-08-02:15,19.0,9.0
2019-08-02:16,21.0,16.0
2019-08-02:17,25.0,17.0
2019-08-02:18,19.0,15.0
2019-08-02:19,19.0,13.0
2019-08-02:20,23.0,18.0
2019-08-02:21,20.0,16.0
2019-08-02:22,20.0,16.0
2019-08-02:23,17.0,13.0
2019-08-02:24,17.0,13.0
2019-08-03:01,13.0,11.0
2019-08-03:02,14.0,10.0
2019-08-03:03,14.0,10.0
2019-08-03:04,17.0,10.0
2019-08-03:05,18.0,10.0
2019-08-03:06,19.0,11.0
2019-08-03:07,20.0,10.0
2019-08-03:08,18.0,10.0
2019-08-03:09,20.0,8.0
2019-08-03:10,21.0,14.0
2019-08-03:11,28.0,18.0
2019-08-03:12,26.0,20.0
2019-08-03:13,30.0,20.0
2019-08-03:14,30.0,26.0
2019-08-03:15,35.0,26.0
2019-08-03:16,34.0,28.0
2019-08-03:17,39.0,31.0
2019-08-03:18,30.0,27.0
2019-08-03:19,27.0,22.0
2019-08-03:20,22.0,19.0
2019-08-03:21,17.0,16.0
2019-08-03:22,24.0,20.0
2019-08-03:23,28.0,23.0
2019-08-03:24,28.0,23.0
2019-08-04:01,28.0,20.0
2019-08-04:02,24.0,18.0
2019-08-04:03,30.0,20.0
2019-08-04:04,30.0,20.0
2019-08-04:05,26.0,15.0
2019-08-04:06,21.0,15.0
2019-08-04:07,20.0,14.0
2019-08-04:08,19.0,14.0
2019-08-04:09,22.0,14.0
2019-08-04:10,23.0,17.0
2019-08-04:11,31.0,24.0
2019-08-04:12,36.0,31.0
2019-08-04:13,47.0,38.0
2019-08-04:14,56.0,47.0
2019-08-04:15,49.0,44.0
2019-08-04:16,46.0,41.0
2019-08-04:17,44.0,38.0
2019-08-04:18,43.0,40.0
2019-08-04:19,42.0,38.0
2019-08-04:20,38.0,34.0
2019-08-04:21,43.0,38.0
2019-08-04:22,48.0,43.0
2019-08-04:23,55.0,45.0
2019-08-04:24,56.0,47.0
2019-08-05:01,57.0,47.0
2019-08-05:02,50.0,43.0
2019-08-05:03,58.0,54.0
2019-08-05:04,47.0,42.0
2019-08-05:05,49.0,41.0
2019-08-05:06,55.0,50.0
2019-08-05:07,51.0,41.0
2019-08-05:08,46.0,34.0
2019-08-05:09,47.0,37.0
2019-08-05:10,43.0,33.0
2019-08-05:11,44.0,36.0
2019-08-05:12,42.0,35.0
2019-08-05:13,47.0,39.0
2019-08-05:14,41.0,36.0
2019-08-05:15,47.0,36.0
2019-08-05:16,48.0,40.0
2019-08-05:17,45.0,35.0
2019-08-05:18,43.0,37.0
2019-08-05:19,49.0,40.0
2019-08-05:20,47.0,40.0
2019-08-05:21,48.0,40.0
2019-08-05:22,50.0,43.0
2019-08-05:23,52.0,40.0
2019-08-05:24,45.0,38.0
2019-08-06:01,44.0,37.0
2019-08-06:02,44.0,37.0
2019-08-06:03,45.0,37.0
2019-08-06:04,39.0,34.0
2019-08-06:05,36.0,32.0
2019-08-06:06,36.0,31.0
2019-08-06:07,36.0,29.0
2019-08-06:08,39.0,32.0
2019-08-06:09,35.0,24.0
2019-08-06:10,33.0,26.0
2019-08-06:11,30.0,24.0
2019-08-06:12,31.0,25.0
2019-08-06:13,32.0,25.0
2019-08-06:14,34.0,28.0
2019-08-06:15,37.0,27.0
2019-08-06:16,33.0,28.0
2019-08-06:17,27.0,20.0
2019-08-06:18,27.0,21.0
2019-08-06:19,29.0,21.0
2019-08-06:20,28.0,23.0
2019-08-06:21,27.0,23.0
2019-08-06:22,22.0,18.0
2019-08-06:23,18.0,16.0
2019-08-06:24,15.0,13.0
2019-08-07:01,13.0,11.0
2019-08-07:02,16.0,13.0
2019-08-07:03,16.0,11.0
2019-08-07:04,20.0,15.0
2019-08-07:05,20.0,13.0
2019-08-07:06,21.0,15.0
2019-08-07:07,18.0,16.0
2019-08-07:08,17.0,14.0
2019-08-07:09,19.0,13.0
2019-08-07:10,18.0,13.0
2019-08-07:11,20.0,16.0
2019-08-07:12,16.0,11.0
2019-08-07:13,19.0,14.0
2019-08-07:14,24.0,15.0
2019-08-07:15,24.0,15.0
2019-08-07:16,29.0,18.0
2019-08-07:17,0.0,0.0
2019-08-07:18,0.0,0.0
2019-08-07:19,15.0,12.0
2019-08-07:20,26.0,21.0
2019-08-07:21,29.0,25.0
2019-08-07:22,38.0,32.0
2019-08-07:23,49.0,38.0
2019-08-07:24,66.0,53.0
2019-08-08:01,66.0,54.0
2019-08-08:02,59.0,49.0
2019-08-08:03,61.0,53.0
2019-08-08:04,59.0,54.0
2019-08-08:05,65.0,58.0
2019-08-08:06,62.0,56.0
2019-08-08:07,65.0,58.0
2019-08-08:08,58.0,51.0
2019-08-08:09,58.0,45.0
2019-08-08:10,51.0,44.0
2019-08-08:11,53.0,47.0
2019-08-08:12,48.0,43.0
2019-08-08:13,47.0,41.0
2019-08-08:14,35.0,31.0
2019-08-08:15,43.0,38.0
2019-08-08:16,35.0,32.0
2019-08-08:17,33.0,26.0
2019-08-08:18,30.0,26.0
2019-08-08:19,32.0,25.0
2019-08-08:20,40.0,34.0
2019-08-08:21,37.0,30.0
2019-08-08:22,32.0,27.0
2019-08-08:23,33.0,27.0
2019-08-08:24,32.0,27.0
2019-08-09:01,33.0,24.0
2019-08-09:02,31.0,28.0
2019-08-09:03,34.0,28.0
2019-08-09:04,35.0,32.0
2019-08-09:05,35.0,33.0
2019-08-09:06,32.0,28.0
2019-08-09:07,36.0,28.0
2019-08-09:08,27.0,21.0
2019-08-09:09,28.0,21.0
2019-08-09:10,25.0,19.0
2019-08-09:11,21.0,17.0
2019-08-09:12,27.0,21.0
2019-08-09:13,34.0,25.0
2019-08-09:14,38.0,27.0
2019-08-09:15,28.0,20.0
2019-08-09:16,26.0,17.0
2019-08-09:17,25.0,15.0
2019-08-09:18,26.0,17.0
2019-08-09:19,19.0,11.0
2019-08-09:20,20.0,15.0
2019-08-09:21,16.0,13.0
2019-08-09:22,20.0,13.0
2019-08-09:23,23.0,13.0
2019-08-09:24,24.0,17.0
2019-08-10:01,23.0,13.0
2019-08-10:02,22.0,14.0
2019-08-10:03,23.0,16.0
2019-08-10:04,23.0,14.0
2019-08-10:05,23.0,14.0
2019-08-10:06,24.0,17.0
2019-08-10:07,26.0,17.0
2019-08-10:08,23.0,16.0
2019-08-10:09,27.0,16.0
2019-08-10:10,29.0,21.0
2019-08-10:11,34.0,22.0
2019-08-10:12,31.0,23.0
2019-08-10:13,32.0,23.0
2019-08-10:14,23.0,18.0
2019-08-10:15,23.0,14.0
2019-08-10:16,21.0,16.0
2019-08-10:17,18.0,18.0
2019-08-10:18,21.0,18.0
2019-08-10:19,18.0,14.0
2019-08-10:20,19.0,14.0
2019-08-10:21,26.0,17.0
2019-08-10:22,37.0,24.0
2019-08-10:23,30.0,18.0
2019-08-10:24,16.0,10.0
2019-08-11:01,13.0,8.0
2019-08-11:02,13.0,9.0
2019-08-11:03,17.0,16.0
2019-08-11:04,18.0,14.0
2019-08-11:05,16.0,11.0
2019-08-11:06,14.0,12.0
2019-08-11:07,14.0,12.0
2019-08-11:08,15.0,10.0
2019-08-11:09,16.0,11.0
2019-08-11:10,16.0,13.0
2019-08-11:11,22.0,12.0
2019-08-11:12,24.0,15.0
2019-08-11:13,22.0,12.0
2019-08-11:14,20.0,13.0
2019-08-11:15,18.0,11.0
2019-08-11:16,21.0,13.0
2019-08-11:17,20.0,12.0
2019-08-11:18,25.0,15.0
2019-08-11:19,23.0,15.0
2019-08-11:20,22.0,15.0
2019-08-11:21,17.0,15.0
2019-08-11:22,18.0,12.0
2019-08-11:23,20.0,14.0
2019-08-11:24,23.0,15.0
2019-08-12:01,17.0,15.0
2019-08-12:02,16.0,14.0
2019-08-12:03,16.0,15.0
2019-08-12:04,21.0,18.0
2019-08-12:05,23.0,20.0
2019-08-12:06,25.0,22.0
2019-08-12:07,0.0,24.0
2019-08-12:08,19.0,19.0
2019-08-12:09,14.0,13.0
2019-08-12:10,11.0,11.0
2019-08-12:11,13.0,13.0
2019-08-12:12,13.0,12.0
2019-08-12:13,17.0,11.0
2019-08-12:14,20.0,17.0
2019-08-12:15,21.0,17.0
2019-08-12:16,19.0,17.0
2019-08-12:17,17.0,14.0
2019-08-12:18,17.0,14.0
2019-08-12:19,22.0,16.0
2019-08-12:20,18.0,15.0
2019-08-12:21,17.0,13.0
2019-08-12:22,17.0,13.0
2019-08-12:23,14.0,13.0
2019-08-12:24,15.0,13.0
2019-08-13:01,14.0,11.0
2019-08-13:02,17.0,12.0
2019-08-13:03,17.0,11.0
2019-08-13:04,19.0,14.0
2019-08-13:05,24.0,18.0
2019-08-13:06,19.0,17.0
2019-08-13:07,22.0,18.0
2019-08-13:08,18.0,15.0
2019-08-13:09,24.0,20.0
2019-08-13:10,28.0,19.0
2019-08-13:11,32.0,20.0
2019-08-13:12,32.0,22.0
2019-08-13:13,35.0,22.0
2019-08-13:14,27.0,18.0
2019-08-13:15,27.0,21.0
2019-08-13:16,26.0,19.0
2019-08-13:17,28.0,19.0
2019-08-13:18,49.0,36.0
2019-08-13:19,58.0,38.0
2019-08-13:20,46.0,36.0
2019-08-13:21,48.0,35.0
2019-08-13:22,46.0,35.0
2019-08-13:23,39.0,28.0
2019-08-13:24,19.0,17.0
2019-08-14:01,28.0,25.0
2019-08-14:02,23.0,19.0
2019-08-14:03,21.0,12.0
2019-08-14:04,23.0,17.0
2019-08-14:05,25.0,17.0
2019-08-14:06,22.0,15.0
2019-08-14:07,25.0,14.0
2019-08-14:08,20.0,11.0
2019-08-14:09,17.0,6.0
2019-08-14:10,15.0,8.0
2019-08-14:11,17.0,10.0
2019-08-14:12,20.0,10.0
2019-08-14:13,16.0,11.0
2019-08-14:14,17.0,13.0
2019-08-14:15,0.0,18.0
2019-08-14:16,18.0,14.0
2019-08-14:17,25.0,17.0
2019-08-14:18,36.0,0.0
2019-08-14:19,35.0,0.0
2019-08-14:20,28.0,22.0
2019-08-14:21,15.0,13.0
2019-08-14:22,14.0,10.0
2019-08-14:23,14.0,13.0
2019-08-14:24,14.0,10.0
2019-08-15:01,12.0,8.0
2019-08-15:02,10.0,8.0
2019-08-15:03,9.0,6.0
2019-08-15:04,12.0,6.0
2019-08-15:05,10.0,8.0
2019-08-15:06,10.0,7.0
2019-08-15:07,10.0,4.0
2019-08-15:08,11.0,7.0
2019-08-15:09,14.0,5.0
2019-08-15:10,12.0,6.0
2019-08-15:11,15.0,7.0
2019-08-15:12,14.0,8.0
2019-08-15:13,14.0,11.0
2019-08-15:14,9.0,6.0
2019-08-15:15,6.0,5.0
2019-08-15:16,5.0,4.0
2019-08-15:17,5.0,7.0
2019-08-15:18,7.0,5.0
2019-08-15:19,8.0,4.0
2019-08-15:20,7.0,5.0
2019-08-15:21,7.0,5.0
2019-08-15:22,6.0,3.0
2019-08-15:23,3.0,1.0
2019-08-15:24,8.0,2.0
2019-08-16:01,5.0,2.0
2019-08-16:02,8.0,3.0
2019-08-16:03,8.0,1.0
2019-08-16:04,6.0,2.0
2019-08-16:05,9.0,3.0
2019-08-16:06,6.0,2.0
2019-08-16:07,7.0,2.0
2019-08-16:08,9.0,3.0
2019-08-16:09,11.0,3.0
2019-08-16:10,13.0,5.0
2019-08-16:11,21.0,10.0
2019-08-16:12,21.0,14.0
2019-08-16:13,16.0,15.0
2019-08-16:14,17.0,13.0
2019-08-16:15,24.0,17.0
2019-08-16:16,23.0,16.0
2019-08-16:17,25.0,16.0
2019-08-16:18,23.0,15.0
2019-08-16:19,27.0,14.0
2019-08-16:20,28.0,18.0
2019-08-16:21,25.0,15.0
2019-08-16:22,41.0,27.0
2019-08-16:23,49.0,34.0
2019-08-16:24,38.0,26.0
2019-08-17:01,39.0,27.0
2019-08-17:02,37.0,26.0
2019-08-17:03,35.0,26.0
2019-08-17:04,35.0,24.0
2019-08-17:05,37.0,24.0
2019-08-17:06,35.0,25.0
2019-08-17:07,36.0,24.0
2019-08-17:08,29.0,19.0
2019-08-17:09,29.0,18.0
2019-08-17:10,31.0,20.0
2019-08-17:11,34.0,22.0
2019-08-17:12,35.0,23.0
2019-08-17:13,33.0,21.0
2019-08-17:14,30.0,21.0
2019-08-17:15,33.0,22.0
2019-08-17:16,30.0,23.0
2019-08-17:17,25.0,17.0
2019-08-17:18,21.0,14.0
2019-08-17:19,25.0,14.0
2019-08-17:20,27.0,19.0
2019-08-17:21,27.0,17.0
2019-08-17:22,28.0,19.0
2019-08-17:23,21.0,15.0
2019-08-17:24,26.0,17.0
2019-08-18:01,24.0,16.0
2019-08-18:02,19.0,12.0
2019-08-18:03,15.0,8.0
2019-08-18:04,19.0,11.0
2019-08-18:05,16.0,12.0
2019-08-18:06,19.0,13.0
2019-08-18:07,21.0,16.0
2019-08-18:08,20.0,13.0
2019-08-18:09,19.0,10.0
2019-08-18:10,26.0,18.0
2019-08-18:11,24.0,14.0
2019-08-18:12,22.0,13.0
2019-08-18:13,27.0,18.0
2019-08-18:14,30.0,18.0
2019-08-18:15,32.0,21.0
2019-08-18:16,30.0,20.0
2019-08-18:17,25.0,17.0
2019-08-18:18,20.0,14.0
2019-08-18:19,22.0,12.0
2019-08-18:20,22.0,16.0
2019-08-18:21,21.0,12.0
2019-08-18:22,17.0,12.0
2019-08-18:23,15.0,10.0
2019-08-18:24,14.0,11.0
2019-08-19:01,15.0,8.0
2019-08-19:02,17.0,12.0
2019-08-19:03,17.0,11.0
2019-08-19:04,17.0,13.0
2019-08-19:05,21.0,15.0
2019-08-19:06,22.0,14.0
2019-08-19:07,18.0,15.0
2019-08-19:08,25.0,15.0
2019-08-19:09,29.0,15.0
2019-08-19:10,26.0,15.0
2019-08-19:11,29.0,15.0
2019-08-19:12,29.0,17.0
2019-08-19:13,26.0,14.0
2019-08-19:14,28.0,17.0
2019-08-19:15,0.0,20.0
2019-08-19:16,0.0,20.0
2019-08-19:17,0.0,19.0
2019-08-19:18,0.0,21.0
2019-08-19:19,57.0,20.0
2019-08-19:20,28.0,19.0
2019-08-19:21,32.0,17.0
2019-08-19:22,36.0,23.0
2019-08-19:23,33.0,20.0
2019-08-19:24,31.0,22.0
2019-08-20:01,30.0,20.0
2019-08-20:02,30.0,22.0
2019-08-20:03,30.0,17.0
2019-08-20:04,28.0,20.0
