time,pm10,pm2.5
2017-12-01:01,27.0,0.0
2017-12-01:02,28.0,0.0
2017-12-01:03,23.0,0.0
2017-12-01:04,22.0,0.0
2017-12-01:05,22.0,0.0
2017-12-01:06,24.0,0.0
2017-12-01:07,48.0,0.0
2017-12-01:08,65.0,0.0
2017-12-01:09,79.0,0.0
2017-12-01:10,67.0,0.0
2017-12-01:11,51.0,0.0
2017-12-01:12,50.0,0.0
2017-12-01:13,44.0,0.0
2017-12-01:14,49.0,0.0
2017-12-01:15,40.0,0.0
2017-12-01:16,30.0,0.0
2017-12-01:17,39.0,0.0
2017-12-01:18,43.0,0.0
2017-12-01:19,41.0,0.0
2017-12-01:20,36.0,0.0
2017-12-01:21,35.0,0.0
2017-12-01:22,38.0,0.0
2017-12-01:23,45.0,0.0
2017-12-01:24,51.0,0.0
2017-12-02:01,49.0,0.0
2017-12-02:02,51.0,0.0
2017-12-02:03,42.0,0.0
2017-12-02:04,39.0,0.0
2017-12-02:05,42.0,0.0
2017-12-02:06,62.0,0.0
2017-12-02:07,58.0,0.0
2017-12-02:08,55.0,0.0
2017-12-02:09,70.0,0.0
2017-12-02:10,92.0,0.0
2017-12-02:11,86.0,0.0
2017-12-02:12,77.0,0.0
2017-12-02:13,55.0,0.0
2017-12-02:14,52.0,0.0
2017-12-02:15,62.0,0.0
2017-12-02:16,56.0,0.0
2017-12-02:17,71.0,0.0
2017-12-02:18,61.0,0.0
2017-12-02:19,60.0,0.0
2017-12-02:20,71.0,0.0
2017-12-02:21,83.0,0.0
2017-12-02:22,75.0,0.0
2017-12-02:23,62.0,0.0
2017-12-02:24,57.0,0.0
2017-12-03:01,53.0,0.0
2017-12-03:02,44.0,0.0
2017-12-03:03,42.0,0.0
2017-12-03:04,36.0,0.0
2017-12-03:05,36.0,0.0
2017-12-03:06,46.0,0.0
2017-12-03:07,42.0,0.0
2017-12-03:08,39.0,0.0
2017-12-03:09,49.0,0.0
2017-12-03:10,47.0,0.0
2017-12-03:11,44.0,0.0
2017-12-03:12,50.0,0.0
2017-12-03:13,57.0,0.0
2017-12-03:14,70.0,0.0
2017-12-03:15,80.0,0.0
2017-12-03:16,80.0,0.0
2017-12-03:17,95.0,0.0
2017-12-03:18,86.0,0.0
2017-12-03:19,81.0,0.0
2017-12-03:20,76.0,0.0
2017-12-03:21,78.0,0.0
2017-12-03:22,84.0,0.0
2017-12-03:23,90.0,0.0
2017-12-03:24,91.0,0.0
2017-12-04:01,91.0,0.0
2017-12-04:02,96.0,0.0
2017-12-04:03,98.0,0.0
2017-12-04:04,108.0,0.0
2017-12-04:05,85.0,0.0
2017-12-04:06,76.0,0.0
2017-12-04:07,68.0,0.0
2017-12-04:08,72.0,0.0
2017-12-04:09,48.0,0.0
2017-12-04:10,60.0,0.0
2017-12-04:11,56.0,0.0
2017-12-04:12,48.0,0.0
2017-12-04:13,39.0,0.0
2017-12-04:14,31.0,0.0
2017-12-04:15,32.0,0.0
2017-12-04:16,32.0,0.0
2017-12-04:17,26.0,0.0
2017-12-04:18,27.0,0.0
2017-12-04:19,22.0,0.0
2017-12-04:20,25.0,0.0
2017-12-04:21,28.0,0.0
2017-12-04:22,24.0,0.0
2017-12-04:23,21.0,0.0
2017-12-04:24,23.0,0.0
2017-12-05:01,25.0,0.0
2017-12-05:02,22.0,0.0
2017-12-05:03,18.0,0.0
2017-12-05:04,20.0,0.0
2017-12-05:05,17.0,0.0
2017-12-05:06,18.0,0.0
2017-12-05:07,21.0,0.0
2017-12-05:08,33.0,0.0
2017-12-05:09,35.0,0.0
2017-12-05:10,52.0,0.0
2017-12-05:11,49.0,0.0
2017-12-05:12,40.0,0.0
2017-12-05:13,39.0,0.0
2017-12-05:14,31.0,0.0
2017-12-05:15,40.0,0.0
2017-12-05:16,38.0,0.0
2017-12-05:17,42.0,0.0
2017-12-05:18,38.0,0.0
2017-12-05:19,37.0,0.0
2017-12-05:20,37.0,0.0
2017-12-05:21,39.0,0.0
2017-12-05:22,36.0,0.0
2017-12-05:23,33.0,0.0
2017-12-05:24,28.0,0.0
2017-12-06:01,25.0,0.0
2017-12-06:02,24.0,0.0
2017-12-06:03,23.0,0.0
2017-12-06:04,28.0,0.0
2017-12-06:05,36.0,0.0
2017-12-06:06,31.0,0.0
2017-12-06:07,44.0,0.0
2017-12-06:08,47.0,0.0
2017-12-06:09,42.0,0.0
2017-12-06:10,52.0,0.0
2017-12-06:11,62.0,0.0
2017-12-06:12,71.0,0.0
2017-12-06:13,70.0,0.0
2017-12-06:14,62.0,0.0
2017-12-06:15,66.0,0.0
2017-12-06:16,48.0,0.0
2017-12-06:17,39.0,0.0
2017-12-06:18,40.0,0.0
2017-12-06:19,38.0,0.0
2017-12-06:20,37.0,0.0
2017-12-06:21,46.0,0.0
2017-12-06:22,44.0,0.0
2017-12-06:23,38.0,0.0
2017-12-06:24,43.0,0.0
2017-12-07:01,40.0,0.0
2017-12-07:02,37.0,0.0
2017-12-07:03,45.0,0.0
2017-12-07:04,51.0,0.0
2017-12-07:05,58.0,0.0
2017-12-07:06,56.0,0.0
2017-12-07:07,61.0,0.0
2017-12-07:08,70.0,0.0
2017-12-07:09,75.0,0.0
2017-12-07:10,79.0,0.0
2017-12-07:11,77.0,0.0
2017-12-07:12,86.0,0.0
2017-12-07:13,77.0,0.0
2017-12-07:14,67.0,0.0
2017-12-07:15,88.0,0.0
2017-12-07:16,76.0,0.0
2017-12-07:17,71.0,0.0
2017-12-07:18,53.0,0.0
2017-12-07:19,50.0,0.0
2017-12-07:20,41.0,0.0
2017-12-07:21,44.0,0.0
2017-12-07:22,39.0,0.0
2017-12-07:23,44.0,0.0
2017-12-07:24,41.0,0.0
2017-12-08:01,40.0,0.0
2017-12-08:02,32.0,0.0
2017-12-08:03,29.0,0.0
2017-12-08:04,29.0,0.0
2017-12-08:05,32.0,0.0
2017-12-08:06,39.0,0.0
2017-12-08:07,44.0,0.0
2017-12-08:08,47.0,0.0
2017-12-08:09,60.0,0.0
2017-12-08:10,65.0,0.0
2017-12-08:11,70.0,0.0
2017-12-08:12,65.0,0.0
2017-12-08:13,63.0,0.0
2017-12-08:14,54.0,0.0
2017-12-08:15,52.0,0.0
2017-12-08:16,45.0,0.0
2017-12-08:17,49.0,0.0
2017-12-08:18,49.0,0.0
2017-12-08:19,48.0,0.0
2017-12-08:20,45.0,0.0
2017-12-08:21,42.0,0.0
2017-12-08:22,47.0,0.0
2017-12-08:23,45.0,0.0
2017-12-08:24,45.0,0.0
2017-12-09:01,42.0,0.0
2017-12-09:02,39.0,0.0
2017-12-09:03,36.0,0.0
2017-12-09:04,39.0,0.0
2017-12-09:05,36.0,0.0
2017-12-09:06,40.0,0.0
2017-12-09:07,55.0,0.0
2017-12-09:08,79.0,0.0
2017-12-09:09,95.0,0.0
2017-12-09:10,87.0,0.0
2017-12-09:11,85.0,0.0
2017-12-09:12,85.0,0.0
2017-12-09:13,77.0,0.0
2017-12-09:14,53.0,0.0
2017-12-09:15,63.0,0.0
2017-12-09:16,59.0,0.0
2017-12-09:17,63.0,0.0
2017-12-09:18,54.0,0.0
2017-12-09:19,60.0,0.0
2017-12-09:20,62.0,0.0
2017-12-09:21,60.0,0.0
2017-12-09:22,61.0,0.0
2017-12-09:23,53.0,0.0
2017-12-09:24,52.0,0.0
2017-12-10:01,48.0,0.0
2017-12-10:02,46.0,0.0
2017-12-10:03,44.0,0.0
2017-12-10:04,45.0,0.0
2017-12-10:05,47.0,0.0
2017-12-10:06,43.0,0.0
2017-12-10:07,35.0,0.0
2017-12-10:08,33.0,0.0
2017-12-10:09,38.0,0.0
2017-12-10:10,60.0,0.0
2017-12-10:11,58.0,0.0
2017-12-10:12,56.0,0.0
2017-12-10:13,47.0,0.0
2017-12-10:14,55.0,0.0
2017-12-10:15,80.0,0.0
2017-12-10:16,82.0,0.0
2017-12-10:17,66.0,0.0
2017-12-10:18,33.0,0.0
2017-12-10:19,27.0,0.0
2017-12-10:20,35.0,0.0
2017-12-10:21,38.0,0.0
2017-12-10:22,38.0,0.0
2017-12-10:23,32.0,0.0
2017-12-10:24,49.0,0.0
2017-12-11:01,70.0,0.0
2017-12-11:02,66.0,0.0
2017-12-11:03,64.0,0.0
2017-12-11:04,73.0,0.0
2017-12-11:05,80.0,0.0
2017-12-11:06,80.0,0.0
2017-12-11:07,87.0,0.0
2017-12-11:08,92.0,0.0
2017-12-11:09,73.0,0.0
2017-12-11:10,53.0,0.0
2017-12-11:11,55.0,0.0
2017-12-11:12,66.0,0.0
2017-12-11:13,51.0,0.0
2017-12-11:14,38.0,0.0
2017-12-11:15,36.0,0.0
2017-12-11:16,33.0,0.0
2017-12-11:17,31.0,0.0
2017-12-11:18,33.0,0.0
2017-12-11:19,30.0,0.0
2017-12-11:20,27.0,0.0
2017-12-11:21,28.0,0.0
2017-12-11:22,26.0,0.0
2017-12-11:23,33.0,0.0
2017-12-11:24,33.0,0.0
2017-12-12:01,33.0,0.0
2017-12-12:02,32.0,0.0
2017-12-12:03,36.0,0.0
2017-12-12:04,33.0,0.0
