time,pm10,pm2.5
2019-06-01:01,24.0,13.0
2019-06-01:02,30.0,18.0
2019-06-01:03,26.0,16.0
2019-06-01:04,27.0,16.0
2019-06-01:05,36.0,23.0
2019-06-01:06,35.0,20.0
2019-06-01:07,33.0,19.0
2019-06-01:08,39.0,22.0
2019-06-01:09,41.0,25.0
2019-06-01:10,43.0,28.0
2019-06-01:11,47.0,30.0
2019-06-01:12,48.0,33.0
2019-06-01:13,42.0,28.0
2019-06-01:14,35.0,23.0
2019-06-01:15,36.0,24.0
2019-06-01:16,35.0,22.0
2019-06-01:17,31.0,20.0
2019-06-01:18,27.0,16.0
2019-06-01:19,23.0,15.0
2019-06-01:20,24.0,12.0
2019-06-01:21,23.0,12.0
2019-06-01:22,25.0,13.0
2019-06-01:23,62.0,23.0
2019-06-01:24,42.0,22.0
2019-06-02:01,35.0,22.0
2019-06-02:02,37.0,23.0
2019-06-02:03,36.0,21.0
2019-06-02:04,38.0,22.0
2019-06-02:05,43.0,21.0
2019-06-02:06,36.0,20.0
2019-06-02:07,73.0,28.0
2019-06-02:08,0.0,31.0
2019-06-02:09,0.0,29.0
2019-06-02:10,0.0,36.0
2019-06-02:11,0.0,25.0
2019-06-02:12,72.0,22.0
2019-06-02:13,58.0,26.0
2019-06-02:14,51.0,27.0
2019-06-02:15,49.0,28.0
2019-06-02:16,41.0,21.0
2019-06-02:17,34.0,18.0
2019-06-02:18,33.0,14.0
2019-06-02:19,32.0,11.0
2019-06-02:20,33.0,15.0
2019-06-02:21,36.0,18.0
2019-06-02:22,42.0,20.0
2019-06-02:23,44.0,18.0
2019-06-02:24,30.0,14.0
2019-06-03:01,26.0,13.0
2019-06-03:02,29.0,15.0
2019-06-03:03,38.0,20.0
2019-06-03:04,37.0,21.0
2019-06-03:05,37.0,22.0
2019-06-03:06,40.0,20.0
2019-06-03:07,54.0,22.0
2019-06-03:08,55.0,21.0
2019-06-03:09,51.0,23.0
2019-06-03:10,46.0,18.0
2019-06-03:11,46.0,19.0
2019-06-03:12,45.0,20.0
2019-06-03:13,43.0,21.0
2019-06-03:14,29.0,12.0
2019-06-03:15,32.0,12.0
2019-06-03:16,45.0,20.0
2019-06-03:17,48.0,23.0
2019-06-03:18,55.0,24.0
2019-06-03:19,52.0,20.0
2019-06-03:20,49.0,24.0
2019-06-03:21,48.0,27.0
2019-06-03:22,45.0,23.0
2019-06-03:23,31.0,16.0
2019-06-03:24,29.0,17.0
2019-06-04:01,29.0,16.0
2019-06-04:02,28.0,16.0
2019-06-04:03,30.0,18.0
2019-06-04:04,31.0,19.0
2019-06-04:05,38.0,23.0
2019-06-04:06,40.0,23.0
2019-06-04:07,42.0,24.0
2019-06-04:08,38.0,22.0
2019-06-04:09,37.0,24.0
2019-06-04:10,38.0,22.0
2019-06-04:11,30.0,18.0
2019-06-04:12,30.0,17.0
2019-06-04:13,28.0,15.0
2019-06-04:14,28.0,15.0
