time,pm10,pm2.5
2016-09-01:01,26.0,11.0
2016-09-01:02,27.0,10.0
2016-09-01:03,24.0,12.0
2016-09-01:04,22.0,10.0
2016-09-01:05,24.0,9.0
2016-09-01:06,19.0,9.0
2016-09-01:07,24.0,11.0
2016-09-01:08,43.0,21.0
2016-09-01:09,75.0,41.0
2016-09-01:10,71.0,42.0
2016-09-01:11,68.0,41.0
2016-09-01:12,68.0,40.0
2016-09-01:13,68.0,42.0
2016-09-01:14,73.0,40.0
2016-09-01:15,71.0,41.0
2016-09-01:16,73.0,39.0
2016-09-01:17,67.0,39.0
2016-09-01:18,59.0,33.0
2016-09-01:19,62.0,36.0
2016-09-01:20,64.0,42.0
2016-09-01:21,63.0,40.0
2016-09-01:22,60.0,37.0
2016-09-01:23,55.0,34.0
2016-09-01:24,55.0,34.0
2016-09-02:01,56.0,34.0
2016-09-02:02,58.0,36.0
2016-09-02:03,43.0,30.0
2016-09-02:04,30.0,23.0
2016-09-02:05,33.0,24.0
2016-09-02:06,37.0,28.0
2016-09-02:07,39.0,26.0
2016-09-02:08,36.0,25.0
2016-09-02:09,27.0,20.0
2016-09-02:10,23.0,19.0
2016-09-02:11,28.0,22.0
2016-09-02:12,24.0,17.0
2016-09-02:13,20.0,14.0
2016-09-02:14,22.0,12.0
2016-09-02:15,18.0,8.0
2016-09-02:16,19.0,7.0
2016-09-02:17,18.0,9.0
2016-09-02:18,18.0,11.0
2016-09-02:19,15.0,10.0
2016-09-02:20,20.0,16.0
2016-09-02:21,20.0,14.0
2016-09-02:22,22.0,12.0
2016-09-02:23,29.0,15.0
2016-09-02:24,22.0,14.0
2016-09-03:01,18.0,14.0
2016-09-03:02,17.0,13.0
2016-09-03:03,16.0,10.0
2016-09-03:04,11.0,9.0
2016-09-03:05,10.0,7.0
2016-09-03:06,13.0,9.0
2016-09-03:07,14.0,11.0
2016-09-03:08,13.0,10.0
2016-09-03:09,13.0,10.0
2016-09-03:10,11.0,8.0
2016-09-03:11,15.0,9.0
2016-09-03:12,15.0,8.0
2016-09-03:13,14.0,8.0
2016-09-03:14,14.0,11.0
2016-09-03:15,14.0,11.0
2016-09-03:16,16.0,9.0
2016-09-03:17,17.0,10.0
2016-09-03:18,24.0,16.0
2016-09-03:19,28.0,16.0
2016-09-03:20,35.0,23.0
2016-09-03:21,31.0,20.0
2016-09-03:22,31.0,23.0
2016-09-03:23,30.0,22.0
2016-09-03:24,33.0,21.0
2016-09-04:01,37.0,22.0
2016-09-04:02,36.0,22.0
2016-09-04:03,35.0,21.0
2016-09-04:04,32.0,20.0
2016-09-04:05,33.0,21.0
2016-09-04:06,28.0,20.0
2016-09-04:07,22.0,13.0
2016-09-04:08,20.0,12.0
2016-09-04:09,13.0,8.0
2016-09-04:10,12.0,7.0
2016-09-04:11,14.0,9.0
2016-09-04:12,15.0,10.0
2016-09-04:13,16.0,9.0
2016-09-04:14,18.0,16.0
2016-09-04:15,23.0,17.0
2016-09-04:16,25.0,14.0
2016-09-04:17,26.0,14.0
2016-09-04:18,25.0,14.0
2016-09-04:19,22.0,13.0
2016-09-04:20,24.0,15.0
2016-09-04:21,27.0,14.0
2016-09-04:22,24.0,14.0
2016-09-04:23,19.0,13.0
2016-09-04:24,17.0,10.0
2016-09-05:01,19.0,10.0
2016-09-05:02,20.0,9.0
2016-09-05:03,17.0,10.0
2016-09-05:04,19.0,11.0
2016-09-05:05,16.0,10.0
2016-09-05:06,18.0,9.0
2016-09-05:07,21.0,10.0
2016-09-05:08,20.0,9.0
2016-09-05:09,19.0,12.0
2016-09-05:10,19.0,13.0
2016-09-05:11,19.0,12.0
2016-09-05:12,26.0,16.0
2016-09-05:13,30.0,16.0
2016-09-05:14,39.0,22.0
2016-09-05:15,39.0,23.0
2016-09-05:16,36.0,21.0
2016-09-05:17,34.0,18.0
2016-09-05:18,33.0,17.0
2016-09-05:19,32.0,19.0
2016-09-05:20,34.0,21.0
2016-09-05:21,40.0,22.0
2016-09-05:22,41.0,24.0
2016-09-05:23,42.0,23.0
2016-09-05:24,40.0,24.0
2016-09-06:01,40.0,24.0
2016-09-06:02,40.0,22.0
2016-09-06:03,38.0,24.0
2016-09-06:04,41.0,24.0
2016-09-06:05,39.0,25.0
2016-09-06:06,38.0,24.0
2016-09-06:07,39.0,24.0
2016-09-06:08,37.0,25.0
2016-09-06:09,43.0,26.0
2016-09-06:10,49.0,29.0
2016-09-06:11,48.0,29.0
2016-09-06:12,43.0,25.0
2016-09-06:13,42.0,23.0
2016-09-06:14,45.0,25.0
2016-09-06:15,53.0,32.0
2016-09-06:16,45.0,30.0
2016-09-06:17,42.0,27.0
2016-09-06:18,44.0,32.0
2016-09-06:19,62.0,42.0
2016-09-06:20,78.0,54.0
2016-09-06:21,79.0,55.0
2016-09-06:22,76.0,56.0
2016-09-06:23,81.0,58.0
2016-09-06:24,85.0,60.0
2016-09-07:01,85.0,60.0
2016-09-07:02,81.0,61.0
