time,pm10,pm2.5
2018-01-01:01,41.0,24.0
2018-01-01:02,42.0,24.0
2018-01-01:03,36.0,21.0
2018-01-01:04,39.0,23.0
2018-01-01:05,39.0,20.0
2018-01-01:06,40.0,20.0
2018-01-01:07,43.0,27.0
2018-01-01:08,41.0,26.0
2018-01-01:09,38.0,19.0
2018-01-01:10,36.0,21.0
2018-01-01:11,42.0,17.0
2018-01-01:12,41.0,25.0
2018-01-01:13,42.0,33.0
2018-01-01:14,41.0,18.0
2018-01-01:15,54.0,27.0
2018-01-01:16,66.0,35.0
2018-01-01:17,66.0,33.0
2018-01-01:18,60.0,37.0
2018-01-01:19,54.0,32.0
2018-01-01:20,49.0,38.0
2018-01-01:21,43.0,35.0
2018-01-01:22,65.0,40.0
2018-01-01:23,64.0,44.0
2018-01-01:24,67.0,39.0
2018-01-02:01,59.0,41.0
2018-01-02:02,58.0,35.0
2018-01-02:03,53.0,37.0
2018-01-02:04,50.0,28.0
2018-01-02:05,50.0,27.0
2018-01-02:06,51.0,30.0
2018-01-02:07,54.0,36.0
2018-01-02:08,55.0,36.0
2018-01-02:09,62.0,36.0
2018-01-02:10,80.0,40.0
2018-01-02:11,70.0,34.0
2018-01-02:12,60.0,32.0
2018-01-02:13,50.0,39.0
2018-01-02:14,35.0,32.0
2018-01-02:15,33.0,16.0
2018-01-02:16,29.0,25.0
2018-01-02:17,37.0,28.0
2018-01-02:18,35.0,19.0
2018-01-02:19,29.0,20.0
2018-01-02:20,28.0,17.0
2018-01-02:21,25.0,17.0
2018-01-02:22,26.0,21.0
2018-01-02:23,25.0,20.0
2018-01-02:24,33.0,23.0
2018-01-03:01,31.0,24.0
2018-01-03:02,39.0,23.0
2018-01-03:03,37.0,26.0
2018-01-03:04,42.0,23.0
2018-01-03:05,41.0,22.0
2018-01-03:06,39.0,24.0
2018-01-03:07,46.0,28.0
2018-01-03:08,50.0,26.0
2018-01-03:09,62.0,38.0
2018-01-03:10,50.0,21.0
2018-01-03:11,0.0,0.0
2018-01-03:12,34.0,33.0
2018-01-03:13,33.0,19.0
2018-01-03:14,34.0,22.0
2018-01-03:15,40.0,21.0
2018-01-03:16,29.0,22.0
2018-01-03:17,36.0,23.0
2018-01-03:18,37.0,25.0
2018-01-03:19,32.0,23.0
2018-01-03:20,39.0,23.0
2018-01-03:21,29.0,12.0
2018-01-03:22,38.0,21.0
2018-01-03:23,34.0,29.0
2018-01-03:24,39.0,18.0
2018-01-04:01,38.0,25.0
2018-01-04:02,37.0,20.0
2018-01-04:03,40.0,19.0
2018-01-04:04,38.0,22.0
2018-01-04:05,34.0,17.0
2018-01-04:06,34.0,22.0
2018-01-04:07,39.0,17.0
2018-01-04:08,35.0,18.0
2018-01-04:09,37.0,28.0
