time,pm10,pm2.5
2016-03-01:01,36.0,20.0
2016-03-01:02,30.0,18.0
2016-03-01:03,37.0,24.0
2016-03-01:04,31.0,18.0
2016-03-01:05,30.0,15.0
2016-03-01:06,29.0,15.0
2016-03-01:07,25.0,12.0
2016-03-01:08,26.0,12.0
2016-03-01:09,28.0,13.0
2016-03-01:10,25.0,13.0
2016-03-01:11,31.0,16.0
2016-03-01:12,41.0,23.0
2016-03-01:13,40.0,23.0
2016-03-01:14,42.0,23.0
2016-03-01:15,42.0,23.0
2016-03-01:16,41.0,24.0
2016-03-01:17,42.0,25.0
2016-03-01:18,38.0,24.0
2016-03-01:19,36.0,22.0
2016-03-01:20,32.0,18.0
2016-03-01:21,31.0,17.0
2016-03-01:22,26.0,14.0
2016-03-01:23,32.0,16.0
2016-03-01:24,33.0,20.0
2016-03-02:01,27.0,15.0
2016-03-02:02,28.0,17.0
2016-03-02:03,26.0,13.0
2016-03-02:04,25.0,14.0
2016-03-02:05,29.0,13.0
2016-03-02:06,31.0,15.0
2016-03-02:07,32.0,19.0
2016-03-02:08,34.0,17.0
2016-03-02:09,36.0,20.0
2016-03-02:10,41.0,22.0
2016-03-02:11,39.0,18.0
2016-03-02:12,45.0,25.0
2016-03-02:13,45.0,26.0
2016-03-02:14,50.0,27.0
2016-03-02:15,58.0,30.0
2016-03-02:16,55.0,30.0
2016-03-02:17,54.0,29.0
2016-03-02:18,50.0,28.0
2016-03-02:19,43.0,24.0
2016-03-02:20,43.0,26.0
2016-03-02:21,36.0,21.0
2016-03-02:22,44.0,26.0
2016-03-02:23,31.0,19.0
2016-03-02:24,38.0,20.0
2016-03-03:01,27.0,15.0
2016-03-03:02,30.0,15.0
2016-03-03:03,30.0,16.0
2016-03-03:04,31.0,16.0
2016-03-03:05,34.0,19.0
2016-03-03:06,34.0,19.0
2016-03-03:07,33.0,19.0
2016-03-03:08,32.0,19.0
2016-03-03:09,37.0,18.0
2016-03-03:10,42.0,21.0
2016-03-03:11,48.0,24.0
2016-03-03:12,56.0,30.0
2016-03-03:13,62.0,28.0
2016-03-03:14,64.0,30.0
2016-03-03:15,67.0,38.0
2016-03-03:16,72.0,40.0
2016-03-03:17,68.0,41.0
2016-03-03:18,75.0,43.0
2016-03-03:19,74.0,45.0
2016-03-03:20,65.0,41.0
2016-03-03:21,71.0,43.0
2016-03-03:22,86.0,55.0
2016-03-03:23,88.0,57.0
2016-03-03:24,84.0,52.0
2016-03-04:01,91.0,51.0
2016-03-04:02,85.0,52.0
2016-03-04:03,81.0,50.0
2016-03-04:04,76.0,49.0
2016-03-04:05,73.0,47.0
2016-03-04:06,75.0,48.0
2016-03-04:07,78.0,47.0
2016-03-04:08,75.0,44.0
2016-03-04:09,66.0,42.0
2016-03-04:10,78.0,42.0
2016-03-04:11,78.0,43.0
2016-03-04:12,77.0,42.0
2016-03-04:13,75.0,41.0
2016-03-04:14,70.0,37.0
2016-03-04:15,62.0,32.0
