time,pm10,pm2.5
2017-03-01:01,48.0,33.0
2017-03-01:02,55.0,41.0
2017-03-01:03,53.0,40.0
2017-03-01:04,55.0,42.0
2017-03-01:05,55.0,45.0
2017-03-01:06,52.0,44.0
2017-03-01:07,56.0,45.0
2017-03-01:08,55.0,47.0
2017-03-01:09,64.0,51.0
2017-03-01:10,67.0,58.0
2017-03-01:11,84.0,71.0
2017-03-01:12,89.0,74.0
2017-03-01:13,84.0,66.0
2017-03-01:14,65.0,56.0
2017-03-01:15,76.0,59.0
2017-03-01:16,68.0,61.0
2017-03-01:17,69.0,56.0
2017-03-01:18,62.0,52.0
2017-03-01:19,54.0,47.0
2017-03-01:20,58.0,54.0
2017-03-01:21,64.0,61.0
2017-03-01:22,62.0,0.0
2017-03-01:23,65.0,63.0
2017-03-01:24,62.0,0.0
2017-03-02:01,60.0,0.0
2017-03-02:02,58.0,0.0
2017-03-02:03,52.0,0.0
2017-03-02:04,35.0,35.0
2017-03-02:05,33.0,31.0
2017-03-02:06,36.0,0.0
2017-03-02:07,40.0,38.0
2017-03-02:08,44.0,40.0
2017-03-02:09,42.0,29.0
2017-03-02:10,35.0,23.0
2017-03-02:11,38.0,23.0
2017-03-02:12,0.0,0.0
2017-03-02:13,0.0,0.0
2017-03-02:14,24.0,18.0
2017-03-02:15,36.0,24.0
2017-03-02:16,30.0,18.0
2017-03-02:17,33.0,20.0
2017-03-02:18,33.0,21.0
2017-03-02:19,31.0,19.0
2017-03-02:20,25.0,15.0
2017-03-02:21,24.0,9.0
2017-03-02:22,21.0,8.0
2017-03-02:23,20.0,7.0
2017-03-02:24,20.0,8.0
2017-03-03:01,22.0,9.0
2017-03-03:02,21.0,10.0
2017-03-03:03,25.0,10.0
2017-03-03:04,24.0,12.0
2017-03-03:05,28.0,16.0
2017-03-03:06,27.0,15.0
2017-03-03:07,29.0,17.0
2017-03-03:08,30.0,17.0
2017-03-03:09,38.0,18.0
2017-03-03:10,45.0,25.0
2017-03-03:11,48.0,22.0
2017-03-03:12,44.0,20.0
2017-03-03:13,47.0,20.0
2017-03-03:14,51.0,30.0
2017-03-03:15,54.0,32.0
2017-03-03:16,50.0,31.0
2017-03-03:17,56.0,32.0
2017-03-03:18,56.0,36.0
2017-03-03:19,53.0,29.0
2017-03-03:20,64.0,0.0
2017-03-03:21,60.0,44.0
2017-03-03:22,46.0,31.0
2017-03-03:23,49.0,29.0
2017-03-03:24,54.0,40.0
2017-03-04:01,62.0,44.0
2017-03-04:02,61.0,44.0
2017-03-04:03,64.0,48.0
2017-03-04:04,58.0,47.0
2017-03-04:05,59.0,46.0
2017-03-04:06,58.0,45.0
2017-03-04:07,59.0,47.0
2017-03-04:08,63.0,53.0
2017-03-04:09,69.0,54.0
2017-03-04:10,69.0,57.0
2017-03-04:11,72.0,55.0
2017-03-04:12,53.0,38.0
2017-03-04:13,44.0,26.0
2017-03-04:14,48.0,34.0
2017-03-04:15,48.0,34.0
2017-03-04:16,45.0,32.0
2017-03-04:17,62.0,40.0
2017-03-04:18,57.0,43.0
2017-03-04:19,49.0,33.0
2017-03-04:20,44.0,32.0
2017-03-04:21,47.0,34.0
2017-03-04:22,52.0,41.0
2017-03-04:23,58.0,43.0
2017-03-04:24,59.0,49.0
2017-03-05:01,69.0,54.0
2017-03-05:02,65.0,54.0
2017-03-05:03,66.0,56.0
2017-03-05:04,64.0,57.0
2017-03-05:05,63.0,55.0
2017-03-05:06,64.0,57.0
2017-03-05:07,66.0,54.0
2017-03-05:08,62.0,56.0
2017-03-05:09,66.0,58.0
2017-03-05:10,67.0,59.0
2017-03-05:11,75.0,59.0
2017-03-05:12,69.0,60.0
2017-03-05:13,66.0,54.0
2017-03-05:14,69.0,55.0
2017-03-05:15,74.0,55.0
2017-03-05:16,81.0,68.0
2017-03-05:17,91.0,74.0
2017-03-05:18,91.0,79.0
2017-03-05:19,93.0,76.0
2017-03-05:20,87.0,76.0
2017-03-05:21,78.0,65.0
2017-03-05:22,78.0,64.0
2017-03-05:23,65.0,52.0
2017-03-05:24,62.0,50.0
2017-03-06:01,63.0,53.0
2017-03-06:02,63.0,62.0
2017-03-06:03,52.0,49.0
2017-03-06:04,46.0,42.0
2017-03-06:05,44.0,38.0
2017-03-06:06,49.0,44.0
2017-03-06:07,54.0,44.0
2017-03-06:08,49.0,43.0
2017-03-06:09,44.0,37.0
2017-03-06:10,37.0,33.0
2017-03-06:11,36.0,26.0
2017-03-06:12,31.0,21.0
2017-03-06:13,31.0,17.0
2017-03-06:14,24.0,13.0
2017-03-06:15,29.0,12.0
2017-03-06:16,25.0,8.0
2017-03-06:17,27.0,9.0
2017-03-06:18,23.0,12.0
2017-03-06:19,25.0,11.0
2017-03-06:20,22.0,13.0
2017-03-06:21,22.0,14.0
2017-03-06:22,23.0,15.0
2017-03-06:23,28.0,17.0
2017-03-06:24,25.0,16.0
2017-03-07:01,29.0,21.0
2017-03-07:02,28.0,23.0
2017-03-07:03,32.0,26.0
2017-03-07:04,30.0,24.0
2017-03-07:05,34.0,23.0
2017-03-07:06,35.0,24.0
2017-03-07:07,32.0,20.0
2017-03-07:08,34.0,20.0
2017-03-07:09,38.0,20.0
2017-03-07:10,36.0,22.0
2017-03-07:11,40.0,23.0
2017-03-07:12,38.0,25.0
2017-03-07:13,38.0,23.0
2017-03-07:14,40.0,24.0
2017-03-07:15,39.0,21.0
2017-03-07:16,31.0,17.0
2017-03-07:17,29.0,15.0
2017-03-07:18,24.0,13.0
2017-03-07:19,25.0,11.0
2017-03-07:20,24.0,12.0
2017-03-07:21,30.0,18.0
2017-03-07:22,29.0,17.0
2017-03-07:23,28.0,15.0
2017-03-07:24,25.0,13.0
2017-03-08:01,27.0,13.0
2017-03-08:02,23.0,11.0
2017-03-08:03,26.0,12.0
2017-03-08:04,27.0,13.0
2017-03-08:05,31.0,16.0
2017-03-08:06,28.0,16.0
2017-03-08:07,32.0,17.0
2017-03-08:08,35.0,20.0
2017-03-08:09,43.0,20.0
2017-03-08:10,46.0,32.0
2017-03-08:11,53.0,33.0
2017-03-08:12,52.0,29.0
2017-03-08:13,62.0,22.0
2017-03-08:14,66.0,16.0
2017-03-08:15,62.0,16.0
2017-03-08:16,45.0,16.0
2017-03-08:17,43.0,13.0
2017-03-08:18,39.0,14.0
2017-03-08:19,44.0,16.0
2017-03-08:20,40.0,21.0
2017-03-08:21,41.0,21.0
2017-03-08:22,40.0,15.0
2017-03-08:23,47.0,14.0
2017-03-08:24,42.0,14.0
2017-03-09:01,42.0,16.0
2017-03-09:02,40.0,16.0
2017-03-09:03,40.0,17.0
2017-03-09:04,39.0,19.0
2017-03-09:05,40.0,22.0
2017-03-09:06,39.0,21.0
2017-03-09:07,47.0,24.0
2017-03-09:08,45.0,25.0
2017-03-09:09,49.0,22.0
2017-03-09:10,48.0,22.0
2017-03-09:11,46.0,20.0
2017-03-09:12,43.0,17.0
2017-03-09:13,50.0,20.0
2017-03-09:14,51.0,24.0
2017-03-09:15,56.0,25.0
2017-03-09:16,49.0,21.0
2017-03-09:17,50.0,18.0
2017-03-09:18,45.0,16.0
2017-03-09:19,45.0,11.0
2017-03-09:20,39.0,13.0
2017-03-09:21,39.0,13.0
2017-03-09:22,33.0,13.0
2017-03-09:23,33.0,17.0
