time,pm10,pm2.5
2016-12-01:01,32.0,0.0
2016-12-01:02,53.0,0.0
2016-12-01:03,58.0,0.0
2016-12-01:04,87.0,0.0
2016-12-01:05,103.0,0.0
2016-12-01:06,74.0,0.0
2016-12-01:07,75.0,0.0
2016-12-01:08,71.0,0.0
2016-12-01:09,67.0,0.0
2016-12-01:10,67.0,0.0
2016-12-01:11,56.0,0.0
2016-12-01:12,54.0,0.0
2016-12-01:13,48.0,0.0
2016-12-01:14,47.0,0.0
2016-12-01:15,34.0,0.0
2016-12-01:16,19.0,0.0
2016-12-01:17,38.0,0.0
2016-12-01:18,20.0,0.0
2016-12-01:19,25.0,0.0
2016-12-01:20,30.0,0.0
2016-12-01:21,32.0,0.0
2016-12-01:22,14.0,0.0
2016-12-01:23,26.0,0.0
2016-12-01:24,0.0,0.0
2016-12-02:01,38.0,0.0
2016-12-02:02,8.0,0.0
2016-12-02:03,18.0,0.0
2016-12-02:04,20.0,0.0
2016-12-02:05,14.0,0.0
2016-12-02:06,16.0,0.0
2016-12-02:07,20.0,0.0
2016-12-02:08,27.0,0.0
2016-12-02:09,31.0,0.0
2016-12-02:10,39.0,0.0
2016-12-02:11,42.0,0.0
2016-12-02:12,25.0,0.0
2016-12-02:13,21.0,0.0
2016-12-02:14,35.0,0.0
2016-12-02:15,20.0,0.0
2016-12-02:16,28.0,0.0
2016-12-02:17,40.0,0.0
2016-12-02:18,25.0,0.0
2016-12-02:19,20.0,0.0
2016-12-02:20,44.0,0.0
2016-12-02:21,38.0,0.0
2016-12-02:22,25.0,0.0
2016-12-02:23,18.0,0.0
2016-12-02:24,28.0,0.0
2016-12-03:01,21.0,0.0
2016-12-03:02,22.0,0.0
2016-12-03:03,23.0,0.0
2016-12-03:04,22.0,0.0
2016-12-03:05,29.0,0.0
2016-12-03:06,34.0,0.0
2016-12-03:07,21.0,0.0
2016-12-03:08,46.0,0.0
2016-12-03:09,37.0,0.0
2016-12-03:10,39.0,0.0
2016-12-03:11,50.0,0.0
2016-12-03:12,65.0,0.0
2016-12-03:13,53.0,0.0
2016-12-03:14,45.0,0.0
2016-12-03:15,41.0,0.0
2016-12-03:16,51.0,0.0
2016-12-03:17,64.0,0.0
2016-12-03:18,60.0,0.0
2016-12-03:19,63.0,0.0
2016-12-03:20,53.0,0.0
2016-12-03:21,48.0,0.0
2016-12-03:22,62.0,0.0
2016-12-03:23,46.0,0.0
2016-12-03:24,37.0,0.0
2016-12-04:01,39.0,0.0
2016-12-04:02,53.0,0.0
2016-12-04:03,56.0,0.0
2016-12-04:04,38.0,0.0
2016-12-04:05,54.0,0.0
2016-12-04:06,48.0,0.0
2016-12-04:07,65.0,0.0
2016-12-04:08,0.0,0.0
2016-12-04:09,63.0,0.0
2016-12-04:10,74.0,0.0
2016-12-04:11,53.0,0.0
2016-12-04:12,75.0,0.0
2016-12-04:13,88.0,0.0
2016-12-04:14,102.0,0.0
2016-12-04:15,72.0,0.0
2016-12-04:16,71.0,0.0
2016-12-04:17,93.0,0.0
2016-12-04:18,85.0,0.0
2016-12-04:19,69.0,0.0
2016-12-04:20,79.0,0.0
2016-12-04:21,85.0,0.0
2016-12-04:22,78.0,0.0
2016-12-04:23,78.0,0.0
2016-12-04:24,0.0,0.0
2016-12-05:01,85.0,0.0
2016-12-05:02,89.0,0.0
2016-12-05:03,85.0,0.0
2016-12-05:04,72.0,0.0
2016-12-05:05,80.0,0.0
2016-12-05:06,80.0,0.0
2016-12-05:07,60.0,0.0
2016-12-05:08,78.0,0.0
2016-12-05:09,105.0,0.0
2016-12-05:10,102.0,0.0
2016-12-05:11,91.0,0.0
2016-12-05:12,120.0,0.0
2016-12-05:13,119.0,0.0
2016-12-05:14,111.0,0.0
2016-12-05:15,111.0,0.0
2016-12-05:16,91.0,0.0
2016-12-05:17,104.0,0.0
2016-12-05:18,69.0,0.0
2016-12-05:19,53.0,0.0
2016-12-05:20,41.0,0.0
2016-12-05:21,43.0,0.0
2016-12-05:22,31.0,0.0
2016-12-05:23,32.0,0.0
2016-12-05:24,20.0,0.0
2016-12-06:01,22.0,0.0
2016-12-06:02,33.0,0.0
2016-12-06:03,25.0,0.0
2016-12-06:04,27.0,0.0
2016-12-06:05,26.0,0.0
2016-12-06:06,30.0,0.0
