time,pm10,pm2.5
2019-06-01:01,20.0,12.0
2019-06-01:02,20.0,12.0
2019-06-01:03,19.0,12.0
2019-06-01:04,23.0,13.0
2019-06-01:05,25.0,12.0
2019-06-01:06,27.0,19.0
2019-06-01:07,28.0,21.0
2019-06-01:08,27.0,19.0
2019-06-01:09,28.0,20.0
2019-06-01:10,33.0,22.0
2019-06-01:11,38.0,23.0
2019-06-01:12,39.0,26.0
2019-06-01:13,46.0,30.0
2019-06-01:14,32.0,23.0
2019-06-01:15,29.0,16.0
2019-06-01:16,31.0,18.0
2019-06-01:17,29.0,19.0
2019-06-01:18,27.0,16.0
2019-06-01:19,30.0,19.0
2019-06-01:20,32.0,20.0
2019-06-01:21,28.0,19.0
2019-06-01:22,22.0,14.0
2019-06-01:23,22.0,14.0
2019-06-01:24,24.0,15.0
2019-06-02:01,28.0,17.0
2019-06-02:02,23.0,16.0
2019-06-02:03,26.0,17.0
2019-06-02:04,24.0,16.0
2019-06-02:05,23.0,16.0
2019-06-02:06,23.0,16.0
2019-06-02:07,25.0,16.0
2019-06-02:08,24.0,15.0
2019-06-02:09,28.0,18.0
2019-06-02:10,27.0,15.0
2019-06-02:11,23.0,17.0
2019-06-02:12,30.0,19.0
2019-06-02:13,31.0,18.0
2019-06-02:14,38.0,19.0
2019-06-02:15,51.0,31.0
2019-06-02:16,43.0,25.0
2019-06-02:17,41.0,24.0
2019-06-02:18,41.0,17.0
2019-06-02:19,41.0,16.0
2019-06-02:20,34.0,17.0
2019-06-02:21,33.0,14.0
2019-06-02:22,26.0,14.0
2019-06-02:23,29.0,14.0
2019-06-02:24,30.0,15.0
2019-06-03:01,29.0,17.0
2019-06-03:02,26.0,15.0
2019-06-03:03,27.0,17.0
2019-06-03:04,26.0,16.0
2019-06-03:05,27.0,18.0
2019-06-03:06,28.0,18.0
2019-06-03:07,29.0,18.0
2019-06-03:08,29.0,16.0
2019-06-03:09,29.0,15.0
2019-06-03:10,31.0,17.0
2019-06-03:11,30.0,16.0
2019-06-03:12,32.0,16.0
2019-06-03:13,44.0,17.0
2019-06-03:14,35.0,14.0
2019-06-03:15,38.0,11.0
2019-06-03:16,35.0,16.0
2019-06-03:17,38.0,19.0
2019-06-03:18,40.0,24.0
2019-06-03:19,45.0,27.0
2019-06-03:20,46.0,28.0
2019-06-03:21,48.0,30.0
2019-06-03:22,42.0,23.0
2019-06-03:23,28.0,16.0
2019-06-03:24,22.0,14.0
2019-06-04:01,21.0,16.0
2019-06-04:02,22.0,14.0
2019-06-04:03,23.0,17.0
2019-06-04:04,28.0,16.0
2019-06-04:05,24.0,16.0
2019-06-04:06,24.0,16.0
2019-06-04:07,29.0,17.0
2019-06-04:08,28.0,16.0
2019-06-04:09,21.0,14.0
2019-06-04:10,16.0,10.0
2019-06-04:11,15.0,12.0
2019-06-04:12,21.0,13.0
2019-06-04:13,24.0,13.0
2019-06-04:14,21.0,12.0
2019-06-04:15,19.0,10.0
2019-06-04:16,20.0,13.0
2019-06-04:17,32.0,21.0
2019-06-04:18,32.0,20.0
2019-06-04:19,27.0,19.0
2019-06-04:20,43.0,21.0
2019-06-04:21,46.0,22.0
2019-06-04:22,25.0,17.0
2019-06-04:23,25.0,17.0
2019-06-04:24,21.0,16.0
2019-06-05:01,23.0,13.0
2019-06-05:02,22.0,14.0
2019-06-05:03,22.0,17.0
2019-06-05:04,19.0,13.0
2019-06-05:05,17.0,12.0
2019-06-05:06,24.0,15.0
2019-06-05:07,25.0,16.0
2019-06-05:08,26.0,15.0
2019-06-05:09,34.0,20.0
2019-06-05:10,32.0,18.0
2019-06-05:11,35.0,22.0
2019-06-05:12,38.0,21.0
2019-06-05:13,46.0,24.0
2019-06-05:14,72.0,26.0
2019-06-05:15,65.0,36.0
2019-06-05:16,68.0,40.0
2019-06-05:17,57.0,33.0
2019-06-05:18,53.0,31.0
2019-06-05:19,52.0,34.0
2019-06-05:20,55.0,34.0
2019-06-05:21,59.0,39.0
2019-06-05:22,56.0,35.0
2019-06-05:23,40.0,21.0
2019-06-05:24,30.0,17.0
2019-06-06:01,30.0,16.0
2019-06-06:02,21.0,11.0
2019-06-06:03,18.0,10.0
2019-06-06:04,21.0,12.0
2019-06-06:05,27.0,14.0
2019-06-06:06,31.0,17.0
2019-06-06:07,41.0,24.0
2019-06-06:08,41.0,22.0
2019-06-06:09,55.0,30.0
2019-06-06:10,54.0,27.0
2019-06-06:11,61.0,31.0
2019-06-06:12,60.0,32.0
2019-06-06:13,61.0,32.0
2019-06-06:14,58.0,32.0
2019-06-06:15,64.0,37.0
2019-06-06:16,62.0,37.0
2019-06-06:17,70.0,37.0
2019-06-06:18,63.0,37.0
2019-06-06:19,68.0,41.0
2019-06-06:20,53.0,36.0
2019-06-06:21,45.0,31.0
2019-06-06:22,36.0,23.0
2019-06-06:23,32.0,21.0
2019-06-06:24,26.0,18.0
2019-06-07:01,23.0,14.0
2019-06-07:02,24.0,14.0
2019-06-07:03,24.0,14.0
2019-06-07:04,16.0,10.0
2019-06-07:05,11.0,8.0
2019-06-07:06,9.0,5.0
2019-06-07:07,10.0,6.0
2019-06-07:08,6.0,4.0
2019-06-07:09,9.0,4.0
2019-06-07:10,7.0,4.0
2019-06-07:11,9.0,5.0
2019-06-07:12,10.0,6.0
2019-06-07:13,9.0,4.0
2019-06-07:14,5.0,2.0
2019-06-07:15,5.0,1.0
2019-06-07:16,9.0,4.0
2019-06-07:17,6.0,2.0
2019-06-07:18,6.0,3.0
2019-06-07:19,5.0,4.0
2019-06-07:20,12.0,7.0
2019-06-07:21,10.0,6.0
2019-06-07:22,10.0,6.0
2019-06-07:23,11.0,5.0
2019-06-07:24,12.0,7.0
2019-06-08:01,15.0,8.0
2019-06-08:02,14.0,10.0
2019-06-08:03,16.0,11.0
2019-06-08:04,17.0,10.0
2019-06-08:05,17.0,10.0
2019-06-08:06,16.0,10.0
2019-06-08:07,19.0,10.0
2019-06-08:08,20.0,8.0
2019-06-08:09,22.0,11.0
2019-06-08:10,16.0,9.0
2019-06-08:11,15.0,8.0
2019-06-08:12,18.0,10.0
2019-06-08:13,21.0,9.0
2019-06-08:14,18.0,10.0
2019-06-08:15,18.0,11.0
2019-06-08:16,28.0,16.0
2019-06-08:17,37.0,20.0
2019-06-08:18,34.0,21.0
2019-06-08:19,27.0,18.0
2019-06-08:20,20.0,14.0
2019-06-08:21,22.0,15.0
2019-06-08:22,24.0,16.0
2019-06-08:23,27.0,17.0
2019-06-08:24,28.0,18.0
2019-06-09:01,32.0,20.0
2019-06-09:02,32.0,22.0
2019-06-09:03,41.0,26.0
2019-06-09:04,33.0,22.0
2019-06-09:05,30.0,22.0
2019-06-09:06,29.0,20.0
2019-06-09:07,28.0,20.0
2019-06-09:08,28.0,20.0
2019-06-09:09,33.0,23.0
2019-06-09:10,25.0,18.0
2019-06-09:11,26.0,19.0
2019-06-09:12,26.0,19.0
2019-06-09:13,27.0,20.0
2019-06-09:14,31.0,23.0
2019-06-09:15,30.0,24.0
2019-06-09:16,29.0,22.0
2019-06-09:17,28.0,20.0
2019-06-09:18,23.0,17.0
2019-06-09:19,24.0,17.0
2019-06-09:20,17.0,13.0
2019-06-09:21,18.0,12.0
2019-06-09:22,13.0,8.0
2019-06-09:23,10.0,6.0
2019-06-09:24,13.0,7.0
2019-06-10:01,9.0,4.0
2019-06-10:02,12.0,6.0
2019-06-10:03,13.0,5.0
2019-06-10:04,7.0,5.0
2019-06-10:05,8.0,4.0
2019-06-10:06,5.0,4.0
2019-06-10:07,7.0,3.0
2019-06-10:08,6.0,3.0
2019-06-10:09,7.0,3.0
2019-06-10:10,8.0,4.0
2019-06-10:11,10.0,2.0
2019-06-10:12,9.0,3.0
2019-06-10:13,9.0,4.0
2019-06-10:14,0.0,0.0
2019-06-10:15,0.0,0.0
2019-06-10:16,12.0,7.0
2019-06-10:17,13.0,9.0
2019-06-10:18,11.0,6.0
2019-06-10:19,13.0,7.0
2019-06-10:20,11.0,6.0
2019-06-10:21,11.0,6.0
2019-06-10:22,10.0,5.0
2019-06-10:23,8.0,5.0
2019-06-10:24,7.0,3.0
2019-06-11:01,10.0,3.0
2019-06-11:02,7.0,4.0
2019-06-11:03,8.0,4.0
2019-06-11:04,8.0,4.0
2019-06-11:05,9.0,3.0
2019-06-11:06,7.0,4.0
2019-06-11:07,8.0,4.0
2019-06-11:08,7.0,3.0
