time,pm10,pm2.5
2017-10-01:01,52.0,34.0
2017-10-01:02,50.0,32.0
2017-10-01:03,52.0,33.0
2017-10-01:04,50.0,32.0
2017-10-01:05,48.0,30.0
2017-10-01:06,43.0,29.0
2017-10-01:07,42.0,26.0
2017-10-01:08,36.0,25.0
2017-10-01:09,36.0,25.0
2017-10-01:10,33.0,22.0
2017-10-01:11,34.0,22.0
2017-10-01:12,34.0,21.0
2017-10-01:13,37.0,21.0
2017-10-01:14,31.0,20.0
2017-10-01:15,30.0,18.0
2017-10-01:16,33.0,21.0
2017-10-01:17,33.0,23.0
2017-10-01:18,27.0,17.0
2017-10-01:19,26.0,16.0
2017-10-01:20,24.0,16.0
2017-10-01:21,24.0,16.0
2017-10-01:22,23.0,16.0
2017-10-01:23,22.0,13.0
2017-10-01:24,16.0,12.0
2017-10-02:01,14.0,10.0
2017-10-02:02,10.0,8.0
2017-10-02:03,9.0,6.0
2017-10-02:04,7.0,5.0
2017-10-02:05,9.0,7.0
2017-10-02:06,6.0,5.0
2017-10-02:07,11.0,8.0
2017-10-02:08,12.0,9.0
2017-10-02:09,15.0,10.0
2017-10-02:10,12.0,6.0
2017-10-02:11,12.0,8.0
2017-10-02:12,9.0,5.0
2017-10-02:13,11.0,7.0
2017-10-02:14,15.0,11.0
2017-10-02:15,16.0,10.0
2017-10-02:16,14.0,8.0
2017-10-02:17,13.0,9.0
2017-10-02:18,18.0,10.0
2017-10-02:19,28.0,15.0
2017-10-02:20,25.0,15.0
2017-10-02:21,37.0,20.0
2017-10-02:22,44.0,18.0
2017-10-02:23,45.0,18.0
2017-10-02:24,44.0,18.0
2017-10-03:01,43.0,17.0
2017-10-03:02,39.0,13.0
2017-10-03:03,36.0,14.0
2017-10-03:04,34.0,11.0
2017-10-03:05,32.0,11.0
2017-10-03:06,29.0,9.0
2017-10-03:07,29.0,10.0
2017-10-03:08,27.0,8.0
2017-10-03:09,28.0,8.0
2017-10-03:10,26.0,6.0
2017-10-03:11,31.0,10.0
2017-10-03:12,30.0,11.0
2017-10-03:13,30.0,10.0
2017-10-03:14,31.0,12.0
2017-10-03:15,27.0,12.0
2017-10-03:16,29.0,12.0
2017-10-03:17,28.0,10.0
2017-10-03:18,30.0,11.0
2017-10-03:19,41.0,14.0
2017-10-03:20,41.0,13.0
2017-10-03:21,36.0,13.0
2017-10-03:22,38.0,14.0
2017-10-03:23,42.0,17.0
2017-10-03:24,34.0,13.0
2017-10-04:01,31.0,11.0
2017-10-04:02,27.0,10.0
2017-10-04:03,27.0,10.0
2017-10-04:04,27.0,9.0
2017-10-04:05,27.0,9.0
2017-10-04:06,26.0,10.0
2017-10-04:07,21.0,9.0
2017-10-04:08,21.0,9.0
2017-10-04:09,17.0,8.0
2017-10-04:10,14.0,5.0
2017-10-04:11,16.0,8.0
2017-10-04:12,16.0,7.0
2017-10-04:13,18.0,8.0
2017-10-04:14,20.0,10.0
2017-10-04:15,22.0,11.0
2017-10-04:16,18.0,8.0
2017-10-04:17,20.0,9.0
2017-10-04:18,18.0,9.0
2017-10-04:19,17.0,7.0
2017-10-04:20,16.0,8.0
2017-10-04:21,18.0,8.0
2017-10-04:22,16.0,9.0
2017-10-04:23,18.0,11.0
2017-10-04:24,18.0,9.0
2017-10-05:01,18.0,9.0
2017-10-05:02,14.0,8.0
2017-10-05:03,13.0,8.0
2017-10-05:04,11.0,7.0
2017-10-05:05,10.0,9.0
2017-10-05:06,10.0,6.0
2017-10-05:07,11.0,7.0
2017-10-05:08,11.0,6.0
2017-10-05:09,14.0,6.0
2017-10-05:10,8.0,4.0
2017-10-05:11,12.0,6.0
2017-10-05:12,14.0,6.0
2017-10-05:13,16.0,8.0
2017-10-05:14,16.0,9.0
2017-10-05:15,19.0,9.0
2017-10-05:16,19.0,10.0
2017-10-05:17,22.0,10.0
2017-10-05:18,18.0,10.0
2017-10-05:19,18.0,9.0
2017-10-05:20,18.0,10.0
2017-10-05:21,18.0,11.0
2017-10-05:22,18.0,9.0
2017-10-05:23,16.0,11.0
2017-10-05:24,14.0,8.0
2017-10-06:01,14.0,8.0
2017-10-06:02,11.0,6.0
2017-10-06:03,12.0,6.0
2017-10-06:04,13.0,8.0
2017-10-06:05,13.0,9.0
2017-10-06:06,11.0,7.0
2017-10-06:07,15.0,8.0
2017-10-06:08,14.0,7.0
2017-10-06:09,16.0,10.0
2017-10-06:10,12.0,5.0
2017-10-06:11,15.0,8.0
2017-10-06:12,13.0,7.0
2017-10-06:13,13.0,7.0
2017-10-06:14,16.0,10.0
2017-10-06:15,14.0,9.0
2017-10-06:16,10.0,6.0
2017-10-06:17,9.0,4.0
2017-10-06:18,12.0,6.0
2017-10-06:19,15.0,6.0
2017-10-06:20,12.0,8.0
2017-10-06:21,12.0,8.0
2017-10-06:22,8.0,4.0
2017-10-06:23,12.0,6.0
2017-10-06:24,7.0,5.0
2017-10-07:01,5.0,4.0
2017-10-07:02,5.0,3.0
2017-10-07:03,5.0,3.0
2017-10-07:04,5.0,3.0
2017-10-07:05,5.0,4.0
2017-10-07:06,5.0,3.0
2017-10-07:07,6.0,3.0
2017-10-07:08,5.0,3.0
2017-10-07:09,8.0,3.0
2017-10-07:10,6.0,3.0
2017-10-07:11,5.0,3.0
2017-10-07:12,5.0,3.0
2017-10-07:13,8.0,6.0
2017-10-07:14,10.0,6.0
2017-10-07:15,9.0,4.0
2017-10-07:16,7.0,4.0
2017-10-07:17,7.0,7.0
2017-10-07:18,9.0,5.0
2017-10-07:19,9.0,9.0
2017-10-07:20,17.0,10.0
2017-10-07:21,16.0,10.0
2017-10-07:22,16.0,10.0
2017-10-07:23,17.0,13.0
2017-10-07:24,15.0,9.0
2017-10-08:01,13.0,9.0
2017-10-08:02,14.0,9.0
2017-10-08:03,18.0,10.0
2017-10-08:04,14.0,9.0
2017-10-08:05,13.0,9.0
2017-10-08:06,11.0,8.0
2017-10-08:07,14.0,11.0
2017-10-08:08,14.0,8.0
2017-10-08:09,14.0,9.0
2017-10-08:10,11.0,6.0
2017-10-08:11,13.0,11.0
2017-10-08:12,12.0,8.0
2017-10-08:13,16.0,11.0
2017-10-08:14,21.0,15.0
2017-10-08:15,27.0,20.0
2017-10-08:16,24.0,19.0
2017-10-08:17,27.0,17.0
2017-10-08:18,25.0,17.0
2017-10-08:19,28.0,17.0
2017-10-08:20,23.0,16.0
2017-10-08:21,23.0,19.0
2017-10-08:22,23.0,17.0
2017-10-08:23,23.0,18.0
2017-10-08:24,23.0,17.0
2017-10-09:01,26.0,21.0
2017-10-09:02,28.0,19.0
2017-10-09:03,29.0,22.0
2017-10-09:04,29.0,20.0
2017-10-09:05,31.0,20.0
2017-10-09:06,22.0,16.0
2017-10-09:07,21.0,16.0
2017-10-09:08,20.0,14.0
2017-10-09:09,22.0,13.0
2017-10-09:10,20.0,14.0
2017-10-09:11,21.0,17.0
2017-10-09:12,22.0,16.0
2017-10-09:13,27.0,17.0
2017-10-09:14,28.0,19.0
2017-10-09:15,32.0,19.0
