time,pm10,pm2.5
2017-04-01:01,19.0,0.0
2017-04-01:02,16.0,0.0
2017-04-01:03,17.0,0.0
2017-04-01:04,15.0,0.0
2017-04-01:05,18.0,0.0
2017-04-01:06,19.0,0.0
2017-04-01:07,22.0,0.0
2017-04-01:08,29.0,0.0
2017-04-01:09,27.0,0.0
2017-04-01:10,30.0,0.0
2017-04-01:11,30.0,0.0
2017-04-01:12,27.0,0.0
2017-04-01:13,27.0,0.0
2017-04-01:14,21.0,0.0
2017-04-01:15,23.0,0.0
2017-04-01:16,28.0,0.0
2017-04-01:17,18.0,0.0
2017-04-01:18,35.0,0.0
2017-04-01:19,41.0,0.0
2017-04-01:20,45.0,0.0
2017-04-01:21,48.0,0.0
2017-04-01:22,25.0,0.0
2017-04-01:23,28.0,0.0
2017-04-01:24,26.0,0.0
2017-04-02:01,27.0,0.0
2017-04-02:02,24.0,0.0
2017-04-02:03,26.0,0.0
2017-04-02:04,26.0,0.0
2017-04-02:05,29.0,0.0
2017-04-02:06,35.0,0.0
2017-04-02:07,40.0,0.0
2017-04-02:08,42.0,0.0
2017-04-02:09,41.0,0.0
2017-04-02:10,47.0,0.0
2017-04-02:11,47.0,0.0
2017-04-02:12,44.0,0.0
2017-04-02:13,41.0,0.0
2017-04-02:14,50.0,0.0
2017-04-02:15,54.0,0.0
2017-04-02:16,54.0,0.0
2017-04-02:17,61.0,0.0
2017-04-02:18,72.0,0.0
2017-04-02:19,69.0,0.0
2017-04-02:20,66.0,0.0
2017-04-02:21,70.0,0.0
2017-04-02:22,76.0,0.0
2017-04-02:23,76.0,0.0
2017-04-02:24,76.0,0.0
2017-04-03:01,67.0,0.0
2017-04-03:02,59.0,0.0
2017-04-03:03,65.0,0.0
2017-04-03:04,63.0,0.0
2017-04-03:05,69.0,0.0
2017-04-03:06,66.0,0.0
2017-04-03:07,80.0,0.0
2017-04-03:08,90.0,0.0
2017-04-03:09,100.0,0.0
2017-04-03:10,98.0,0.0
2017-04-03:11,105.0,0.0
2017-04-03:12,105.0,0.0
2017-04-03:13,99.0,0.0
2017-04-03:14,86.0,0.0
2017-04-03:15,76.0,0.0
2017-04-03:16,70.0,0.0
2017-04-03:17,85.0,0.0
2017-04-03:18,91.0,0.0
2017-04-03:19,81.0,0.0
2017-04-03:20,83.0,0.0
2017-04-03:21,78.0,0.0
2017-04-03:22,85.0,0.0
2017-04-03:23,79.0,0.0
2017-04-03:24,87.0,0.0
2017-04-04:01,82.0,0.0
2017-04-04:02,72.0,0.0
2017-04-04:03,73.0,0.0
2017-04-04:04,76.0,0.0
2017-04-04:05,82.0,0.0
2017-04-04:06,80.0,0.0
2017-04-04:07,90.0,0.0
2017-04-04:08,85.0,0.0
2017-04-04:09,84.0,0.0
2017-04-04:10,82.0,0.0
2017-04-04:11,80.0,0.0
2017-04-04:12,90.0,0.0
2017-04-04:13,88.0,0.0
2017-04-04:14,87.0,0.0
2017-04-04:15,79.0,0.0
2017-04-04:16,69.0,0.0
2017-04-04:17,73.0,0.0
2017-04-04:18,68.0,0.0
2017-04-04:19,70.0,0.0
2017-04-04:20,68.0,0.0
2017-04-04:21,73.0,0.0
2017-04-04:22,76.0,0.0
2017-04-04:23,69.0,0.0
2017-04-04:24,66.0,0.0
