time,pm10,pm2.5
2018-06-01:01,29.0,19.0
2018-06-01:02,30.0,20.0
2018-06-01:03,31.0,18.0
2018-06-01:04,32.0,21.0
2018-06-01:05,34.0,23.0
2018-06-01:06,32.0,21.0
2018-06-01:07,33.0,22.0
2018-06-01:08,34.0,21.0
2018-06-01:09,38.0,26.0
2018-06-01:10,40.0,22.0
2018-06-01:11,36.0,19.0
2018-06-01:12,40.0,23.0
2018-06-01:13,37.0,22.0
2018-06-01:14,24.0,14.0
2018-06-01:15,29.0,15.0
2018-06-01:16,29.0,18.0
2018-06-01:17,34.0,20.0
2018-06-01:18,38.0,22.0
2018-06-01:19,37.0,24.0
2018-06-01:20,35.0,19.0
2018-06-01:21,28.0,12.0
2018-06-01:22,30.0,17.0
2018-06-01:23,38.0,23.0
2018-06-01:24,39.0,24.0
2018-06-02:01,39.0,22.0
2018-06-02:02,37.0,23.0
2018-06-02:03,40.0,25.0
2018-06-02:04,39.0,25.0
2018-06-02:05,41.0,27.0
2018-06-02:06,40.0,26.0
2018-06-02:07,42.0,24.0
2018-06-02:08,40.0,26.0
2018-06-02:09,40.0,29.0
2018-06-02:10,45.0,29.0
2018-06-02:11,39.0,20.0
2018-06-02:12,39.0,23.0
2018-06-02:13,35.0,20.0
2018-06-02:14,29.0,13.0
2018-06-02:15,31.0,17.0
2018-06-02:16,28.0,16.0
2018-06-02:17,25.0,11.0
2018-06-02:18,29.0,15.0
2018-06-02:19,27.0,14.0
2018-06-02:20,22.0,10.0
2018-06-02:21,16.0,8.0
2018-06-02:22,20.0,12.0
2018-06-02:23,23.0,15.0
2018-06-02:24,25.0,17.0
2018-06-03:01,24.0,17.0
2018-06-03:02,27.0,21.0
2018-06-03:03,28.0,21.0
2018-06-03:04,29.0,21.0
2018-06-03:05,26.0,21.0
2018-06-03:06,28.0,20.0
2018-06-03:07,27.0,17.0
2018-06-03:08,24.0,15.0
2018-06-03:09,25.0,19.0
2018-06-03:10,29.0,21.0
2018-06-03:11,29.0,15.0
2018-06-03:12,22.0,13.0
2018-06-03:13,21.0,13.0
2018-06-03:14,24.0,17.0
2018-06-03:15,20.0,17.0
2018-06-03:16,24.0,19.0
2018-06-03:17,25.0,21.0
2018-06-03:18,28.0,20.0
2018-06-03:19,28.0,19.0
2018-06-03:20,24.0,19.0
2018-06-03:21,26.0,16.0
2018-06-03:22,29.0,19.0
2018-06-03:23,27.0,19.0
2018-06-03:24,27.0,20.0
2018-06-04:01,27.0,19.0
2018-06-04:02,25.0,20.0
2018-06-04:03,29.0,21.0
2018-06-04:04,30.0,22.0
2018-06-04:05,30.0,23.0
2018-06-04:06,32.0,23.0
2018-06-04:07,32.0,24.0
2018-06-04:08,32.0,22.0
2018-06-04:09,40.0,23.0
2018-06-04:10,39.0,26.0
2018-06-04:11,42.0,28.0
2018-06-04:12,38.0,24.0
2018-06-04:13,46.0,32.0
2018-06-04:14,44.0,32.0
2018-06-04:15,38.0,26.0
2018-06-04:16,40.0,30.0
2018-06-04:17,33.0,24.0
2018-06-04:18,35.0,25.0
2018-06-04:19,36.0,24.0
2018-06-04:20,30.0,22.0
2018-06-04:21,25.0,20.0
2018-06-04:22,30.0,22.0
2018-06-04:23,37.0,24.0
2018-06-04:24,36.0,26.0
2018-06-05:01,32.0,24.0
2018-06-05:02,27.0,23.0
2018-06-05:03,28.0,25.0
2018-06-05:04,29.0,22.0
2018-06-05:05,30.0,23.0
2018-06-05:06,29.0,24.0
2018-06-05:07,28.0,20.0
2018-06-05:08,28.0,23.0
2018-06-05:09,32.0,27.0
2018-06-05:10,35.0,25.0
2018-06-05:11,32.0,22.0
2018-06-05:12,35.0,25.0
2018-06-05:13,0.0,0.0
2018-06-05:14,0.0,0.0
2018-06-05:15,0.0,0.0
2018-06-05:16,41.0,31.0
2018-06-05:17,61.0,52.0
2018-06-05:18,59.0,51.0
2018-06-05:19,54.0,44.0
2018-06-05:20,46.0,36.0
2018-06-05:21,39.0,32.0
2018-06-05:22,39.0,31.0
2018-06-05:23,37.0,28.0
2018-06-05:24,32.0,26.0
2018-06-06:01,29.0,26.0
2018-06-06:02,30.0,24.0
2018-06-06:03,31.0,28.0
2018-06-06:04,27.0,24.0
2018-06-06:05,26.0,24.0
2018-06-06:06,25.0,21.0
2018-06-06:07,25.0,19.0
2018-06-06:08,27.0,23.0
2018-06-06:09,36.0,30.0
2018-06-06:10,41.0,33.0
2018-06-06:11,37.0,32.0
2018-06-06:12,43.0,36.0
2018-06-06:13,45.0,36.0
2018-06-06:14,46.0,39.0
2018-06-06:15,56.0,48.0
2018-06-06:16,60.0,52.0
2018-06-06:17,55.0,47.0
2018-06-06:18,45.0,39.0
2018-06-06:19,35.0,28.0
2018-06-06:20,30.0,23.0
2018-06-06:21,31.0,22.0
2018-06-06:22,36.0,26.0
2018-06-06:23,32.0,28.0
2018-06-06:24,32.0,26.0
2018-06-07:01,27.0,25.0
2018-06-07:02,28.0,24.0
2018-06-07:03,36.0,27.0
2018-06-07:04,38.0,29.0
2018-06-07:05,41.0,31.0
2018-06-07:06,40.0,30.0
2018-06-07:07,34.0,29.0
2018-06-07:08,39.0,31.0
2018-06-07:09,47.0,39.0
2018-06-07:10,42.0,34.0
2018-06-07:11,50.0,38.0
2018-06-07:12,52.0,38.0
2018-06-07:13,39.0,28.0
2018-06-07:14,33.0,25.0
2018-06-07:15,32.0,25.0
2018-06-07:16,37.0,27.0
2018-06-07:17,49.0,39.0
2018-06-07:18,51.0,38.0
2018-06-07:19,49.0,34.0
2018-06-07:20,30.0,19.0
2018-06-07:21,26.0,18.0
2018-06-07:22,30.0,23.0
2018-06-07:23,33.0,26.0
2018-06-07:24,37.0,26.0
2018-06-08:01,31.0,23.0
2018-06-08:02,16.0,15.0
2018-06-08:03,20.0,18.0
2018-06-08:04,17.0,16.0
2018-06-08:05,17.0,16.0
2018-06-08:06,16.0,16.0
2018-06-08:07,14.0,14.0
2018-06-08:08,13.0,12.0
2018-06-08:09,15.0,15.0
2018-06-08:10,21.0,17.0
2018-06-08:11,24.0,15.0
2018-06-08:12,21.0,15.0
2018-06-08:13,24.0,19.0
2018-06-08:14,32.0,22.0
2018-06-08:15,33.0,21.0
2018-06-08:16,30.0,24.0
2018-06-08:17,30.0,20.0
2018-06-08:18,31.0,24.0
2018-06-08:19,35.0,25.0
2018-06-08:20,34.0,23.0
2018-06-08:21,37.0,26.0
2018-06-08:22,38.0,26.0
2018-06-08:23,39.0,28.0
2018-06-08:24,42.0,29.0
2018-06-09:01,45.0,30.0
2018-06-09:02,44.0,30.0
2018-06-09:03,47.0,34.0
2018-06-09:04,39.0,29.0
2018-06-09:05,39.0,28.0
2018-06-09:06,40.0,29.0
2018-06-09:07,36.0,30.0
2018-06-09:08,31.0,24.0
2018-06-09:09,31.0,24.0
2018-06-09:10,32.0,23.0
2018-06-09:11,31.0,28.0
2018-06-09:12,28.0,21.0
2018-06-09:13,29.0,20.0
2018-06-09:14,28.0,19.0
2018-06-09:15,25.0,17.0
2018-06-09:16,32.0,24.0
2018-06-09:17,31.0,24.0
2018-06-09:18,25.0,18.0
2018-06-09:19,15.0,8.0
2018-06-09:20,12.0,3.0
2018-06-09:21,10.0,6.0
2018-06-09:22,10.0,6.0
2018-06-09:23,8.0,4.0
2018-06-09:24,11.0,4.0
2018-06-10:01,20.0,5.0
2018-06-10:02,5.0,4.0
2018-06-10:03,3.0,4.0
2018-06-10:04,3.0,2.0
2018-06-10:05,3.0,3.0
2018-06-10:06,3.0,1.0
2018-06-10:07,3.0,4.0
2018-06-10:08,3.0,1.0
2018-06-10:09,3.0,3.0
2018-06-10:10,4.0,3.0
2018-06-10:11,3.0,1.0
2018-06-10:12,3.0,1.0
2018-06-10:13,3.0,5.0
2018-06-10:14,6.0,5.0
2018-06-10:15,3.0,3.0
2018-06-10:16,5.0,4.0
2018-06-10:17,7.0,4.0
2018-06-10:18,5.0,4.0
2018-06-10:19,5.0,5.0
2018-06-10:20,4.0,2.0
2018-06-10:21,3.0,4.0
2018-06-10:22,3.0,1.0
2018-06-10:23,3.0,1.0
2018-06-10:24,3.0,1.0
2018-06-11:01,3.0,1.0
