time,pm10,pm2.5
2016-03-01:01,55.0,0.0
2016-03-01:02,49.0,0.0
2016-03-01:03,40.0,0.0
2016-03-01:04,47.0,0.0
2016-03-01:05,47.0,0.0
2016-03-01:06,47.0,0.0
2016-03-01:07,43.0,0.0
2016-03-01:08,52.0,0.0
2016-03-01:09,50.0,0.0
2016-03-01:10,50.0,0.0
2016-03-01:11,24.0,0.0
2016-03-01:12,53.0,0.0
2016-03-01:13,59.0,0.0
2016-03-01:14,55.0,0.0
2016-03-01:15,70.0,0.0
2016-03-01:16,74.0,0.0
2016-03-01:17,74.0,0.0
2016-03-01:18,73.0,0.0
2016-03-01:19,62.0,0.0
2016-03-01:20,44.0,0.0
2016-03-01:21,32.0,0.0
2016-03-01:22,41.0,0.0
2016-03-01:23,40.0,0.0
2016-03-01:24,43.0,0.0
2016-03-02:01,38.0,0.0
2016-03-02:02,36.0,0.0
2016-03-02:03,32.0,0.0
2016-03-02:04,30.0,0.0
2016-03-02:05,39.0,0.0
2016-03-02:06,29.0,0.0
2016-03-02:07,39.0,0.0
2016-03-02:08,34.0,0.0
2016-03-02:09,40.0,0.0
2016-03-02:10,50.0,0.0
2016-03-02:11,57.0,0.0
2016-03-02:12,70.0,0.0
2016-03-02:13,76.0,0.0
2016-03-02:14,73.0,0.0
2016-03-02:15,74.0,0.0
2016-03-02:16,77.0,0.0
2016-03-02:17,96.0,0.0
2016-03-02:18,90.0,0.0
2016-03-02:19,71.0,0.0
2016-03-02:20,58.0,0.0
2016-03-02:21,64.0,0.0
2016-03-02:22,55.0,0.0
2016-03-02:23,49.0,0.0
2016-03-02:24,42.0,0.0
2016-03-03:01,42.0,0.0
2016-03-03:02,35.0,0.0
2016-03-03:03,40.0,0.0
2016-03-03:04,34.0,0.0
2016-03-03:05,46.0,0.0
2016-03-03:06,42.0,0.0
2016-03-03:07,46.0,0.0
2016-03-03:08,38.0,0.0
2016-03-03:09,48.0,0.0
2016-03-03:10,53.0,0.0
2016-03-03:11,71.0,0.0
2016-03-03:12,85.0,0.0
2016-03-03:13,91.0,0.0
2016-03-03:14,94.0,0.0
2016-03-03:15,109.0,0.0
2016-03-03:16,124.0,0.0
2016-03-03:17,108.0,0.0
2016-03-03:18,116.0,0.0
2016-03-03:19,118.0,0.0
2016-03-03:20,122.0,0.0
2016-03-03:21,142.0,0.0
2016-03-03:22,133.0,0.0
2016-03-03:23,119.0,0.0
2016-03-03:24,113.0,0.0
2016-03-04:01,113.0,0.0
2016-03-04:02,106.0,0.0
2016-03-04:03,96.0,0.0
2016-03-04:04,93.0,0.0
2016-03-04:05,92.0,0.0
2016-03-04:06,115.0,0.0
2016-03-04:07,104.0,0.0
2016-03-04:08,93.0,0.0
2016-03-04:09,101.0,0.0
2016-03-04:10,99.0,0.0
2016-03-04:11,91.0,0.0
2016-03-04:12,0.0,0.0
2016-03-04:13,0.0,0.0
2016-03-04:14,0.0,0.0
2016-03-04:15,86.0,0.0
2016-03-04:16,90.0,0.0
2016-03-04:17,94.0,0.0
2016-03-04:18,101.0,0.0
2016-03-04:19,86.0,0.0
2016-03-04:20,80.0,0.0
2016-03-04:21,83.0,0.0
2016-03-04:22,84.0,0.0
2016-03-04:23,65.0,0.0
2016-03-04:24,45.0,0.0
2016-03-05:01,59.0,0.0
2016-03-05:02,32.0,0.0
2016-03-05:03,28.0,0.0
2016-03-05:04,25.0,0.0
2016-03-05:05,28.0,0.0
2016-03-05:06,28.0,0.0
2016-03-05:07,26.0,0.0
2016-03-05:08,30.0,0.0
2016-03-05:09,29.0,0.0
2016-03-05:10,38.0,0.0
2016-03-05:11,41.0,0.0
2016-03-05:12,43.0,0.0
2016-03-05:13,42.0,0.0
2016-03-05:14,45.0,0.0
2016-03-05:15,47.0,0.0
2016-03-05:16,18.0,0.0
2016-03-05:17,14.0,0.0
2016-03-05:18,15.0,0.0
2016-03-05:19,18.0,0.0
2016-03-05:20,19.0,0.0
2016-03-05:21,9.0,0.0
2016-03-05:22,34.0,0.0
2016-03-05:23,35.0,0.0
2016-03-05:24,32.0,0.0
2016-03-06:01,37.0,0.0
2016-03-06:02,46.0,0.0
2016-03-06:03,50.0,0.0
2016-03-06:04,51.0,0.0
2016-03-06:05,49.0,0.0
2016-03-06:06,75.0,0.0
2016-03-06:07,111.0,0.0
2016-03-06:08,176.0,0.0
2016-03-06:09,215.0,0.0
