time,pm10,pm2.5
2016-09-01:01,31.0,13.0
2016-09-01:02,32.0,14.0
2016-09-01:03,30.0,16.0
2016-09-01:04,27.0,15.0
2016-09-01:05,30.0,15.0
2016-09-01:06,26.0,16.0
2016-09-01:07,32.0,18.0
2016-09-01:08,46.0,24.0
2016-09-01:09,65.0,35.0
2016-09-01:10,81.0,42.0
2016-09-01:11,71.0,43.0
2016-09-01:12,71.0,48.0
2016-09-01:13,75.0,46.0
2016-09-01:14,78.0,48.0
2016-09-01:15,77.0,50.0
2016-09-01:16,73.0,47.0
2016-09-01:17,70.0,46.0
2016-09-01:18,59.0,39.0
2016-09-01:19,65.0,40.0
2016-09-01:20,69.0,48.0
2016-09-01:21,67.0,46.0
2016-09-01:22,62.0,44.0
2016-09-01:23,61.0,44.0
2016-09-01:24,57.0,40.0
2016-09-02:01,58.0,37.0
2016-09-02:02,62.0,37.0
2016-09-02:03,45.0,36.0
2016-09-02:04,34.0,26.0
2016-09-02:05,40.0,30.0
2016-09-02:06,42.0,35.0
2016-09-02:07,40.0,33.0
2016-09-02:08,45.0,35.0
2016-09-02:09,47.0,33.0
2016-09-02:10,43.0,30.0
2016-09-02:11,34.0,24.0
2016-09-02:12,25.0,18.0
2016-09-02:13,26.0,22.0
2016-09-02:14,21.0,15.0
2016-09-02:15,20.0,15.0
2016-09-02:16,21.0,17.0
2016-09-02:17,21.0,15.0
2016-09-02:18,20.0,13.0
2016-09-02:19,22.0,18.0
2016-09-02:20,23.0,18.0
2016-09-02:21,25.0,18.0
2016-09-02:22,22.0,17.0
2016-09-02:23,21.0,17.0
2016-09-02:24,24.0,16.0
2016-09-03:01,26.0,19.0
2016-09-03:02,20.0,19.0
2016-09-03:03,23.0,20.0
2016-09-03:04,22.0,18.0
2016-09-03:05,23.0,19.0
2016-09-03:06,21.0,17.0
2016-09-03:07,17.0,15.0
2016-09-03:08,19.0,16.0
2016-09-03:09,22.0,14.0
2016-09-03:10,22.0,15.0
2016-09-03:11,23.0,13.0
2016-09-03:12,20.0,12.0
2016-09-03:13,18.0,11.0
2016-09-03:14,19.0,15.0
2016-09-03:15,20.0,11.0
2016-09-03:16,21.0,14.0
2016-09-03:17,22.0,19.0
2016-09-03:18,21.0,19.0
2016-09-03:19,25.0,17.0
2016-09-03:20,29.0,23.0
2016-09-03:21,28.0,24.0
2016-09-03:22,32.0,26.0
2016-09-03:23,37.0,27.0
2016-09-03:24,36.0,26.0
2016-09-04:01,31.0,24.0
2016-09-04:02,33.0,21.0
2016-09-04:03,31.0,20.0
2016-09-04:04,27.0,19.0
2016-09-04:05,23.0,13.0
2016-09-04:06,17.0,13.0
2016-09-04:07,18.0,13.0
2016-09-04:08,17.0,14.0
2016-09-04:09,20.0,12.0
2016-09-04:10,21.0,14.0
2016-09-04:11,19.0,14.0
2016-09-04:12,19.0,15.0
2016-09-04:13,22.0,15.0
2016-09-04:14,21.0,16.0
2016-09-04:15,27.0,17.0
2016-09-04:16,25.0,21.0
2016-09-04:17,26.0,22.0
2016-09-04:18,28.0,18.0
2016-09-04:19,22.0,16.0
2016-09-04:20,23.0,16.0
2016-09-04:21,21.0,16.0
2016-09-04:22,18.0,13.0
2016-09-04:23,18.0,13.0
2016-09-04:24,20.0,12.0
2016-09-05:01,22.0,15.0
2016-09-05:02,18.0,12.0
2016-09-05:03,21.0,14.0
2016-09-05:04,20.0,15.0
2016-09-05:05,20.0,17.0
2016-09-05:06,26.0,17.0
2016-09-05:07,25.0,16.0
2016-09-05:08,24.0,15.0
2016-09-05:09,25.0,12.0
2016-09-05:10,25.0,16.0
2016-09-05:11,24.0,13.0
2016-09-05:12,26.0,16.0
2016-09-05:13,34.0,22.0
2016-09-05:14,32.0,21.0
2016-09-05:15,32.0,21.0
2016-09-05:16,43.0,26.0
2016-09-05:17,39.0,24.0
2016-09-05:18,39.0,23.0
2016-09-05:19,33.0,21.0
2016-09-05:20,40.0,25.0
2016-09-05:21,44.0,26.0
2016-09-05:22,44.0,27.0
2016-09-05:23,37.0,24.0
2016-09-05:24,39.0,25.0
2016-09-06:01,39.0,25.0
2016-09-06:02,41.0,26.0
2016-09-06:03,44.0,25.0
2016-09-06:04,44.0,28.0
2016-09-06:05,46.0,28.0
2016-09-06:06,44.0,28.0
2016-09-06:07,45.0,29.0
2016-09-06:08,51.0,25.0
2016-09-06:09,43.0,26.0
2016-09-06:10,45.0,26.0
2016-09-06:11,42.0,28.0
2016-09-06:12,38.0,24.0
2016-09-06:13,37.0,25.0
2016-09-06:14,52.0,33.0
2016-09-06:15,61.0,39.0
2016-09-06:16,45.0,31.0
2016-09-06:17,43.0,29.0
2016-09-06:18,50.0,33.0
2016-09-06:19,68.0,47.0
2016-09-06:20,80.0,60.0
2016-09-06:21,82.0,61.0
2016-09-06:22,85.0,62.0
2016-09-06:23,83.0,62.0
2016-09-06:24,82.0,59.0
2016-09-07:01,86.0,62.0
2016-09-07:02,83.0,60.0
2016-09-07:03,85.0,61.0
2016-09-07:04,83.0,56.0
2016-09-07:05,79.0,59.0
2016-09-07:06,78.0,58.0
2016-09-07:07,79.0,56.0
2016-09-07:08,80.0,54.0
2016-09-07:09,81.0,55.0
2016-09-07:10,81.0,56.0
2016-09-07:11,92.0,52.0
2016-09-07:12,74.0,51.0
2016-09-07:13,69.0,48.0
2016-09-07:14,64.0,45.0
2016-09-07:15,67.0,48.0
2016-09-07:16,68.0,49.0
2016-09-07:17,70.0,50.0
2016-09-07:18,61.0,46.0
2016-09-07:19,62.0,39.0
2016-09-07:20,55.0,38.0
2016-09-07:21,48.0,34.0
2016-09-07:22,40.0,29.0
2016-09-07:23,43.0,30.0
2016-09-07:24,49.0,35.0
2016-09-08:01,43.0,29.0
2016-09-08:02,34.0,26.0
2016-09-08:03,42.0,30.0
2016-09-08:04,41.0,27.0
2016-09-08:05,38.0,28.0
2016-09-08:06,38.0,27.0
2016-09-08:07,39.0,27.0
2016-09-08:08,48.0,31.0
2016-09-08:09,48.0,33.0
2016-09-08:10,46.0,28.0
