time,pm10,pm2.5
2016-03-01:01,34.0,0.0
2016-03-01:02,37.0,0.0
2016-03-01:03,29.0,0.0
2016-03-01:04,34.0,0.0
2016-03-01:05,25.0,0.0
2016-03-01:06,29.0,0.0
2016-03-01:07,36.0,0.0
2016-03-01:08,49.0,0.0
2016-03-01:09,61.0,0.0
2016-03-01:10,43.0,0.0
2016-03-01:11,32.0,0.0
2016-03-01:12,48.0,0.0
2016-03-01:13,48.0,0.0
2016-03-01:14,54.0,0.0
2016-03-01:15,58.0,0.0
2016-03-01:16,56.0,0.0
2016-03-01:17,48.0,0.0
2016-03-01:18,44.0,0.0
2016-03-01:19,40.0,0.0
2016-03-01:20,31.0,0.0
2016-03-01:21,26.0,0.0
2016-03-01:22,26.0,0.0
2016-03-01:23,28.0,0.0
2016-03-01:24,36.0,0.0
2016-03-02:01,36.0,0.0
2016-03-02:02,38.0,0.0
2016-03-02:03,37.0,0.0
2016-03-02:04,31.0,0.0
2016-03-02:05,34.0,0.0
2016-03-02:06,31.0,0.0
2016-03-02:07,41.0,0.0
2016-03-02:08,40.0,0.0
2016-03-02:09,44.0,0.0
2016-03-02:10,49.0,0.0
2016-03-02:11,54.0,0.0
2016-03-02:12,85.0,0.0
2016-03-02:13,63.0,0.0
2016-03-02:14,61.0,0.0
2016-03-02:15,70.0,0.0
2016-03-02:16,66.0,0.0
2016-03-02:17,68.0,0.0
2016-03-02:18,59.0,0.0
2016-03-02:19,53.0,0.0
2016-03-02:20,40.0,0.0
2016-03-02:21,45.0,0.0
2016-03-02:22,37.0,0.0
2016-03-02:23,29.0,0.0
2016-03-02:24,28.0,0.0
2016-03-03:01,31.0,0.0
2016-03-03:02,24.0,0.0
2016-03-03:03,29.0,0.0
2016-03-03:04,36.0,0.0
2016-03-03:05,28.0,0.0
2016-03-03:06,37.0,0.0
2016-03-03:07,26.0,0.0
2016-03-03:08,31.0,0.0
2016-03-03:09,38.0,0.0
2016-03-03:10,58.0,0.0
2016-03-03:11,71.0,0.0
2016-03-03:12,89.0,0.0
2016-03-03:13,88.0,0.0
2016-03-03:14,87.0,0.0
2016-03-03:15,82.0,0.0
2016-03-03:16,79.0,0.0
2016-03-03:17,90.0,0.0
2016-03-03:18,99.0,0.0
2016-03-03:19,110.0,0.0
2016-03-03:20,106.0,0.0
2016-03-03:21,109.0,0.0
2016-03-03:22,112.0,0.0
2016-03-03:23,101.0,0.0
2016-03-03:24,95.0,0.0
2016-03-04:01,89.0,0.0
2016-03-04:02,92.0,0.0
2016-03-04:03,103.0,0.0
2016-03-04:04,98.0,0.0
2016-03-04:05,94.0,0.0
2016-03-04:06,97.0,0.0
2016-03-04:07,89.0,0.0
2016-03-04:08,98.0,0.0
2016-03-04:09,117.0,0.0
2016-03-04:10,101.0,0.0
2016-03-04:11,123.0,0.0
2016-03-04:12,105.0,0.0
2016-03-04:13,86.0,0.0
2016-03-04:14,78.0,0.0
2016-03-04:15,87.0,0.0
2016-03-04:16,81.0,0.0
2016-03-04:17,82.0,0.0
2016-03-04:18,90.0,0.0
2016-03-04:19,80.0,0.0
2016-03-04:20,73.0,0.0
2016-03-04:21,76.0,0.0
2016-03-04:22,68.0,0.0
2016-03-04:23,59.0,0.0
2016-03-04:24,49.0,0.0
2016-03-05:01,59.0,0.0
2016-03-05:02,38.0,0.0
2016-03-05:03,27.0,0.0
2016-03-05:04,21.0,0.0
2016-03-05:05,23.0,0.0
2016-03-05:06,23.0,0.0
2016-03-05:07,23.0,0.0
2016-03-05:08,29.0,0.0
2016-03-05:09,28.0,0.0
2016-03-05:10,36.0,0.0
2016-03-05:11,44.0,0.0
2016-03-05:12,51.0,0.0
2016-03-05:13,40.0,0.0
2016-03-05:14,45.0,0.0
2016-03-05:15,45.0,0.0
2016-03-05:16,31.0,0.0
2016-03-05:17,18.0,0.0
2016-03-05:18,14.0,0.0
2016-03-05:19,6.0,0.0
2016-03-05:20,12.0,0.0
2016-03-05:21,12.0,0.0
2016-03-05:22,19.0,0.0
2016-03-05:23,25.0,0.0
2016-03-05:24,26.0,0.0
2016-03-06:01,30.0,0.0
2016-03-06:02,25.0,0.0
2016-03-06:03,25.0,0.0
2016-03-06:04,27.0,0.0
2016-03-06:05,29.0,0.0
2016-03-06:06,36.0,0.0
2016-03-06:07,73.0,0.0
2016-03-06:08,129.0,0.0
2016-03-06:09,101.0,0.0
2016-03-06:10,110.0,0.0
2016-03-06:11,154.0,0.0
2016-03-06:12,129.0,0.0
2016-03-06:13,84.0,0.0
2016-03-06:14,78.0,0.0
2016-03-06:15,77.0,0.0
2016-03-06:16,99.0,0.0
2016-03-06:17,114.0,0.0
2016-03-06:18,123.0,0.0
2016-03-06:19,125.0,0.0
2016-03-06:20,126.0,0.0
2016-03-06:21,134.0,0.0
2016-03-06:22,143.0,0.0
2016-03-06:23,135.0,0.0
2016-03-06:24,137.0,0.0
2016-03-07:01,131.0,0.0
2016-03-07:02,126.0,0.0
2016-03-07:03,118.0,0.0
2016-03-07:04,117.0,0.0
2016-03-07:05,109.0,0.0
2016-03-07:06,115.0,0.0
2016-03-07:07,124.0,0.0
2016-03-07:08,128.0,0.0
2016-03-07:09,133.0,0.0
2016-03-07:10,132.0,0.0
2016-03-07:11,135.0,0.0
2016-03-07:12,137.0,0.0
2016-03-07:13,119.0,0.0
2016-03-07:14,115.0,0.0
2016-03-07:15,104.0,0.0
2016-03-07:16,109.0,0.0
2016-03-07:17,98.0,0.0
2016-03-07:18,108.0,0.0
2016-03-07:19,114.0,0.0
2016-03-07:20,122.0,0.0
2016-03-07:21,112.0,0.0
2016-03-07:22,113.0,0.0
2016-03-07:23,106.0,0.0
2016-03-07:24,120.0,0.0
2016-03-08:01,130.0,0.0
2016-03-08:02,128.0,0.0
2016-03-08:03,143.0,0.0
2016-03-08:04,162.0,0.0
2016-03-08:05,122.0,0.0
2016-03-08:06,84.0,0.0
2016-03-08:07,61.0,0.0
2016-03-08:08,59.0,0.0
2016-03-08:09,46.0,0.0
2016-03-08:10,54.0,0.0
2016-03-08:11,61.0,0.0
2016-03-08:12,57.0,0.0
2016-03-08:13,51.0,0.0
2016-03-08:14,48.0,0.0
2016-03-08:15,45.0,0.0
2016-03-08:16,52.0,0.0
2016-03-08:17,43.0,0.0
2016-03-08:18,36.0,0.0
2016-03-08:19,33.0,0.0
2016-03-08:20,36.0,0.0
2016-03-08:21,38.0,0.0
2016-03-08:22,50.0,0.0
2016-03-08:23,54.0,0.0
2016-03-08:24,52.0,0.0
2016-03-09:01,48.0,0.0
2016-03-09:02,38.0,0.0
2016-03-09:03,46.0,0.0
2016-03-09:04,41.0,0.0
2016-03-09:05,36.0,0.0
2016-03-09:06,44.0,0.0
2016-03-09:07,49.0,0.0
2016-03-09:08,50.0,0.0
2016-03-09:09,43.0,0.0
2016-03-09:10,49.0,0.0
2016-03-09:11,59.0,0.0
2016-03-09:12,64.0,0.0
2016-03-09:13,59.0,0.0
2016-03-09:14,49.0,0.0
2016-03-09:15,52.0,0.0
2016-03-09:16,58.0,0.0
2016-03-09:17,69.0,0.0
