time,pm10,pm2.5
2018-09-01:01,24.0,13.0
2018-09-01:02,24.0,12.0
2018-09-01:03,24.0,13.0
2018-09-01:04,25.0,13.0
2018-09-01:05,25.0,12.0
2018-09-01:06,25.0,13.0
2018-09-01:07,28.0,13.0
2018-09-01:08,22.0,9.0
2018-09-01:09,22.0,6.0
2018-09-01:10,20.0,7.0
2018-09-01:11,19.0,10.0
2018-09-01:12,16.0,7.0
2018-09-01:13,17.0,8.0
2018-09-01:14,16.0,9.0
2018-09-01:15,16.0,8.0
2018-09-01:16,15.0,5.0
2018-09-01:17,16.0,9.0
2018-09-01:18,13.0,5.0
2018-09-01:19,15.0,11.0
2018-09-01:20,16.0,7.0
2018-09-01:21,16.0,8.0
2018-09-01:22,14.0,5.0
2018-09-01:23,13.0,5.0
2018-09-01:24,12.0,5.0
2018-09-02:01,14.0,5.0
2018-09-02:02,13.0,4.0
2018-09-02:03,12.0,4.0
2018-09-02:04,11.0,4.0
2018-09-02:05,14.0,5.0
2018-09-02:06,12.0,4.0
2018-09-02:07,12.0,5.0
2018-09-02:08,11.0,2.0
2018-09-02:09,9.0,2.0
2018-09-02:10,11.0,4.0
2018-09-02:11,11.0,5.0
2018-09-02:12,12.0,5.0
2018-09-02:13,13.0,5.0
2018-09-02:14,13.0,4.0
2018-09-02:15,12.0,7.0
2018-09-02:16,14.0,6.0
2018-09-02:17,20.0,9.0
2018-09-02:18,20.0,8.0
2018-09-02:19,17.0,10.0
2018-09-02:20,19.0,8.0
2018-09-02:21,22.0,8.0
2018-09-02:22,20.0,9.0
2018-09-02:23,18.0,8.0
2018-09-02:24,16.0,7.0
2018-09-03:01,16.0,7.0
2018-09-03:02,15.0,7.0
2018-09-03:03,17.0,7.0
2018-09-03:04,14.0,6.0
2018-09-03:05,14.0,8.0
2018-09-03:06,13.0,6.0
2018-09-03:07,15.0,7.0
2018-09-03:08,18.0,11.0
2018-09-03:09,19.0,11.0
2018-09-03:10,20.0,8.0
2018-09-03:11,18.0,6.0
2018-09-03:12,18.0,8.0
2018-09-03:13,19.0,8.0
2018-09-03:14,16.0,6.0
2018-09-03:15,21.0,9.0
2018-09-03:16,23.0,10.0
2018-09-03:17,25.0,13.0
2018-09-03:18,16.0,9.0
2018-09-03:19,10.0,3.0
2018-09-03:20,10.0,4.0
2018-09-03:21,13.0,6.0
2018-09-03:22,12.0,5.0
2018-09-03:23,13.0,4.0
2018-09-03:24,12.0,3.0
2018-09-04:01,12.0,4.0
2018-09-04:02,15.0,5.0
2018-09-04:03,14.0,5.0
2018-09-04:04,17.0,6.0
2018-09-04:05,17.0,7.0
2018-09-04:06,21.0,9.0
2018-09-04:07,23.0,13.0
2018-09-04:08,21.0,10.0
2018-09-04:09,15.0,9.0
