time,pm10,pm2.5
2017-02-01:01,40.0,0.0
2017-02-01:02,34.0,0.0
2017-02-01:03,37.0,0.0
2017-02-01:04,25.0,0.0
2017-02-01:05,28.0,0.0
2017-02-01:06,34.0,0.0
2017-02-01:07,33.0,0.0
2017-02-01:08,36.0,0.0
2017-02-01:09,51.0,0.0
2017-02-01:10,58.0,0.0
2017-02-01:11,67.0,0.0
2017-02-01:12,0.0,0.0
2017-02-01:13,81.0,0.0
2017-02-01:14,62.0,0.0
2017-02-01:15,72.0,0.0
2017-02-01:16,57.0,0.0
2017-02-01:17,53.0,0.0
2017-02-01:18,47.0,0.0
2017-02-01:19,52.0,0.0
2017-02-01:20,49.0,0.0
2017-02-01:21,51.0,0.0
2017-02-01:22,52.0,0.0
2017-02-01:23,53.0,0.0
2017-02-01:24,49.0,0.0
2017-02-02:01,48.0,0.0
2017-02-02:02,35.0,0.0
2017-02-02:03,36.0,0.0
2017-02-02:04,30.0,0.0
2017-02-02:05,24.0,0.0
2017-02-02:06,35.0,0.0
2017-02-02:07,29.0,0.0
2017-02-02:08,34.0,0.0
2017-02-02:09,45.0,0.0
2017-02-02:10,43.0,0.0
2017-02-02:11,76.0,0.0
2017-02-02:12,64.0,0.0
2017-02-02:13,76.0,0.0
2017-02-02:14,61.0,0.0
2017-02-02:15,53.0,0.0
2017-02-02:16,54.0,0.0
2017-02-02:17,52.0,0.0
2017-02-02:18,31.0,0.0
2017-02-02:19,32.0,0.0
2017-02-02:20,34.0,0.0
2017-02-02:21,40.0,0.0
2017-02-02:22,47.0,0.0
2017-02-02:23,44.0,0.0
2017-02-02:24,44.0,0.0
2017-02-03:01,52.0,0.0
2017-02-03:02,53.0,0.0
2017-02-03:03,58.0,0.0
2017-02-03:04,58.0,0.0
2017-02-03:05,62.0,0.0
2017-02-03:06,70.0,0.0
2017-02-03:07,66.0,0.0
2017-02-03:08,67.0,0.0
2017-02-03:09,80.0,0.0
2017-02-03:10,73.0,0.0
2017-02-03:11,86.0,0.0
2017-02-03:12,103.0,0.0
2017-02-03:13,124.0,0.0
2017-02-03:14,137.0,0.0
2017-02-03:15,164.0,0.0
2017-02-03:16,147.0,0.0
2017-02-03:17,114.0,0.0
2017-02-03:18,83.0,0.0
