time,pm10,pm2.5
2017-10-01:01,43.0,20.0
2017-10-01:02,51.0,29.0
2017-10-01:03,49.0,30.0
2017-10-01:04,46.0,30.0
2017-10-01:05,39.0,24.0
2017-10-01:06,39.0,20.0
2017-10-01:07,33.0,21.0
2017-10-01:08,34.0,21.0
2017-10-01:09,34.0,19.0
2017-10-01:10,34.0,13.0
2017-10-01:11,38.0,24.0
2017-10-01:12,34.0,21.0
2017-10-01:13,30.0,20.0
2017-10-01:14,44.0,17.0
2017-10-01:15,24.0,12.0
2017-10-01:16,40.0,16.0
2017-10-01:17,31.0,14.0
2017-10-01:18,23.0,11.0
2017-10-01:19,17.0,11.0
2017-10-01:20,22.0,11.0
2017-10-01:21,17.0,10.0
2017-10-01:22,22.0,8.0
2017-10-01:23,15.0,9.0
2017-10-01:24,16.0,8.0
2017-10-02:01,21.0,3.0
2017-10-02:02,15.0,5.0
2017-10-02:03,8.0,7.0
2017-10-02:04,5.0,4.0
2017-10-02:05,8.0,3.0
2017-10-02:06,6.0,5.0
2017-10-02:07,8.0,8.0
2017-10-02:08,14.0,8.0
2017-10-02:09,11.0,6.0
2017-10-02:10,16.0,13.0
2017-10-02:11,19.0,7.0
2017-10-02:12,17.0,14.0
2017-10-02:13,15.0,9.0
2017-10-02:14,14.0,9.0
2017-10-02:15,20.0,8.0
2017-10-02:16,14.0,11.0
2017-10-02:17,17.0,9.0
2017-10-02:18,14.0,9.0
2017-10-02:19,29.0,17.0
2017-10-02:20,31.0,9.0
2017-10-02:21,49.0,19.0
2017-10-02:22,52.0,15.0
2017-10-02:23,50.0,16.0
2017-10-02:24,50.0,19.0
2017-10-03:01,55.0,14.0
2017-10-03:02,44.0,12.0
2017-10-03:03,41.0,7.0
2017-10-03:04,35.0,5.0
2017-10-03:05,35.0,8.0
2017-10-03:06,34.0,7.0
2017-10-03:07,32.0,10.0
2017-10-03:08,32.0,3.0
2017-10-03:09,25.0,4.0
2017-10-03:10,29.0,5.0
2017-10-03:11,39.0,11.0
2017-10-03:12,37.0,9.0
2017-10-03:13,33.0,9.0
2017-10-03:14,33.0,10.0
2017-10-03:15,25.0,11.0
2017-10-03:16,41.0,15.0
2017-10-03:17,35.0,11.0
2017-10-03:18,42.0,12.0
2017-10-03:19,46.0,11.0
2017-10-03:20,47.0,10.0
2017-10-03:21,46.0,13.0
2017-10-03:22,39.0,8.0
2017-10-03:23,44.0,12.0
2017-10-03:24,37.0,10.0
2017-10-04:01,34.0,0.0
2017-10-04:02,31.0,10.0
2017-10-04:03,31.0,8.0
2017-10-04:04,28.0,6.0
2017-10-04:05,30.0,5.0
2017-10-04:06,24.0,9.0
2017-10-04:07,29.0,8.0
2017-10-04:08,23.0,9.0
2017-10-04:09,18.0,3.0
2017-10-04:10,23.0,13.0
2017-10-04:11,18.0,3.0
2017-10-04:12,18.0,12.0
2017-10-04:13,21.0,5.0
2017-10-04:14,18.0,11.0
2017-10-04:15,16.0,8.0
2017-10-04:16,14.0,7.0
2017-10-04:17,12.0,10.0
2017-10-04:18,21.0,9.0
2017-10-04:19,15.0,5.0
2017-10-04:20,16.0,14.0
2017-10-04:21,17.0,6.0
2017-10-04:22,16.0,7.0
2017-10-04:23,13.0,7.0
2017-10-04:24,22.0,5.0
2017-10-05:01,19.0,9.0
2017-10-05:02,16.0,6.0
2017-10-05:03,10.0,6.0
2017-10-05:04,8.0,7.0
2017-10-05:05,14.0,4.0
2017-10-05:06,8.0,8.0
2017-10-05:07,14.0,3.0
2017-10-05:08,5.0,6.0
2017-10-05:09,11.0,4.0
2017-10-05:10,11.0,7.0
2017-10-05:11,11.0,4.0
2017-10-05:12,15.0,7.0
2017-10-05:13,15.0,4.0
2017-10-05:14,16.0,10.0
2017-10-05:15,15.0,10.0
2017-10-05:16,21.0,10.0
2017-10-05:17,15.0,6.0
2017-10-05:18,13.0,6.0
2017-10-05:19,17.0,8.0
2017-10-05:20,11.0,7.0
2017-10-05:21,20.0,3.0
2017-10-05:22,11.0,9.0
2017-10-05:23,10.0,4.0
2017-10-05:24,13.0,8.0
2017-10-06:01,10.0,12.0
2017-10-06:02,15.0,5.0
2017-10-06:03,10.0,7.0
2017-10-06:04,11.0,5.0
2017-10-06:05,16.0,7.0
2017-10-06:06,9.0,7.0
2017-10-06:07,14.0,7.0
2017-10-06:08,11.0,3.0
2017-10-06:09,10.0,3.0
2017-10-06:10,13.0,9.0
2017-10-06:11,16.0,10.0
2017-10-06:12,15.0,6.0
2017-10-06:13,13.0,8.0
2017-10-06:14,20.0,9.0
2017-10-06:15,12.0,5.0
2017-10-06:16,8.0,3.0
2017-10-06:17,7.0,4.0
2017-10-06:18,9.0,4.0
2017-10-06:19,7.0,4.0
2017-10-06:20,8.0,4.0
2017-10-06:21,7.0,3.0
2017-10-06:22,9.0,5.0
2017-10-06:23,6.0,3.0
2017-10-06:24,6.0,6.0
2017-10-07:01,5.0,3.0
2017-10-07:02,6.0,3.0
2017-10-07:03,5.0,3.0
2017-10-07:04,6.0,5.0
2017-10-07:05,8.0,3.0
2017-10-07:06,5.0,6.0
2017-10-07:07,8.0,5.0
2017-10-07:08,9.0,3.0
2017-10-07:09,6.0,6.0
2017-10-07:10,5.0,3.0
2017-10-07:11,5.0,3.0
2017-10-07:12,9.0,5.0
2017-10-07:13,5.0,3.0
2017-10-07:14,11.0,4.0
2017-10-07:15,7.0,6.0
2017-10-07:16,5.0,5.0
2017-10-07:17,7.0,5.0
2017-10-07:18,5.0,3.0
2017-10-07:19,7.0,5.0
2017-10-07:20,19.0,12.0
2017-10-07:21,21.0,9.0
2017-10-07:22,13.0,7.0
2017-10-07:23,20.0,11.0
2017-10-07:24,19.0,12.0
2017-10-08:01,23.0,11.0
2017-10-08:02,25.0,10.0
2017-10-08:03,17.0,13.0
2017-10-08:04,12.0,7.0
2017-10-08:05,12.0,6.0
2017-10-08:06,7.0,6.0
2017-10-08:07,11.0,6.0
2017-10-08:08,14.0,6.0
2017-10-08:09,6.0,4.0
2017-10-08:10,12.0,9.0
2017-10-08:11,13.0,8.0
2017-10-08:12,10.0,11.0
2017-10-08:13,11.0,8.0
2017-10-08:14,19.0,13.0
2017-10-08:15,20.0,19.0
2017-10-08:16,29.0,19.0
2017-10-08:17,26.0,20.0
2017-10-08:18,22.0,16.0
2017-10-08:19,20.0,16.0
2017-10-08:20,30.0,14.0
2017-10-08:21,21.0,16.0
2017-10-08:22,27.0,17.0
2017-10-08:23,21.0,14.0
2017-10-08:24,24.0,15.0
2017-10-09:01,25.0,14.0
2017-10-09:02,32.0,22.0
2017-10-09:03,32.0,15.0
2017-10-09:04,26.0,19.0
2017-10-09:05,25.0,19.0
2017-10-09:06,23.0,16.0
2017-10-09:07,19.0,12.0
2017-10-09:08,18.0,13.0
2017-10-09:09,19.0,13.0
2017-10-09:10,20.0,13.0
2017-10-09:11,16.0,10.0
2017-10-09:12,27.0,19.0
2017-10-09:13,18.0,15.0
2017-10-09:14,30.0,21.0
2017-10-09:15,22.0,16.0
2017-10-09:16,16.0,15.0
2017-10-09:17,16.0,11.0
2017-10-09:18,25.0,19.0
2017-10-09:19,25.0,18.0
2017-10-09:20,24.0,9.0
2017-10-09:21,28.0,16.0
2017-10-09:22,33.0,11.0
2017-10-09:23,28.0,14.0
2017-10-09:24,26.0,12.0
2017-10-10:01,22.0,0.0
2017-10-10:02,24.0,18.0
2017-10-10:03,26.0,18.0
2017-10-10:04,25.0,15.0
2017-10-10:05,21.0,16.0
