time,pm10,pm2.5
2018-05-01:01,67.0,49.0
2018-05-01:02,57.0,44.0
2018-05-01:03,75.0,63.0
2018-05-01:04,75.0,63.0
2018-05-01:05,60.0,52.0
2018-05-01:06,63.0,58.0
2018-05-01:07,95.0,78.0
2018-05-01:08,92.0,69.0
2018-05-01:09,85.0,65.0
2018-05-01:10,68.0,55.0
2018-05-01:11,67.0,47.0
2018-05-01:12,75.0,57.0
2018-05-01:13,75.0,61.0
2018-05-01:14,75.0,56.0
2018-05-01:15,73.0,51.0
2018-05-01:16,72.0,58.0
2018-05-01:17,70.0,53.0
2018-05-01:18,69.0,49.0
2018-05-01:19,64.0,50.0
2018-05-01:20,64.0,50.0
2018-05-01:21,62.0,48.0
2018-05-01:22,68.0,50.0
2018-05-01:23,78.0,59.0
2018-05-01:24,86.0,72.0
2018-05-02:01,86.0,72.0
2018-05-02:02,86.0,71.0
2018-05-02:03,76.0,63.0
2018-05-02:04,77.0,68.0
2018-05-02:05,78.0,67.0
2018-05-02:06,84.0,77.0
2018-05-02:07,79.0,69.0
2018-05-02:08,70.0,60.0
2018-05-02:09,64.0,64.0
2018-05-02:10,58.0,52.0
2018-05-02:11,52.0,49.0
2018-05-02:12,49.0,44.0
2018-05-02:13,34.0,31.0
2018-05-02:14,33.0,32.0
2018-05-02:15,0.0,78.0
2018-05-02:16,33.0,29.0
2018-05-02:17,47.0,40.0
2018-05-02:18,45.0,35.0
2018-05-02:19,27.0,18.0
2018-05-02:20,16.0,14.0
2018-05-02:21,8.0,10.0
2018-05-02:22,6.0,6.0
2018-05-02:23,6.0,3.0
2018-05-02:24,7.0,1.0
2018-05-03:01,4.0,1.0
2018-05-03:02,3.0,1.0
2018-05-03:03,3.0,2.0
2018-05-03:04,3.0,2.0
2018-05-03:05,3.0,2.0
2018-05-03:06,23.0,6.0
2018-05-03:07,0.0,19.0
2018-05-03:08,59.0,26.0
2018-05-03:09,84.0,22.0
2018-05-03:10,47.0,17.0
2018-05-03:11,47.0,12.0
2018-05-03:12,42.0,15.0
2018-05-03:13,44.0,18.0
2018-05-03:14,41.0,18.0
2018-05-03:15,24.0,10.0
2018-05-03:16,22.0,11.0
2018-05-03:17,21.0,19.0
2018-05-03:18,27.0,17.0
2018-05-03:19,27.0,22.0
2018-05-03:20,36.0,25.0
2018-05-03:21,32.0,26.0
2018-05-03:22,35.0,24.0
2018-05-03:23,42.0,25.0
2018-05-03:24,46.0,25.0
2018-05-04:01,48.0,23.0
2018-05-04:02,49.0,23.0
2018-05-04:03,52.0,17.0
2018-05-04:04,48.0,17.0
2018-05-04:05,47.0,21.0
2018-05-04:06,37.0,16.0
2018-05-04:07,39.0,17.0
2018-05-04:08,51.0,16.0
2018-05-04:09,55.0,19.0
2018-05-04:10,53.0,21.0
2018-05-04:11,54.0,21.0
2018-05-04:12,53.0,18.0
2018-05-04:13,54.0,18.0
2018-05-04:14,57.0,18.0
2018-05-04:15,62.0,13.0
2018-05-04:16,66.0,21.0
2018-05-04:17,52.0,20.0
2018-05-04:18,49.0,16.0
2018-05-04:19,54.0,19.0
2018-05-04:20,54.0,17.0
2018-05-04:21,46.0,19.0
2018-05-04:22,46.0,16.0
2018-05-04:23,48.0,27.0
2018-05-04:24,41.0,18.0
2018-05-05:01,38.0,23.0
2018-05-05:02,35.0,21.0
2018-05-05:03,35.0,17.0
2018-05-05:04,30.0,20.0
2018-05-05:05,34.0,17.0
2018-05-05:06,35.0,19.0
2018-05-05:07,37.0,15.0
2018-05-05:08,38.0,17.0
2018-05-05:09,39.0,16.0
2018-05-05:10,51.0,23.0
2018-05-05:11,54.0,24.0
2018-05-05:12,56.0,23.0
2018-05-05:13,57.0,23.0
2018-05-05:14,63.0,27.0
2018-05-05:15,58.0,25.0
2018-05-05:16,52.0,28.0
2018-05-05:17,50.0,24.0
2018-05-05:18,50.0,21.0
2018-05-05:19,49.0,25.0
2018-05-05:20,45.0,20.0
2018-05-05:21,43.0,21.0
2018-05-05:22,37.0,23.0
2018-05-05:23,38.0,18.0
2018-05-05:24,40.0,18.0
2018-05-06:01,42.0,21.0
2018-05-06:02,33.0,21.0
2018-05-06:03,31.0,17.0
2018-05-06:04,0.0,20.0
2018-05-06:05,8.0,10.0
2018-05-06:06,8.0,10.0
2018-05-06:07,4.0,7.0
2018-05-06:08,0.0,10.0
2018-05-06:09,16.0,9.0
2018-05-06:10,7.0,7.0
2018-05-06:11,11.0,6.0
2018-05-06:12,10.0,4.0
2018-05-06:13,7.0,6.0
2018-05-06:14,6.0,9.0
2018-05-06:15,5.0,6.0
2018-05-06:16,6.0,3.0
2018-05-06:17,11.0,7.0
2018-05-06:18,7.0,5.0
2018-05-06:19,9.0,2.0
2018-05-06:20,10.0,6.0
2018-05-06:21,11.0,9.0
2018-05-06:22,11.0,9.0
2018-05-06:23,14.0,13.0
2018-05-06:24,19.0,10.0
2018-05-07:01,12.0,11.0
2018-05-07:02,0.0,17.0
2018-05-07:03,13.0,15.0
2018-05-07:04,17.0,13.0
2018-05-07:05,15.0,15.0
2018-05-07:06,18.0,18.0
2018-05-07:07,17.0,16.0
2018-05-07:08,20.0,17.0
2018-05-07:09,21.0,14.0
2018-05-07:10,39.0,20.0
2018-05-07:11,32.0,17.0
2018-05-07:12,38.0,23.0
2018-05-07:13,44.0,23.0
2018-05-07:14,43.0,18.0
2018-05-07:15,49.0,22.0
2018-05-07:16,57.0,21.0
2018-05-07:17,58.0,21.0
2018-05-07:18,63.0,23.0
2018-05-07:19,67.0,18.0
2018-05-07:20,62.0,30.0
2018-05-07:21,66.0,38.0
2018-05-07:22,78.0,44.0
2018-05-07:23,72.0,43.0
2018-05-07:24,72.0,45.0
2018-05-08:01,70.0,38.0
2018-05-08:02,48.0,18.0
2018-05-08:03,27.0,11.0
2018-05-08:04,14.0,11.0
2018-05-08:05,10.0,6.0
2018-05-08:06,9.0,3.0
2018-05-08:07,7.0,2.0
2018-05-08:08,17.0,2.0
2018-05-08:09,8.0,1.0
2018-05-08:10,12.0,3.0
2018-05-08:11,13.0,3.0
2018-05-08:12,24.0,6.0
2018-05-08:13,17.0,7.0
2018-05-08:14,16.0,7.0
2018-05-08:15,18.0,7.0
2018-05-08:16,20.0,7.0
2018-05-08:17,24.0,8.0
2018-05-08:18,25.0,10.0
2018-05-08:19,22.0,7.0
2018-05-08:20,30.0,6.0
2018-05-08:21,22.0,4.0
2018-05-08:22,18.0,7.0
2018-05-08:23,14.0,5.0
2018-05-08:24,10.0,4.0
2018-05-09:01,10.0,4.0
2018-05-09:02,7.0,4.0
2018-05-09:03,3.0,1.0
2018-05-09:04,6.0,1.0
2018-05-09:05,9.0,4.0
2018-05-09:06,8.0,7.0
2018-05-09:07,10.0,7.0
2018-05-09:08,14.0,5.0
2018-05-09:09,14.0,5.0
2018-05-09:10,18.0,4.0
2018-05-09:11,20.0,5.0
2018-05-09:12,21.0,6.0
2018-05-09:13,27.0,11.0
2018-05-09:14,31.0,14.0
2018-05-09:15,43.0,16.0
2018-05-09:16,48.0,19.0
2018-05-09:17,38.0,14.0
2018-05-09:18,34.0,11.0
2018-05-09:19,38.0,11.0
2018-05-09:20,31.0,10.0
2018-05-09:21,33.0,8.0
2018-05-09:22,43.0,15.0
2018-05-09:23,28.0,16.0
2018-05-09:24,30.0,11.0
2018-05-10:01,27.0,16.0
2018-05-10:02,33.0,16.0
2018-05-10:03,37.0,19.0
2018-05-10:04,38.0,27.0
2018-05-10:05,40.0,26.0
2018-05-10:06,38.0,31.0
2018-05-10:07,49.0,35.0
2018-05-10:08,45.0,29.0
2018-05-10:09,47.0,24.0
2018-05-10:10,50.0,26.0
2018-05-10:11,63.0,39.0
2018-05-10:12,54.0,28.0
2018-05-10:13,59.0,32.0
2018-05-10:14,58.0,34.0
2018-05-10:15,67.0,35.0
2018-05-10:16,58.0,33.0
2018-05-10:17,51.0,25.0
2018-05-10:18,57.0,33.0
2018-05-10:19,61.0,42.0
2018-05-10:20,56.0,40.0
2018-05-10:21,51.0,40.0
2018-05-10:22,45.0,36.0
2018-05-10:23,48.0,37.0
2018-05-10:24,63.0,48.0
2018-05-11:01,64.0,55.0
2018-05-11:02,68.0,55.0
2018-05-11:03,59.0,51.0
2018-05-11:04,50.0,44.0
2018-05-11:05,50.0,45.0
2018-05-11:06,53.0,48.0
2018-05-11:07,64.0,54.0
2018-05-11:08,73.0,62.0
2018-05-11:09,81.0,65.0
2018-05-11:10,81.0,62.0
2018-05-11:11,77.0,58.0
2018-05-11:12,70.0,51.0
2018-05-11:13,72.0,50.0
2018-05-11:14,90.0,61.0
2018-05-11:15,114.0,79.0
2018-05-11:16,104.0,72.0
2018-05-11:17,80.0,55.0
2018-05-11:18,55.0,28.0
2018-05-11:19,65.0,32.0
2018-05-11:20,65.0,35.0
2018-05-11:21,57.0,27.0
2018-05-11:22,60.0,32.0
2018-05-11:23,56.0,32.0
2018-05-11:24,76.0,42.0
2018-05-12:01,86.0,56.0
2018-05-12:02,91.0,60.0
2018-05-12:03,88.0,60.0
2018-05-12:04,79.0,49.0
2018-05-12:05,74.0,48.0
2018-05-12:06,48.0,28.0
2018-05-12:07,54.0,38.0
2018-05-12:08,50.0,38.0
2018-05-12:09,36.0,29.0
2018-05-12:10,32.0,24.0
2018-05-12:11,21.0,17.0
2018-05-12:12,9.0,10.0
2018-05-12:13,6.0,8.0
2018-05-12:14,3.0,6.0
2018-05-12:15,3.0,6.0
2018-05-12:16,8.0,5.0
2018-05-12:17,6.0,5.0
2018-05-12:18,5.0,5.0
2018-05-12:19,0.0,10.0
2018-05-12:20,0.0,13.0
2018-05-12:21,15.0,10.0
2018-05-12:22,15.0,11.0
2018-05-12:23,10.0,11.0
2018-05-12:24,8.0,10.0
2018-05-13:01,15.0,15.0
2018-05-13:02,0.0,16.0
2018-05-13:03,16.0,13.0
2018-05-13:04,20.0,19.0
2018-05-13:05,30.0,17.0
2018-05-13:06,21.0,15.0
2018-05-13:07,13.0,12.0
2018-05-13:08,13.0,13.0
2018-05-13:09,16.0,12.0
2018-05-13:10,14.0,12.0
2018-05-13:11,18.0,15.0
2018-05-13:12,21.0,17.0
2018-05-13:13,29.0,22.0
2018-05-13:14,43.0,34.0
2018-05-13:15,48.0,37.0
2018-05-13:16,45.0,38.0
2018-05-13:17,44.0,31.0
2018-05-13:18,38.0,32.0
2018-05-13:19,38.0,28.0
2018-05-13:20,39.0,30.0
2018-05-13:21,41.0,28.0
2018-05-13:22,45.0,38.0
2018-05-13:23,54.0,50.0
2018-05-13:24,63.0,51.0
2018-05-14:01,55.0,48.0
2018-05-14:02,68.0,59.0
2018-05-14:03,78.0,73.0
2018-05-14:04,74.0,68.0
2018-05-14:05,84.0,74.0
2018-05-14:06,67.0,59.0
2018-05-14:07,66.0,59.0
2018-05-14:08,70.0,69.0
2018-05-14:09,86.0,71.0
2018-05-14:10,77.0,65.0
2018-05-14:11,87.0,60.0
2018-05-14:12,84.0,64.0
2018-05-14:13,98.0,78.0
2018-05-14:14,109.0,85.0
2018-05-14:15,118.0,87.0
2018-05-14:16,134.0,101.0
2018-05-14:17,124.0,94.0
2018-05-14:18,96.0,71.0
2018-05-14:19,80.0,65.0
2018-05-14:20,80.0,80.0
2018-05-14:21,111.0,88.0
2018-05-14:22,114.0,90.0
2018-05-14:23,122.0,101.0
2018-05-14:24,113.0,98.0
2018-05-15:01,111.0,89.0
2018-05-15:02,92.0,79.0
2018-05-15:03,79.0,60.0
2018-05-15:04,80.0,62.0
2018-05-15:05,85.0,70.0
2018-05-15:06,88.0,76.0
2018-05-15:07,95.0,74.0
2018-05-15:08,112.0,93.0
2018-05-15:09,95.0,73.0
2018-05-15:10,77.0,61.0
2018-05-15:11,0.0,61.0
2018-05-15:12,0.0,0.0
2018-05-15:13,0.0,0.0
2018-05-15:14,53.0,37.0
2018-05-15:15,57.0,34.0
2018-05-15:16,64.0,33.0
2018-05-15:17,57.0,34.0
2018-05-15:18,57.0,35.0
2018-05-15:19,57.0,44.0
2018-05-15:20,69.0,50.0
2018-05-15:21,75.0,49.0
2018-05-15:22,69.0,50.0
2018-05-15:23,78.0,54.0
2018-05-15:24,71.0,53.0
2018-05-16:01,69.0,51.0
2018-05-16:02,69.0,56.0
2018-05-16:03,0.0,56.0
2018-05-16:04,69.0,53.0
2018-05-16:05,51.0,41.0
2018-05-16:06,27.0,23.0
2018-05-16:07,25.0,21.0
2018-05-16:08,19.0,16.0
2018-05-16:09,0.0,19.0
2018-05-16:10,21.0,17.0
2018-05-16:11,18.0,14.0
2018-05-16:12,11.0,11.0
2018-05-16:13,14.0,8.0
2018-05-16:14,9.0,6.0
2018-05-16:15,16.0,8.0
2018-05-16:16,17.0,12.0
2018-05-16:17,21.0,12.0
2018-05-16:18,16.0,11.0
2018-05-16:19,13.0,7.0
2018-05-16:20,15.0,9.0
2018-05-16:21,17.0,13.0
2018-05-16:22,23.0,20.0
2018-05-16:23,28.0,22.0
2018-05-16:24,31.0,18.0
2018-05-17:01,15.0,7.0
2018-05-17:02,13.0,15.0
2018-05-17:03,12.0,12.0
2018-05-17:04,12.0,10.0
2018-05-17:05,8.0,6.0
2018-05-17:06,8.0,4.0
2018-05-17:07,8.0,6.0
2018-05-17:08,5.0,3.0
2018-05-17:09,3.0,5.0
2018-05-17:10,5.0,3.0
2018-05-17:11,12.0,2.0
2018-05-17:12,7.0,3.0
2018-05-17:13,11.0,5.0
2018-05-17:14,16.0,5.0
2018-05-17:15,16.0,9.0
2018-05-17:16,16.0,10.0
2018-05-17:17,19.0,16.0
2018-05-17:18,0.0,17.0
2018-05-17:19,23.0,23.0
2018-05-17:20,17.0,10.0
2018-05-17:21,8.0,6.0
2018-05-17:22,7.0,3.0
2018-05-17:23,7.0,6.0
2018-05-17:24,7.0,6.0
2018-05-18:01,8.0,7.0
2018-05-18:02,11.0,9.0
2018-05-18:03,19.0,14.0
2018-05-18:04,13.0,12.0
2018-05-18:05,0.0,10.0
2018-05-18:06,7.0,7.0
2018-05-18:07,7.0,7.0
2018-05-18:08,3.0,5.0
2018-05-18:09,3.0,5.0
2018-05-18:10,7.0,5.0
2018-05-18:11,5.0,2.0
2018-05-18:12,16.0,2.0
2018-05-18:13,4.0,3.0
2018-05-18:14,4.0,8.0
2018-05-18:15,9.0,7.0
2018-05-18:16,9.0,5.0
2018-05-18:17,8.0,8.0
2018-05-18:18,11.0,6.0
2018-05-18:19,11.0,7.0
2018-05-18:20,9.0,6.0
2018-05-18:21,9.0,4.0
2018-05-18:22,8.0,4.0
2018-05-18:23,11.0,5.0
2018-05-18:24,9.0,4.0
2018-05-19:01,9.0,4.0
2018-05-19:02,6.0,4.0
2018-05-19:03,5.0,5.0
2018-05-19:04,6.0,4.0
2018-05-19:05,5.0,6.0
2018-05-19:06,8.0,5.0
2018-05-19:07,9.0,4.0
2018-05-19:08,8.0,7.0
2018-05-19:09,11.0,6.0
2018-05-19:10,12.0,4.0
2018-05-19:11,7.0,3.0
2018-05-19:12,7.0,3.0
2018-05-19:13,11.0,6.0
2018-05-19:14,12.0,6.0
2018-05-19:15,11.0,6.0
2018-05-19:16,15.0,6.0
2018-05-19:17,10.0,5.0
2018-05-19:18,11.0,4.0
2018-05-19:19,16.0,4.0
2018-05-19:20,8.0,7.0
2018-05-19:21,15.0,7.0
2018-05-19:22,11.0,5.0
2018-05-19:23,9.0,8.0
2018-05-19:24,10.0,7.0
2018-05-20:01,13.0,7.0
2018-05-20:02,11.0,6.0
2018-05-20:03,12.0,7.0
2018-05-20:04,8.0,6.0
2018-05-20:05,4.0,4.0
2018-05-20:06,7.0,7.0
2018-05-20:07,9.0,6.0
2018-05-20:08,6.0,6.0
2018-05-20:09,8.0,4.0
2018-05-20:10,7.0,2.0
2018-05-20:11,12.0,4.0
2018-05-20:12,14.0,5.0
2018-05-20:13,10.0,6.0
2018-05-20:14,12.0,6.0
2018-05-20:15,11.0,6.0
2018-05-20:16,16.0,6.0
2018-05-20:17,20.0,4.0
2018-05-20:18,13.0,2.0
2018-05-20:19,8.0,3.0
2018-05-20:20,5.0,4.0
2018-05-20:21,6.0,7.0
2018-05-20:22,11.0,8.0
2018-05-20:23,8.0,7.0
2018-05-20:24,7.0,5.0
2018-05-21:01,6.0,4.0
2018-05-21:02,5.0,3.0
2018-05-21:03,3.0,3.0
2018-05-21:04,5.0,1.0
2018-05-21:05,6.0,2.0
2018-05-21:06,5.0,6.0
2018-05-21:07,8.0,7.0
2018-05-21:08,13.0,9.0
2018-05-21:09,10.0,5.0
2018-05-21:10,10.0,5.0
2018-05-21:11,17.0,5.0
2018-05-21:12,14.0,5.0
2018-05-21:13,17.0,8.0
2018-05-21:14,20.0,12.0
2018-05-21:15,26.0,14.0
2018-05-21:16,22.0,14.0
2018-05-21:17,20.0,14.0
2018-05-21:18,28.0,14.0
2018-05-21:19,45.0,23.0
2018-05-21:20,51.0,25.0
2018-05-21:21,52.0,27.0
2018-05-21:22,48.0,32.0
2018-05-21:23,51.0,35.0
2018-05-21:24,37.0,27.0
2018-05-22:01,31.0,20.0
2018-05-22:02,25.0,17.0
2018-05-22:03,26.0,16.0
2018-05-22:04,21.0,16.0
2018-05-22:05,24.0,13.0
2018-05-22:06,25.0,15.0
2018-05-22:07,19.0,13.0
2018-05-22:08,22.0,15.0
2018-05-22:09,24.0,19.0
2018-05-22:10,31.0,21.0
2018-05-22:11,34.0,17.0
2018-05-22:12,36.0,22.0
2018-05-22:13,42.0,22.0
2018-05-22:14,43.0,26.0
2018-05-22:15,60.0,38.0
2018-05-22:16,67.0,44.0
2018-05-22:17,58.0,47.0
2018-05-22:18,58.0,50.0
2018-05-22:19,45.0,37.0
2018-05-22:20,47.0,42.0
2018-05-22:21,48.0,43.0
2018-05-22:22,48.0,26.0
2018-05-22:23,30.0,27.0
2018-05-22:24,0.0,31.0
2018-05-23:01,29.0,27.0
2018-05-23:02,0.0,14.0
2018-05-23:03,0.0,14.0
2018-05-23:04,7.0,8.0
2018-05-23:05,8.0,7.0
2018-05-23:06,8.0,4.0
2018-05-23:07,9.0,7.0
2018-05-23:08,23.0,6.0
2018-05-23:09,21.0,6.0
2018-05-23:10,29.0,8.0
2018-05-23:11,36.0,8.0
2018-05-23:12,50.0,12.0
2018-05-23:13,105.0,20.0
2018-05-23:14,93.0,21.0
2018-05-23:15,83.0,12.0
2018-05-23:16,75.0,13.0
2018-05-23:17,75.0,15.0
2018-05-23:18,72.0,19.0
2018-05-23:19,75.0,15.0
2018-05-23:20,68.0,19.0
2018-05-23:21,72.0,13.0
2018-05-23:22,82.0,19.0
2018-05-23:23,77.0,23.0
2018-05-23:24,88.0,18.0
2018-05-24:01,87.0,25.0
2018-05-24:02,100.0,27.0
2018-05-24:03,92.0,23.0
2018-05-24:04,83.0,25.0
2018-05-24:05,85.0,24.0
2018-05-24:06,93.0,22.0
2018-05-24:07,95.0,22.0
2018-05-24:08,109.0,29.0
2018-05-24:09,106.0,25.0
2018-05-24:10,123.0,26.0
2018-05-24:11,125.0,28.0
2018-05-24:12,122.0,31.0
2018-05-24:13,126.0,34.0
2018-05-24:14,130.0,32.0
2018-05-24:15,124.0,33.0
2018-05-24:16,130.0,39.0
2018-05-24:17,126.0,36.0
2018-05-24:18,125.0,41.0
2018-05-24:19,125.0,39.0
2018-05-24:20,122.0,39.0
2018-05-24:21,113.0,43.0
2018-05-24:22,118.0,45.0
2018-05-24:23,117.0,49.0
2018-05-24:24,129.0,52.0
2018-05-25:01,133.0,57.0
2018-05-25:02,130.0,56.0
2018-05-25:03,123.0,55.0
2018-05-25:04,119.0,55.0
2018-05-25:05,115.0,53.0
2018-05-25:06,118.0,58.0
2018-05-25:07,116.0,57.0
2018-05-25:08,104.0,52.0
2018-05-25:09,113.0,55.0
2018-05-25:10,106.0,40.0
2018-05-25:11,96.0,37.0
2018-05-25:12,95.0,35.0
2018-05-25:13,98.0,37.0
2018-05-25:14,89.0,32.0
2018-05-25:15,84.0,29.0
2018-05-25:16,88.0,27.0
2018-05-25:17,87.0,29.0
2018-05-25:18,86.0,31.0
2018-05-25:19,96.0,33.0
2018-05-25:20,97.0,40.0
2018-05-25:21,102.0,40.0
2018-05-25:22,105.0,36.0
2018-05-25:23,101.0,39.0
2018-05-25:24,92.0,42.0
2018-05-26:01,84.0,37.0
2018-05-26:02,71.0,35.0
2018-05-26:03,66.0,39.0
2018-05-26:04,72.0,41.0
2018-05-26:05,57.0,33.0
2018-05-26:06,62.0,30.0
2018-05-26:07,68.0,38.0
2018-05-26:08,75.0,42.0
2018-05-26:09,79.0,42.0
2018-05-26:10,96.0,48.0
2018-05-26:11,92.0,41.0
2018-05-26:12,83.0,38.0
2018-05-26:13,107.0,54.0
2018-05-26:14,111.0,56.0
2018-05-26:15,105.0,58.0
2018-05-26:16,128.0,69.0
2018-05-26:17,106.0,52.0
2018-05-26:18,107.0,62.0
2018-05-26:19,99.0,45.0
2018-05-26:20,87.0,33.0
2018-05-26:21,91.0,38.0
2018-05-26:22,86.0,39.0
2018-05-26:23,86.0,45.0
2018-05-26:24,87.0,45.0
2018-05-27:01,91.0,49.0
2018-05-27:02,102.0,55.0
2018-05-27:03,94.0,46.0
2018-05-27:04,81.0,43.0
2018-05-27:05,73.0,35.0
2018-05-27:06,74.0,37.0
2018-05-27:07,76.0,40.0
2018-05-27:08,75.0,36.0
2018-05-27:09,77.0,29.0
2018-05-27:10,64.0,27.0
2018-05-27:11,62.0,24.0
2018-05-27:12,67.0,22.0
2018-05-27:13,79.0,36.0
2018-05-27:14,80.0,32.0
2018-05-27:15,59.0,32.0
2018-05-27:16,56.0,19.0
2018-05-27:17,61.0,23.0
2018-05-27:18,61.0,21.0
2018-05-27:19,63.0,24.0
2018-05-27:20,64.0,27.0
2018-05-27:21,71.0,31.0
2018-05-27:22,68.0,30.0
2018-05-27:23,58.0,23.0
2018-05-27:24,64.0,31.0
2018-05-28:01,62.0,29.0
2018-05-28:02,56.0,28.0
2018-05-28:03,55.0,27.0
2018-05-28:04,54.0,26.0
2018-05-28:05,57.0,26.0
2018-05-28:06,53.0,30.0
2018-05-28:07,56.0,28.0
2018-05-28:08,63.0,33.0
2018-05-28:09,57.0,32.0
2018-05-28:10,38.0,17.0
2018-05-28:11,35.0,22.0
2018-05-28:12,29.0,17.0
2018-05-28:13,28.0,11.0
2018-05-28:14,47.0,24.0
2018-05-28:15,69.0,38.0
2018-05-28:16,101.0,64.0
2018-05-28:17,88.0,54.0
2018-05-28:18,62.0,31.0
2018-05-28:19,42.0,27.0
2018-05-28:20,47.0,29.0
2018-05-28:21,40.0,25.0
2018-05-28:22,39.0,28.0
2018-05-28:23,42.0,33.0
2018-05-28:24,47.0,36.0
2018-05-29:01,52.0,39.0
2018-05-29:02,47.0,32.0
2018-05-29:03,55.0,39.0
2018-05-29:04,56.0,41.0
2018-05-29:05,44.0,30.0
2018-05-29:06,43.0,34.0
2018-05-29:07,51.0,31.0
2018-05-29:08,49.0,37.0
2018-05-29:09,47.0,32.0
2018-05-29:10,41.0,31.0
2018-05-29:11,50.0,37.0
2018-05-29:12,41.0,30.0
2018-05-29:13,44.0,28.0
2018-05-29:14,50.0,37.0
2018-05-29:15,45.0,37.0
2018-05-29:16,52.0,35.0
2018-05-29:17,39.0,20.0
2018-05-29:18,35.0,19.0
2018-05-29:19,34.0,22.0
2018-05-29:20,37.0,22.0
2018-05-29:21,32.0,30.0
2018-05-29:22,0.0,42.0
2018-05-29:23,50.0,39.0
2018-05-29:24,55.0,49.0
2018-05-30:01,54.0,43.0
2018-05-30:02,57.0,50.0
2018-05-30:03,58.0,50.0
2018-05-30:04,57.0,52.0
2018-05-30:05,62.0,52.0
2018-05-30:06,68.0,60.0
2018-05-30:07,73.0,60.0
2018-05-30:08,62.0,54.0
2018-05-30:09,54.0,44.0
2018-05-30:10,43.0,37.0
2018-05-30:11,48.0,33.0
2018-05-30:12,36.0,25.0
2018-05-30:13,38.0,29.0
2018-05-30:14,44.0,31.0
2018-05-30:15,48.0,29.0
2018-05-30:16,48.0,25.0
2018-05-30:17,40.0,21.0
2018-05-30:18,27.0,11.0
2018-05-30:19,36.0,21.0
2018-05-30:20,40.0,24.0
2018-05-30:21,37.0,23.0
2018-05-30:22,48.0,32.0
2018-05-30:23,50.0,37.0
2018-05-30:24,57.0,38.0
2018-05-31:01,56.0,44.0
2018-05-31:02,62.0,47.0
2018-05-31:03,62.0,47.0
2018-05-31:04,67.0,49.0
2018-05-31:05,57.0,41.0
2018-05-31:06,52.0,44.0
2018-05-31:07,54.0,39.0
2018-05-31:08,51.0,43.0
2018-05-31:09,48.0,29.0
2018-05-31:10,52.0,27.0
2018-05-31:11,56.0,34.0
2018-05-31:12,58.0,29.0
2018-05-31:13,60.0,34.0
2018-05-31:14,67.0,34.0
2018-05-31:15,44.0,24.0
2018-05-31:16,40.0,18.0
2018-05-31:17,39.0,16.0
2018-05-31:18,31.0,15.0
2018-05-31:19,34.0,22.0
2018-05-31:20,37.0,21.0
2018-05-31:21,52.0,27.0
2018-05-31:22,36.0,24.0
2018-05-31:23,34.0,23.0
2018-05-31:24,32.0,24.0
