time,pm10,pm2.5
2019-05-01:01,29.0,17.0
2019-05-01:02,29.0,17.0
2019-05-01:03,30.0,16.0
2019-05-01:04,32.0,17.0
2019-05-01:05,30.0,16.0
2019-05-01:06,33.0,23.0
2019-05-01:07,40.0,25.0
2019-05-01:08,41.0,29.0
2019-05-01:09,53.0,36.0
2019-05-01:10,56.0,43.0
2019-05-01:11,77.0,42.0
2019-05-01:12,90.0,52.0
2019-05-01:13,76.0,42.0
2019-05-01:14,76.0,36.0
2019-05-01:15,73.0,40.0
2019-05-01:16,82.0,41.0
2019-05-01:17,98.0,54.0
2019-05-01:18,104.0,46.0
2019-05-01:19,104.0,46.0
2019-05-01:20,122.0,41.0
2019-05-01:21,147.0,33.0
2019-05-01:22,147.0,25.0
2019-05-01:23,125.0,24.0
2019-05-01:24,0.0,23.0
2019-05-02:01,96.0,23.0
2019-05-02:02,85.0,25.0
2019-05-02:03,85.0,22.0
2019-05-02:04,76.0,21.0
2019-05-02:05,67.0,25.0
2019-05-02:06,71.0,23.0
2019-05-02:07,76.0,29.0
2019-05-02:08,77.0,25.0
2019-05-02:09,80.0,24.0
2019-05-02:10,66.0,19.0
2019-05-02:11,54.0,14.0
2019-05-02:12,38.0,10.0
2019-05-02:13,38.0,8.0
2019-05-02:14,40.0,10.0
2019-05-02:15,0.0,0.0
2019-05-02:16,57.0,13.0
2019-05-02:17,60.0,11.0
2019-05-02:18,60.0,11.0
2019-05-02:19,52.0,8.0
2019-05-02:20,31.0,8.0
2019-05-02:21,31.0,14.0
2019-05-02:22,33.0,15.0
2019-05-02:23,44.0,16.0
2019-05-02:24,44.0,21.0
2019-05-03:01,54.0,20.0
2019-05-03:02,50.0,24.0
2019-05-03:03,50.0,22.0
2019-05-03:04,42.0,23.0
2019-05-03:05,49.0,25.0
2019-05-03:06,39.0,19.0
2019-05-03:07,39.0,23.0
2019-05-03:08,43.0,24.0
2019-05-03:09,46.0,21.0
2019-05-03:10,46.0,27.0
2019-05-03:11,56.0,31.0
2019-05-03:12,64.0,37.0
2019-05-03:13,79.0,35.0
2019-05-03:14,0.0,0.0
2019-05-03:15,0.0,0.0
2019-05-03:16,0.0,0.0
2019-05-03:17,93.0,48.0
2019-05-03:18,92.0,49.0
2019-05-03:19,92.0,60.0
2019-05-03:20,99.0,69.0
2019-05-03:21,121.0,73.0
2019-05-03:22,121.0,81.0
2019-05-03:23,122.0,78.0
2019-05-03:24,111.0,77.0
2019-05-04:01,115.0,79.0
2019-05-04:02,115.0,85.0
2019-05-04:03,119.0,83.0
2019-05-04:04,118.0,92.0
2019-05-04:05,116.0,86.0
2019-05-04:06,115.0,83.0
2019-05-04:07,113.0,87.0
2019-05-04:08,109.0,91.0
2019-05-04:09,121.0,97.0
2019-05-04:10,133.0,92.0
2019-05-04:11,131.0,92.0
2019-05-04:12,124.0,86.0
2019-05-04:13,124.0,71.0
2019-05-04:14,102.0,59.0
2019-05-04:15,100.0,63.0
2019-05-04:16,107.0,69.0
2019-05-04:17,103.0,65.0
2019-05-04:18,103.0,51.0
2019-05-04:19,88.0,40.0
2019-05-04:20,70.0,37.0
2019-05-04:21,70.0,45.0
2019-05-04:22,69.0,45.0
2019-05-04:23,70.0,45.0
2019-05-04:24,70.0,47.0
2019-05-05:01,75.0,46.0
2019-05-05:02,69.0,50.0
2019-05-05:03,70.0,55.0
2019-05-05:04,78.0,62.0
2019-05-05:05,77.0,61.0
2019-05-05:06,79.0,57.0
2019-05-05:07,79.0,52.0
2019-05-05:08,69.0,55.0
2019-05-05:09,77.0,61.0
2019-05-05:10,87.0,72.0
2019-05-05:11,93.0,70.0
2019-05-05:12,99.0,63.0
2019-05-05:13,64.0,33.0
2019-05-05:14,65.0,37.0
2019-05-05:15,65.0,29.0
2019-05-05:16,58.0,24.0
2019-05-05:17,61.0,26.0
2019-05-05:18,62.0,33.0
2019-05-05:19,62.0,37.0
2019-05-05:20,54.0,32.0
2019-05-05:21,65.0,38.0
2019-05-05:22,65.0,45.0
2019-05-05:23,85.0,42.0
2019-05-05:24,59.0,16.0
2019-05-06:01,40.0,10.0
2019-05-06:02,40.0,10.0
2019-05-06:03,34.0,9.0
2019-05-06:04,21.0,6.0
2019-05-06:05,21.0,10.0
2019-05-06:06,24.0,8.0
2019-05-06:07,27.0,9.0
2019-05-06:08,31.0,13.0
2019-05-06:09,42.0,13.0
2019-05-06:10,34.0,17.0
2019-05-06:11,32.0,13.0
2019-05-06:12,30.0,12.0
2019-05-06:13,37.0,16.0
2019-05-06:14,37.0,14.0
2019-05-06:15,29.0,13.0
2019-05-06:16,32.0,11.0
2019-05-06:17,34.0,7.0
