time,pm10,pm2.5
2016-11-01:01,11.0,12.0
2016-11-01:02,9.0,4.0
2016-11-01:03,11.0,1.0
2016-11-01:04,7.0,1.0
2016-11-01:05,18.0,5.0
2016-11-01:06,16.0,8.0
2016-11-01:07,14.0,3.0
2016-11-01:08,17.0,7.0
2016-11-01:09,10.0,2.0
2016-11-01:10,5.0,1.0
2016-11-01:11,17.0,6.0
2016-11-01:12,0.0,0.0
2016-11-01:13,0.0,0.0
2016-11-01:14,0.0,0.0
2016-11-01:15,0.0,0.0
2016-11-01:16,0.0,0.0
2016-11-01:17,0.0,0.0
2016-11-01:18,0.0,0.0
2016-11-01:19,0.0,0.0
2016-11-01:20,0.0,0.0
2016-11-01:21,0.0,0.0
2016-11-01:22,0.0,0.0
2016-11-01:23,0.0,0.0
2016-11-01:24,0.0,0.0
2016-11-02:01,0.0,0.0
2016-11-02:02,0.0,0.0
2016-11-02:03,0.0,0.0
2016-11-02:04,0.0,0.0
2016-11-02:05,0.0,0.0
2016-11-02:06,0.0,0.0
2016-11-02:07,0.0,0.0
2016-11-02:08,0.0,0.0
2016-11-02:09,0.0,0.0
2016-11-02:10,0.0,0.0
2016-11-02:11,0.0,0.0
2016-11-02:12,0.0,0.0
2016-11-02:13,0.0,0.0
2016-11-02:14,0.0,0.0
2016-11-02:15,0.0,0.0
2016-11-02:16,0.0,0.0
2016-11-02:17,0.0,0.0
2016-11-02:18,0.0,0.0
2016-11-02:19,0.0,0.0
2016-11-02:20,0.0,0.0
2016-11-02:21,0.0,0.0
2016-11-02:22,0.0,0.0
2016-11-02:23,0.0,0.0
2016-11-02:24,0.0,0.0
2016-11-03:01,0.0,0.0
2016-11-03:02,0.0,0.0
2016-11-03:03,0.0,0.0
2016-11-03:04,0.0,0.0
2016-11-03:05,0.0,0.0
2016-11-03:06,0.0,0.0
2016-11-03:07,0.0,0.0
2016-11-03:08,0.0,0.0
2016-11-03:09,0.0,0.0
2016-11-03:10,0.0,0.0
2016-11-03:11,0.0,0.0
2016-11-03:12,0.0,0.0
2016-11-03:13,0.0,0.0
2016-11-03:14,0.0,0.0
2016-11-03:15,0.0,0.0
2016-11-03:16,0.0,0.0
2016-11-03:17,0.0,0.0
2016-11-03:18,0.0,0.0
2016-11-03:19,0.0,0.0
2016-11-03:20,0.0,0.0
2016-11-03:21,0.0,0.0
2016-11-03:22,0.0,0.0
2016-11-03:23,0.0,0.0
2016-11-03:24,0.0,0.0
2016-11-04:01,0.0,0.0
2016-11-04:02,0.0,0.0
2016-11-04:03,0.0,0.0
2016-11-04:04,0.0,0.0
2016-11-04:05,0.0,0.0
2016-11-04:06,0.0,0.0
2016-11-04:07,0.0,0.0
2016-11-04:08,0.0,0.0
2016-11-04:09,0.0,0.0
2016-11-04:10,0.0,0.0
2016-11-04:11,0.0,0.0
2016-11-04:12,0.0,0.0
2016-11-04:13,0.0,0.0
2016-11-04:14,0.0,0.0
2016-11-04:15,0.0,0.0
2016-11-04:16,0.0,0.0
2016-11-04:17,0.0,0.0
2016-11-04:18,0.0,0.0
2016-11-04:19,0.0,0.0
2016-11-04:20,0.0,0.0
2016-11-04:21,0.0,0.0
2016-11-04:22,0.0,0.0
2016-11-04:23,0.0,0.0
2016-11-04:24,0.0,0.0
2016-11-05:01,0.0,0.0
2016-11-05:02,0.0,0.0
2016-11-05:03,0.0,0.0
2016-11-05:04,0.0,0.0
2016-11-05:05,0.0,0.0
2016-11-05:06,0.0,0.0
2016-11-05:07,0.0,0.0
2016-11-05:08,0.0,0.0
2016-11-05:09,0.0,0.0
2016-11-05:10,0.0,0.0
2016-11-05:11,0.0,0.0
2016-11-05:12,0.0,0.0
2016-11-05:13,0.0,0.0
2016-11-05:14,0.0,0.0
2016-11-05:15,0.0,0.0
2016-11-05:16,0.0,0.0
2016-11-05:17,0.0,0.0
2016-11-05:18,0.0,0.0
2016-11-05:19,0.0,0.0
2016-11-05:20,0.0,0.0
2016-11-05:21,0.0,0.0
2016-11-05:22,0.0,0.0
2016-11-05:23,0.0,0.0
2016-11-05:24,0.0,0.0
2016-11-06:01,0.0,0.0
2016-11-06:02,0.0,0.0
2016-11-06:03,0.0,0.0
2016-11-06:04,0.0,0.0
2016-11-06:05,0.0,0.0
2016-11-06:06,0.0,0.0
2016-11-06:07,0.0,0.0
2016-11-06:08,0.0,0.0
2016-11-06:09,0.0,0.0
2016-11-06:10,0.0,0.0
2016-11-06:11,0.0,0.0
2016-11-06:12,0.0,0.0
2016-11-06:13,0.0,0.0
2016-11-06:14,0.0,0.0
2016-11-06:15,0.0,0.0
2016-11-06:16,0.0,0.0
2016-11-06:17,0.0,0.0
2016-11-06:18,0.0,0.0
2016-11-06:19,0.0,0.0
2016-11-06:20,0.0,0.0
2016-11-06:21,0.0,0.0
2016-11-06:22,0.0,0.0
2016-11-06:23,0.0,0.0
2016-11-06:24,0.0,0.0
2016-11-07:01,0.0,0.0
2016-11-07:02,0.0,0.0
2016-11-07:03,0.0,0.0
2016-11-07:04,0.0,0.0
2016-11-07:05,0.0,0.0
2016-11-07:06,0.0,0.0
2016-11-07:07,0.0,0.0
2016-11-07:08,0.0,0.0
2016-11-07:09,0.0,0.0
2016-11-07:10,0.0,0.0
2016-11-07:11,0.0,0.0
2016-11-07:12,0.0,0.0
2016-11-07:13,0.0,0.0
2016-11-07:14,0.0,0.0
2016-11-07:15,0.0,0.0
2016-11-07:16,0.0,0.0
2016-11-07:17,0.0,0.0
2016-11-07:18,0.0,0.0
2016-11-07:19,0.0,0.0
2016-11-07:20,0.0,0.0
2016-11-07:21,0.0,0.0
2016-11-07:22,0.0,0.0
2016-11-07:23,0.0,0.0
2016-11-07:24,0.0,0.0
2016-11-08:01,0.0,0.0
2016-11-08:02,0.0,0.0
2016-11-08:03,0.0,0.0
2016-11-08:04,0.0,0.0
2016-11-08:05,0.0,0.0
2016-11-08:06,0.0,0.0
2016-11-08:07,0.0,0.0
2016-11-08:08,0.0,0.0
2016-11-08:09,0.0,0.0
2016-11-08:10,0.0,0.0
2016-11-08:11,0.0,0.0
2016-11-08:12,0.0,0.0
2016-11-08:13,0.0,0.0
2016-11-08:14,0.0,0.0
2016-11-08:15,0.0,0.0
2016-11-08:16,0.0,0.0
2016-11-08:17,0.0,0.0
2016-11-08:18,0.0,0.0
2016-11-08:19,0.0,0.0
2016-11-08:20,0.0,0.0
2016-11-08:21,0.0,0.0
2016-11-08:22,0.0,0.0
2016-11-08:23,0.0,0.0
2016-11-08:24,0.0,0.0
2016-11-09:01,0.0,0.0
2016-11-09:02,0.0,0.0
2016-11-09:03,0.0,0.0
2016-11-09:04,0.0,0.0
2016-11-09:05,0.0,0.0
2016-11-09:06,0.0,0.0
2016-11-09:07,0.0,0.0
2016-11-09:08,0.0,0.0
2016-11-09:09,0.0,0.0
2016-11-09:10,0.0,0.0
2016-11-09:11,0.0,0.0
2016-11-09:12,0.0,0.0
2016-11-09:13,0.0,0.0
2016-11-09:14,0.0,0.0
2016-11-09:15,0.0,0.0
2016-11-09:16,0.0,0.0
2016-11-09:17,0.0,0.0
2016-11-09:18,0.0,0.0
2016-11-09:19,0.0,0.0
2016-11-09:20,0.0,0.0
2016-11-09:21,0.0,0.0
2016-11-09:22,0.0,0.0
2016-11-09:23,0.0,0.0
2016-11-09:24,0.0,0.0
2016-11-10:01,0.0,0.0
2016-11-10:02,0.0,0.0
2016-11-10:03,0.0,0.0
2016-11-10:04,0.0,0.0
2016-11-10:05,0.0,0.0
2016-11-10:06,0.0,0.0
2016-11-10:07,0.0,0.0
2016-11-10:08,0.0,0.0
2016-11-10:09,0.0,0.0
2016-11-10:10,0.0,0.0
2016-11-10:11,0.0,0.0
2016-11-10:12,0.0,0.0
2016-11-10:13,0.0,0.0
2016-11-10:14,0.0,0.0
2016-11-10:15,0.0,0.0
