time,pm10,pm2.5
2016-06-01:01,48.0,29.0
2016-06-01:02,57.0,33.0
2016-06-01:03,54.0,30.0
2016-06-01:04,50.0,27.0
2016-06-01:05,50.0,26.0
2016-06-01:06,57.0,34.0
2016-06-01:07,54.0,28.0
2016-06-01:08,55.0,28.0
2016-06-01:09,50.0,19.0
2016-06-01:10,49.0,13.0
2016-06-01:11,40.0,14.0
2016-06-01:12,35.0,16.0
2016-06-01:13,39.0,15.0
2016-06-01:14,39.0,16.0
2016-06-01:15,43.0,20.0
2016-06-01:16,38.0,16.0
2016-06-01:17,35.0,13.0
2016-06-01:18,37.0,18.0
2016-06-01:19,42.0,15.0
2016-06-01:20,30.0,20.0
2016-06-01:21,30.0,16.0
2016-06-01:22,26.0,15.0
2016-06-01:23,24.0,11.0
2016-06-01:24,22.0,17.0
2016-06-02:01,27.0,13.0
2016-06-02:02,26.0,14.0
2016-06-02:03,25.0,11.0
2016-06-02:04,21.0,14.0
2016-06-02:05,25.0,12.0
2016-06-02:06,19.0,10.0
2016-06-02:07,23.0,12.0
2016-06-02:08,25.0,13.0
2016-06-02:09,25.0,8.0
2016-06-02:10,30.0,11.0
2016-06-02:11,37.0,8.0
2016-06-02:12,30.0,9.0
2016-06-02:13,37.0,19.0
2016-06-02:14,39.0,11.0
2016-06-02:15,52.0,28.0
2016-06-02:16,60.0,25.0
2016-06-02:17,56.0,27.0
2016-06-02:18,49.0,17.0
2016-06-02:19,50.0,22.0
2016-06-02:20,49.0,28.0
2016-06-02:21,51.0,13.0
2016-06-02:22,40.0,10.0
2016-06-02:23,30.0,14.0
2016-06-02:24,35.0,13.0
2016-06-03:01,38.0,21.0
2016-06-03:02,38.0,14.0
2016-06-03:03,46.0,23.0
2016-06-03:04,51.0,27.0
2016-06-03:05,51.0,35.0
2016-06-03:06,44.0,25.0
2016-06-03:07,45.0,24.0
2016-06-03:08,36.0,20.0
2016-06-03:09,40.0,21.0
2016-06-03:10,43.0,19.0
2016-06-03:11,44.0,19.0
2016-06-03:12,48.0,13.0
2016-06-03:13,48.0,22.0
2016-06-03:14,47.0,21.0
2016-06-03:15,46.0,23.0
2016-06-03:16,48.0,22.0
2016-06-03:17,48.0,25.0
2016-06-03:18,50.0,24.0
2016-06-03:19,53.0,29.0
2016-06-03:20,43.0,22.0
2016-06-03:21,51.0,16.0
2016-06-03:22,46.0,26.0
2016-06-03:23,52.0,25.0
2016-06-03:24,47.0,26.0
2016-06-04:01,47.0,33.0
2016-06-04:02,50.0,32.0
2016-06-04:03,41.0,25.0
2016-06-04:04,46.0,24.0
2016-06-04:05,48.0,28.0
2016-06-04:06,53.0,33.0
2016-06-04:07,52.0,31.0
2016-06-04:08,50.0,28.0
2016-06-04:09,56.0,33.0
2016-06-04:10,57.0,25.0
2016-06-04:11,59.0,24.0
2016-06-04:12,59.0,21.0
2016-06-04:13,52.0,21.0
2016-06-04:14,48.0,21.0
2016-06-04:15,40.0,16.0
2016-06-04:16,43.0,21.0
2016-06-04:17,52.0,21.0
2016-06-04:18,45.0,26.0
2016-06-04:19,61.0,25.0
