time,pm10,pm2.5
2017-10-01:01,86.0,32.0
2017-10-01:02,71.0,42.0
2017-10-01:03,66.0,45.0
2017-10-01:04,50.0,34.0
2017-10-01:05,47.0,30.0
2017-10-01:06,43.0,28.0
2017-10-01:07,43.0,28.0
2017-10-01:08,40.0,24.0
2017-10-01:09,41.0,22.0
2017-10-01:10,33.0,19.0
2017-10-01:11,45.0,23.0
2017-10-01:12,39.0,20.0
2017-10-01:13,43.0,25.0
2017-10-01:14,33.0,24.0
2017-10-01:15,34.0,15.0
2017-10-01:16,33.0,16.0
2017-10-01:17,27.0,17.0
2017-10-01:18,29.0,18.0
2017-10-01:19,42.0,25.0
2017-10-01:20,39.0,21.0
2017-10-01:21,34.0,20.0
2017-10-01:22,27.0,18.0
2017-10-01:23,18.0,15.0
2017-10-01:24,18.0,9.0
2017-10-02:01,16.0,7.0
2017-10-02:02,9.0,10.0
2017-10-02:03,12.0,8.0
2017-10-02:04,13.0,9.0
2017-10-02:05,7.0,6.0
2017-10-02:06,14.0,12.0
2017-10-02:07,16.0,7.0
2017-10-02:08,17.0,15.0
2017-10-02:09,18.0,10.0
2017-10-02:10,15.0,6.0
2017-10-02:11,19.0,9.0
2017-10-02:12,14.0,10.0
2017-10-02:13,20.0,8.0
2017-10-02:14,19.0,11.0
2017-10-02:15,15.0,8.0
2017-10-02:16,19.0,6.0
2017-10-02:17,19.0,13.0
2017-10-02:18,24.0,13.0
2017-10-02:19,31.0,19.0
2017-10-02:20,32.0,19.0
2017-10-02:21,37.0,22.0
2017-10-02:22,49.0,22.0
2017-10-02:23,60.0,20.0
2017-10-02:24,65.0,19.0
2017-10-03:01,49.0,18.0
2017-10-03:02,64.0,19.0
2017-10-03:03,53.0,11.0
2017-10-03:04,47.0,9.0
2017-10-03:05,49.0,9.0
2017-10-03:06,43.0,11.0
2017-10-03:07,39.0,12.0
2017-10-03:08,39.0,5.0
2017-10-03:09,40.0,7.0
2017-10-03:10,37.0,6.0
2017-10-03:11,42.0,12.0
2017-10-03:12,40.0,11.0
2017-10-03:13,33.0,9.0
2017-10-03:14,32.0,13.0
2017-10-03:15,38.0,13.0
2017-10-03:16,39.0,13.0
2017-10-03:17,36.0,13.0
2017-10-03:18,35.0,14.0
2017-10-03:19,31.0,15.0
2017-10-03:20,49.0,18.0
2017-10-03:21,53.0,15.0
2017-10-03:22,47.0,12.0
2017-10-03:23,52.0,11.0
2017-10-03:24,38.0,13.0
2017-10-04:01,43.0,16.0
2017-10-04:02,41.0,10.0
2017-10-04:03,41.0,11.0
2017-10-04:04,39.0,10.0
2017-10-04:05,37.0,8.0
2017-10-04:06,32.0,6.0
2017-10-04:07,29.0,9.0
2017-10-04:08,23.0,11.0
2017-10-04:09,16.0,6.0
2017-10-04:10,24.0,5.0
2017-10-04:11,22.0,11.0
2017-10-04:12,23.0,4.0
2017-10-04:13,18.0,9.0
2017-10-04:14,21.0,6.0
2017-10-04:15,21.0,12.0
2017-10-04:16,22.0,9.0
2017-10-04:17,25.0,9.0
2017-10-04:18,20.0,12.0
2017-10-04:19,21.0,15.0
2017-10-04:20,22.0,7.0
2017-10-04:21,22.0,8.0
2017-10-04:22,19.0,8.0
2017-10-04:23,20.0,12.0
2017-10-04:24,26.0,9.0
2017-10-05:01,21.0,11.0
2017-10-05:02,21.0,8.0
2017-10-05:03,19.0,11.0
2017-10-05:04,15.0,9.0
2017-10-05:05,13.0,8.0
2017-10-05:06,13.0,8.0
