time,pm10,pm2.5
2017-12-01:01,25.0,8.0
2017-12-01:02,21.0,13.0
2017-12-01:03,20.0,11.0
2017-12-01:04,21.0,9.0
2017-12-01:05,30.0,13.0
2017-12-01:06,24.0,10.0
2017-12-01:07,23.0,10.0
2017-12-01:08,23.0,12.0
2017-12-01:09,18.0,7.0
2017-12-01:10,22.0,5.0
2017-12-01:11,29.0,13.0
2017-12-01:12,27.0,6.0
2017-12-01:13,28.0,14.0
2017-12-01:14,23.0,8.0
2017-12-01:15,34.0,14.0
2017-12-01:16,35.0,15.0
2017-12-01:17,27.0,17.0
2017-12-01:18,25.0,9.0
2017-12-01:19,28.0,14.0
2017-12-01:20,21.0,17.0
2017-12-01:21,0.0,0.0
2017-12-01:22,33.0,21.0
2017-12-01:23,30.0,24.0
2017-12-01:24,37.0,21.0
2017-12-02:01,39.0,31.0
2017-12-02:02,36.0,24.0
2017-12-02:03,39.0,21.0
2017-12-02:04,32.0,24.0
2017-12-02:05,34.0,18.0
2017-12-02:06,35.0,23.0
2017-12-02:07,29.0,18.0
2017-12-02:08,30.0,15.0
2017-12-02:09,35.0,18.0
2017-12-02:10,41.0,27.0
2017-12-02:11,41.0,19.0
2017-12-02:12,43.0,18.0
2017-12-02:13,42.0,21.0
2017-12-02:14,36.0,21.0
2017-12-02:15,39.0,21.0
2017-12-02:16,41.0,16.0
2017-12-02:17,43.0,24.0
2017-12-02:18,36.0,20.0
2017-12-02:19,38.0,26.0
2017-12-02:20,46.0,27.0
2017-12-02:21,56.0,43.0
2017-12-02:22,63.0,41.0
2017-12-02:23,60.0,37.0
2017-12-02:24,55.0,38.0
2017-12-03:01,52.0,34.0
2017-12-03:02,48.0,28.0
2017-12-03:03,40.0,29.0
2017-12-03:04,37.0,27.0
2017-12-03:05,33.0,22.0
2017-12-03:06,40.0,31.0
2017-12-03:07,37.0,22.0
2017-12-03:08,38.0,32.0
2017-12-03:09,31.0,23.0
2017-12-03:10,28.0,22.0
2017-12-03:11,27.0,20.0
2017-12-03:12,34.0,21.0
2017-12-03:13,29.0,27.0
2017-12-03:14,34.0,23.0
2017-12-03:15,42.0,34.0
2017-12-03:16,56.0,37.0
2017-12-03:17,61.0,46.0
2017-12-03:18,87.0,37.0
2017-12-03:19,73.0,39.0
2017-12-03:20,70.0,50.0
2017-12-03:21,82.0,64.0
2017-12-03:22,86.0,60.0
2017-12-03:23,81.0,56.0
2017-12-03:24,73.0,45.0
2017-12-04:01,63.0,29.0
2017-12-04:02,68.0,40.0
2017-12-04:03,62.0,39.0
2017-12-04:04,79.0,48.0
2017-12-04:05,93.0,71.0
2017-12-04:06,89.0,72.0
2017-12-04:07,74.0,56.0
2017-12-04:08,61.0,44.0
2017-12-04:09,58.0,36.0
2017-12-04:10,45.0,16.0
2017-12-04:11,0.0,0.0
2017-12-04:12,34.0,16.0
2017-12-04:13,32.0,20.0
2017-12-04:14,31.0,8.0
2017-12-04:15,23.0,16.0
2017-12-04:16,25.0,14.0
2017-12-04:17,26.0,0.0
2017-12-04:18,19.0,7.0
2017-12-04:19,23.0,0.0
2017-12-04:20,19.0,6.0
2017-12-04:21,15.0,9.0
2017-12-04:22,26.0,0.0
2017-12-04:23,20.0,11.0
2017-12-04:24,17.0,12.0
2017-12-05:01,19.0,14.0
2017-12-05:02,26.0,13.0
2017-12-05:03,17.0,11.0
2017-12-05:04,21.0,6.0
2017-12-05:05,0.0,13.0
2017-12-05:06,15.0,7.0
2017-12-05:07,16.0,9.0
2017-12-05:08,16.0,5.0
2017-12-05:09,16.0,5.0
2017-12-05:10,13.0,6.0
2017-12-05:11,17.0,3.0
2017-12-05:12,28.0,12.0
2017-12-05:13,24.0,8.0
2017-12-05:14,27.0,11.0
2017-12-05:15,31.0,0.0
2017-12-05:16,29.0,20.0
2017-12-05:17,35.0,20.0
2017-12-05:18,28.0,14.0
2017-12-05:19,32.0,20.0
2017-12-05:20,28.0,18.0
2017-12-05:21,35.0,19.0
2017-12-05:22,33.0,18.0
2017-12-05:23,27.0,19.0
2017-12-05:24,31.0,22.0
2017-12-06:01,32.0,18.0
2017-12-06:02,23.0,16.0
2017-12-06:03,30.0,24.0
2017-12-06:04,26.0,22.0
2017-12-06:05,22.0,19.0
2017-12-06:06,29.0,20.0
2017-12-06:07,25.0,21.0
2017-12-06:08,32.0,24.0
2017-12-06:09,30.0,25.0
2017-12-06:10,27.0,19.0
2017-12-06:11,32.0,22.0
2017-12-06:12,38.0,0.0
2017-12-06:13,35.0,29.0
2017-12-06:14,37.0,35.0
2017-12-06:15,28.0,0.0
2017-12-06:16,32.0,21.0
2017-12-06:17,32.0,20.0
2017-12-06:18,39.0,28.0
2017-12-06:19,31.0,28.0
2017-12-06:20,25.0,0.0
2017-12-06:21,36.0,20.0
2017-12-06:22,37.0,37.0
2017-12-06:23,40.0,36.0
2017-12-06:24,41.0,34.0
2017-12-07:01,39.0,34.0
2017-12-07:02,40.0,29.0
2017-12-07:03,44.0,36.0
2017-12-07:04,66.0,43.0
2017-12-07:05,40.0,28.0
2017-12-07:06,38.0,30.0
2017-12-07:07,44.0,31.0
2017-12-07:08,53.0,36.0
2017-12-07:09,60.0,32.0
2017-12-07:10,53.0,32.0
2017-12-07:11,59.0,41.0
2017-12-07:12,66.0,59.0
2017-12-07:13,56.0,45.0
2017-12-07:14,14.0,14.0
2017-12-07:15,13.0,8.0
2017-12-07:16,23.0,15.0
2017-12-07:17,35.0,29.0
2017-12-07:18,43.0,26.0
2017-12-07:19,47.0,43.0
2017-12-07:20,54.0,41.0
2017-12-07:21,56.0,40.0
2017-12-07:22,37.0,31.0
2017-12-07:23,34.0,32.0
2017-12-07:24,35.0,28.0
2017-12-08:01,39.0,29.0
2017-12-08:02,35.0,27.0
2017-12-08:03,37.0,29.0
2017-12-08:04,32.0,28.0
2017-12-08:05,35.0,17.0
2017-12-08:06,32.0,24.0
2017-12-08:07,37.0,28.0
2017-12-08:08,33.0,23.0
2017-12-08:09,42.0,33.0
2017-12-08:10,36.0,26.0
2017-12-08:11,45.0,25.0
2017-12-08:12,45.0,28.0
2017-12-08:13,35.0,27.0
2017-12-08:14,31.0,15.0
2017-12-08:15,31.0,19.0
2017-12-08:16,45.0,31.0
2017-12-08:17,36.0,24.0
2017-12-08:18,22.0,10.0
2017-12-08:19,21.0,12.0
2017-12-08:20,25.0,17.0
2017-12-08:21,32.0,29.0
2017-12-08:22,23.0,19.0
2017-12-08:23,29.0,16.0
2017-12-08:24,35.0,23.0
2017-12-09:01,32.0,21.0
2017-12-09:02,42.0,0.0
2017-12-09:03,39.0,31.0
2017-12-09:04,34.0,21.0
2017-12-09:05,31.0,26.0
2017-12-09:06,38.0,29.0
2017-12-09:07,36.0,25.0
2017-12-09:08,42.0,26.0
2017-12-09:09,39.0,27.0
2017-12-09:10,36.0,22.0
2017-12-09:11,49.0,29.0
2017-12-09:12,60.0,36.0
2017-12-09:13,40.0,23.0
2017-12-09:14,38.0,24.0
2017-12-09:15,35.0,0.0
2017-12-09:16,27.0,17.0
2017-12-09:17,46.0,33.0
2017-12-09:18,47.0,22.0
2017-12-09:19,38.0,28.0
2017-12-09:20,45.0,19.0
2017-12-09:21,63.0,38.0
2017-12-09:22,55.0,35.0
2017-12-09:23,44.0,34.0
2017-12-09:24,51.0,38.0
2017-12-10:01,41.0,29.0
2017-12-10:02,44.0,34.0
2017-12-10:03,44.0,32.0
2017-12-10:04,43.0,33.0
2017-12-10:05,36.0,26.0
2017-12-10:06,34.0,28.0
2017-12-10:07,30.0,28.0
2017-12-10:08,22.0,15.0
2017-12-10:09,29.0,22.0
2017-12-10:10,27.0,22.0
2017-12-10:11,30.0,19.0
2017-12-10:12,28.0,28.0
2017-12-10:13,21.0,0.0
2017-12-10:14,26.0,18.0
2017-12-10:15,40.0,35.0
2017-12-10:16,66.0,44.0
2017-12-10:17,70.0,54.0
2017-12-10:18,45.0,41.0
2017-12-10:19,19.0,5.0
2017-12-10:20,13.0,14.0
2017-12-10:21,27.0,0.0
2017-12-10:22,36.0,27.0
2017-12-10:23,42.0,23.0
2017-12-10:24,39.0,16.0
2017-12-11:01,56.0,13.0
2017-12-11:02,69.0,14.0
2017-12-11:03,79.0,11.0
2017-12-11:04,79.0,16.0
2017-12-11:05,95.0,7.0
2017-12-11:06,101.0,12.0
2017-12-11:07,102.0,13.0
2017-12-11:08,93.0,11.0
2017-12-11:09,89.0,8.0
2017-12-11:10,66.0,10.0
2017-12-11:11,47.0,5.0
2017-12-11:12,43.0,6.0
2017-12-11:13,47.0,12.0
2017-12-11:14,43.0,14.0
2017-12-11:15,34.0,5.0
2017-12-11:16,30.0,16.0
2017-12-11:17,36.0,16.0
2017-12-11:18,23.0,8.0
2017-12-11:19,21.0,15.0
2017-12-11:20,21.0,13.0
2017-12-11:21,0.0,17.0
2017-12-11:22,31.0,15.0
2017-12-11:23,28.0,18.0
2017-12-11:24,29.0,18.0
