time,pm10,pm2.5
2019-01-01:01,41.0,29.0
2019-01-01:02,51.0,31.0
2019-01-01:03,42.0,30.0
2019-01-01:04,44.0,30.0
2019-01-01:05,50.0,33.0
2019-01-01:06,53.0,35.0
2019-01-01:07,44.0,29.0
2019-01-01:08,43.0,29.0
2019-01-01:09,44.0,31.0
2019-01-01:10,54.0,37.0
2019-01-01:11,55.0,25.0
2019-01-01:12,50.0,26.0
2019-01-01:13,50.0,32.0
2019-01-01:14,52.0,32.0
2019-01-01:15,50.0,31.0
2019-01-01:16,44.0,23.0
2019-01-01:17,40.0,19.0
2019-01-01:18,35.0,21.0
2019-01-01:19,41.0,19.0
2019-01-01:20,41.0,18.0
2019-01-01:21,31.0,15.0
2019-01-01:22,26.0,15.0
2019-01-01:23,24.0,13.0
2019-01-01:24,27.0,20.0
2019-01-02:01,28.0,16.0
2019-01-02:02,21.0,16.0
2019-01-02:03,25.0,15.0
2019-01-02:04,19.0,15.0
2019-01-02:05,23.0,19.0
2019-01-02:06,29.0,19.0
2019-01-02:07,31.0,23.0
2019-01-02:08,36.0,25.0
2019-01-02:09,40.0,33.0
2019-01-02:10,51.0,35.0
2019-01-02:11,63.0,36.0
2019-01-02:12,51.0,20.0
2019-01-02:13,55.0,25.0
2019-01-02:14,51.0,26.0
2019-01-02:15,39.0,16.0
2019-01-02:16,41.0,13.0
2019-01-02:17,44.0,19.0
2019-01-02:18,51.0,24.0
2019-01-02:19,44.0,23.0
2019-01-02:20,48.0,28.0
2019-01-02:21,48.0,29.0
2019-01-02:22,44.0,30.0
2019-01-02:23,41.0,29.0
2019-01-02:24,28.0,19.0
2019-01-03:01,35.0,17.0
2019-01-03:02,34.0,17.0
2019-01-03:03,31.0,19.0
2019-01-03:04,36.0,20.0
2019-01-03:05,35.0,22.0
2019-01-03:06,37.0,32.0
2019-01-03:07,42.0,33.0
2019-01-03:08,47.0,32.0
2019-01-03:09,53.0,35.0
2019-01-03:10,62.0,37.0
2019-01-03:11,80.0,46.0
2019-01-03:12,66.0,39.0
2019-01-03:13,51.0,18.0
2019-01-03:14,50.0,25.0
2019-01-03:15,47.0,20.0
2019-01-03:16,41.0,21.0
2019-01-03:17,55.0,25.0
2019-01-03:18,49.0,27.0
2019-01-03:19,42.0,17.0
2019-01-03:20,55.0,23.0
2019-01-03:21,42.0,24.0
2019-01-03:22,41.0,20.0
2019-01-03:23,0.0,25.0
2019-01-03:24,62.0,38.0
2019-01-04:01,69.0,41.0
2019-01-04:02,65.0,45.0
2019-01-04:03,64.0,44.0
2019-01-04:04,57.0,41.0
2019-01-04:05,50.0,37.0
2019-01-04:06,48.0,35.0
2019-01-04:07,53.0,38.0
2019-01-04:08,54.0,39.0
2019-01-04:09,57.0,35.0
2019-01-04:10,73.0,38.0
2019-01-04:11,73.0,39.0
2019-01-04:12,85.0,49.0
2019-01-04:13,99.0,60.0
2019-01-04:14,0.0,0.0
2019-01-04:15,91.0,65.0
2019-01-04:16,86.0,64.0
2019-01-04:17,72.0,52.0
2019-01-04:18,60.0,48.0
2019-01-04:19,49.0,42.0
2019-01-04:20,52.0,45.0
2019-01-04:21,55.0,42.0
2019-01-04:22,56.0,44.0
2019-01-04:23,65.0,54.0
2019-01-04:24,74.0,63.0
2019-01-05:01,99.0,87.0
2019-01-05:02,107.0,95.0
2019-01-05:03,130.0,117.0
2019-01-05:04,121.0,102.0
2019-01-05:05,103.0,88.0
2019-01-05:06,85.0,67.0
2019-01-05:07,77.0,47.0
2019-01-05:08,65.0,41.0
2019-01-05:09,76.0,42.0
2019-01-05:10,91.0,45.0
2019-01-05:11,79.0,43.0
2019-01-05:12,71.0,38.0
2019-01-05:13,62.0,29.0
2019-01-05:14,50.0,22.0
2019-01-05:15,45.0,19.0
2019-01-05:16,45.0,14.0
2019-01-05:17,49.0,14.0
2019-01-05:18,49.0,16.0
2019-01-05:19,45.0,15.0
2019-01-05:20,40.0,13.0
2019-01-05:21,41.0,18.0
2019-01-05:22,39.0,12.0
2019-01-05:23,45.0,17.0
2019-01-05:24,50.0,14.0
2019-01-06:01,48.0,21.0
2019-01-06:02,61.0,22.0
2019-01-06:03,54.0,19.0
2019-01-06:04,54.0,23.0
2019-01-06:05,59.0,23.0
2019-01-06:06,49.0,26.0
2019-01-06:07,53.0,27.0
2019-01-06:08,56.0,27.0
2019-01-06:09,59.0,30.0
2019-01-06:10,71.0,33.0
2019-01-06:11,75.0,38.0
2019-01-06:12,80.0,36.0
2019-01-06:13,81.0,38.0
2019-01-06:14,66.0,35.0
2019-01-06:15,85.0,42.0
2019-01-06:16,64.0,28.0
2019-01-06:17,48.0,21.0
2019-01-06:18,47.0,20.0
2019-01-06:19,30.0,17.0
2019-01-06:20,29.0,16.0
2019-01-06:21,30.0,14.0
2019-01-06:22,36.0,22.0
2019-01-06:23,0.0,19.0
2019-01-06:24,43.0,22.0
2019-01-07:01,44.0,30.0
2019-01-07:02,45.0,29.0
2019-01-07:03,48.0,29.0
2019-01-07:04,36.0,25.0
2019-01-07:05,36.0,26.0
2019-01-07:06,44.0,30.0
2019-01-07:07,40.0,34.0
2019-01-07:08,44.0,32.0
2019-01-07:09,53.0,38.0
2019-01-07:10,67.0,41.0
2019-01-07:11,82.0,47.0
2019-01-07:12,99.0,51.0
2019-01-07:13,80.0,42.0
2019-01-07:14,75.0,45.0
2019-01-07:15,87.0,55.0
2019-01-07:16,93.0,60.0
2019-01-07:17,91.0,56.0
