time,pm10,pm2.5
2017-06-01:01,33.0,20.0
2017-06-01:02,34.0,20.0
2017-06-01:03,38.0,18.0
2017-06-01:04,28.0,23.0
2017-06-01:05,33.0,20.0
2017-06-01:06,30.0,17.0
2017-06-01:07,31.0,17.0
2017-06-01:08,30.0,18.0
2017-06-01:09,38.0,20.0
2017-06-01:10,39.0,20.0
2017-06-01:11,50.0,25.0
2017-06-01:12,31.0,17.0
2017-06-01:13,45.0,27.0
2017-06-01:14,56.0,20.0
2017-06-01:15,51.0,20.0
2017-06-01:16,43.0,17.0
2017-06-01:17,46.0,18.0
2017-06-01:18,53.0,15.0
2017-06-01:19,55.0,10.0
2017-06-01:20,89.0,16.0
2017-06-01:21,85.0,15.0
2017-06-01:22,67.0,14.0
2017-06-01:23,57.0,10.0
2017-06-01:24,53.0,15.0
2017-06-02:01,48.0,12.0
2017-06-02:02,46.0,14.0
2017-06-02:03,26.0,7.0
2017-06-02:04,20.0,6.0
2017-06-02:05,19.0,15.0
2017-06-02:06,22.0,6.0
2017-06-02:07,27.0,10.0
2017-06-02:08,29.0,12.0
2017-06-02:09,31.0,13.0
2017-06-02:10,18.0,8.0
2017-06-02:11,20.0,6.0
2017-06-02:12,21.0,6.0
2017-06-02:13,31.0,8.0
2017-06-02:14,0.0,0.0
2017-06-02:15,0.0,0.0
2017-06-02:16,30.0,3.0
2017-06-02:17,36.0,4.0
2017-06-02:18,47.0,13.0
2017-06-02:19,57.0,15.0
2017-06-02:20,46.0,9.0
2017-06-02:21,53.0,3.0
2017-06-02:22,33.0,7.0
2017-06-02:23,37.0,11.0
2017-06-02:24,22.0,6.0
2017-06-03:01,18.0,8.0
2017-06-03:02,33.0,4.0
2017-06-03:03,26.0,9.0
2017-06-03:04,30.0,7.0
2017-06-03:05,30.0,12.0
2017-06-03:06,26.0,12.0
2017-06-03:07,30.0,11.0
2017-06-03:08,22.0,12.0
2017-06-03:09,42.0,13.0
2017-06-03:10,35.0,14.0
2017-06-03:11,37.0,13.0
2017-06-03:12,42.0,13.0
2017-06-03:13,30.0,13.0
2017-06-03:14,36.0,13.0
2017-06-03:15,40.0,10.0
2017-06-03:16,35.0,0.0
2017-06-03:17,47.0,7.0
2017-06-03:18,53.0,0.0
2017-06-03:19,42.0,12.0
2017-06-03:20,43.0,11.0
2017-06-03:21,33.0,16.0
2017-06-03:22,35.0,11.0
2017-06-03:23,26.0,14.0
2017-06-03:24,45.0,22.0
2017-06-04:01,32.0,18.0
2017-06-04:02,38.0,22.0
2017-06-04:03,40.0,13.0
2017-06-04:04,31.0,10.0
2017-06-04:05,31.0,10.0
2017-06-04:06,32.0,9.0
2017-06-04:07,35.0,12.0
2017-06-04:08,40.0,18.0
2017-06-04:09,39.0,18.0
2017-06-04:10,29.0,14.0
2017-06-04:11,22.0,13.0
2017-06-04:12,29.0,13.0
2017-06-04:13,29.0,10.0
2017-06-04:14,28.0,15.0
2017-06-04:15,28.0,9.0
2017-06-04:16,35.0,14.0
2017-06-04:17,35.0,10.0
2017-06-04:18,43.0,12.0
2017-06-04:19,35.0,15.0
2017-06-04:20,49.0,13.0
2017-06-04:21,38.0,16.0
2017-06-04:22,30.0,12.0
2017-06-04:23,32.0,14.0
2017-06-04:24,34.0,16.0
2017-06-05:01,20.0,10.0
2017-06-05:02,31.0,15.0
2017-06-05:03,26.0,12.0
2017-06-05:04,34.0,14.0
2017-06-05:05,30.0,14.0
2017-06-05:06,30.0,17.0
2017-06-05:07,30.0,14.0
2017-06-05:08,35.0,20.0
2017-06-05:09,34.0,18.0
2017-06-05:10,30.0,15.0
2017-06-05:11,29.0,13.0
2017-06-05:12,24.0,14.0
2017-06-05:13,28.0,12.0
2017-06-05:14,27.0,14.0
2017-06-05:15,20.0,11.0
2017-06-05:16,22.0,10.0
2017-06-05:17,20.0,9.0
2017-06-05:18,15.0,11.0
2017-06-05:19,16.0,8.0
2017-06-05:20,25.0,9.0
2017-06-05:21,34.0,21.0
2017-06-05:22,60.0,28.0
2017-06-05:23,48.0,26.0
2017-06-05:24,29.0,12.0
2017-06-06:01,27.0,13.0
2017-06-06:02,26.0,10.0
2017-06-06:03,17.0,11.0
2017-06-06:04,21.0,9.0
2017-06-06:05,16.0,8.0
2017-06-06:06,21.0,13.0
2017-06-06:07,20.0,9.0
2017-06-06:08,22.0,11.0
2017-06-06:09,23.0,14.0
2017-06-06:10,19.0,9.0
2017-06-06:11,29.0,10.0
2017-06-06:12,20.0,11.0
2017-06-06:13,25.0,13.0
2017-06-06:14,32.0,12.0
2017-06-06:15,18.0,10.0
2017-06-06:16,30.0,10.0
2017-06-06:17,26.0,12.0
2017-06-06:18,25.0,12.0
2017-06-06:19,17.0,12.0
2017-06-06:20,11.0,7.0
2017-06-06:21,18.0,3.0
2017-06-06:22,12.0,11.0
2017-06-06:23,5.0,5.0
2017-06-06:24,5.0,3.0
2017-06-07:01,7.0,3.0
2017-06-07:02,6.0,4.0
2017-06-07:03,7.0,3.0
2017-06-07:04,6.0,5.0
2017-06-07:05,8.0,4.0
2017-06-07:06,11.0,6.0
2017-06-07:07,16.0,7.0
2017-06-07:08,9.0,6.0
2017-06-07:09,13.0,11.0
2017-06-07:10,9.0,3.0
2017-06-07:11,10.0,8.0
2017-06-07:12,17.0,6.0
2017-06-07:13,21.0,14.0
2017-06-07:14,22.0,13.0
2017-06-07:15,31.0,17.0
2017-06-07:16,20.0,20.0
2017-06-07:17,11.0,5.0
2017-06-07:18,17.0,3.0
2017-06-07:19,18.0,9.0
2017-06-07:20,27.0,14.0
2017-06-07:21,34.0,10.0
2017-06-07:22,23.0,17.0
2017-06-07:23,28.0,17.0
2017-06-07:24,29.0,18.0
2017-06-08:01,23.0,13.0
2017-06-08:02,18.0,15.0
2017-06-08:03,20.0,10.0
2017-06-08:04,24.0,15.0
2017-06-08:05,27.0,18.0
2017-06-08:06,34.0,18.0
2017-06-08:07,49.0,33.0
2017-06-08:08,51.0,35.0
2017-06-08:09,49.0,34.0
2017-06-08:10,57.0,40.0
2017-06-08:11,59.0,37.0
2017-06-08:12,66.0,43.0
2017-06-08:13,58.0,39.0
2017-06-08:14,51.0,30.0
2017-06-08:15,45.0,27.0
2017-06-08:16,50.0,21.0
2017-06-08:17,49.0,23.0
2017-06-08:18,45.0,26.0
2017-06-08:19,48.0,23.0
2017-06-08:20,46.0,27.0
2017-06-08:21,35.0,0.0
2017-06-08:22,53.0,35.0
2017-06-08:23,56.0,38.0
