time,pm10,pm2.5
2019-11-01:01,179.0,43.0
2019-11-01:02,176.0,41.0
2019-11-01:03,174.0,43.0
2019-11-01:04,168.0,41.0
2019-11-01:05,180.0,41.0
2019-11-01:06,192.0,36.0
2019-11-01:07,187.0,37.0
2019-11-01:08,151.0,37.0
2019-11-01:09,137.0,42.0
2019-11-01:10,131.0,44.0
2019-11-01:11,100.0,35.0
2019-11-01:12,71.0,27.0
2019-11-01:13,51.0,22.0
2019-11-01:14,48.0,20.0
2019-11-01:15,54.0,22.0
2019-11-01:16,53.0,22.0
2019-11-01:17,55.0,22.0
2019-11-01:18,54.0,23.0
2019-11-01:19,53.0,22.0
2019-11-01:20,50.0,21.0
2019-11-01:21,55.0,22.0
2019-11-01:22,65.0,32.0
2019-11-01:23,67.0,33.0
2019-11-01:24,60.0,28.0
2019-11-02:01,62.0,31.0
2019-11-02:02,63.0,32.0
2019-11-02:03,64.0,30.0
2019-11-02:04,59.0,30.0
2019-11-02:05,63.0,30.0
2019-11-02:06,65.0,31.0
2019-11-02:07,70.0,31.0
2019-11-02:08,70.0,33.0
2019-11-02:09,79.0,33.0
2019-11-02:10,89.0,41.0
2019-11-02:11,93.0,45.0
2019-11-02:12,97.0,46.0
2019-11-02:13,98.0,45.0
2019-11-02:14,102.0,46.0
2019-11-02:15,104.0,44.0
2019-11-02:16,102.0,45.0
2019-11-02:17,103.0,48.0
2019-11-02:18,105.0,45.0
2019-11-02:19,108.0,51.0
2019-11-02:20,116.0,61.0
2019-11-02:21,127.0,73.0
2019-11-02:22,115.0,66.0
2019-11-02:23,111.0,63.0
2019-11-02:24,110.0,64.0
2019-11-03:01,113.0,69.0
2019-11-03:02,109.0,67.0
2019-11-03:03,101.0,61.0
2019-11-03:04,96.0,57.0
2019-11-03:05,102.0,62.0
2019-11-03:06,103.0,63.0
2019-11-03:07,102.0,61.0
2019-11-03:08,99.0,61.0
2019-11-03:09,103.0,67.0
2019-11-03:10,100.0,63.0
2019-11-03:11,93.0,55.0
2019-11-03:12,83.0,43.0
2019-11-03:13,91.0,46.0
2019-11-03:14,73.0,35.0
2019-11-03:15,53.0,25.0
2019-11-03:16,30.0,15.0
2019-11-03:17,32.0,17.0
2019-11-03:18,25.0,12.0
2019-11-03:19,23.0,10.0
2019-11-03:20,19.0,9.0
2019-11-03:21,16.0,8.0
2019-11-03:22,13.0,7.0
2019-11-03:23,11.0,5.0
2019-11-03:24,9.0,4.0
2019-11-04:01,9.0,4.0
2019-11-04:02,9.0,4.0
2019-11-04:03,9.0,5.0
2019-11-04:04,9.0,4.0
2019-11-04:05,10.0,5.0
2019-11-04:06,10.0,4.0
2019-11-04:07,11.0,1.0
2019-11-04:08,15.0,4.0
2019-11-04:09,14.0,2.0
2019-11-04:10,17.0,4.0
2019-11-04:11,21.0,5.0
2019-11-04:12,18.0,5.0
2019-11-04:13,21.0,7.0
2019-11-04:14,15.0,7.0
2019-11-04:15,17.0,9.0
2019-11-04:16,21.0,9.0
2019-11-04:17,27.0,12.0
2019-11-04:18,32.0,14.0
2019-11-04:19,36.0,14.0
2019-11-04:20,32.0,13.0
2019-11-04:21,27.0,13.0
2019-11-04:22,29.0,15.0
2019-11-04:23,34.0,17.0
2019-11-04:24,29.0,15.0
2019-11-05:01,27.0,13.0
2019-11-05:02,29.0,15.0
2019-11-05:03,37.0,18.0
2019-11-05:04,34.0,18.0
2019-11-05:05,38.0,20.0
2019-11-05:06,36.0,19.0
2019-11-05:07,38.0,19.0
2019-11-05:08,36.0,18.0
2019-11-05:09,36.0,19.0
2019-11-05:10,54.0,27.0
2019-11-05:11,56.0,25.0
2019-11-05:12,47.0,23.0
2019-11-05:13,48.0,24.0
2019-11-05:14,48.0,26.0
2019-11-05:15,36.0,22.0
2019-11-05:16,36.0,20.0
2019-11-05:17,44.0,24.0
2019-11-05:18,45.0,24.0
2019-11-05:19,51.0,27.0
2019-11-05:20,54.0,29.0
2019-11-05:21,56.0,32.0
2019-11-05:22,57.0,33.0
2019-11-05:23,56.0,34.0
2019-11-05:24,54.0,33.0
2019-11-06:01,60.0,35.0
2019-11-06:02,60.0,34.0
2019-11-06:03,59.0,33.0
2019-11-06:04,54.0,30.0
2019-11-06:05,58.0,31.0
2019-11-06:06,57.0,30.0
2019-11-06:07,63.0,32.0
2019-11-06:08,60.0,32.0
2019-11-06:09,65.0,31.0
2019-11-06:10,86.0,36.0
2019-11-06:11,74.0,39.0
2019-11-06:12,72.0,41.0
2019-11-06:13,70.0,38.0
2019-11-06:14,64.0,34.0
2019-11-06:15,64.0,33.0
2019-11-06:16,60.0,30.0
2019-11-06:17,58.0,30.0
2019-11-06:18,58.0,29.0
2019-11-06:19,52.0,25.0
2019-11-06:20,44.0,21.0
2019-11-06:21,47.0,23.0
2019-11-06:22,47.0,22.0
2019-11-06:23,45.0,23.0
2019-11-06:24,46.0,21.0
2019-11-07:01,44.0,21.0
2019-11-07:02,48.0,23.0
2019-11-07:03,56.0,29.0
2019-11-07:04,57.0,29.0
2019-11-07:05,53.0,28.0
2019-11-07:06,47.0,23.0
2019-11-07:07,48.0,25.0
2019-11-07:08,51.0,28.0
2019-11-07:09,59.0,28.0
2019-11-07:10,57.0,28.0
2019-11-07:11,68.0,34.0
2019-11-07:12,73.0,36.0
2019-11-07:13,70.0,34.0
2019-11-07:14,58.0,26.0
2019-11-07:15,53.0,22.0
2019-11-07:16,55.0,23.0
2019-11-07:17,62.0,25.0
2019-11-07:18,75.0,24.0
2019-11-07:19,80.0,21.0
2019-11-07:20,75.0,22.0
2019-11-07:21,72.0,18.0
2019-11-07:22,66.0,17.0
2019-11-07:23,62.0,15.0
2019-11-07:24,57.0,16.0
2019-11-08:01,59.0,16.0
2019-11-08:02,50.0,15.0
2019-11-08:03,51.0,16.0
2019-11-08:04,46.0,16.0
2019-11-08:05,45.0,17.0
2019-11-08:06,43.0,16.0
2019-11-08:07,45.0,18.0
2019-11-08:08,47.0,17.0
2019-11-08:09,54.0,16.0
2019-11-08:10,59.0,20.0
2019-11-08:11,61.0,19.0
2019-11-08:12,55.0,19.0
2019-11-08:13,51.0,20.0
2019-11-08:14,41.0,16.0
2019-11-08:15,47.0,19.0
2019-11-08:16,57.0,27.0
2019-11-08:17,45.0,21.0
2019-11-08:18,43.0,17.0
2019-11-08:19,43.0,17.0
2019-11-08:20,51.0,21.0
2019-11-08:21,62.0,26.0
2019-11-08:22,68.0,28.0
2019-11-08:23,67.0,27.0
2019-11-08:24,66.0,27.0
2019-11-09:01,68.0,26.0
2019-11-09:02,59.0,23.0
2019-11-09:03,57.0,24.0
2019-11-09:04,55.0,23.0
2019-11-09:05,56.0,26.0
2019-11-09:06,55.0,23.0
2019-11-09:07,57.0,27.0
2019-11-09:08,55.0,25.0
2019-11-09:09,52.0,19.0
2019-11-09:10,53.0,23.0
2019-11-09:11,62.0,30.0
2019-11-09:12,58.0,23.0
2019-11-09:13,50.0,22.0
2019-11-09:14,37.0,16.0
2019-11-09:15,35.0,15.0
2019-11-09:16,29.0,13.0
2019-11-09:17,0.0,22.0
2019-11-09:18,44.0,21.0
2019-11-09:19,48.0,25.0
2019-11-09:20,47.0,24.0
2019-11-09:21,55.0,27.0
2019-11-09:22,59.0,32.0
2019-11-09:23,69.0,38.0
2019-11-09:24,66.0,38.0
2019-11-10:01,65.0,37.0
2019-11-10:02,55.0,31.0
2019-11-10:03,55.0,33.0
2019-11-10:04,51.0,28.0
2019-11-10:05,50.0,29.0
2019-11-10:06,47.0,26.0
2019-11-10:07,48.0,29.0
2019-11-10:08,46.0,27.0
2019-11-10:09,53.0,30.0
2019-11-10:10,57.0,31.0
2019-11-10:11,61.0,34.0
2019-11-10:12,61.0,35.0
2019-11-10:13,64.0,39.0
2019-11-10:14,61.0,36.0
2019-11-10:15,56.0,35.0
2019-11-10:16,46.0,27.0
2019-11-10:17,49.0,28.0
2019-11-10:18,45.0,25.0
2019-11-10:19,46.0,27.0
2019-11-10:20,53.0,31.0
2019-11-10:21,39.0,25.0
2019-11-10:22,34.0,24.0
2019-11-10:23,25.0,19.0
2019-11-10:24,22.0,14.0
2019-11-11:01,27.0,16.0
2019-11-11:02,22.0,12.0
2019-11-11:03,24.0,15.0
2019-11-11:04,25.0,15.0
2019-11-11:05,25.0,14.0
2019-11-11:06,16.0,10.0
2019-11-11:07,16.0,12.0
2019-11-11:08,21.0,11.0
2019-11-11:09,26.0,12.0
2019-11-11:10,29.0,11.0
2019-11-11:11,31.0,17.0
2019-11-11:12,21.0,9.0
2019-11-11:13,26.0,10.0
2019-11-11:14,36.0,16.0
2019-11-11:15,37.0,13.0
2019-11-11:16,36.0,18.0
2019-11-11:17,37.0,17.0
2019-11-11:18,38.0,19.0
2019-11-11:19,45.0,16.0
2019-11-11:20,51.0,19.0
2019-11-11:21,52.0,21.0
2019-11-11:22,38.0,18.0
2019-11-11:23,38.0,17.0
2019-11-11:24,38.0,18.0
2019-11-12:01,36.0,16.0
2019-11-12:02,36.0,18.0
2019-11-12:03,34.0,19.0
2019-11-12:04,38.0,18.0
2019-11-12:05,38.0,19.0
2019-11-12:06,39.0,19.0
2019-11-12:07,41.0,20.0
2019-11-12:08,43.0,22.0
2019-11-12:09,46.0,22.0
2019-11-12:10,49.0,21.0
2019-11-12:11,49.0,20.0
2019-11-12:12,46.0,19.0
2019-11-12:13,51.0,23.0
2019-11-12:14,0.0,0.0
2019-11-12:15,0.0,0.0
2019-11-12:16,65.0,37.0
2019-11-12:17,65.0,33.0
2019-11-12:18,48.0,25.0
2019-11-12:19,48.0,27.0
2019-11-12:20,49.0,25.0
2019-11-12:21,53.0,30.0
2019-11-12:22,59.0,33.0
2019-11-12:23,66.0,34.0
2019-11-12:24,63.0,36.0
2019-11-13:01,67.0,41.0
2019-11-13:02,64.0,36.0
2019-11-13:03,58.0,34.0
2019-11-13:04,51.0,30.0
2019-11-13:05,50.0,31.0
2019-11-13:06,48.0,29.0
2019-11-13:07,48.0,28.0
2019-11-13:08,48.0,29.0
2019-11-13:09,54.0,33.0
2019-11-13:10,58.0,33.0
2019-11-13:11,69.0,38.0
2019-11-13:12,61.0,35.0
2019-11-13:13,59.0,31.0
2019-11-13:14,54.0,33.0
2019-11-13:15,52.0,31.0
2019-11-13:16,39.0,25.0
2019-11-13:17,26.0,16.0
2019-11-13:18,10.0,6.0
2019-11-13:19,9.0,5.0
2019-11-13:20,12.0,6.0
2019-11-13:21,20.0,6.0
2019-11-13:22,18.0,7.0
2019-11-13:23,18.0,6.0
2019-11-13:24,18.0,7.0
2019-11-14:01,21.0,9.0
2019-11-14:02,19.0,6.0
2019-11-14:03,20.0,5.0
2019-11-14:04,17.0,5.0
2019-11-14:05,18.0,5.0
2019-11-14:06,17.0,5.0
2019-11-14:07,22.0,4.0
2019-11-14:08,25.0,5.0
2019-11-14:09,23.0,1.0
2019-11-14:10,25.0,4.0
2019-11-14:11,28.0,4.0
2019-11-14:12,30.0,8.0
2019-11-14:13,30.0,10.0
2019-11-14:14,26.0,8.0
2019-11-14:15,27.0,6.0
2019-11-14:16,26.0,7.0
2019-11-14:17,28.0,8.0
2019-11-14:18,26.0,7.0
2019-11-14:19,29.0,8.0
2019-11-14:20,32.0,11.0
2019-11-14:21,34.0,14.0
2019-11-14:22,32.0,12.0
2019-11-14:23,31.0,13.0
2019-11-14:24,31.0,12.0
2019-11-15:01,34.0,13.0
2019-11-15:02,48.0,11.0
2019-11-15:03,55.0,11.0
2019-11-15:04,29.0,10.0
2019-11-15:05,27.0,8.0
2019-11-15:06,27.0,8.0
2019-11-15:07,27.0,10.0
2019-11-15:08,22.0,11.0
2019-11-15:09,17.0,8.0
2019-11-15:10,23.0,13.0
2019-11-15:11,32.0,16.0
2019-11-15:12,33.0,18.0
2019-11-15:13,25.0,17.0
2019-11-15:14,26.0,18.0
2019-11-15:15,26.0,19.0
2019-11-15:16,31.0,20.0
2019-11-15:17,38.0,27.0
2019-11-15:18,35.0,23.0
2019-11-15:19,32.0,23.0
2019-11-15:20,32.0,22.0
2019-11-15:21,33.0,21.0
2019-11-15:22,33.0,21.0
2019-11-15:23,34.0,21.0
2019-11-15:24,35.0,22.0
2019-11-16:01,34.0,21.0
2019-11-16:02,31.0,20.0
2019-11-16:03,30.0,20.0
2019-11-16:04,36.0,21.0
2019-11-16:05,37.0,22.0
2019-11-16:06,33.0,20.0
2019-11-16:07,34.0,22.0
2019-11-16:08,34.0,22.0
2019-11-16:09,36.0,22.0
2019-11-16:10,30.0,20.0
2019-11-16:11,35.0,23.0
2019-11-16:12,39.0,22.0
2019-11-16:13,43.0,26.0
2019-11-16:14,44.0,29.0
2019-11-16:15,43.0,29.0
2019-11-16:16,35.0,22.0
2019-11-16:17,50.0,32.0
2019-11-16:18,65.0,39.0
2019-11-16:19,60.0,38.0
2019-11-16:20,63.0,39.0
2019-11-16:21,71.0,46.0
2019-11-16:22,88.0,58.0
2019-11-16:23,80.0,56.0
2019-11-16:24,60.0,38.0
2019-11-17:01,52.0,29.0
2019-11-17:02,44.0,27.0
2019-11-17:03,36.0,22.0
2019-11-17:04,31.0,19.0
2019-11-17:05,32.0,17.0
2019-11-17:06,29.0,17.0
2019-11-17:07,31.0,18.0
2019-11-17:08,34.0,18.0
2019-11-17:09,43.0,21.0
2019-11-17:10,44.0,22.0
2019-11-17:11,46.0,24.0
2019-11-17:12,42.0,21.0
2019-11-17:13,43.0,23.0
2019-11-17:14,41.0,22.0
2019-11-17:15,38.0,22.0
2019-11-17:16,30.0,16.0
2019-11-17:17,25.0,13.0
2019-11-17:18,24.0,12.0
2019-11-17:19,21.0,11.0
2019-11-17:20,16.0,10.0
2019-11-17:21,11.0,10.0
2019-11-17:22,10.0,7.0
2019-11-17:23,13.0,10.0
2019-11-17:24,15.0,10.0
2019-11-18:01,21.0,12.0
2019-11-18:02,14.0,7.0
2019-11-18:03,14.0,10.0
2019-11-18:04,9.0,5.0
2019-11-18:05,15.0,4.0
2019-11-18:06,12.0,7.0
2019-11-18:07,18.0,11.0
2019-11-18:08,23.0,10.0
2019-11-18:09,38.0,11.0
2019-11-18:10,108.0,17.0
2019-11-18:11,172.0,21.0
2019-11-18:12,176.0,24.0
2019-11-18:13,180.0,24.0
2019-11-18:14,190.0,23.0
2019-11-18:15,220.0,24.0
2019-11-18:16,261.0,25.0
2019-11-18:17,171.0,18.0
2019-11-18:18,90.0,13.0
2019-11-18:19,62.0,11.0
2019-11-18:20,49.0,9.0
2019-11-18:21,45.0,8.0
2019-11-18:22,45.0,9.0
2019-11-18:23,41.0,10.0
2019-11-18:24,39.0,9.0
2019-11-19:01,39.0,9.0
2019-11-19:02,36.0,10.0
2019-11-19:03,39.0,11.0
2019-11-19:04,45.0,13.0
2019-11-19:05,31.0,12.0
2019-11-19:06,28.0,10.0
2019-11-19:07,29.0,9.0
2019-11-19:08,33.0,12.0
2019-11-19:09,35.0,10.0
2019-11-19:10,33.0,10.0
2019-11-19:11,40.0,13.0
2019-11-19:12,36.0,12.0
2019-11-19:13,36.0,13.0
2019-11-19:14,38.0,12.0
2019-11-19:15,39.0,11.0
2019-11-19:16,46.0,13.0
2019-11-19:17,43.0,13.0
2019-11-19:18,41.0,11.0
2019-11-19:19,43.0,13.0
2019-11-19:20,43.0,13.0
2019-11-19:21,46.0,12.0
2019-11-19:22,37.0,11.0
2019-11-19:23,39.0,12.0
2019-11-19:24,36.0,12.0
2019-11-20:01,32.0,9.0
2019-11-20:02,29.0,11.0
2019-11-20:03,30.0,12.0
2019-11-20:04,30.0,11.0
2019-11-20:05,28.0,11.0
2019-11-20:06,25.0,10.0
2019-11-20:07,24.0,10.0
2019-11-20:08,24.0,11.0
2019-11-20:09,21.0,10.0
2019-11-20:10,26.0,10.0
2019-11-20:11,33.0,16.0
2019-11-20:12,33.0,14.0
2019-11-20:13,42.0,20.0
2019-11-20:14,30.0,14.0
2019-11-20:15,24.0,11.0
2019-11-20:16,23.0,11.0
2019-11-20:17,29.0,16.0
2019-11-20:18,33.0,15.0
2019-11-20:19,35.0,16.0
2019-11-20:20,33.0,15.0
2019-11-20:21,42.0,20.0
2019-11-20:22,42.0,20.0
2019-11-20:23,42.0,21.0
2019-11-20:24,49.0,25.0
2019-11-21:01,48.0,22.0
2019-11-21:02,30.0,15.0
2019-11-21:03,29.0,14.0
2019-11-21:04,35.0,18.0
2019-11-21:05,40.0,22.0
2019-11-21:06,31.0,16.0
2019-11-21:07,35.0,18.0
2019-11-21:08,36.0,19.0
2019-11-21:09,36.0,19.0
2019-11-21:10,38.0,19.0
2019-11-21:11,44.0,19.0
2019-11-21:12,44.0,20.0
2019-11-21:13,47.0,21.0
2019-11-21:14,50.0,20.0
2019-11-21:15,57.0,22.0
2019-11-21:16,55.0,22.0
2019-11-21:17,57.0,22.0
2019-11-21:18,54.0,21.0
2019-11-21:19,51.0,20.0
2019-11-21:20,56.0,24.0
2019-11-21:21,55.0,21.0
2019-11-21:22,52.0,24.0
2019-11-21:23,53.0,28.0
2019-11-21:24,49.0,22.0
2019-11-22:01,50.0,22.0
2019-11-22:02,49.0,22.0
2019-11-22:03,51.0,23.0
2019-11-22:04,54.0,23.0
2019-11-22:05,65.0,33.0
2019-11-22:06,68.0,34.0
2019-11-22:07,73.0,38.0
2019-11-22:08,72.0,37.0
2019-11-22:09,69.0,31.0
2019-11-22:10,58.0,24.0
2019-11-22:11,61.0,27.0
2019-11-22:12,68.0,29.0
2019-11-22:13,60.0,30.0
2019-11-22:14,50.0,21.0
2019-11-22:15,48.0,20.0
2019-11-22:16,0.0,0.0
2019-11-22:17,0.0,0.0
2019-11-22:18,43.0,18.0
2019-11-22:19,53.0,27.0
2019-11-22:20,51.0,27.0
2019-11-22:21,53.0,28.0
2019-11-22:22,65.0,41.0
2019-11-22:23,74.0,47.0
2019-11-22:24,87.0,52.0
2019-11-23:01,82.0,46.0
