time,pm10,pm2.5
2017-08-01:01,17.0,9.0
2017-08-01:02,20.0,6.0
2017-08-01:03,20.0,11.0
2017-08-01:04,17.0,9.0
2017-08-01:05,21.0,9.0
2017-08-01:06,17.0,6.0
2017-08-01:07,21.0,8.0
2017-08-01:08,16.0,8.0
2017-08-01:09,17.0,5.0
2017-08-01:10,7.0,4.0
2017-08-01:11,23.0,9.0
2017-08-01:12,14.0,8.0
2017-08-01:13,20.0,13.0
2017-08-01:14,21.0,10.0
2017-08-01:15,19.0,10.0
2017-08-01:16,25.0,12.0
2017-08-01:17,26.0,17.0
2017-08-01:18,47.0,24.0
2017-08-01:19,42.0,21.0
2017-08-01:20,49.0,24.0
2017-08-01:21,51.0,29.0
2017-08-01:22,62.0,31.0
2017-08-01:23,43.0,25.0
2017-08-01:24,35.0,19.0
2017-08-02:01,51.0,26.0
2017-08-02:02,40.0,25.0
2017-08-02:03,29.0,17.0
2017-08-02:04,30.0,20.0
2017-08-02:05,44.0,22.0
2017-08-02:06,36.0,20.0
2017-08-02:07,39.0,22.0
2017-08-02:08,37.0,14.0
2017-08-02:09,29.0,15.0
2017-08-02:10,32.0,15.0
2017-08-02:11,33.0,19.0
2017-08-02:12,36.0,20.0
2017-08-02:13,26.0,15.0
2017-08-02:14,32.0,15.0
2017-08-02:15,34.0,24.0
2017-08-02:16,47.0,24.0
2017-08-02:17,45.0,26.0
2017-08-02:18,60.0,23.0
2017-08-02:19,59.0,31.0
2017-08-02:20,54.0,26.0
2017-08-02:21,59.0,23.0
2017-08-02:22,53.0,27.0
2017-08-02:23,56.0,29.0
2017-08-02:24,43.0,22.0
2017-08-03:01,47.0,22.0
2017-08-03:02,45.0,23.0
2017-08-03:03,35.0,22.0
2017-08-03:04,40.0,20.0
2017-08-03:05,35.0,18.0
2017-08-03:06,24.0,15.0
2017-08-03:07,21.0,9.0
2017-08-03:08,21.0,7.0
2017-08-03:09,22.0,6.0
2017-08-03:10,18.0,13.0
2017-08-03:11,26.0,15.0
2017-08-03:12,18.0,10.0
2017-08-03:13,0.0,0.0
2017-08-03:14,26.0,18.0
2017-08-03:15,35.0,12.0
2017-08-03:16,23.0,15.0
2017-08-03:17,26.0,11.0
2017-08-03:18,21.0,7.0
2017-08-03:19,23.0,14.0
2017-08-03:20,23.0,14.0
2017-08-03:21,23.0,7.0
2017-08-03:22,29.0,10.0
2017-08-03:23,22.0,14.0
2017-08-03:24,17.0,10.0
2017-08-04:01,23.0,11.0
2017-08-04:02,20.0,11.0
2017-08-04:03,14.0,6.0
2017-08-04:04,20.0,9.0
2017-08-04:05,21.0,11.0
2017-08-04:06,15.0,11.0
2017-08-04:07,19.0,9.0
2017-08-04:08,17.0,9.0
2017-08-04:09,16.0,9.0
2017-08-04:10,21.0,13.0
2017-08-04:11,29.0,21.0
2017-08-04:12,36.0,18.0
2017-08-04:13,32.0,21.0
2017-08-04:14,28.0,15.0
2017-08-04:15,28.0,23.0
2017-08-04:16,39.0,22.0
2017-08-04:17,42.0,32.0
2017-08-04:18,36.0,22.0
2017-08-04:19,53.0,30.0
2017-08-04:20,51.0,26.0
2017-08-04:21,33.0,19.0
2017-08-04:22,56.0,33.0
2017-08-04:23,51.0,29.0
2017-08-04:24,55.0,30.0
2017-08-05:01,51.0,27.0
2017-08-05:02,44.0,27.0
2017-08-05:03,41.0,23.0
2017-08-05:04,38.0,22.0
2017-08-05:05,32.0,19.0
2017-08-05:06,33.0,21.0
2017-08-05:07,29.0,14.0
2017-08-05:08,24.0,18.0
2017-08-05:09,26.0,14.0
2017-08-05:10,27.0,17.0
2017-08-05:11,34.0,19.0
2017-08-05:12,35.0,21.0
2017-08-05:13,27.0,18.0
2017-08-05:14,40.0,24.0
2017-08-05:15,57.0,26.0
2017-08-05:16,33.0,18.0
2017-08-05:17,42.0,23.0
2017-08-05:18,34.0,27.0
2017-08-05:19,42.0,23.0
2017-08-05:20,40.0,19.0
2017-08-05:21,41.0,14.0
2017-08-05:22,41.0,22.0
2017-08-05:23,35.0,16.0
2017-08-05:24,38.0,19.0
2017-08-06:01,36.0,20.0
2017-08-06:02,33.0,16.0
2017-08-06:03,32.0,22.0
2017-08-06:04,35.0,18.0
2017-08-06:05,31.0,18.0
2017-08-06:06,22.0,12.0
2017-08-06:07,22.0,12.0
2017-08-06:08,27.0,15.0
2017-08-06:09,23.0,14.0
2017-08-06:10,16.0,5.0
2017-08-06:11,27.0,21.0
2017-08-06:12,12.0,7.0
2017-08-06:13,5.0,4.0
2017-08-06:14,15.0,6.0
2017-08-06:15,16.0,10.0
2017-08-06:16,13.0,9.0
2017-08-06:17,21.0,16.0
2017-08-06:18,29.0,24.0
2017-08-06:19,44.0,23.0
2017-08-06:20,61.0,29.0
2017-08-06:21,42.0,28.0
2017-08-06:22,49.0,29.0
2017-08-06:23,44.0,32.0
2017-08-06:24,41.0,26.0
2017-08-07:01,41.0,26.0
2017-08-07:02,40.0,24.0
2017-08-07:03,41.0,29.0
2017-08-07:04,39.0,22.0
2017-08-07:05,34.0,21.0
2017-08-07:06,34.0,24.0
2017-08-07:07,39.0,21.0
2017-08-07:08,29.0,24.0
2017-08-07:09,34.0,17.0
2017-08-07:10,17.0,12.0
2017-08-07:11,24.0,13.0
2017-08-07:12,27.0,11.0
2017-08-07:13,34.0,23.0
2017-08-07:14,34.0,22.0
2017-08-07:15,56.0,24.0
2017-08-07:16,41.0,19.0
2017-08-07:17,44.0,30.0
2017-08-07:18,51.0,17.0
2017-08-07:19,51.0,24.0
2017-08-07:20,47.0,16.0
2017-08-07:21,44.0,17.0
2017-08-07:22,28.0,26.0
2017-08-07:23,40.0,14.0
2017-08-07:24,30.0,17.0
2017-08-08:01,43.0,18.0
2017-08-08:02,35.0,18.0
2017-08-08:03,34.0,16.0
2017-08-08:04,31.0,19.0
2017-08-08:05,34.0,20.0
2017-08-08:06,42.0,20.0
2017-08-08:07,35.0,23.0
2017-08-08:08,42.0,20.0
2017-08-08:09,43.0,24.0
2017-08-08:10,46.0,30.0
2017-08-08:11,62.0,35.0
2017-08-08:12,48.0,28.0
2017-08-08:13,64.0,37.0
2017-08-08:14,80.0,38.0
2017-08-08:15,46.0,32.0
2017-08-08:16,64.0,35.0
2017-08-08:17,53.0,30.0
2017-08-08:18,42.0,19.0
2017-08-08:19,43.0,26.0
2017-08-08:20,49.0,27.0
2017-08-08:21,68.0,38.0
2017-08-08:22,64.0,43.0
2017-08-08:23,54.0,35.0
2017-08-08:24,50.0,25.0
2017-08-09:01,77.0,45.0
2017-08-09:02,66.0,35.0
2017-08-09:03,53.0,34.0
2017-08-09:04,51.0,29.0
2017-08-09:05,41.0,30.0
2017-08-09:06,46.0,25.0
2017-08-09:07,48.0,23.0
2017-08-09:08,39.0,28.0
2017-08-09:09,45.0,23.0
2017-08-09:10,39.0,26.0
2017-08-09:11,45.0,28.0
2017-08-09:12,38.0,23.0
2017-08-09:13,33.0,18.0
2017-08-09:14,38.0,21.0
2017-08-09:15,27.0,12.0
2017-08-09:16,27.0,14.0
2017-08-09:17,33.0,13.0
2017-08-09:18,34.0,20.0
2017-08-09:19,36.0,16.0
2017-08-09:20,24.0,16.0
2017-08-09:21,36.0,14.0
2017-08-09:22,28.0,13.0
2017-08-09:23,21.0,12.0
2017-08-09:24,25.0,14.0
2017-08-10:01,20.0,8.0
2017-08-10:02,14.0,6.0
2017-08-10:03,5.0,5.0
2017-08-10:04,10.0,4.0
2017-08-10:05,8.0,10.0
2017-08-10:06,10.0,6.0
2017-08-10:07,6.0,3.0
2017-08-10:08,8.0,4.0
2017-08-10:09,7.0,4.0
2017-08-10:10,7.0,3.0
2017-08-10:11,5.0,6.0
2017-08-10:12,10.0,5.0
2017-08-10:13,14.0,3.0
2017-08-10:14,13.0,5.0
2017-08-10:15,10.0,4.0
2017-08-10:16,5.0,5.0
2017-08-10:17,11.0,6.0
2017-08-10:18,9.0,5.0
2017-08-10:19,13.0,7.0
2017-08-10:20,14.0,6.0
2017-08-10:21,22.0,10.0
2017-08-10:22,10.0,8.0
2017-08-10:23,10.0,3.0
2017-08-10:24,11.0,10.0
2017-08-11:01,7.0,14.0
2017-08-11:02,6.0,3.0
2017-08-11:03,7.0,3.0
2017-08-11:04,7.0,5.0
2017-08-11:05,9.0,3.0
2017-08-11:06,6.0,4.0
2017-08-11:07,10.0,3.0
2017-08-11:08,7.0,3.0
2017-08-11:09,5.0,3.0
2017-08-11:10,7.0,5.0
2017-08-11:11,27.0,12.0
2017-08-11:12,5.0,4.0
2017-08-11:13,14.0,9.0
2017-08-11:14,12.0,5.0
2017-08-11:15,16.0,9.0
2017-08-11:16,9.0,6.0
2017-08-11:17,24.0,14.0
2017-08-11:18,45.0,27.0
2017-08-11:19,20.0,9.0
2017-08-11:20,27.0,18.0
2017-08-11:21,30.0,12.0
2017-08-11:22,28.0,15.0
2017-08-11:23,16.0,10.0
2017-08-11:24,9.0,6.0
2017-08-12:01,10.0,5.0
2017-08-12:02,10.0,3.0
2017-08-12:03,8.0,3.0
2017-08-12:04,5.0,3.0
2017-08-12:05,6.0,3.0
2017-08-12:06,7.0,3.0
2017-08-12:07,6.0,5.0
2017-08-12:08,8.0,3.0
2017-08-12:09,5.0,3.0
2017-08-12:10,6.0,3.0
2017-08-12:11,18.0,7.0
2017-08-12:12,12.0,5.0
2017-08-12:13,14.0,10.0
2017-08-12:14,13.0,7.0
2017-08-12:15,15.0,6.0
2017-08-12:16,20.0,12.0
2017-08-12:17,15.0,7.0
2017-08-12:18,21.0,10.0
2017-08-12:19,26.0,9.0
2017-08-12:20,18.0,11.0
2017-08-12:21,40.0,6.0
2017-08-12:22,29.0,13.0
2017-08-12:23,14.0,8.0
2017-08-12:24,18.0,7.0
2017-08-13:01,15.0,6.0
2017-08-13:02,13.0,3.0
2017-08-13:03,13.0,7.0
2017-08-13:04,12.0,3.0
2017-08-13:05,12.0,6.0
2017-08-13:06,13.0,4.0
2017-08-13:07,14.0,3.0
2017-08-13:08,7.0,7.0
2017-08-13:09,12.0,3.0
2017-08-13:10,7.0,3.0
2017-08-13:11,11.0,6.0
2017-08-13:12,15.0,5.0
2017-08-13:13,7.0,6.0
2017-08-13:14,15.0,7.0
2017-08-13:15,10.0,5.0
2017-08-13:16,10.0,7.0
2017-08-13:17,16.0,7.0
2017-08-13:18,15.0,6.0
2017-08-13:19,15.0,6.0
2017-08-13:20,17.0,10.0
2017-08-13:21,11.0,3.0
2017-08-13:22,13.0,5.0
2017-08-13:23,10.0,6.0
2017-08-13:24,9.0,5.0
2017-08-14:01,13.0,3.0
