time,pm10,pm2.5
2019-10-01:01,124.0,86.0
2019-10-01:02,108.0,77.0
2019-10-01:03,76.0,55.0
2019-10-01:04,68.0,49.0
2019-10-01:05,61.0,43.0
2019-10-01:06,52.0,39.0
2019-10-01:07,57.0,37.0
2019-10-01:08,53.0,37.0
2019-10-01:09,55.0,41.0
2019-10-01:10,60.0,39.0
2019-10-01:11,57.0,35.0
2019-10-01:12,54.0,32.0
2019-10-01:13,46.0,31.0
2019-10-01:14,50.0,34.0
2019-10-01:15,51.0,35.0
2019-10-01:16,48.0,33.0
2019-10-01:17,41.0,31.0
2019-10-01:18,39.0,30.0
2019-10-01:19,45.0,36.0
2019-10-01:20,56.0,42.0
2019-10-01:21,65.0,46.0
2019-10-01:22,41.0,31.0
2019-10-01:23,31.0,24.0
2019-10-01:24,42.0,31.0
2019-10-02:01,51.0,37.0
2019-10-02:02,47.0,34.0
2019-10-02:03,45.0,31.0
2019-10-02:04,40.0,31.0
2019-10-02:05,43.0,32.0
2019-10-02:06,39.0,27.0
2019-10-02:07,37.0,28.0
2019-10-02:08,40.0,31.0
2019-10-02:09,48.0,28.0
2019-10-02:10,43.0,29.0
2019-10-02:11,37.0,25.0
2019-10-02:12,27.0,19.0
2019-10-02:13,23.0,15.0
2019-10-02:14,21.0,16.0
2019-10-02:15,21.0,15.0
2019-10-02:16,20.0,13.0
2019-10-02:17,16.0,12.0
2019-10-02:18,16.0,11.0
2019-10-02:19,12.0,10.0
2019-10-02:20,12.0,9.0
2019-10-02:21,9.0,7.0
2019-10-02:22,8.0,6.0
2019-10-02:23,8.0,4.0
2019-10-02:24,5.0,3.0
2019-10-03:01,6.0,3.0
2019-10-03:02,5.0,3.0
2019-10-03:03,5.0,3.0
2019-10-03:04,6.0,3.0
2019-10-03:05,8.0,4.0
2019-10-03:06,6.0,3.0
2019-10-03:07,6.0,3.0
2019-10-03:08,7.0,3.0
2019-10-03:09,6.0,3.0
2019-10-03:10,13.0,5.0
2019-10-03:11,19.0,9.0
2019-10-03:12,19.0,9.0
2019-10-03:13,14.0,6.0
2019-10-03:14,16.0,6.0
2019-10-03:15,13.0,3.0
2019-10-03:16,12.0,6.0
2019-10-03:17,9.0,6.0
2019-10-03:18,12.0,7.0
2019-10-03:19,13.0,8.0
2019-10-03:20,16.0,11.0
2019-10-03:21,21.0,14.0
2019-10-03:22,24.0,17.0
2019-10-03:23,18.0,14.0
2019-10-03:24,23.0,16.0
2019-10-04:01,26.0,17.0
2019-10-04:02,24.0,16.0
2019-10-04:03,23.0,12.0
2019-10-04:04,21.0,13.0
2019-10-04:05,19.0,12.0
2019-10-04:06,20.0,12.0
2019-10-04:07,20.0,11.0
2019-10-04:08,20.0,11.0
2019-10-04:09,23.0,9.0
2019-10-04:10,26.0,13.0
2019-10-04:11,27.0,14.0
2019-10-04:12,32.0,19.0
2019-10-04:13,44.0,31.0
2019-10-04:14,46.0,34.0
2019-10-04:15,48.0,37.0
2019-10-04:16,40.0,30.0
2019-10-04:17,36.0,27.0
2019-10-04:18,39.0,26.0
2019-10-04:19,46.0,33.0
2019-10-04:20,66.0,48.0
2019-10-04:21,83.0,63.0
2019-10-04:22,93.0,68.0
2019-10-04:23,89.0,63.0
2019-10-04:24,83.0,60.0
2019-10-05:01,75.0,51.0
2019-10-05:02,66.0,45.0
2019-10-05:03,64.0,41.0
2019-10-05:04,63.0,38.0
2019-10-05:05,67.0,41.0
2019-10-05:06,65.0,39.0
2019-10-05:07,67.0,39.0
2019-10-05:08,69.0,37.0
2019-10-05:09,70.0,34.0
2019-10-05:10,52.0,28.0
2019-10-05:11,56.0,26.0
2019-10-05:12,54.0,29.0
2019-10-05:13,45.0,27.0
2019-10-05:14,43.0,25.0
2019-10-05:15,41.0,26.0
2019-10-05:16,40.0,24.0
2019-10-05:17,31.0,21.0
2019-10-05:18,17.0,10.0
2019-10-05:19,0.0,0.0
2019-10-05:20,9.0,5.0
2019-10-05:21,12.0,11.0
