time,pm10,pm2.5
2017-03-01:01,64.0,0.0
2017-03-01:02,54.0,0.0
2017-03-01:03,45.0,0.0
2017-03-01:04,40.0,0.0
2017-03-01:05,50.0,0.0
2017-03-01:06,60.0,0.0
2017-03-01:07,67.0,0.0
2017-03-01:08,71.0,0.0
2017-03-01:09,73.0,0.0
2017-03-01:10,79.0,0.0
2017-03-01:11,95.0,0.0
2017-03-01:12,84.0,0.0
2017-03-01:13,75.0,0.0
2017-03-01:14,99.0,0.0
2017-03-01:15,103.0,0.0
2017-03-01:16,108.0,0.0
2017-03-01:17,108.0,0.0
2017-03-01:18,80.0,0.0
2017-03-01:19,59.0,0.0
2017-03-01:20,68.0,0.0
2017-03-01:21,78.0,0.0
2017-03-01:22,72.0,0.0
2017-03-01:23,65.0,0.0
2017-03-01:24,54.0,0.0
2017-03-02:01,51.0,0.0
2017-03-02:02,54.0,0.0
2017-03-02:03,27.0,0.0
2017-03-02:04,24.0,0.0
2017-03-02:05,43.0,0.0
2017-03-02:06,34.0,0.0
2017-03-02:07,52.0,0.0
2017-03-02:08,57.0,0.0
2017-03-02:09,41.0,0.0
2017-03-02:10,38.0,0.0
2017-03-02:11,49.0,0.0
2017-03-02:12,46.0,0.0
2017-03-02:13,56.0,0.0
2017-03-02:14,57.0,0.0
2017-03-02:15,58.0,0.0
2017-03-02:16,54.0,0.0
2017-03-02:17,43.0,0.0
2017-03-02:18,48.0,0.0
2017-03-02:19,46.0,0.0
2017-03-02:20,45.0,0.0
2017-03-02:21,40.0,0.0
2017-03-02:22,22.0,0.0
2017-03-02:23,35.0,0.0
2017-03-02:24,32.0,0.0
2017-03-03:01,38.0,0.0
2017-03-03:02,30.0,0.0
2017-03-03:03,33.0,0.0
2017-03-03:04,32.0,0.0
2017-03-03:05,40.0,0.0
2017-03-03:06,39.0,0.0
2017-03-03:07,46.0,0.0
2017-03-03:08,45.0,0.0
2017-03-03:09,61.0,0.0
2017-03-03:10,81.0,0.0
2017-03-03:11,74.0,0.0
2017-03-03:12,75.0,0.0
2017-03-03:13,81.0,0.0
2017-03-03:14,86.0,0.0
2017-03-03:15,87.0,0.0
2017-03-03:16,84.0,0.0
2017-03-03:17,75.0,0.0
2017-03-03:18,69.0,0.0
2017-03-03:19,66.0,0.0
2017-03-03:20,63.0,0.0
2017-03-03:21,56.0,0.0
2017-03-03:22,64.0,0.0
2017-03-03:23,56.0,0.0
2017-03-03:24,53.0,0.0
2017-03-04:01,64.0,0.0
2017-03-04:02,48.0,0.0
2017-03-04:03,61.0,0.0
2017-03-04:04,55.0,0.0
2017-03-04:05,64.0,0.0
2017-03-04:06,74.0,0.0
2017-03-04:07,79.0,0.0
2017-03-04:08,82.0,0.0
2017-03-04:09,79.0,0.0
2017-03-04:10,95.0,0.0
2017-03-04:11,100.0,0.0
2017-03-04:12,73.0,0.0
2017-03-04:13,54.0,0.0
2017-03-04:14,45.0,0.0
2017-03-04:15,60.0,0.0
2017-03-04:16,88.0,0.0
2017-03-04:17,88.0,0.0
2017-03-04:18,67.0,0.0
2017-03-04:19,59.0,0.0
2017-03-04:20,64.0,0.0
2017-03-04:21,66.0,0.0
2017-03-04:22,75.0,0.0
2017-03-04:23,79.0,0.0
2017-03-04:24,68.0,0.0
2017-03-05:01,65.0,0.0
2017-03-05:02,67.0,0.0
2017-03-05:03,53.0,0.0
2017-03-05:04,65.0,0.0
2017-03-05:05,79.0,0.0
2017-03-05:06,67.0,0.0
2017-03-05:07,65.0,0.0
2017-03-05:08,48.0,0.0
2017-03-05:09,67.0,0.0
2017-03-05:10,67.0,0.0
2017-03-05:11,78.0,0.0
2017-03-05:12,88.0,0.0
2017-03-05:13,80.0,0.0
2017-03-05:14,78.0,0.0
2017-03-05:15,97.0,0.0
2017-03-05:16,100.0,0.0
2017-03-05:17,121.0,0.0
2017-03-05:18,114.0,0.0
2017-03-05:19,98.0,0.0
2017-03-05:20,90.0,0.0
2017-03-05:21,95.0,0.0
2017-03-05:22,79.0,0.0
2017-03-05:23,65.0,0.0
2017-03-05:24,70.0,0.0
2017-03-06:01,67.0,0.0
2017-03-06:02,66.0,0.0
2017-03-06:03,60.0,0.0
2017-03-06:04,60.0,0.0
2017-03-06:05,55.0,0.0
2017-03-06:06,70.0,0.0
2017-03-06:07,65.0,0.0
2017-03-06:08,74.0,0.0
2017-03-06:09,60.0,0.0
2017-03-06:10,50.0,0.0
2017-03-06:11,48.0,0.0
2017-03-06:12,48.0,0.0
2017-03-06:13,31.0,0.0
2017-03-06:14,41.0,0.0
2017-03-06:15,41.0,0.0
2017-03-06:16,35.0,0.0
2017-03-06:17,39.0,0.0
2017-03-06:18,35.0,0.0
2017-03-06:19,40.0,0.0
2017-03-06:20,43.0,0.0
2017-03-06:21,49.0,0.0
2017-03-06:22,42.0,0.0
2017-03-06:23,39.0,0.0
2017-03-06:24,37.0,0.0
2017-03-07:01,41.0,0.0
2017-03-07:02,47.0,0.0
2017-03-07:03,29.0,0.0
2017-03-07:04,34.0,0.0
2017-03-07:05,47.0,0.0
2017-03-07:06,47.0,0.0
2017-03-07:07,44.0,0.0
2017-03-07:08,51.0,0.0
2017-03-07:09,53.0,0.0
2017-03-07:10,58.0,0.0
2017-03-07:11,58.0,0.0
2017-03-07:12,53.0,0.0
2017-03-07:13,56.0,0.0
2017-03-07:14,52.0,0.0
2017-03-07:15,45.0,0.0
2017-03-07:16,44.0,0.0
2017-03-07:17,45.0,0.0
2017-03-07:18,33.0,0.0
2017-03-07:19,36.0,0.0
2017-03-07:20,44.0,0.0
2017-03-07:21,52.0,0.0
2017-03-07:22,43.0,0.0
2017-03-07:23,42.0,0.0
2017-03-07:24,35.0,0.0
2017-03-08:01,34.0,0.0
2017-03-08:02,38.0,0.0
2017-03-08:03,32.0,0.0
2017-03-08:04,38.0,0.0
2017-03-08:05,41.0,0.0
2017-03-08:06,36.0,0.0
2017-03-08:07,44.0,0.0
2017-03-08:08,49.0,0.0
2017-03-08:09,64.0,0.0
2017-03-08:10,71.0,0.0
2017-03-08:11,74.0,0.0
2017-03-08:12,72.0,0.0
2017-03-08:13,86.0,0.0
2017-03-08:14,0.0,0.0
2017-03-08:15,0.0,0.0
2017-03-08:16,72.0,0.0
2017-03-08:17,66.0,0.0
2017-03-08:18,58.0,0.0
2017-03-08:19,58.0,0.0
2017-03-08:20,61.0,0.0
2017-03-08:21,61.0,0.0
2017-03-08:22,61.0,0.0
2017-03-08:23,57.0,0.0
2017-03-08:24,54.0,0.0
2017-03-09:01,56.0,0.0
2017-03-09:02,49.0,0.0
2017-03-09:03,52.0,0.0
2017-03-09:04,49.0,0.0
2017-03-09:05,57.0,0.0
2017-03-09:06,69.0,0.0
2017-03-09:07,65.0,0.0
2017-03-09:08,74.0,0.0
2017-03-09:09,83.0,0.0
2017-03-09:10,92.0,0.0
2017-03-09:11,71.0,0.0
2017-03-09:12,78.0,0.0
2017-03-09:13,71.0,0.0
2017-03-09:14,84.0,0.0
2017-03-09:15,84.0,0.0
2017-03-09:16,82.0,0.0
2017-03-09:17,67.0,0.0
2017-03-09:18,62.0,0.0
2017-03-09:19,76.0,0.0
2017-03-09:20,66.0,0.0
2017-03-09:21,64.0,0.0
2017-03-09:22,52.0,0.0
2017-03-09:23,46.0,0.0
2017-03-09:24,53.0,0.0
2017-03-10:01,45.0,0.0
2017-03-10:02,50.0,0.0
2017-03-10:03,58.0,0.0
2017-03-10:04,49.0,0.0
