time,pm10,pm2.5
2016-03-01:01,29.0,15.0
2016-03-01:02,26.0,15.0
2016-03-01:03,23.0,15.0
2016-03-01:04,23.0,14.0
2016-03-01:05,19.0,14.0
2016-03-01:06,23.0,13.0
2016-03-01:07,20.0,16.0
2016-03-01:08,22.0,12.0
2016-03-01:09,21.0,13.0
2016-03-01:10,25.0,16.0
2016-03-01:11,29.0,18.0
2016-03-01:12,34.0,23.0
2016-03-01:13,36.0,27.0
2016-03-01:14,39.0,26.0
2016-03-01:15,36.0,27.0
2016-03-01:16,37.0,29.0
2016-03-01:17,35.0,28.0
2016-03-01:18,37.0,27.0
2016-03-01:19,28.0,21.0
2016-03-01:20,18.0,15.0
2016-03-01:21,21.0,13.0
2016-03-01:22,20.0,12.0
2016-03-01:23,23.0,16.0
2016-03-01:24,20.0,15.0
2016-03-02:01,19.0,12.0
2016-03-02:02,19.0,15.0
2016-03-02:03,21.0,13.0
2016-03-02:04,24.0,18.0
2016-03-02:05,22.0,14.0
2016-03-02:06,23.0,19.0
2016-03-02:07,22.0,15.0
2016-03-02:08,19.0,16.0
2016-03-02:09,26.0,17.0
2016-03-02:10,29.0,20.0
2016-03-02:11,36.0,27.0
2016-03-02:12,40.0,29.0
2016-03-02:13,44.0,30.0
2016-03-02:14,47.0,30.0
2016-03-02:15,48.0,33.0
2016-03-02:16,51.0,32.0
2016-03-02:17,48.0,33.0
2016-03-02:18,47.0,33.0
2016-03-02:19,40.0,28.0
2016-03-02:20,36.0,23.0
2016-03-02:21,29.0,21.0
2016-03-02:22,26.0,18.0
2016-03-02:23,22.0,15.0
2016-03-02:24,24.0,16.0
2016-03-03:01,22.0,15.0
2016-03-03:02,27.0,14.0
2016-03-03:03,28.0,17.0
2016-03-03:04,31.0,24.0
2016-03-03:05,35.0,25.0
2016-03-03:06,30.0,22.0
2016-03-03:07,29.0,19.0
2016-03-03:08,27.0,16.0
2016-03-03:09,30.0,20.0
2016-03-03:10,34.0,20.0
2016-03-03:11,43.0,28.0
2016-03-03:12,48.0,29.0
2016-03-03:13,51.0,33.0
2016-03-03:14,56.0,35.0
2016-03-03:15,59.0,35.0
2016-03-03:16,0.0,0.0
2016-03-03:17,0.0,0.0
2016-03-03:18,58.0,40.0
2016-03-03:19,68.0,44.0
2016-03-03:20,63.0,45.0
2016-03-03:21,65.0,46.0
2016-03-03:22,69.0,50.0
2016-03-03:23,74.0,50.0
2016-03-03:24,75.0,53.0
2016-03-04:01,82.0,55.0
2016-03-04:02,81.0,58.0
2016-03-04:03,76.0,55.0
2016-03-04:04,71.0,51.0
2016-03-04:05,68.0,48.0
2016-03-04:06,67.0,48.0
2016-03-04:07,67.0,46.0
2016-03-04:08,64.0,43.0
2016-03-04:09,74.0,47.0
2016-03-04:10,73.0,50.0
2016-03-04:11,79.0,49.0
2016-03-04:12,72.0,43.0
2016-03-04:13,64.0,38.0
2016-03-04:14,56.0,34.0
2016-03-04:15,49.0,26.0
2016-03-04:16,49.0,30.0
2016-03-04:17,51.0,36.0
2016-03-04:18,56.0,39.0
2016-03-04:19,50.0,32.0
2016-03-04:20,40.0,27.0
2016-03-04:21,39.0,25.0
2016-03-04:22,40.0,23.0
2016-03-04:23,33.0,20.0
2016-03-04:24,38.0,22.0
2016-03-05:01,36.0,20.0
2016-03-05:02,31.0,19.0
2016-03-05:03,28.0,18.0
2016-03-05:04,23.0,17.0
2016-03-05:05,26.0,19.0
2016-03-05:06,23.0,15.0
2016-03-05:07,25.0,19.0
2016-03-05:08,27.0,16.0
2016-03-05:09,26.0,17.0
