time,pm10,pm2.5
2017-01-01:01,63,49
2017-01-01:02,62,49
2017-01-01:03,60,47
2017-01-01:04,61,48
2017-01-01:05,59,45
2017-01-01:06,59,46
2017-01-01:07,62,48
2017-01-01:08,61,46
2017-01-01:09,64,51
2017-01-01:10,68,56
2017-01-01:11,69,58
2017-01-01:12,74,64
2017-01-01:13,78,68
2017-01-01:14,83,73
2017-01-01:15,86,71
2017-01-01:16,81,67
2017-01-01:17,74,55
2017-01-01:18,68,52
2017-01-01:19,74,59
2017-01-01:20,86,70
2017-01-01:21,80,65
2017-01-01:22,80,64
2017-01-01:23,83,66
2017-01-01:24,85,67
2017-01-02:01,83,67
2017-01-02:02,81,67
2017-01-02:03,79,67
2017-01-02:04,80,68
2017-01-02:05,79,66
2017-01-02:06,80,68
2017-01-02:07,77,64
2017-01-02:08,78,59
2017-01-02:09,72,52
2017-01-02:10,60,41
2017-01-02:11,54,36
2017-01-02:12,66,46
2017-01-02:13,74,53
2017-01-02:14,97,72
2017-01-02:15,119,92
2017-01-02:16,,
2017-01-02:17,,
2017-01-02:18,113,95
2017-01-02:19,144,118
2017-01-02:20,146,120
2017-01-02:21,141,118
2017-01-02:22,157,132
2017-01-02:23,143,120
2017-01-02:24,134,112
2017-01-03:01,134,115
2017-01-03:02,127,107
2017-01-03:03,101,85
2017-01-03:04,74,58
2017-01-03:05,72,53
2017-01-03:06,73,52
2017-01-03:07,71,54
2017-01-03:08,72,51
2017-01-03:09,73,52
2017-01-03:10,75,51
2017-01-03:11,75,50
2017-01-03:12,68,46
2017-01-03:13,56,39
2017-01-03:14,69,47
2017-01-03:15,79,56
2017-01-03:16,60,39
2017-01-03:17,40,22
2017-01-03:18,32,19
2017-01-03:19,32,18
2017-01-03:20,32,19
2017-01-03:21,25,13
2017-01-03:22,26,14
2017-01-03:23,27,15
2017-01-03:24,29,17
2017-01-04:01,25,15
2017-01-04:02,30,18
2017-01-04:03,32,21
2017-01-04:04,34,22
2017-01-04:05,39,24
2017-01-04:06,42,31
2017-01-04:07,47,34
2017-01-04:08,48,37
2017-01-04:09,53,36
2017-01-04:10,55,35
2017-01-04:11,72,50
2017-01-04:12,97,64
2017-01-04:13,87,60
2017-01-04:14,62,42
2017-01-04:15,57,33
2017-01-04:16,61,36
2017-01-04:17,58,31
2017-01-04:18,51,32
2017-01-04:19,43,31
2017-01-04:20,51,37
2017-01-04:21,54,39
2017-01-04:22,53,40
2017-01-04:23,51,40
2017-01-04:24,52,40
2017-01-05:01,52,40
2017-01-05:02,52,39
2017-01-05:03,55,41
2017-01-05:04,54,42
2017-01-05:05,53,43
2017-01-05:06,55,42
2017-01-05:07,55,40
2017-01-05:08,51,39
2017-01-05:09,49,38
2017-01-05:10,46,32
2017-01-05:11,42,30
2017-01-05:12,31,21
2017-01-05:13,23,17
2017-01-05:14,20,15
2017-01-05:15,16,12
2017-01-05:16,16,12
2017-01-05:17,18,10
2017-01-05:18,16,12
2017-01-05:19,16,10
2017-01-05:20,16,11
2017-01-05:21,17,11
2017-01-05:22,12,7
2017-01-05:23,7,4
2017-01-05:24,7,7
2017-01-06:01,6,6
2017-01-06:02,6,5
2017-01-06:03,7,5
2017-01-06:04,6,4
2017-01-06:05,7,6
2017-01-06:06,6,6
2017-01-06:07,7,6
2017-01-06:08,7,6
2017-01-06:09,10,7
2017-01-06:10,9,6
2017-01-06:11,11,7
2017-01-06:12,14,7
2017-01-06:13,18,12
2017-01-06:14,17,12
2017-01-06:15,22,12
2017-01-06:16,23,16
2017-01-06:17,23,16
2017-01-06:18,27,20
2017-01-06:19,33,23
2017-01-06:20,40,30
2017-01-06:21,41,32
2017-01-06:22,38,30
2017-01-06:23,35,29
2017-01-06:24,33,27
2017-01-07:01,40,32
2017-01-07:02,40,34
2017-01-07:03,40,35
2017-01-07:04,41,32
2017-01-07:05,43,35
2017-01-07:06,40,33
2017-01-07:07,38,30
2017-01-07:08,39,32
2017-01-07:09,39,31
2017-01-07:10,42,34
