time,pm10,pm2.5
2017-12-01:01,16,9
2017-12-01:02,16,8
2017-12-01:03,17,10
2017-12-01:04,16,7
2017-12-01:05,15,6
2017-12-01:06,16,8
2017-12-01:07,17,8
2017-12-01:08,16,8
2017-12-01:09,18,9
2017-12-01:10,24,10
2017-12-01:11,31,14
2017-12-01:12,31,15
2017-12-01:13,33,14
2017-12-01:14,23,8
2017-12-01:15,21,10
2017-12-01:16,22,10
2017-12-01:17,29,8
2017-12-01:18,19,6
2017-12-01:19,20,10
2017-12-01:20,18,9
2017-12-01:21,20,12
2017-12-01:22,21,11
2017-12-01:23,21,12
2017-12-01:24,21,12
2017-12-02:01,22,13
2017-12-02:02,23,11
2017-12-02:03,20,11
2017-12-02:04,20,10
2017-12-02:05,22,12
2017-12-02:06,20,11
2017-12-02:07,19,8
2017-12-02:08,20,11
2017-12-02:09,24,12
2017-12-02:10,39,22
2017-12-02:11,52,28
2017-12-02:12,50,30
2017-12-02:13,51,31
2017-12-02:14,46,26
2017-12-02:15,51,27
2017-12-02:16,39,22
2017-12-02:17,38,18
2017-12-02:18,38,21
2017-12-02:19,49,27
2017-12-02:20,43,27
2017-12-02:21,41,24
2017-12-02:22,36,23
2017-12-02:23,39,26
2017-12-02:24,38,24
2017-12-03:01,42,26
2017-12-03:02,44,27
2017-12-03:03,44,28
2017-12-03:04,40,26
2017-12-03:05,43,27
2017-12-03:06,36,25
2017-12-03:07,30,21
2017-12-03:08,30,21
2017-12-03:09,32,22
2017-12-03:10,37,24
2017-12-03:11,46,32
2017-12-03:12,51,36
2017-12-03:13,60,43
2017-12-03:14,64,45
2017-12-03:15,71,49
2017-12-03:16,78,50
2017-12-03:17,69,46
2017-12-03:18,63,43
2017-12-03:19,69,46
2017-12-03:20,64,43
2017-12-03:21,67,44
2017-12-03:22,66,42
2017-12-03:23,66,41
2017-12-03:24,67,38
2017-12-04:01,70,39
2017-12-04:02,70,35
2017-12-04:03,84,40
2017-12-04:04,87,46
2017-12-04:05,90,56
2017-12-04:06,65,42
2017-12-04:07,70,44
2017-12-04:08,58,35
2017-12-04:09,44,26
2017-12-04:10,33,16
2017-12-04:11,32,15
2017-12-04:12,28,18
2017-12-04:13,22,15
2017-12-04:14,20,11
2017-12-04:15,17,6
2017-12-04:16,15,5
2017-12-04:17,12,5
2017-12-04:18,11,3
2017-12-04:19,8,3
2017-12-04:20,9,3
2017-12-04:21,12,3
2017-12-04:22,13,5
2017-12-04:23,15,5
2017-12-04:24,17,7
2017-12-05:01,16,7
2017-12-05:02,16,7
2017-12-05:03,18,6
2017-12-05:04,13,4
2017-12-05:05,14,3
2017-12-05:06,10,4
2017-12-05:07,7,4
2017-12-05:08,13,5
2017-12-05:09,16,5
2017-12-05:10,18,6
2017-12-05:11,19,8
2017-12-05:12,18,8
2017-12-05:13,25,10
2017-12-05:14,20,8
2017-12-05:15,17,7
2017-12-05:16,20,8
2017-12-05:17,22,10
2017-12-05:18,19,8
2017-12-05:19,21,10
2017-12-05:20,28,14
2017-12-05:21,25,14
2017-12-05:22,24,13
2017-12-05:23,18,10
2017-12-05:24,30,13
2017-12-06:01,30,13
2017-12-06:02,28,12
2017-12-06:03,26,13
2017-12-06:04,24,13
2017-12-06:05,25,14
2017-12-06:06,26,15
2017-12-06:07,24,15
2017-12-06:08,26,15
2017-12-06:09,28,16
2017-12-06:10,34,19
2017-12-06:11,45,26
2017-12-06:12,45,29
2017-12-06:13,45,26
2017-12-06:14,41,25
2017-12-06:15,46,30
2017-12-06:16,41,23
2017-12-06:17,35,18
2017-12-06:18,36,19
2017-12-06:19,27,21
2017-12-06:20,24,18
2017-12-06:21,26,18
2017-12-06:22,32,21
2017-12-06:23,37,24
2017-12-06:24,40,26
2017-12-07:01,50,32
2017-12-07:02,48,31
2017-12-07:03,51,33
2017-12-07:04,58,35
2017-12-07:05,58,36
2017-12-07:06,65,38
2017-12-07:07,61,35
2017-12-07:08,47,24
2017-12-07:09,40,19
2017-12-07:10,48,30
2017-12-07:11,74,52
2017-12-07:12,60,42
2017-12-07:13,41,26
2017-12-07:14,19,12
2017-12-07:15,18,12
2017-12-07:16,26,17
2017-12-07:17,32,23
2017-12-07:18,32,20
2017-12-07:19,36,25
2017-12-07:20,43,27
2017-12-07:21,39,25
2017-12-07:22,32,20
2017-12-07:23,32,19
2017-12-07:24,29,18
2017-12-08:01,35,21
2017-12-08:02,34,19
2017-12-08:03,30,19
2017-12-08:04,31,17
2017-12-08:05,28,17
2017-12-08:06,29,16
2017-12-08:07,32,17
2017-12-08:08,32,18
2017-12-08:09,30,18
2017-12-08:10,36,20
2017-12-08:11,43,26
2017-12-08:12,35,22
2017-12-08:13,39,23
2017-12-08:14,32,19
2017-12-08:15,26,11
2017-12-08:16,26,12
2017-12-08:17,21,10
2017-12-08:18,19,9
2017-12-08:19,19,12
2017-12-08:20,18,10
2017-12-08:21,17,13
2017-12-08:22,18,10
2017-12-08:23,17,10
2017-12-08:24,16,9
2017-12-09:01,18,11
2017-12-09:02,16,9
2017-12-09:03,21,11
2017-12-09:04,21,13
2017-12-09:05,20,14
2017-12-09:06,23,14
2017-12-09:07,22,14
2017-12-09:08,24,15
2017-12-09:09,29,16
2017-12-09:10,42,25
2017-12-09:11,51,30
2017-12-09:12,43,27
2017-12-09:13,48,29
2017-12-09:14,48,28
2017-12-09:15,51,27
2017-12-09:16,40,16
2017-12-09:17,37,16
2017-12-09:18,41,23
2017-12-09:19,41,24
2017-12-09:20,34,18
2017-12-09:21,33,20
2017-12-09:22,33,18
2017-12-09:23,41,22
2017-12-09:24,39,21
2017-12-10:01,32,20
2017-12-10:02,32,18
2017-12-10:03,32,21
2017-12-10:04,31,19
2017-12-10:05,33,20
2017-12-10:06,32,19
2017-12-10:07,36,23
2017-12-10:08,27,18
2017-12-10:09,26,19
2017-12-10:10,28,19
2017-12-10:11,33,21
2017-12-10:12,42,29
2017-12-10:13,50,37
2017-12-10:14,54,38
2017-12-10:15,69,43
2017-12-10:16,60,37
2017-12-10:17,61,39
2017-12-10:18,33,19
2017-12-10:19,17,7
2017-12-10:20,24,12
2017-12-10:21,29,17
2017-12-10:22,29,13
2017-12-10:23,29,7
2017-12-10:24,37,5
2017-12-11:01,57,5
2017-12-11:02,62,4
2017-12-11:03,66,3
2017-12-11:04,74,5
2017-12-11:05,83,5
2017-12-11:06,88,6
2017-12-11:07,92,7
2017-12-11:08,89,7
2017-12-11:09,86,7
2017-12-11:10,85,9
2017-12-11:11,67,10
2017-12-11:12,38,6
