time,pm10,pm2.5
2018-10-01:01,11.0,7.0
2018-10-01:02,11.0,6.0
2018-10-01:03,12.0,5.0
2018-10-01:04,14.0,10.0
2018-10-01:05,12.0,8.0
2018-10-01:06,14.0,7.0
2018-10-01:07,12.0,5.0
2018-10-01:08,11.0,10.0
2018-10-01:09,16.0,9.0
2018-10-01:10,17.0,15.0
2018-10-01:11,24.0,9.0
2018-10-01:12,21.0,10.0
2018-10-01:13,25.0,7.0
2018-10-01:14,14.0,5.0
2018-10-01:15,20.0,5.0
2018-10-01:16,16.0,5.0
2018-10-01:17,13.0,8.0
2018-10-01:18,15.0,7.0
2018-10-01:19,15.0,4.0
2018-10-01:20,9.0,6.0
2018-10-01:21,12.0,5.0
2018-10-01:22,0.0,0.0
2018-10-01:23,0.0,14.0
2018-10-01:24,0.0,18.0
2018-10-02:01,19.0,16.0
2018-10-02:02,15.0,10.0
2018-10-02:03,17.0,11.0
2018-10-02:04,21.0,12.0
2018-10-02:05,19.0,8.0
2018-10-02:06,19.0,13.0
2018-10-02:07,16.0,11.0
2018-10-02:08,24.0,0.0
2018-10-02:09,28.0,16.0
2018-10-02:10,32.0,18.0
2018-10-02:11,38.0,19.0
2018-10-02:12,28.0,11.0
2018-10-02:13,30.0,9.0
2018-10-02:14,44.0,0.0
2018-10-02:15,38.0,17.0
2018-10-02:16,30.0,11.0
2018-10-02:17,27.0,15.0
2018-10-02:18,28.0,13.0
2018-10-02:19,38.0,10.0
2018-10-02:20,29.0,14.0
2018-10-02:21,25.0,13.0
2018-10-02:22,24.0,9.0
2018-10-02:23,19.0,10.0
2018-10-02:24,22.0,12.0
2018-10-03:01,23.0,10.0
2018-10-03:02,17.0,10.0
2018-10-03:03,18.0,14.0
2018-10-03:04,19.0,11.0
2018-10-03:05,17.0,12.0
2018-10-03:06,18.0,12.0
2018-10-03:07,25.0,19.0
2018-10-03:08,31.0,22.0
2018-10-03:09,41.0,26.0
2018-10-03:10,47.0,32.0
2018-10-03:11,34.0,16.0
2018-10-03:12,28.0,14.0
2018-10-03:13,27.0,9.0
2018-10-03:14,23.0,7.0
2018-10-03:15,15.0,8.0
