time,pm10,pm2.5
2017-11-01:01,28.0,12.0
2017-11-01:02,30.0,15.0
2017-11-01:03,34.0,13.0
2017-11-01:04,35.0,17.0
2017-11-01:05,30.0,15.0
2017-11-01:06,35.0,17.0
2017-11-01:07,34.0,15.0
2017-11-01:08,34.0,13.0
2017-11-01:09,37.0,18.0
2017-11-01:10,44.0,22.0
2017-11-01:11,43.0,16.0
2017-11-01:12,46.0,22.0
2017-11-01:13,36.0,21.0
2017-11-01:14,45.0,20.0
2017-11-01:15,41.0,16.0
2017-11-01:16,44.0,19.0
2017-11-01:17,37.0,15.0
2017-11-01:18,54.0,19.0
2017-11-01:19,48.0,17.0
2017-11-01:20,43.0,16.0
2017-11-01:21,39.0,16.0
2017-11-01:22,47.0,24.0
2017-11-01:23,39.0,24.0
2017-11-01:24,35.0,19.0
2017-11-02:01,30.0,18.0
2017-11-02:02,31.0,16.0
2017-11-02:03,33.0,17.0
2017-11-02:04,31.0,18.0
2017-11-02:05,35.0,19.0
2017-11-02:06,39.0,17.0
2017-11-02:07,37.0,21.0
2017-11-02:08,40.0,18.0
2017-11-02:09,46.0,22.0
2017-11-02:10,51.0,24.0
2017-11-02:11,50.0,22.0
2017-11-02:12,45.0,21.0
2017-11-02:13,51.0,25.0
2017-11-02:14,59.0,32.0
2017-11-02:15,75.0,38.0
2017-11-02:16,70.0,28.0
2017-11-02:17,59.0,27.0
2017-11-02:18,53.0,25.0
2017-11-02:19,48.0,21.0
2017-11-02:20,42.0,19.0
2017-11-02:21,46.0,18.0
2017-11-02:22,48.0,25.0
2017-11-02:23,46.0,27.0
2017-11-02:24,40.0,21.0
2017-11-03:01,30.0,20.0
2017-11-03:02,31.0,16.0
2017-11-03:03,24.0,14.0
2017-11-03:04,32.0,20.0
2017-11-03:05,33.0,21.0
2017-11-03:06,30.0,19.0
2017-11-03:07,36.0,20.0
2017-11-03:08,37.0,25.0
2017-11-03:09,41.0,23.0
2017-11-03:10,39.0,25.0
2017-11-03:11,42.0,31.0
2017-11-03:12,46.0,29.0
2017-11-03:13,31.0,18.0
2017-11-03:14,33.0,22.0
2017-11-03:15,44.0,25.0
2017-11-03:16,47.0,26.0
2017-11-03:17,48.0,21.0
2017-11-03:18,39.0,17.0
2017-11-03:19,39.0,16.0
