time,pm10,pm2.5
2018-05-01:01,87.0,70.0
2018-05-01:02,48.0,35.0
2018-05-01:03,49.0,37.0
2018-05-01:04,55.0,41.0
2018-05-01:05,70.0,54.0
2018-05-01:06,94.0,74.0
2018-05-01:07,109.0,86.0
2018-05-01:08,105.0,77.0
2018-05-01:09,113.0,78.0
2018-05-01:10,89.0,67.0
2018-05-01:11,57.0,41.0
2018-05-01:12,72.0,55.0
2018-05-01:13,84.0,47.0
2018-05-01:14,79.0,56.0
2018-05-01:15,87.0,58.0
2018-05-01:16,74.0,53.0
2018-05-01:17,86.0,60.0
2018-05-01:18,77.0,56.0
2018-05-01:19,73.0,57.0
2018-05-01:20,66.0,52.0
2018-05-01:21,56.0,54.0
2018-05-01:22,64.0,53.0
2018-05-01:23,75.0,58.0
2018-05-01:24,87.0,69.0
2018-05-02:01,89.0,76.0
2018-05-02:02,96.0,76.0
2018-05-02:03,84.0,65.0
2018-05-02:04,86.0,70.0
2018-05-02:05,79.0,63.0
2018-05-02:06,81.0,65.0
2018-05-02:07,80.0,72.0
2018-05-02:08,77.0,70.0
2018-05-02:09,51.0,49.0
2018-05-02:10,53.0,50.0
2018-05-02:11,58.0,43.0
2018-05-02:12,58.0,43.0
2018-05-02:13,55.0,41.0
2018-05-02:14,39.0,29.0
2018-05-02:15,40.0,0.0
2018-05-02:16,54.0,43.0
2018-05-02:17,38.0,30.0
2018-05-02:18,45.0,36.0
2018-05-02:19,47.0,29.0
2018-05-02:20,34.0,21.0
2018-05-02:21,22.0,21.0
2018-05-02:22,12.0,0.0
2018-05-02:23,17.0,9.0
2018-05-02:24,13.0,8.0
2018-05-03:01,10.0,5.0
2018-05-03:02,8.0,4.0
2018-05-03:03,5.0,5.0
2018-05-03:04,8.0,3.0
2018-05-03:05,11.0,3.0
2018-05-03:06,14.0,8.0
2018-05-03:07,37.0,15.0
2018-05-03:08,46.0,16.0
2018-05-03:09,65.0,17.0
2018-05-03:10,63.0,23.0
2018-05-03:11,41.0,26.0
2018-05-03:12,42.0,18.0
2018-05-03:13,53.0,22.0
2018-05-03:14,39.0,23.0
2018-05-03:15,43.0,23.0
2018-05-03:16,24.0,15.0
2018-05-03:17,35.0,22.0
2018-05-03:18,33.0,24.0
2018-05-03:19,33.0,23.0
2018-05-03:20,44.0,30.0
2018-05-03:21,50.0,34.0
2018-05-03:22,42.0,32.0
2018-05-03:23,40.0,29.0
2018-05-03:24,42.0,28.0
2018-05-04:01,53.0,28.0
2018-05-04:02,47.0,26.0
2018-05-04:03,50.0,22.0
2018-05-04:04,45.0,24.0
2018-05-04:05,43.0,24.0
2018-05-04:06,44.0,21.0
2018-05-04:07,40.0,20.0
2018-05-04:08,38.0,11.0
2018-05-04:09,52.0,18.0
2018-05-04:10,51.0,17.0
2018-05-04:11,48.0,19.0
2018-05-04:12,53.0,22.0
2018-05-04:13,55.0,32.0
2018-05-04:14,53.0,20.0
2018-05-04:15,54.0,23.0
2018-05-04:16,53.0,23.0
2018-05-04:17,52.0,25.0
2018-05-04:18,47.0,21.0
2018-05-04:19,52.0,21.0
2018-05-04:20,54.0,26.0
2018-05-04:21,47.0,29.0
2018-05-04:22,49.0,27.0
2018-05-04:23,52.0,30.0
2018-05-04:24,44.0,24.0
2018-05-05:01,45.0,24.0
2018-05-05:02,43.0,23.0
2018-05-05:03,34.0,23.0
2018-05-05:04,37.0,23.0
2018-05-05:05,46.0,19.0
2018-05-05:06,40.0,25.0
2018-05-05:07,57.0,33.0
2018-05-05:08,58.0,23.0
2018-05-05:09,58.0,20.0
2018-05-05:10,56.0,23.0
2018-05-05:11,65.0,22.0
2018-05-05:12,58.0,28.0
2018-05-05:13,58.0,24.0
2018-05-05:14,71.0,30.0
2018-05-05:15,75.0,35.0
2018-05-05:16,60.0,34.0
2018-05-05:17,46.0,37.0
2018-05-05:18,50.0,32.0
2018-05-05:19,50.0,27.0
2018-05-05:20,44.0,29.0
2018-05-05:21,41.0,25.0
2018-05-05:22,46.0,26.0
2018-05-05:23,36.0,26.0
2018-05-05:24,43.0,21.0
2018-05-06:01,39.0,21.0
2018-05-06:02,37.0,25.0
2018-05-06:03,28.0,0.0
2018-05-06:04,35.0,27.0
2018-05-06:05,29.0,22.0
2018-05-06:06,15.0,0.0
2018-05-06:07,18.0,15.0
2018-05-06:08,13.0,0.0
2018-05-06:09,6.0,0.0
2018-05-06:10,15.0,13.0
2018-05-06:11,16.0,0.0
2018-05-06:12,16.0,14.0
2018-05-06:13,15.0,15.0
2018-05-06:14,7.0,5.0
2018-05-06:15,15.0,4.0
2018-05-06:16,13.0,8.0
2018-05-06:17,19.0,5.0
2018-05-06:18,12.0,7.0
2018-05-06:19,20.0,9.0
2018-05-06:20,19.0,13.0
2018-05-06:21,12.0,0.0
2018-05-06:22,20.0,17.0
2018-05-06:23,19.0,0.0
2018-05-06:24,25.0,21.0
2018-05-07:01,20.0,19.0
2018-05-07:02,26.0,19.0
2018-05-07:03,33.0,22.0
2018-05-07:04,23.0,20.0
2018-05-07:05,21.0,0.0
2018-05-07:06,25.0,18.0
2018-05-07:07,27.0,27.0
2018-05-07:08,29.0,21.0
2018-05-07:09,35.0,23.0
2018-05-07:10,37.0,22.0
2018-05-07:11,45.0,23.0
2018-05-07:12,46.0,18.0
2018-05-07:13,41.0,19.0
2018-05-07:14,41.0,17.0
2018-05-07:15,52.0,22.0
2018-05-07:16,50.0,31.0
2018-05-07:17,49.0,30.0
2018-05-07:18,55.0,29.0
2018-05-07:19,76.0,27.0
2018-05-07:20,68.0,35.0
2018-05-07:21,58.0,46.0
2018-05-07:22,69.0,43.0
2018-05-07:23,88.0,43.0
2018-05-07:24,77.0,45.0
2018-05-08:01,65.0,40.0
2018-05-08:02,49.0,28.0
2018-05-08:03,21.0,8.0
2018-05-08:04,12.0,4.0
2018-05-08:05,5.0,6.0
2018-05-08:06,11.0,8.0
2018-05-08:07,12.0,7.0
2018-05-08:08,12.0,3.0
2018-05-08:09,27.0,8.0
2018-05-08:10,17.0,7.0
2018-05-08:11,17.0,12.0
2018-05-08:12,18.0,7.0
2018-05-08:13,26.0,8.0
2018-05-08:14,25.0,9.0
2018-05-08:15,32.0,8.0
2018-05-08:16,24.0,10.0
2018-05-08:17,16.0,12.0
2018-05-08:18,21.0,14.0
2018-05-08:19,30.0,14.0
2018-05-08:20,27.0,11.0
2018-05-08:21,20.0,9.0
2018-05-08:22,18.0,12.0
2018-05-08:23,17.0,10.0
2018-05-08:24,13.0,8.0
2018-05-09:01,12.0,3.0
2018-05-09:02,9.0,4.0
2018-05-09:03,5.0,3.0
2018-05-09:04,9.0,6.0
2018-05-09:05,5.0,6.0
2018-05-09:06,11.0,9.0
2018-05-09:07,16.0,9.0
2018-05-09:08,19.0,3.0
2018-05-09:09,29.0,13.0
2018-05-09:10,25.0,9.0
2018-05-09:11,31.0,16.0
2018-05-09:12,26.0,13.0
2018-05-09:13,24.0,10.0
2018-05-09:14,28.0,13.0
2018-05-09:15,40.0,18.0
2018-05-09:16,39.0,18.0
2018-05-09:17,36.0,31.0
2018-05-09:18,36.0,21.0
2018-05-09:19,32.0,19.0
2018-05-09:20,42.0,22.0
2018-05-09:21,31.0,21.0
2018-05-09:22,36.0,23.0
2018-05-09:23,29.0,23.0
2018-05-09:24,32.0,16.0
2018-05-10:01,34.0,19.0
2018-05-10:02,34.0,17.0
