time,pm10,pm2.5
2018-04-01:01,72.0,29.0
2018-04-01:02,66.0,30.0
2018-04-01:03,66.0,27.0
2018-04-01:04,66.0,28.0
2018-04-01:05,70.0,29.0
2018-04-01:06,74.0,29.0
2018-04-01:07,74.0,34.0
2018-04-01:08,82.0,42.0
2018-04-01:09,96.0,34.0
2018-04-01:10,90.0,30.0
2018-04-01:11,80.0,34.0
2018-04-01:12,70.0,27.0
2018-04-01:13,71.0,31.0
2018-04-01:14,73.0,32.0
2018-04-01:15,86.0,46.0
2018-04-01:16,90.0,49.0
2018-04-01:17,96.0,49.0
2018-04-01:18,103.0,50.0
2018-04-01:19,91.0,48.0
2018-04-01:20,110.0,47.0
2018-04-01:21,111.0,45.0
2018-04-01:22,125.0,53.0
2018-04-01:23,104.0,42.0
2018-04-01:24,117.0,42.0
2018-04-02:01,104.0,39.0
2018-04-02:02,104.0,38.0
2018-04-02:03,107.0,44.0
2018-04-02:04,98.0,37.0
2018-04-02:05,91.0,37.0
2018-04-02:06,88.0,38.0
2018-04-02:07,86.0,36.0
2018-04-02:08,84.0,37.0
2018-04-02:09,85.0,28.0
2018-04-02:10,87.0,29.0
2018-04-02:11,85.0,32.0
2018-04-02:12,82.0,30.0
2018-04-02:13,93.0,35.0
2018-04-02:14,91.0,30.0
2018-04-02:15,83.0,30.0
2018-04-02:16,77.0,31.0
2018-04-02:17,78.0,23.0
2018-04-02:18,0.0,25.0
2018-04-02:19,76.0,24.0
2018-04-02:20,70.0,24.0
2018-04-02:21,64.0,23.0
2018-04-02:22,59.0,17.0
2018-04-02:23,63.0,19.0
2018-04-02:24,62.0,20.0
2018-04-03:01,60.0,17.0
2018-04-03:02,65.0,24.0
2018-04-03:03,62.0,17.0
2018-04-03:04,67.0,24.0
2018-04-03:05,64.0,13.0
2018-04-03:06,62.0,16.0
2018-04-03:07,62.0,17.0
2018-04-03:08,67.0,18.0
2018-04-03:09,64.0,19.0
2018-04-03:10,73.0,23.0
2018-04-03:11,80.0,24.0
2018-04-03:12,106.0,25.0
2018-04-03:13,112.0,30.0
2018-04-03:14,111.0,28.0
2018-04-03:15,102.0,28.0
2018-04-03:16,97.0,27.0
2018-04-03:17,106.0,24.0
2018-04-03:18,110.0,28.0
2018-04-03:19,100.0,23.0
2018-04-03:20,81.0,21.0
2018-04-03:21,72.0,23.0
2018-04-03:22,69.0,27.0
2018-04-03:23,74.0,25.0
2018-04-03:24,58.0,28.0
2018-04-04:01,47.0,26.0
2018-04-04:02,51.0,25.0
2018-04-04:03,26.0,16.0
2018-04-04:04,14.0,4.0
2018-04-04:05,11.0,8.0
2018-04-04:06,7.0,7.0
2018-04-04:07,14.0,6.0
2018-04-04:08,12.0,9.0
2018-04-04:09,13.0,7.0
2018-04-04:10,12.0,6.0
2018-04-04:11,18.0,4.0
2018-04-04:12,22.0,4.0
