time,pm10,pm2.5
2017-12-01:01,27.0,15.0
2017-12-01:02,22.0,13.0
2017-12-01:03,22.0,13.0
2017-12-01:04,22.0,15.0
2017-12-01:05,19.0,14.0
2017-12-01:06,19.0,12.0
2017-12-01:07,21.0,12.0
2017-12-01:08,22.0,13.0
2017-12-01:09,30.0,19.0
2017-12-01:10,28.0,16.0
2017-12-01:11,30.0,15.0
2017-12-01:12,31.0,16.0
2017-12-01:13,28.0,15.0
2017-12-01:14,34.0,18.0
2017-12-01:15,36.0,20.0
2017-12-01:16,30.0,16.0
2017-12-01:17,25.0,13.0
2017-12-01:18,23.0,14.0
2017-12-01:19,21.0,14.0
2017-12-01:20,21.0,15.0
2017-12-01:21,26.0,18.0
2017-12-01:22,26.0,19.0
2017-12-01:23,30.0,22.0
2017-12-01:24,32.0,24.0
2017-12-02:01,35.0,26.0
2017-12-02:02,35.0,25.0
2017-12-02:03,32.0,24.0
2017-12-02:04,28.0,20.0
2017-12-02:05,34.0,24.0
2017-12-02:06,34.0,24.0
2017-12-02:07,35.0,26.0
2017-12-02:08,38.0,27.0
2017-12-02:09,38.0,26.0
2017-12-02:10,38.0,22.0
2017-12-02:11,39.0,20.0
2017-12-02:12,32.0,18.0
2017-12-02:13,35.0,19.0
2017-12-02:14,37.0,21.0
2017-12-02:15,36.0,19.0
2017-12-02:16,39.0,25.0
2017-12-02:17,45.0,28.0
2017-12-02:18,43.0,29.0
2017-12-02:19,42.0,30.0
2017-12-02:20,42.0,29.0
2017-12-02:21,46.0,31.0
2017-12-02:22,50.0,34.0
2017-12-02:23,50.0,37.0
2017-12-02:24,46.0,35.0
2017-12-03:01,43.0,33.0
2017-12-03:02,39.0,31.0
2017-12-03:03,36.0,30.0
2017-12-03:04,36.0,28.0
2017-12-03:05,35.0,25.0
2017-12-03:06,32.0,24.0
2017-12-03:07,38.0,32.0
2017-12-03:08,40.0,32.0
2017-12-03:09,35.0,29.0
2017-12-03:10,35.0,29.0
2017-12-03:11,35.0,30.0
2017-12-03:12,38.0,32.0
2017-12-03:13,42.0,32.0
2017-12-03:14,45.0,36.0
2017-12-03:15,52.0,41.0
2017-12-03:16,63.0,48.0
2017-12-03:17,73.0,58.0
2017-12-03:18,68.0,55.0
2017-12-03:19,68.0,51.0
2017-12-03:20,66.0,52.0
2017-12-03:21,69.0,53.0
2017-12-03:22,74.0,55.0
2017-12-03:23,75.0,56.0
2017-12-03:24,72.0,55.0
2017-12-04:01,74.0,57.0
2017-12-04:02,74.0,58.0
2017-12-04:03,86.0,67.0
2017-12-04:04,102.0,77.0
2017-12-04:05,109.0,82.0
2017-12-04:06,98.0,73.0
2017-12-04:07,80.0,57.0
2017-12-04:08,62.0,44.0
2017-12-04:09,58.0,40.0
2017-12-04:10,41.0,24.0
2017-12-04:11,40.0,22.0
2017-12-04:12,34.0,19.0
2017-12-04:13,32.0,18.0
2017-12-04:14,29.0,18.0
2017-12-04:15,23.0,10.0
2017-12-04:16,21.0,11.0
2017-12-04:17,24.0,9.0
2017-12-04:18,24.0,8.0
2017-12-04:19,18.0,5.0
2017-12-04:20,17.0,4.0
2017-12-04:21,18.0,8.0
2017-12-04:22,22.0,9.0
2017-12-04:23,22.0,8.0
2017-12-04:24,20.0,8.0
2017-12-05:01,24.0,8.0
2017-12-05:02,23.0,9.0
2017-12-05:03,23.0,7.0
2017-12-05:04,20.0,8.0
2017-12-05:05,18.0,8.0
2017-12-05:06,14.0,4.0
2017-12-05:07,16.0,6.0
2017-12-05:08,18.0,4.0
2017-12-05:09,17.0,3.0
2017-12-05:10,19.0,4.0
2017-12-05:11,26.0,10.0
2017-12-05:12,32.0,12.0
2017-12-05:13,26.0,13.0
2017-12-05:14,26.0,9.0
2017-12-05:15,28.0,13.0
2017-12-05:16,26.0,10.0
2017-12-05:17,29.0,14.0
2017-12-05:18,30.0,14.0
2017-12-05:19,30.0,16.0
2017-12-05:20,30.0,14.0
2017-12-05:21,28.0,16.0
2017-12-05:22,30.0,14.0
2017-12-05:23,33.0,15.0
2017-12-05:24,29.0,15.0
2017-12-06:01,30.0,15.0
2017-12-06:02,28.0,14.0
2017-12-06:03,25.0,14.0
2017-12-06:04,26.0,15.0
2017-12-06:05,28.0,14.0
2017-12-06:06,29.0,17.0
2017-12-06:07,31.0,18.0
