time,pm10,pm2.5
2018-07-01:01,15.0,0.0
2018-07-01:02,19.0,11.0
2018-07-01:03,17.0,15.0
2018-07-01:04,13.0,15.0
2018-07-01:05,14.0,15.0
2018-07-01:06,11.0,10.0
2018-07-01:07,14.0,7.0
2018-07-01:08,13.0,10.0
2018-07-01:09,9.0,0.0
2018-07-01:10,19.0,16.0
2018-07-01:11,5.0,7.0
2018-07-01:12,6.0,6.0
2018-07-01:13,9.0,5.0
2018-07-01:14,6.0,6.0
2018-07-01:15,4.0,7.0
2018-07-01:16,6.0,6.0
2018-07-01:17,4.0,6.0
2018-07-01:18,6.0,7.0
2018-07-01:19,5.0,7.0
2018-07-01:20,3.0,6.0
2018-07-01:21,3.0,6.0
2018-07-01:22,3.0,9.0
2018-07-01:23,3.0,6.0
2018-07-01:24,3.0,8.0
2018-07-02:01,3.0,7.0
2018-07-02:02,3.0,5.0
2018-07-02:03,3.0,5.0
2018-07-02:04,3.0,4.0
2018-07-02:05,3.0,6.0
2018-07-02:06,3.0,4.0
2018-07-02:07,7.0,3.0
2018-07-02:08,9.0,10.0
2018-07-02:09,10.0,10.0
2018-07-02:10,10.0,8.0
2018-07-02:11,8.0,6.0
2018-07-02:12,13.0,10.0
2018-07-02:13,13.0,11.0
2018-07-02:14,18.0,17.0
2018-07-02:15,22.0,18.0
2018-07-02:16,24.0,22.0
2018-07-02:17,26.0,20.0
2018-07-02:18,27.0,20.0
2018-07-02:19,12.0,0.0
2018-07-02:20,7.0,8.0
2018-07-02:21,6.0,6.0
2018-07-02:22,3.0,8.0
2018-07-02:23,6.0,6.0
2018-07-02:24,10.0,8.0
2018-07-03:01,9.0,6.0
2018-07-03:02,11.0,13.0
2018-07-03:03,9.0,9.0
2018-07-03:04,7.0,7.0
2018-07-03:05,7.0,9.0
2018-07-03:06,14.0,9.0
2018-07-03:07,17.0,0.0
2018-07-03:08,12.0,11.0
2018-07-03:09,21.0,12.0
2018-07-03:10,11.0,0.0
2018-07-03:11,18.0,8.0
2018-07-03:12,15.0,15.0
2018-07-03:13,14.0,11.0
2018-07-03:14,12.0,14.0
2018-07-03:15,0.0,0.0
2018-07-03:16,9.0,11.0
2018-07-03:17,18.0,11.0
2018-07-03:18,0.0,12.0
2018-07-03:19,0.0,13.0
2018-07-03:20,0.0,10.0
2018-07-03:21,13.0,9.0
2018-07-03:22,14.0,9.0
2018-07-03:23,23.0,10.0
2018-07-03:24,13.0,6.0
2018-07-04:01,9.0,10.0
2018-07-04:02,16.0,13.0
2018-07-04:03,18.0,16.0
2018-07-04:04,17.0,10.0
2018-07-04:05,17.0,10.0
2018-07-04:06,15.0,10.0
2018-07-04:07,11.0,9.0
2018-07-04:08,15.0,12.0
2018-07-04:09,26.0,15.0
2018-07-04:10,18.0,15.0
2018-07-04:11,28.0,14.0
2018-07-04:12,21.0,20.0
2018-07-04:13,30.0,16.0
2018-07-04:14,40.0,27.0
2018-07-04:15,29.0,25.0
2018-07-04:16,23.0,17.0
2018-07-04:17,20.0,16.0
2018-07-04:18,30.0,21.0
2018-07-04:19,27.0,22.0
2018-07-04:20,23.0,16.0
2018-07-04:21,21.0,20.0
2018-07-04:22,25.0,24.0
2018-07-04:23,17.0,0.0
2018-07-04:24,25.0,21.0
2018-07-05:01,0.0,31.0
2018-07-05:02,0.0,33.0
2018-07-05:03,0.0,35.0
2018-07-05:04,37.0,31.0
2018-07-05:05,35.0,31.0
2018-07-05:06,30.0,0.0
2018-07-05:07,25.0,0.0
2018-07-05:08,40.0,26.0
2018-07-05:09,33.0,32.0
2018-07-05:10,25.0,21.0
2018-07-05:11,25.0,22.0
2018-07-05:12,25.0,22.0
2018-07-05:13,17.0,0.0
2018-07-05:14,29.0,28.0
2018-07-05:15,23.0,21.0
2018-07-05:16,20.0,16.0
2018-07-05:17,16.0,13.0
2018-07-05:18,13.0,14.0
2018-07-05:19,12.0,13.0
2018-07-05:20,11.0,11.0
2018-07-05:21,11.0,8.0
2018-07-05:22,12.0,11.0
2018-07-05:23,9.0,7.0
2018-07-05:24,7.0,7.0
2018-07-06:01,4.0,6.0
2018-07-06:02,3.0,5.0
2018-07-06:03,4.0,6.0
2018-07-06:04,3.0,5.0
2018-07-06:05,3.0,9.0
2018-07-06:06,3.0,7.0
2018-07-06:07,3.0,5.0
2018-07-06:08,3.0,3.0
2018-07-06:09,5.0,6.0
2018-07-06:10,16.0,8.0
2018-07-06:11,20.0,7.0
2018-07-06:12,4.0,5.0
2018-07-06:13,13.0,5.0
2018-07-06:14,9.0,9.0
2018-07-06:15,22.0,8.0
2018-07-06:16,5.0,6.0
2018-07-06:17,5.0,5.0
2018-07-06:18,3.0,7.0
2018-07-06:19,3.0,6.0
2018-07-06:20,3.0,5.0
2018-07-06:21,4.0,5.0
2018-07-06:22,6.0,3.0
2018-07-06:23,4.0,2.0
2018-07-06:24,3.0,3.0
2018-07-07:01,3.0,7.0
2018-07-07:02,3.0,6.0
2018-07-07:03,3.0,6.0
2018-07-07:04,3.0,9.0
2018-07-07:05,3.0,6.0
2018-07-07:06,3.0,6.0
2018-07-07:07,4.0,5.0
2018-07-07:08,5.0,6.0
2018-07-07:09,16.0,5.0
2018-07-07:10,8.0,5.0
2018-07-07:11,14.0,4.0
2018-07-07:12,10.0,5.0
2018-07-07:13,6.0,6.0
2018-07-07:14,14.0,7.0
2018-07-07:15,15.0,6.0
2018-07-07:16,13.0,10.0
2018-07-07:17,10.0,8.0
2018-07-07:18,8.0,8.0
2018-07-07:19,10.0,9.0
2018-07-07:20,9.0,12.0
2018-07-07:21,9.0,11.0
2018-07-07:22,6.0,10.0
2018-07-07:23,6.0,11.0
2018-07-07:24,8.0,6.0
2018-07-08:01,6.0,5.0
2018-07-08:02,6.0,5.0
2018-07-08:03,5.0,5.0
2018-07-08:04,7.0,6.0
2018-07-08:05,6.0,7.0
2018-07-08:06,7.0,7.0
2018-07-08:07,7.0,5.0
2018-07-08:08,6.0,7.0
2018-07-08:09,11.0,7.0
2018-07-08:10,12.0,6.0
2018-07-08:11,12.0,6.0
2018-07-08:12,11.0,8.0
2018-07-08:13,11.0,11.0
2018-07-08:14,14.0,11.0
2018-07-08:15,14.0,10.0
2018-07-08:16,13.0,12.0
2018-07-08:17,16.0,9.0
2018-07-08:18,6.0,10.0
2018-07-08:19,13.0,13.0
2018-07-08:20,9.0,15.0
2018-07-08:21,13.0,12.0
2018-07-08:22,12.0,14.0
2018-07-08:23,13.0,12.0
2018-07-08:24,13.0,8.0
2018-07-09:01,12.0,12.0
2018-07-09:02,10.0,12.0
2018-07-09:03,11.0,8.0
2018-07-09:04,8.0,8.0
2018-07-09:05,6.0,6.0
2018-07-09:06,7.0,6.0
2018-07-09:07,10.0,7.0
2018-07-09:08,11.0,8.0
2018-07-09:09,8.0,6.0
2018-07-09:10,20.0,6.0
2018-07-09:11,32.0,10.0
2018-07-09:12,8.0,9.0
2018-07-09:13,9.0,7.0
2018-07-09:14,9.0,6.0
2018-07-09:15,18.0,10.0
2018-07-09:16,20.0,9.0
2018-07-09:17,7.0,7.0
2018-07-09:18,4.0,11.0
2018-07-09:19,5.0,6.0
2018-07-09:20,5.0,4.0
2018-07-09:21,5.0,7.0
2018-07-09:22,4.0,6.0
2018-07-09:23,6.0,7.0
2018-07-09:24,4.0,7.0
2018-07-10:01,3.0,6.0
2018-07-10:02,3.0,5.0
2018-07-10:03,4.0,6.0
2018-07-10:04,6.0,6.0
2018-07-10:05,7.0,6.0
2018-07-10:06,10.0,5.0
2018-07-10:07,9.0,8.0
2018-07-10:08,18.0,13.0
2018-07-10:09,17.0,15.0
2018-07-10:10,22.0,7.0
2018-07-10:11,25.0,15.0
2018-07-10:12,19.0,16.0
2018-07-10:13,13.0,15.0
2018-07-10:14,29.0,16.0
2018-07-10:15,27.0,26.0
2018-07-10:16,42.0,23.0
2018-07-10:17,43.0,23.0
2018-07-10:18,34.0,24.0
2018-07-10:19,36.0,24.0
2018-07-10:20,36.0,24.0
2018-07-10:21,36.0,29.0
2018-07-10:22,38.0,31.0
2018-07-10:23,29.0,29.0
2018-07-10:24,28.0,28.0
2018-07-11:01,33.0,25.0
2018-07-11:02,37.0,31.0
2018-07-11:03,31.0,25.0
2018-07-11:04,26.0,22.0
2018-07-11:05,24.0,20.0
2018-07-11:06,24.0,17.0
2018-07-11:07,20.0,17.0
2018-07-11:08,34.0,24.0
2018-07-11:09,25.0,20.0
2018-07-11:10,25.0,21.0
2018-07-11:11,34.0,25.0
2018-07-11:12,36.0,30.0
2018-07-11:13,33.0,29.0
2018-07-11:14,31.0,25.0
2018-07-11:15,33.0,25.0
2018-07-11:16,31.0,23.0
2018-07-11:17,28.0,21.0
2018-07-11:18,28.0,23.0
2018-07-11:19,24.0,17.0
2018-07-11:20,24.0,24.0
2018-07-11:21,23.0,14.0
2018-07-11:22,22.0,19.0
2018-07-11:23,38.0,18.0
2018-07-11:24,24.0,10.0
2018-07-12:01,26.0,14.0
2018-07-12:02,23.0,16.0
2018-07-12:03,22.0,12.0
2018-07-12:04,24.0,13.0
2018-07-12:05,23.0,13.0
2018-07-12:06,23.0,18.0
2018-07-12:07,24.0,16.0
2018-07-12:08,32.0,24.0
2018-07-12:09,30.0,21.0
2018-07-12:10,36.0,28.0
2018-07-12:11,39.0,32.0
2018-07-12:12,35.0,24.0
2018-07-12:13,33.0,22.0
2018-07-12:14,16.0,16.0
2018-07-12:15,20.0,0.0
2018-07-12:16,20.0,15.0
2018-07-12:17,17.0,0.0
2018-07-12:18,14.0,12.0
2018-07-12:19,17.0,13.0
2018-07-12:20,17.0,14.0
2018-07-12:21,16.0,12.0
2018-07-12:22,13.0,15.0
2018-07-12:23,21.0,16.0
2018-07-12:24,24.0,13.0
2018-07-13:01,23.0,11.0
2018-07-13:02,17.0,11.0
2018-07-13:03,18.0,18.0
2018-07-13:04,17.0,17.0
2018-07-13:05,12.0,0.0
2018-07-13:06,15.0,0.0
2018-07-13:07,18.0,18.0
2018-07-13:08,17.0,0.0
2018-07-13:09,22.0,16.0
2018-07-13:10,26.0,23.0
2018-07-13:11,27.0,22.0
2018-07-13:12,20.0,20.0
2018-07-13:13,17.0,0.0
2018-07-13:14,15.0,15.0
2018-07-13:15,23.0,21.0
2018-07-13:16,23.0,0.0
2018-07-13:17,20.0,19.0
2018-07-13:18,24.0,22.0
2018-07-13:19,24.0,19.0
2018-07-13:20,27.0,23.0
2018-07-13:21,27.0,18.0
2018-07-13:22,27.0,19.0
2018-07-13:23,19.0,17.0
2018-07-13:24,25.0,15.0
2018-07-14:01,19.0,15.0
2018-07-14:02,23.0,15.0
2018-07-14:03,21.0,19.0
2018-07-14:04,19.0,19.0
2018-07-14:05,21.0,17.0
2018-07-14:06,14.0,0.0
2018-07-14:07,14.0,12.0
2018-07-14:08,13.0,0.0
2018-07-14:09,21.0,19.0
2018-07-14:10,16.0,0.0
2018-07-14:11,21.0,18.0
2018-07-14:12,21.0,17.0
2018-07-14:13,27.0,25.0
2018-07-14:14,29.0,25.0
2018-07-14:15,27.0,25.0
2018-07-14:16,33.0,26.0
2018-07-14:17,16.0,0.0
2018-07-14:18,17.0,12.0
2018-07-14:19,13.0,0.0
2018-07-14:20,20.0,0.0
2018-07-14:21,20.0,0.0
2018-07-14:22,28.0,22.0
2018-07-14:23,23.0,23.0
2018-07-14:24,19.0,19.0
2018-07-15:01,21.0,21.0
2018-07-15:02,19.0,18.0
2018-07-15:03,13.0,14.0
2018-07-15:04,17.0,14.0
2018-07-15:05,18.0,17.0
2018-07-15:06,15.0,14.0
2018-07-15:07,16.0,0.0
2018-07-15:08,20.0,16.0
2018-07-15:09,19.0,18.0
2018-07-15:10,17.0,0.0
2018-07-15:11,27.0,24.0
2018-07-15:12,24.0,24.0
2018-07-15:13,25.0,20.0
2018-07-15:14,29.0,0.0
2018-07-15:15,36.0,30.0
2018-07-15:16,34.0,0.0
2018-07-15:17,24.0,21.0
2018-07-15:18,23.0,0.0
2018-07-15:19,27.0,18.0
2018-07-15:20,21.0,15.0
2018-07-15:21,14.0,13.0
2018-07-15:22,17.0,17.0
2018-07-15:23,15.0,0.0
2018-07-15:24,13.0,0.0
2018-07-16:01,16.0,13.0
2018-07-16:02,10.0,0.0
2018-07-16:03,15.0,11.0
2018-07-16:04,13.0,12.0
2018-07-16:05,14.0,9.0
2018-07-16:06,15.0,7.0
2018-07-16:07,15.0,14.0
2018-07-16:08,21.0,14.0
2018-07-16:09,31.0,21.0
2018-07-16:10,26.0,21.0
2018-07-16:11,29.0,19.0
2018-07-16:12,26.0,23.0
2018-07-16:13,37.0,32.0
2018-07-16:14,49.0,37.0
2018-07-16:15,30.0,27.0
2018-07-16:16,29.0,21.0
2018-07-16:17,33.0,27.0
2018-07-16:18,28.0,28.0
2018-07-16:19,27.0,24.0
2018-07-16:20,22.0,15.0
2018-07-16:21,23.0,19.0
2018-07-16:22,19.0,17.0
2018-07-16:23,17.0,0.0
2018-07-16:24,17.0,17.0
2018-07-17:01,10.0,0.0
2018-07-17:02,12.0,0.0
2018-07-17:03,9.0,0.0
2018-07-17:04,13.0,9.0
2018-07-17:05,16.0,0.0
2018-07-17:06,10.0,0.0
2018-07-17:07,23.0,0.0
2018-07-17:08,31.0,22.0
2018-07-17:09,34.0,25.0
2018-07-17:10,42.0,32.0
2018-07-17:11,48.0,39.0
2018-07-17:12,48.0,43.0
2018-07-17:13,47.0,37.0
2018-07-17:14,42.0,38.0
2018-07-17:15,43.0,38.0
2018-07-17:16,48.0,34.0
2018-07-17:17,33.0,29.0
2018-07-17:18,28.0,27.0
2018-07-17:19,27.0,21.0
2018-07-17:20,26.0,24.0
2018-07-17:21,28.0,28.0
2018-07-17:22,25.0,0.0
2018-07-17:23,32.0,26.0
2018-07-17:24,29.0,27.0
2018-07-18:01,33.0,31.0
2018-07-18:02,24.0,0.0
2018-07-18:03,21.0,0.0
2018-07-18:04,26.0,21.0
2018-07-18:05,18.0,0.0
2018-07-18:06,24.0,24.0
2018-07-18:07,21.0,0.0
2018-07-18:08,34.0,33.0
2018-07-18:09,34.0,32.0
2018-07-18:10,37.0,32.0
2018-07-18:11,45.0,35.0
2018-07-18:12,39.0,37.0
2018-07-18:13,57.0,46.0
2018-07-18:14,80.0,67.0
2018-07-18:15,56.0,44.0
2018-07-18:16,42.0,34.0
2018-07-18:17,43.0,30.0
2018-07-18:18,34.0,30.0
2018-07-18:19,32.0,31.0
2018-07-18:20,30.0,29.0
2018-07-18:21,28.0,28.0
2018-07-18:22,30.0,25.0
2018-07-18:23,30.0,24.0
2018-07-18:24,22.0,0.0
2018-07-19:01,19.0,19.0
2018-07-19:02,17.0,15.0
2018-07-19:03,21.0,0.0
2018-07-19:04,24.0,0.0
2018-07-19:05,24.0,22.0
2018-07-19:06,21.0,19.0
2018-07-19:07,18.0,0.0
2018-07-19:08,24.0,22.0
2018-07-19:09,27.0,0.0
2018-07-19:10,38.0,30.0
2018-07-19:11,41.0,28.0
2018-07-19:12,33.0,28.0
2018-07-19:13,34.0,30.0
2018-07-19:14,35.0,31.0
2018-07-19:15,23.0,20.0
2018-07-19:16,20.0,15.0
2018-07-19:17,23.0,16.0
2018-07-19:18,23.0,0.0
2018-07-19:19,26.0,23.0
2018-07-19:20,24.0,16.0
2018-07-19:21,19.0,19.0
2018-07-19:22,23.0,18.0
2018-07-19:23,17.0,0.0
2018-07-19:24,20.0,19.0
2018-07-20:01,17.0,17.0
2018-07-20:02,15.0,14.0
2018-07-20:03,15.0,0.0
2018-07-20:04,21.0,17.0
2018-07-20:05,15.0,0.0
2018-07-20:06,25.0,16.0
2018-07-20:07,21.0,20.0
2018-07-20:08,22.0,21.0
2018-07-20:09,31.0,26.0
2018-07-20:10,40.0,30.0
2018-07-20:11,46.0,34.0
2018-07-20:12,56.0,51.0
2018-07-20:13,57.0,50.0
2018-07-20:14,63.0,61.0
2018-07-20:15,72.0,59.0
2018-07-20:16,53.0,40.0
2018-07-20:17,53.0,37.0
2018-07-20:18,42.0,28.0
2018-07-20:19,40.0,32.0
2018-07-20:20,34.0,23.0
2018-07-20:21,36.0,21.0
2018-07-20:22,28.0,25.0
2018-07-20:23,25.0,21.0
2018-07-20:24,20.0,0.0
2018-07-21:01,23.0,18.0
2018-07-21:02,19.0,0.0
2018-07-21:03,22.0,21.0
2018-07-21:04,20.0,0.0
2018-07-21:05,22.0,20.0
2018-07-21:06,25.0,24.0
2018-07-21:07,27.0,23.0
2018-07-21:08,31.0,25.0
2018-07-21:09,39.0,36.0
2018-07-21:10,41.0,0.0
2018-07-21:11,57.0,53.0
2018-07-21:12,52.0,45.0
2018-07-21:13,37.0,33.0
2018-07-21:14,46.0,33.0
2018-07-21:15,53.0,38.0
2018-07-21:16,41.0,33.0
2018-07-21:17,31.0,26.0
2018-07-21:18,37.0,29.0
2018-07-21:19,27.0,21.0
