time,pm10,pm2.5
2017-01-01:01,63.0,51.0
2017-01-01:02,60.0,52.0
2017-01-01:03,63.0,54.0
2017-01-01:04,63.0,53.0
2017-01-01:05,64.0,50.0
2017-01-01:06,63.0,51.0
2017-01-01:07,63.0,52.0
2017-01-01:08,64.0,52.0
2017-01-01:09,67.0,52.0
2017-01-01:10,69.0,56.0
2017-01-01:11,74.0,60.0
2017-01-01:12,81.0,69.0
2017-01-01:13,87.0,74.0
2017-01-01:14,91.0,79.0
2017-01-01:15,95.0,81.0
2017-01-01:16,95.0,79.0
2017-01-01:17,93.0,80.0
2017-01-01:18,95.0,79.0
2017-01-01:19,92.0,80.0
2017-01-01:20,92.0,75.0
2017-01-01:21,90.0,76.0
2017-01-01:22,84.0,69.0
2017-01-01:23,85.0,70.0
2017-01-01:24,83.0,71.0
2017-01-02:01,84.0,70.0
2017-01-02:02,84.0,72.0
2017-01-02:03,85.0,74.0
2017-01-02:04,81.0,74.0
2017-01-02:05,80.0,69.0
2017-01-02:06,87.0,72.0
2017-01-02:07,85.0,71.0
2017-01-02:08,86.0,73.0
2017-01-02:09,91.0,75.0
2017-01-02:10,89.0,77.0
2017-01-02:11,94.0,75.0
2017-01-02:12,77.0,63.0
2017-01-02:13,87.0,75.0
2017-01-02:14,96.0,80.0
2017-01-02:15,112.0,93.0
2017-01-02:16,122.0,98.0
2017-01-02:17,144.0,117.0
2017-01-02:18,0.0,0.0
2017-01-02:19,132.0,107.0
2017-01-02:20,149.0,120.0
2017-01-02:21,146.0,116.0
2017-01-02:22,130.0,106.0
2017-01-02:23,125.0,105.0
2017-01-02:24,138.0,110.0
2017-01-03:01,138.0,112.0
2017-01-03:02,132.0,108.0
2017-01-03:03,131.0,102.0
2017-01-03:04,127.0,96.0
2017-01-03:05,108.0,84.0
2017-01-03:06,96.0,74.0
2017-01-03:07,80.0,66.0
2017-01-03:08,65.0,52.0
2017-01-03:09,66.0,52.0
2017-01-03:10,79.0,60.0
2017-01-03:11,123.0,98.0
