time,pm10,pm2.5
2016-12-01:01,39.0,0.0
2016-12-01:02,41.0,0.0
2016-12-01:03,50.0,0.0
2016-12-01:04,61.0,0.0
2016-12-01:05,96.0,0.0
2016-12-01:06,79.0,0.0
2016-12-01:07,79.0,0.0
2016-12-01:08,81.0,0.0
2016-12-01:09,73.0,0.0
2016-12-01:10,74.0,0.0
2016-12-01:11,50.0,0.0
2016-12-01:12,31.0,0.0
2016-12-01:13,26.0,0.0
2016-12-01:14,19.0,0.0
2016-12-01:15,22.0,0.0
2016-12-01:16,33.0,0.0
2016-12-01:17,30.0,0.0
2016-12-01:18,28.0,0.0
2016-12-01:19,22.0,0.0
2016-12-01:20,16.0,0.0
2016-12-01:21,27.0,0.0
2016-12-01:22,20.0,0.0
2016-12-01:23,21.0,0.0
2016-12-01:24,17.0,0.0
2016-12-02:01,26.0,0.0
2016-12-02:02,18.0,0.0
2016-12-02:03,18.0,0.0
2016-12-02:04,22.0,0.0
2016-12-02:05,31.0,0.0
2016-12-02:06,25.0,0.0
2016-12-02:07,38.0,0.0
2016-12-02:08,35.0,0.0
2016-12-02:09,55.0,0.0
2016-12-02:10,60.0,0.0
2016-12-02:11,46.0,0.0
2016-12-02:12,38.0,0.0
2016-12-02:13,36.0,0.0
2016-12-02:14,27.0,0.0
2016-12-02:15,32.0,0.0
2016-12-02:16,33.0,0.0
2016-12-02:17,20.0,0.0
2016-12-02:18,50.0,0.0
2016-12-02:19,26.0,0.0
2016-12-02:20,29.0,0.0
2016-12-02:21,35.0,0.0
2016-12-02:22,62.0,0.0
2016-12-02:23,55.0,0.0
2016-12-02:24,40.0,0.0
2016-12-03:01,36.0,0.0
2016-12-03:02,37.0,0.0
2016-12-03:03,38.0,0.0
2016-12-03:04,27.0,0.0
2016-12-03:05,28.0,0.0
2016-12-03:06,43.0,0.0
2016-12-03:07,27.0,0.0
2016-12-03:08,35.0,0.0
2016-12-03:09,46.0,0.0
2016-12-03:10,69.0,0.0
2016-12-03:11,53.0,0.0
2016-12-03:12,47.0,0.0
2016-12-03:13,49.0,0.0
2016-12-03:14,0.0,0.0
2016-12-03:15,50.0,0.0
2016-12-03:16,48.0,0.0
2016-12-03:17,55.0,0.0
