time,pm10,pm2.5
2017-11-01:01,35.0,13.0
2017-11-01:02,38.0,15.0
2017-11-01:03,34.0,15.0
2017-11-01:04,30.0,18.0
2017-11-01:05,37.0,13.0
2017-11-01:06,29.0,14.0
2017-11-01:07,31.0,13.0
2017-11-01:08,33.0,14.0
2017-11-01:09,35.0,12.0
2017-11-01:10,38.0,17.0
2017-11-01:11,40.0,14.0
2017-11-01:12,41.0,14.0
2017-11-01:13,39.0,17.0
2017-11-01:14,47.0,20.0
2017-11-01:15,44.0,18.0
2017-11-01:16,44.0,14.0
2017-11-01:17,37.0,15.0
2017-11-01:18,51.0,19.0
2017-11-01:19,48.0,16.0
2017-11-01:20,52.0,16.0
2017-11-01:21,40.0,22.0
2017-11-01:22,47.0,25.0
2017-11-01:23,44.0,20.0
2017-11-01:24,37.0,18.0
2017-11-02:01,31.0,15.0
2017-11-02:02,33.0,13.0
2017-11-02:03,30.0,19.0
2017-11-02:04,34.0,14.0
2017-11-02:05,31.0,19.0
2017-11-02:06,39.0,15.0
2017-11-02:07,37.0,17.0
2017-11-02:08,46.0,19.0
2017-11-02:09,60.0,22.0
2017-11-02:10,54.0,24.0
2017-11-02:11,60.0,19.0
2017-11-02:12,57.0,16.0
2017-11-02:13,49.0,23.0
2017-11-02:14,58.0,25.0
2017-11-02:15,92.0,52.0
2017-11-02:16,0.0,0.0
2017-11-02:17,62.0,21.0
2017-11-02:18,52.0,24.0
2017-11-02:19,57.0,20.0
2017-11-02:20,44.0,22.0
2017-11-02:21,52.0,22.0
2017-11-02:22,48.0,28.0
2017-11-02:23,50.0,26.0
2017-11-02:24,40.0,23.0
2017-11-03:01,38.0,21.0
2017-11-03:02,33.0,18.0
2017-11-03:03,36.0,18.0
2017-11-03:04,33.0,22.0
2017-11-03:05,34.0,17.0
2017-11-03:06,32.0,22.0
2017-11-03:07,41.0,20.0
2017-11-03:08,31.0,21.0
2017-11-03:09,37.0,15.0
2017-11-03:10,28.0,15.0
2017-11-03:11,40.0,25.0
2017-11-03:12,51.0,28.0
2017-11-03:13,37.0,18.0
2017-11-03:14,37.0,18.0
2017-11-03:15,42.0,22.0
2017-11-03:16,57.0,22.0
2017-11-03:17,52.0,22.0
2017-11-03:18,37.0,13.0
2017-11-03:19,37.0,21.0
2017-11-03:20,47.0,22.0
2017-11-03:21,43.0,25.0
2017-11-03:22,37.0,25.0
2017-11-03:23,46.0,27.0
