time,pm10,pm2.5
2019-09-01:01,25.0,18.0
2019-09-01:02,21.0,8.0
2019-09-01:03,23.0,8.0
2019-09-01:04,20.0,9.0
2019-09-01:05,22.0,13.0
2019-09-01:06,23.0,13.0
2019-09-01:07,27.0,11.0
2019-09-01:08,26.0,14.0
2019-09-01:09,27.0,18.0
2019-09-01:10,29.0,15.0
2019-09-01:11,26.0,16.0
2019-09-01:12,27.0,11.0
2019-09-01:13,13.0,7.0
2019-09-01:14,19.0,10.0
2019-09-01:15,24.0,10.0
2019-09-01:16,19.0,12.0
2019-09-01:17,12.0,12.0
2019-09-01:18,17.0,10.0
2019-09-01:19,16.0,15.0
2019-09-01:20,0.0,20.0
2019-09-01:21,23.0,16.0
2019-09-01:22,35.0,21.0
2019-09-01:23,28.0,14.0
2019-09-01:24,34.0,24.0
2019-09-02:01,38.0,23.0
2019-09-02:02,34.0,25.0
2019-09-02:03,27.0,14.0
2019-09-02:04,25.0,16.0
2019-09-02:05,25.0,12.0
2019-09-02:06,20.0,14.0
2019-09-02:07,24.0,11.0
2019-09-02:08,27.0,16.0
2019-09-02:09,27.0,14.0
2019-09-02:10,28.0,15.0
2019-09-02:11,31.0,19.0
2019-09-02:12,0.0,0.0
2019-09-02:13,31.0,19.0
2019-09-02:14,35.0,10.0
2019-09-02:15,38.0,15.0
2019-09-02:16,41.0,16.0
2019-09-02:17,43.0,9.0
2019-09-02:18,33.0,11.0
2019-09-02:19,38.0,16.0
2019-09-02:20,35.0,17.0
2019-09-02:21,30.0,15.0
2019-09-02:22,31.0,19.0
2019-09-02:23,39.0,14.0
2019-09-02:24,33.0,14.0
2019-09-03:01,38.0,21.0
2019-09-03:02,31.0,23.0
2019-09-03:03,35.0,20.0
2019-09-03:04,29.0,18.0
2019-09-03:05,27.0,17.0
2019-09-03:06,28.0,21.0
2019-09-03:07,27.0,9.0
2019-09-03:08,35.0,17.0
2019-09-03:09,34.0,21.0
2019-09-03:10,33.0,16.0
2019-09-03:11,33.0,10.0
2019-09-03:12,28.0,17.0
2019-09-03:13,25.0,11.0
2019-09-03:14,20.0,7.0
2019-09-03:15,18.0,8.0
2019-09-03:16,19.0,5.0
2019-09-03:17,22.0,5.0
2019-09-03:18,17.0,5.0
2019-09-03:19,15.0,3.0
2019-09-03:20,12.0,9.0
2019-09-03:21,12.0,7.0
2019-09-03:22,0.0,3.0
2019-09-03:23,5.0,3.0
2019-09-03:24,5.0,3.0
2019-09-04:01,5.0,3.0
2019-09-04:02,5.0,3.0
2019-09-04:03,5.0,3.0
2019-09-04:04,5.0,3.0
2019-09-04:05,5.0,3.0
2019-09-04:06,5.0,3.0
2019-09-04:07,5.0,3.0
2019-09-04:08,5.0,3.0
2019-09-04:09,5.0,3.0
2019-09-04:10,10.0,3.0
2019-09-04:11,8.0,3.0
2019-09-04:12,6.0,3.0
2019-09-04:13,13.0,3.0
2019-09-04:14,8.0,4.0
2019-09-04:15,12.0,4.0
2019-09-04:16,9.0,4.0
2019-09-04:17,12.0,5.0
2019-09-04:18,16.0,9.0
2019-09-04:19,10.0,4.0
2019-09-04:20,14.0,8.0
2019-09-04:21,16.0,9.0
2019-09-04:22,13.0,10.0
2019-09-04:23,11.0,6.0
2019-09-04:24,10.0,7.0
2019-09-05:01,9.0,6.0
2019-09-05:02,7.0,5.0
2019-09-05:03,8.0,3.0
2019-09-05:04,6.0,3.0
2019-09-05:05,6.0,3.0
2019-09-05:06,5.0,3.0
2019-09-05:07,9.0,3.0
2019-09-05:08,11.0,3.0
2019-09-05:09,14.0,3.0
2019-09-05:10,13.0,7.0
2019-09-05:11,14.0,7.0
2019-09-05:12,17.0,5.0
2019-09-05:13,15.0,9.0
2019-09-05:14,20.0,9.0
2019-09-05:15,8.0,3.0
2019-09-05:16,6.0,3.0
2019-09-05:17,5.0,3.0
2019-09-05:18,5.0,3.0
2019-09-05:19,11.0,3.0
2019-09-05:20,14.0,3.0
2019-09-05:21,8.0,4.0
2019-09-05:22,6.0,3.0
2019-09-05:23,5.0,3.0
2019-09-05:24,9.0,3.0
2019-09-06:01,10.0,3.0
2019-09-06:02,11.0,3.0
2019-09-06:03,8.0,3.0
2019-09-06:04,10.0,3.0
2019-09-06:05,10.0,3.0
2019-09-06:06,7.0,3.0
2019-09-06:07,8.0,3.0
2019-09-06:08,11.0,3.0
2019-09-06:09,10.0,3.0
2019-09-06:10,8.0,5.0
2019-09-06:11,18.0,5.0
2019-09-06:12,19.0,4.0
2019-09-06:13,22.0,7.0
2019-09-06:14,24.0,12.0
2019-09-06:15,27.0,12.0
2019-09-06:16,24.0,11.0
2019-09-06:17,26.0,11.0
2019-09-06:18,0.0,12.0
2019-09-06:19,24.0,11.0
2019-09-06:20,30.0,13.0
2019-09-06:21,29.0,12.0
2019-09-06:22,23.0,15.0
2019-09-06:23,22.0,11.0
2019-09-06:24,28.0,13.0
2019-09-07:01,15.0,10.0
2019-09-07:02,16.0,8.0
2019-09-07:03,12.0,6.0
2019-09-07:04,11.0,3.0
2019-09-07:05,9.0,3.0
2019-09-07:06,11.0,4.0
2019-09-07:07,10.0,3.0
2019-09-07:08,15.0,3.0
2019-09-07:09,10.0,3.0
2019-09-07:10,15.0,3.0
2019-09-07:11,13.0,3.0
2019-09-07:12,26.0,3.0
2019-09-07:13,25.0,3.0
2019-09-07:14,17.0,3.0
2019-09-07:15,34.0,3.0
2019-09-07:16,26.0,3.0
2019-09-07:17,10.0,3.0
2019-09-07:18,10.0,3.0
2019-09-07:19,11.0,3.0
2019-09-07:20,8.0,7.0
2019-09-07:21,13.0,6.0
2019-09-07:22,14.0,3.0
2019-09-07:23,19.0,3.0
2019-09-07:24,17.0,0.0
2019-09-08:01,10.0,3.0
2019-09-08:02,11.0,6.0
2019-09-08:03,14.0,7.0
2019-09-08:04,16.0,10.0
2019-09-08:05,22.0,11.0
2019-09-08:06,27.0,11.0
2019-09-08:07,30.0,19.0
2019-09-08:08,36.0,24.0
2019-09-08:09,37.0,21.0
2019-09-08:10,36.0,24.0
2019-09-08:11,32.0,21.0
2019-09-08:12,35.0,15.0
2019-09-08:13,30.0,23.0
2019-09-08:14,33.0,18.0
2019-09-08:15,39.0,20.0
2019-09-08:16,46.0,33.0
2019-09-08:17,50.0,43.0
2019-09-08:18,51.0,38.0
2019-09-08:19,52.0,35.0
2019-09-08:20,51.0,41.0
2019-09-08:21,60.0,39.0
2019-09-08:22,55.0,36.0
2019-09-08:23,50.0,43.0
2019-09-08:24,57.0,37.0
2019-09-09:01,52.0,37.0
