time,pm10,pm2.5
2017-03-01:01,41.0,30.0
2017-03-01:02,43.0,32.0
2017-03-01:03,43.0,28.0
2017-03-01:04,39.0,33.0
2017-03-01:05,52.0,32.0
2017-03-01:06,49.0,38.0
2017-03-01:07,55.0,39.0
2017-03-01:08,50.0,40.0
2017-03-01:09,61.0,39.0
2017-03-01:10,68.0,43.0
2017-03-01:11,83.0,53.0
2017-03-01:12,0.0,53.0
2017-03-01:13,0.0,39.0
2017-03-01:14,67.0,39.0
2017-03-01:15,78.0,50.0
2017-03-01:16,73.0,0.0
2017-03-01:17,71.0,0.0
2017-03-01:18,61.0,56.0
2017-03-01:19,48.0,0.0
2017-03-01:20,49.0,48.0
2017-03-01:21,54.0,0.0
2017-03-01:22,63.0,0.0
2017-03-01:23,59.0,0.0
2017-03-01:24,60.0,58.0
2017-03-02:01,55.0,54.0
2017-03-02:02,43.0,0.0
2017-03-02:03,34.0,33.0
2017-03-02:04,21.0,17.0
2017-03-02:05,24.0,0.0
2017-03-02:06,31.0,28.0
2017-03-02:07,34.0,30.0
2017-03-02:08,37.0,22.0
2017-03-02:09,28.0,20.0
2017-03-02:10,30.0,16.0
2017-03-02:11,25.0,10.0
2017-03-02:12,33.0,15.0
2017-03-02:13,33.0,17.0
2017-03-02:14,34.0,18.0
2017-03-02:15,30.0,14.0
2017-03-02:16,38.0,18.0
2017-03-02:17,44.0,19.0
2017-03-02:18,44.0,27.0
2017-03-02:19,43.0,22.0
2017-03-02:20,34.0,16.0
2017-03-02:21,39.0,12.0
2017-03-02:22,28.0,17.0
2017-03-02:23,25.0,14.0
2017-03-02:24,22.0,12.0
2017-03-03:01,25.0,10.0
2017-03-03:02,25.0,16.0
2017-03-03:03,28.0,17.0
2017-03-03:04,29.0,10.0
2017-03-03:05,31.0,20.0
2017-03-03:06,32.0,19.0
2017-03-03:07,30.0,19.0
2017-03-03:08,40.0,20.0
2017-03-03:09,41.0,23.0
2017-03-03:10,50.0,25.0
