time,pm10,pm2.5
2016-05-01:01,58.0,25.0
2016-05-01:02,60.0,31.0
2016-05-01:03,57.0,29.0
2016-05-01:04,58.0,26.0
2016-05-01:05,55.0,24.0
2016-05-01:06,48.0,23.0
2016-05-01:07,53.0,25.0
2016-05-01:08,52.0,23.0
2016-05-01:09,48.0,22.0
2016-05-01:10,47.0,21.0
2016-05-01:11,37.0,13.0
2016-05-01:12,33.0,12.0
2016-05-01:13,39.0,18.0
2016-05-01:14,40.0,17.0
2016-05-01:15,36.0,11.0
2016-05-01:16,28.0,14.0
2016-05-01:17,38.0,16.0
2016-05-01:18,42.0,15.0
2016-05-01:19,44.0,16.0
2016-05-01:20,38.0,17.0
2016-05-01:21,44.0,13.0
2016-05-01:22,43.0,17.0
2016-05-01:23,47.0,15.0
2016-05-01:24,47.0,17.0
2016-05-02:01,35.0,11.0
2016-05-02:02,40.0,20.0
2016-05-02:03,43.0,21.0
2016-05-02:04,43.0,28.0
2016-05-02:05,43.0,18.0
2016-05-02:06,47.0,29.0
2016-05-02:07,46.0,20.0
2016-05-02:08,47.0,21.0
2016-05-02:09,58.0,21.0
2016-05-02:10,51.0,24.0
2016-05-02:11,53.0,28.0
2016-05-02:12,55.0,31.0
2016-05-02:13,58.0,32.0
2016-05-02:14,52.0,27.0
2016-05-02:15,56.0,31.0
2016-05-02:16,50.0,28.0
2016-05-02:17,53.0,28.0
2016-05-02:18,74.0,25.0
2016-05-02:19,56.0,26.0
2016-05-02:20,52.0,27.0
2016-05-02:21,51.0,18.0
2016-05-02:22,39.0,17.0
2016-05-02:23,36.0,13.0
2016-05-02:24,28.0,14.0
2016-05-03:01,33.0,20.0
2016-05-03:02,18.0,0.0
2016-05-03:03,19.0,12.0
2016-05-03:04,17.0,14.0
2016-05-03:05,13.0,13.0
2016-05-03:06,19.0,11.0
2016-05-03:07,11.0,11.0
2016-05-03:08,11.0,6.0
2016-05-03:09,7.0,10.0
2016-05-03:10,8.0,2.0
2016-05-03:11,5.0,3.0
2016-05-03:12,19.0,19.0
2016-05-03:13,0.0,0.0
2016-05-03:14,29.0,16.0
2016-05-03:15,24.0,5.0
2016-05-03:16,18.0,5.0
2016-05-03:17,20.0,5.0
2016-05-03:18,20.0,9.0
2016-05-03:19,27.0,6.0
2016-05-03:20,17.0,6.0
2016-05-03:21,26.0,7.0
2016-05-03:22,32.0,5.0
2016-05-03:23,31.0,9.0
2016-05-03:24,42.0,7.0
2016-05-04:01,40.0,11.0
2016-05-04:02,50.0,14.0
2016-05-04:03,61.0,10.0
2016-05-04:04,54.0,11.0
2016-05-04:05,58.0,8.0
2016-05-04:06,60.0,10.0
2016-05-04:07,58.0,6.0
2016-05-04:08,65.0,8.0
2016-05-04:09,62.0,12.0
2016-05-04:10,75.0,12.0
2016-05-04:11,57.0,11.0
2016-05-04:12,62.0,9.0
2016-05-04:13,59.0,16.0
2016-05-04:14,58.0,13.0
2016-05-04:15,60.0,14.0
2016-05-04:16,47.0,14.0
2016-05-04:17,32.0,8.0
2016-05-04:18,46.0,14.0
2016-05-04:19,48.0,20.0
2016-05-04:20,54.0,12.0
2016-05-04:21,48.0,11.0
2016-05-04:22,37.0,14.0
2016-05-04:23,39.0,9.0
2016-05-04:24,38.0,9.0
2016-05-05:01,49.0,22.0
2016-05-05:02,49.0,21.0
2016-05-05:03,65.0,28.0
2016-05-05:04,63.0,32.0
2016-05-05:05,55.0,26.0
2016-05-05:06,54.0,22.0
2016-05-05:07,51.0,27.0
2016-05-05:08,55.0,13.0
2016-05-05:09,46.0,15.0
2016-05-05:10,49.0,24.0
2016-05-05:11,46.0,15.0
2016-05-05:12,63.0,16.0
2016-05-05:13,78.0,20.0
2016-05-05:14,72.0,16.0
2016-05-05:15,73.0,17.0
2016-05-05:16,58.0,19.0
2016-05-05:17,63.0,23.0
2016-05-05:18,68.0,18.0
2016-05-05:19,52.0,19.0
2016-05-05:20,56.0,19.0
2016-05-05:21,61.0,21.0
2016-05-05:22,54.0,21.0
2016-05-05:23,65.0,27.0
2016-05-05:24,64.0,23.0
2016-05-06:01,42.0,24.0
2016-05-06:02,46.0,28.0
2016-05-06:03,45.0,23.0
2016-05-06:04,49.0,29.0
2016-05-06:05,60.0,28.0
2016-05-06:06,59.0,27.0
2016-05-06:07,60.0,24.0
2016-05-06:08,52.0,28.0
2016-05-06:09,52.0,25.0
2016-05-06:10,45.0,24.0
2016-05-06:11,47.0,26.0
2016-05-06:12,44.0,22.0
2016-05-06:13,26.0,18.0
2016-05-06:14,15.0,7.0
2016-05-06:15,13.0,13.0
2016-05-06:16,12.0,4.0
2016-05-06:17,28.0,0.0
2016-05-06:18,33.0,20.0
2016-05-06:19,52.0,22.0
2016-05-06:20,53.0,27.0
2016-05-06:21,79.0,24.0
2016-05-06:22,62.0,16.0
2016-05-06:23,65.0,17.0
2016-05-06:24,126.0,12.0
2016-05-07:01,124.0,37.0
2016-05-07:02,218.0,36.0
2016-05-07:03,257.0,33.0
2016-05-07:04,244.0,30.0
2016-05-07:05,213.0,32.0
2016-05-07:06,190.0,33.0
2016-05-07:07,161.0,25.0
2016-05-07:08,145.0,19.0
2016-05-07:09,134.0,27.0
2016-05-07:10,134.0,24.0
2016-05-07:11,128.0,29.0
2016-05-07:12,117.0,19.0
2016-05-07:13,108.0,18.0
2016-05-07:14,56.0,11.0
2016-05-07:15,32.0,7.0
2016-05-07:16,55.0,11.0
2016-05-07:17,49.0,10.0
2016-05-07:18,46.0,11.0
2016-05-07:19,48.0,12.0
2016-05-07:20,57.0,20.0
2016-05-07:21,54.0,20.0
2016-05-07:22,61.0,18.0
2016-05-07:23,60.0,11.0
2016-05-07:24,60.0,15.0
2016-05-08:01,58.0,22.0
2016-05-08:02,48.0,17.0
2016-05-08:03,58.0,21.0
2016-05-08:04,52.0,21.0
2016-05-08:05,51.0,19.0
2016-05-08:06,54.0,19.0
2016-05-08:07,44.0,13.0
2016-05-08:08,46.0,19.0
2016-05-08:09,48.0,7.0
2016-05-08:10,49.0,19.0
2016-05-08:11,61.0,19.0
2016-05-08:12,51.0,11.0
2016-05-08:13,58.0,19.0
2016-05-08:14,54.0,18.0
2016-05-08:15,59.0,12.0
2016-05-08:16,71.0,12.0
2016-05-08:17,62.0,23.0
2016-05-08:18,68.0,21.0
2016-05-08:19,76.0,14.0
2016-05-08:20,58.0,9.0
2016-05-08:21,59.0,24.0
2016-05-08:22,63.0,25.0
2016-05-08:23,69.0,20.0
2016-05-08:24,76.0,24.0
2016-05-09:01,66.0,0.0
2016-05-09:02,59.0,27.0
2016-05-09:03,68.0,31.0
2016-05-09:04,66.0,27.0
2016-05-09:05,69.0,34.0
2016-05-09:06,66.0,30.0
2016-05-09:07,54.0,27.0
2016-05-09:08,78.0,31.0
2016-05-09:09,72.0,20.0
2016-05-09:10,78.0,25.0
2016-05-09:11,94.0,21.0
2016-05-09:12,62.0,10.0
2016-05-09:13,68.0,23.0
2016-05-09:14,67.0,21.0
2016-05-09:15,47.0,16.0
2016-05-09:16,54.0,15.0
2016-05-09:17,64.0,25.0
2016-05-09:18,65.0,11.0
2016-05-09:19,74.0,21.0
2016-05-09:20,62.0,18.0
2016-05-09:21,61.0,19.0
2016-05-09:22,71.0,18.0
2016-05-09:23,80.0,20.0
2016-05-09:24,87.0,27.0
2016-05-10:01,87.0,18.0
2016-05-10:02,72.0,28.0
2016-05-10:03,68.0,35.0
2016-05-10:04,59.0,20.0
2016-05-10:05,58.0,26.0
2016-05-10:06,32.0,16.0
2016-05-10:07,19.0,11.0
2016-05-10:08,0.0,15.0
2016-05-10:09,42.0,0.0
2016-05-10:10,32.0,18.0
2016-05-10:11,37.0,19.0
2016-05-10:12,28.0,15.0
2016-05-10:13,21.0,18.0
2016-05-10:14,19.0,7.0
2016-05-10:15,11.0,7.0
2016-05-10:16,15.0,6.0
2016-05-10:17,8.0,4.0
2016-05-10:18,15.0,14.0
2016-05-10:19,0.0,15.0
2016-05-10:20,0.0,15.0
2016-05-10:21,0.0,14.0
2016-05-10:22,0.0,11.0
2016-05-10:23,26.0,11.0
2016-05-10:24,20.0,11.0
2016-05-11:01,25.0,0.0
2016-05-11:02,18.0,9.0
2016-05-11:03,25.0,16.0
2016-05-11:04,22.0,10.0
2016-05-11:05,21.0,11.0
2016-05-11:06,26.0,8.0
2016-05-11:07,18.0,7.0
2016-05-11:08,19.0,2.0
2016-05-11:09,26.0,8.0
2016-05-11:10,36.0,0.0
2016-05-11:11,34.0,11.0
2016-05-11:12,23.0,4.0
2016-05-11:13,37.0,17.0
2016-05-11:14,46.0,17.0
2016-05-11:15,43.0,24.0
2016-05-11:16,58.0,19.0
2016-05-11:17,40.0,20.0
2016-05-11:18,41.0,14.0
2016-05-11:19,36.0,14.0
2016-05-11:20,37.0,9.0
2016-05-11:21,17.0,6.0
2016-05-11:22,38.0,16.0
2016-05-11:23,38.0,12.0
2016-05-11:24,31.0,13.0
2016-05-12:01,29.0,16.0
2016-05-12:02,30.0,19.0
2016-05-12:03,33.0,20.0
2016-05-12:04,37.0,20.0
2016-05-12:05,40.0,23.0
2016-05-12:06,32.0,18.0
2016-05-12:07,37.0,19.0
2016-05-12:08,21.0,7.0
2016-05-12:09,29.0,10.0
2016-05-12:10,21.0,10.0
2016-05-12:11,19.0,9.0
2016-05-12:12,31.0,20.0
2016-05-12:13,31.0,19.0
2016-05-12:14,32.0,15.0
2016-05-12:15,26.0,15.0
2016-05-12:16,22.0,9.0
2016-05-12:17,22.0,13.0
2016-05-12:18,26.0,17.0
2016-05-12:19,27.0,13.0
2016-05-12:20,30.0,13.0
2016-05-12:21,19.0,14.0
2016-05-12:22,23.0,7.0
2016-05-12:23,26.0,12.0
2016-05-12:24,40.0,18.0
2016-05-13:01,51.0,30.0
2016-05-13:02,56.0,41.0
2016-05-13:03,54.0,32.0
2016-05-13:04,0.0,46.0
2016-05-13:05,96.0,50.0
2016-05-13:06,97.0,49.0
2016-05-13:07,32.0,21.0
2016-05-13:08,11.0,3.0
2016-05-13:09,13.0,0.0
2016-05-13:10,21.0,5.0
2016-05-13:11,26.0,11.0
2016-05-13:12,31.0,11.0
2016-05-13:13,25.0,16.0
2016-05-13:14,25.0,15.0
2016-05-13:15,23.0,11.0
2016-05-13:16,31.0,15.0
2016-05-13:17,38.0,20.0
2016-05-13:18,39.0,25.0
2016-05-13:19,31.0,7.0
2016-05-13:20,65.0,25.0
2016-05-13:21,71.0,22.0
2016-05-13:22,62.0,17.0
2016-05-13:23,67.0,27.0
2016-05-13:24,66.0,24.0
2016-05-14:01,71.0,24.0
2016-05-14:02,59.0,27.0
2016-05-14:03,48.0,29.0
2016-05-14:04,50.0,26.0
2016-05-14:05,49.0,26.0
2016-05-14:06,46.0,28.0
2016-05-14:07,44.0,21.0
2016-05-14:08,25.0,15.0
2016-05-14:09,36.0,20.0
2016-05-14:10,22.0,14.0
2016-05-14:11,30.0,15.0
2016-05-14:12,29.0,16.0
2016-05-14:13,30.0,15.0
2016-05-14:14,23.0,11.0
2016-05-14:15,21.0,13.0
2016-05-14:16,14.0,0.0
2016-05-14:17,33.0,17.0
2016-05-14:18,33.0,18.0
2016-05-14:19,57.0,0.0
2016-05-14:20,47.0,21.0
2016-05-14:21,41.0,17.0
2016-05-14:22,43.0,19.0
2016-05-14:23,38.0,24.0
2016-05-14:24,53.0,21.0
2016-05-15:01,42.0,29.0
2016-05-15:02,39.0,26.0
2016-05-15:03,31.0,25.0
2016-05-15:04,31.0,24.0
2016-05-15:05,39.0,20.0
2016-05-15:06,43.0,30.0
2016-05-15:07,46.0,22.0
2016-05-15:08,46.0,26.0
2016-05-15:09,47.0,36.0
2016-05-15:10,54.0,29.0
2016-05-15:11,42.0,25.0
2016-05-15:12,41.0,28.0
2016-05-15:13,40.0,16.0
2016-05-15:14,45.0,24.0
2016-05-15:15,51.0,0.0
2016-05-15:16,27.0,18.0
2016-05-15:17,26.0,14.0
2016-05-15:18,11.0,10.0
2016-05-15:19,1.0,0.0
2016-05-15:20,0.0,0.0
2016-05-15:21,0.0,0.0
2016-05-15:22,2.0,1.0
2016-05-15:23,12.0,3.0
2016-05-15:24,1.0,1.0
2016-05-16:01,5.0,0.0
2016-05-16:02,8.0,5.0
2016-05-16:03,16.0,5.0
