time,pm10,pm2.5
2019-01-01:01,55.0,37.0
2019-01-01:02,54.0,37.0
2019-01-01:03,51.0,36.0
2019-01-01:04,48.0,33.0
2019-01-01:05,45.0,33.0
2019-01-01:06,44.0,31.0
2019-01-01:07,43.0,32.0
2019-01-01:08,44.0,32.0
2019-01-01:09,47.0,31.0
2019-01-01:10,46.0,29.0
2019-01-01:11,59.0,35.0
2019-01-01:12,56.0,35.0
2019-01-01:13,52.0,33.0
2019-01-01:14,48.0,27.0
2019-01-01:15,41.0,23.0
2019-01-01:16,35.0,22.0
2019-01-01:17,34.0,22.0
2019-01-01:18,29.0,18.0
2019-01-01:19,31.0,17.0
2019-01-01:20,31.0,18.0
2019-01-01:21,30.0,19.0
2019-01-01:22,27.0,14.0
2019-01-01:23,26.0,15.0
2019-01-01:24,26.0,15.0
2019-01-02:01,29.0,19.0
2019-01-02:02,28.0,18.0
2019-01-02:03,34.0,19.0
2019-01-02:04,58.0,22.0
2019-01-02:05,31.0,21.0
2019-01-02:06,32.0,20.0
2019-01-02:07,40.0,24.0
2019-01-02:08,47.0,28.0
2019-01-02:09,59.0,35.0
2019-01-02:10,76.0,46.0
2019-01-02:11,67.0,40.0
2019-01-02:12,57.0,30.0
2019-01-02:13,51.0,26.0
2019-01-02:14,43.0,21.0
2019-01-02:15,43.0,24.0
2019-01-02:16,53.0,26.0
2019-01-02:17,57.0,27.0
2019-01-02:18,43.0,24.0
2019-01-02:19,48.0,24.0
2019-01-02:20,51.0,29.0
2019-01-02:21,65.0,35.0
2019-01-02:22,62.0,36.0
2019-01-02:23,54.0,32.0
2019-01-02:24,29.0,17.0
2019-01-03:01,27.0,17.0
2019-01-03:02,38.0,23.0
2019-01-03:03,43.0,27.0
2019-01-03:04,37.0,22.0
2019-01-03:05,40.0,25.0
2019-01-03:06,44.0,26.0
2019-01-03:07,52.0,33.0
2019-01-03:08,50.0,32.0
2019-01-03:09,73.0,39.0
2019-01-03:10,79.0,39.0
2019-01-03:11,75.0,40.0
2019-01-03:12,70.0,35.0
2019-01-03:13,56.0,27.0
2019-01-03:14,47.0,20.0
2019-01-03:15,44.0,20.0
2019-01-03:16,38.0,16.0
2019-01-03:17,44.0,17.0
2019-01-03:18,56.0,25.0
2019-01-03:19,65.0,31.0
2019-01-03:20,48.0,26.0
2019-01-03:21,38.0,21.0
2019-01-03:22,38.0,18.0
2019-01-03:23,52.0,24.0
2019-01-03:24,57.0,30.0
2019-01-04:01,63.0,37.0
2019-01-04:02,59.0,35.0
2019-01-04:03,57.0,36.0
2019-01-04:04,46.0,28.0
2019-01-04:05,46.0,30.0
2019-01-04:06,46.0,30.0
2019-01-04:07,53.0,33.0
2019-01-04:08,64.0,35.0
2019-01-04:09,74.0,46.0
2019-01-04:10,98.0,59.0
2019-01-04:11,117.0,67.0
2019-01-04:12,136.0,73.0
2019-01-04:13,111.0,59.0
2019-01-04:14,105.0,63.0
2019-01-04:15,105.0,69.0
2019-01-04:16,93.0,57.0
2019-01-04:17,87.0,50.0
2019-01-04:18,70.0,46.0
2019-01-04:19,56.0,41.0
2019-01-04:20,53.0,42.0
2019-01-04:21,51.0,42.0
2019-01-04:22,57.0,45.0
2019-01-04:23,66.0,55.0
2019-01-04:24,79.0,61.0
2019-01-05:01,85.0,65.0
2019-01-05:02,96.0,77.0
2019-01-05:03,127.0,105.0
2019-01-05:04,111.0,88.0
2019-01-05:05,71.0,50.0
2019-01-05:06,70.0,46.0
2019-01-05:07,77.0,46.0
2019-01-05:08,70.0,42.0
2019-01-05:09,73.0,42.0
2019-01-05:10,62.0,32.0
2019-01-05:11,62.0,26.0
2019-01-05:12,58.0,21.0
2019-01-05:13,53.0,21.0
2019-01-05:14,44.0,14.0
2019-01-05:15,40.0,12.0
2019-01-05:16,40.0,12.0
2019-01-05:17,40.0,11.0
2019-01-05:18,39.0,11.0
2019-01-05:19,39.0,14.0
2019-01-05:20,35.0,13.0
2019-01-05:21,41.0,14.0
2019-01-05:22,41.0,15.0
2019-01-05:23,43.0,19.0
2019-01-05:24,42.0,17.0
2019-01-06:01,45.0,16.0
2019-01-06:02,47.0,20.0
2019-01-06:03,48.0,22.0
2019-01-06:04,50.0,24.0
2019-01-06:05,55.0,24.0
2019-01-06:06,55.0,24.0
2019-01-06:07,56.0,23.0
2019-01-06:08,59.0,25.0
2019-01-06:09,60.0,25.0
2019-01-06:10,60.0,25.0
2019-01-06:11,77.0,27.0
2019-01-06:12,70.0,29.0
2019-01-06:13,69.0,29.0
2019-01-06:14,56.0,26.0
2019-01-06:15,49.0,20.0
2019-01-06:16,34.0,14.0
2019-01-06:17,29.0,13.0
2019-01-06:18,23.0,10.0
2019-01-06:19,25.0,13.0
2019-01-06:20,27.0,13.0
2019-01-06:21,36.0,15.0
2019-01-06:22,39.0,18.0
2019-01-06:23,46.0,23.0
2019-01-06:24,50.0,27.0
2019-01-07:01,55.0,28.0
2019-01-07:02,42.0,22.0
2019-01-07:03,40.0,23.0
2019-01-07:04,41.0,24.0
2019-01-07:05,43.0,28.0
2019-01-07:06,42.0,26.0
