time,pm10,pm2.5
2018-12-01:01,30.0,18.0
2018-12-01:02,35.0,20.0
2018-12-01:03,29.0,19.0
2018-12-01:04,26.0,15.0
2018-12-01:05,27.0,19.0
2018-12-01:06,33.0,17.0
2018-12-01:07,33.0,18.0
2018-12-01:08,36.0,14.0
2018-12-01:09,41.0,21.0
2018-12-01:10,45.0,19.0
2018-12-01:11,48.0,24.0
2018-12-01:12,47.0,20.0
2018-12-01:13,53.0,25.0
2018-12-01:14,46.0,23.0
2018-12-01:15,46.0,23.0
2018-12-01:16,50.0,28.0
2018-12-01:17,54.0,26.0
2018-12-01:18,46.0,24.0
2018-12-01:19,43.0,23.0
2018-12-01:20,45.0,27.0
2018-12-01:21,47.0,30.0
2018-12-01:22,52.0,32.0
2018-12-01:23,53.0,32.0
2018-12-01:24,54.0,29.0
2018-12-02:01,54.0,28.0
2018-12-02:02,53.0,32.0
2018-12-02:03,46.0,29.0
2018-12-02:04,43.0,27.0
2018-12-02:05,41.0,24.0
2018-12-02:06,43.0,26.0
2018-12-02:07,45.0,24.0
2018-12-02:08,44.0,24.0
2018-12-02:09,45.0,24.0
2018-12-02:10,46.0,25.0
2018-12-02:11,51.0,28.0
2018-12-02:12,50.0,24.0
2018-12-02:13,51.0,27.0
2018-12-02:14,51.0,25.0
2018-12-02:15,49.0,24.0
2018-12-02:16,49.0,23.0
2018-12-02:17,49.0,22.0
2018-12-02:18,52.0,23.0
2018-12-02:19,50.0,25.0
2018-12-02:20,49.0,26.0
2018-12-02:21,47.0,24.0
2018-12-02:22,45.0,25.0
2018-12-02:23,44.0,23.0
2018-12-02:24,43.0,24.0
2018-12-03:01,39.0,20.0
2018-12-03:02,38.0,20.0
2018-12-03:03,39.0,22.0
2018-12-03:04,40.0,21.0
2018-12-03:05,40.0,22.0
2018-12-03:06,47.0,23.0
2018-12-03:07,50.0,24.0
2018-12-03:08,43.0,24.0
2018-12-03:09,51.0,30.0
2018-12-03:10,50.0,30.0
2018-12-03:11,49.0,28.0
2018-12-03:12,51.0,31.0
2018-12-03:13,39.0,24.0
2018-12-03:14,27.0,21.0
2018-12-03:15,29.0,18.0
2018-12-03:16,29.0,22.0
2018-12-03:17,27.0,23.0
2018-12-03:18,35.0,24.0
2018-12-03:19,29.0,20.0
2018-12-03:20,25.0,19.0
2018-12-03:21,24.0,18.0
2018-12-03:22,23.0,17.0
2018-12-03:23,22.0,16.0
2018-12-03:24,19.0,15.0
2018-12-04:01,22.0,17.0
2018-12-04:02,26.0,21.0
2018-12-04:03,27.0,21.0
2018-12-04:04,31.0,21.0
2018-12-04:05,21.0,14.0
2018-12-04:06,14.0,12.0
2018-12-04:07,15.0,15.0
2018-12-04:08,14.0,12.0
2018-12-04:09,16.0,15.0
2018-12-04:10,21.0,17.0
2018-12-04:11,25.0,19.0
2018-12-04:12,27.0,18.0
2018-12-04:13,36.0,19.0
2018-12-04:14,47.0,22.0
2018-12-04:15,56.0,23.0
2018-12-04:16,57.0,24.0
2018-12-04:17,54.0,22.0
2018-12-04:18,56.0,20.0
2018-12-04:19,55.0,18.0
2018-12-04:20,45.0,16.0
2018-12-04:21,32.0,12.0
2018-12-04:22,25.0,10.0
2018-12-04:23,23.0,11.0
2018-12-04:24,21.0,8.0
2018-12-05:01,19.0,8.0
2018-12-05:02,18.0,8.0
2018-12-05:03,17.0,10.0
2018-12-05:04,17.0,7.0
2018-12-05:05,17.0,11.0
2018-12-05:06,20.0,9.0
2018-12-05:07,20.0,9.0
2018-12-05:08,22.0,10.0
2018-12-05:09,26.0,13.0
2018-12-05:10,32.0,12.0
2018-12-05:11,36.0,16.0
2018-12-05:12,38.0,16.0
2018-12-05:13,37.0,18.0
2018-12-05:14,30.0,13.0
2018-12-05:15,37.0,18.0
2018-12-05:16,32.0,16.0
2018-12-05:17,30.0,15.0
2018-12-05:18,32.0,17.0
2018-12-05:19,34.0,17.0
2018-12-05:20,33.0,19.0
2018-12-05:21,34.0,19.0
2018-12-05:22,32.0,19.0
2018-12-05:23,32.0,18.0
2018-12-05:24,29.0,15.0
2018-12-06:01,31.0,17.0
2018-12-06:02,26.0,15.0
2018-12-06:03,24.0,13.0
2018-12-06:04,24.0,16.0
2018-12-06:05,25.0,17.0
2018-12-06:06,29.0,17.0
2018-12-06:07,38.0,15.0
2018-12-06:08,41.0,20.0
2018-12-06:09,46.0,19.0
2018-12-06:10,43.0,22.0
2018-12-06:11,45.0,20.0
2018-12-06:12,26.0,11.0
2018-12-06:13,21.0,10.0
2018-12-06:14,28.0,13.0
2018-12-06:15,34.0,14.0
2018-12-06:16,43.0,19.0
2018-12-06:17,49.0,24.0
2018-12-06:18,38.0,19.0
2018-12-06:19,37.0,18.0
2018-12-06:20,43.0,18.0
2018-12-06:21,47.0,21.0
2018-12-06:22,45.0,22.0
2018-12-06:23,38.0,20.0
2018-12-06:24,37.0,21.0
2018-12-07:01,36.0,21.0
2018-12-07:02,25.0,14.0
2018-12-07:03,19.0,9.0
2018-12-07:04,17.0,8.0
2018-12-07:05,16.0,6.0
2018-12-07:06,13.0,4.0
2018-12-07:07,16.0,4.0
2018-12-07:08,15.0,4.0
2018-12-07:09,18.0,8.0
2018-12-07:10,20.0,8.0
2018-12-07:11,21.0,10.0
2018-12-07:12,17.0,11.0
2018-12-07:13,21.0,14.0
2018-12-07:14,22.0,17.0
2018-12-07:15,29.0,18.0
2018-12-07:16,25.0,13.0
2018-12-07:17,21.0,10.0
2018-12-07:18,17.0,7.0
2018-12-07:19,14.0,4.0
2018-12-07:20,14.0,4.0
2018-12-07:21,16.0,8.0
2018-12-07:22,18.0,8.0
2018-12-07:23,17.0,12.0
2018-12-07:24,17.0,11.0
2018-12-08:01,17.0,10.0
2018-12-08:02,16.0,11.0
2018-12-08:03,17.0,10.0
2018-12-08:04,17.0,9.0
2018-12-08:05,18.0,10.0
2018-12-08:06,18.0,9.0
2018-12-08:07,17.0,11.0
2018-12-08:08,16.0,7.0
2018-12-08:09,19.0,10.0
2018-12-08:10,22.0,10.0
2018-12-08:11,24.0,15.0
2018-12-08:12,27.0,14.0
2018-12-08:13,28.0,18.0
2018-12-08:14,28.0,19.0
2018-12-08:15,28.0,17.0
2018-12-08:16,29.0,15.0
2018-12-08:17,35.0,16.0
2018-12-08:18,30.0,14.0
2018-12-08:19,26.0,10.0
2018-12-08:20,23.0,10.0
2018-12-08:21,22.0,12.0
2018-12-08:22,21.0,10.0
2018-12-08:23,23.0,8.0
2018-12-08:24,17.0,7.0
2018-12-09:01,18.0,9.0
2018-12-09:02,19.0,9.0
2018-12-09:03,22.0,12.0
2018-12-09:04,20.0,10.0
2018-12-09:05,18.0,10.0
2018-12-09:06,18.0,10.0
2018-12-09:07,19.0,11.0
2018-12-09:08,21.0,12.0
2018-12-09:09,21.0,14.0
2018-12-09:10,24.0,16.0
2018-12-09:11,28.0,18.0
2018-12-09:12,26.0,17.0
2018-12-09:13,28.0,22.0
2018-12-09:14,29.0,20.0
2018-12-09:15,25.0,18.0
2018-12-09:16,22.0,15.0
2018-12-09:17,21.0,9.0
2018-12-09:18,22.0,12.0
2018-12-09:19,21.0,11.0
2018-12-09:20,22.0,9.0
2018-12-09:21,19.0,10.0
2018-12-09:22,22.0,12.0
2018-12-09:23,23.0,10.0
2018-12-09:24,19.0,9.0
2018-12-10:01,19.0,11.0
2018-12-10:02,18.0,11.0
2018-12-10:03,16.0,10.0
2018-12-10:04,17.0,11.0
2018-12-10:05,20.0,13.0
2018-12-10:06,29.0,14.0
2018-12-10:07,38.0,20.0
2018-12-10:08,36.0,18.0
2018-12-10:09,38.0,22.0
2018-12-10:10,41.0,20.0
2018-12-10:11,42.0,23.0
2018-12-10:12,39.0,20.0
