time,pm10,pm2.5
2016-04-01:01,41.0,19.0
2016-04-01:02,43.0,19.0
2016-04-01:03,49.0,22.0
2016-04-01:04,42.0,18.0
2016-04-01:05,42.0,21.0
2016-04-01:06,43.0,19.0
2016-04-01:07,46.0,22.0
2016-04-01:08,51.0,28.0
2016-04-01:09,63.0,32.0
2016-04-01:10,76.0,38.0
2016-04-01:11,78.0,45.0
2016-04-01:12,85.0,48.0
2016-04-01:13,0.0,0.0
2016-04-01:14,72.0,42.0
2016-04-01:15,96.0,54.0
2016-04-01:16,77.0,37.0
2016-04-01:17,74.0,32.0
2016-04-01:18,72.0,31.0
2016-04-01:19,64.0,28.0
2016-04-01:20,62.0,26.0
2016-04-01:21,67.0,30.0
2016-04-01:22,65.0,31.0
2016-04-01:23,62.0,30.0
2016-04-01:24,62.0,31.0
2016-04-02:01,62.0,32.0
2016-04-02:02,67.0,33.0
2016-04-02:03,64.0,34.0
2016-04-02:04,69.0,36.0
2016-04-02:05,68.0,39.0
2016-04-02:06,66.0,38.0
2016-04-02:07,65.0,38.0
2016-04-02:08,95.0,48.0
2016-04-02:09,96.0,49.0
2016-04-02:10,87.0,47.0
2016-04-02:11,82.0,44.0
2016-04-02:12,84.0,44.0
2016-04-02:13,86.0,50.0
2016-04-02:14,79.0,45.0
2016-04-02:15,77.0,41.0
2016-04-02:16,87.0,44.0
2016-04-02:17,79.0,42.0
2016-04-02:18,71.0,38.0
2016-04-02:19,71.0,35.0
2016-04-02:20,74.0,40.0
2016-04-02:21,85.0,50.0
2016-04-02:22,98.0,58.0
2016-04-02:23,107.0,70.0
2016-04-02:24,115.0,79.0
2016-04-03:01,109.0,74.0
2016-04-03:02,99.0,67.0
2016-04-03:03,106.0,73.0
2016-04-03:04,113.0,79.0
2016-04-03:05,120.0,83.0
2016-04-03:06,113.0,82.0
2016-04-03:07,90.0,66.0
2016-04-03:08,80.0,57.0
2016-04-03:09,81.0,55.0
2016-04-03:10,75.0,50.0
2016-04-03:11,70.0,48.0
2016-04-03:12,69.0,48.0
2016-04-03:13,46.0,30.0
2016-04-03:14,29.0,23.0
2016-04-03:15,38.0,25.0
2016-04-03:16,38.0,23.0
