time,pm10,pm2.5
2016-06-01:01,52.0,39.0
2016-06-01:02,55.0,42.0
2016-06-01:03,49.0,36.0
2016-06-01:04,51.0,36.0
2016-06-01:05,47.0,28.0
2016-06-01:06,46.0,30.0
2016-06-01:07,43.0,20.0
2016-06-01:08,41.0,25.0
2016-06-01:09,53.0,24.0
2016-06-01:10,50.0,19.0
2016-06-01:11,51.0,24.0
2016-06-01:12,0.0,0.0
2016-06-01:13,0.0,0.0
2016-06-01:14,61.0,29.0
2016-06-01:15,49.0,29.0
2016-06-01:16,53.0,31.0
2016-06-01:17,53.0,30.0
2016-06-01:18,44.0,26.0
2016-06-01:19,51.0,23.0
2016-06-01:20,41.0,24.0
2016-06-01:21,24.0,17.0
2016-06-01:22,39.0,21.0
2016-06-01:23,0.0,28.0
2016-06-01:24,0.0,32.0
2016-06-02:01,0.0,28.0
2016-06-02:02,39.0,25.0
2016-06-02:03,24.0,16.0
2016-06-02:04,21.0,9.0
2016-06-02:05,25.0,16.0
2016-06-02:06,24.0,15.0
2016-06-02:07,26.0,8.0
2016-06-02:08,28.0,14.0
2016-06-02:09,30.0,8.0
2016-06-02:10,38.0,17.0
2016-06-02:11,35.0,14.0
2016-06-02:12,35.0,17.0
2016-06-02:13,38.0,16.0
2016-06-02:14,63.0,27.0
2016-06-02:15,72.0,43.0
2016-06-02:16,54.0,35.0
2016-06-02:17,50.0,23.0
2016-06-02:18,54.0,30.0
2016-06-02:19,49.0,36.0
2016-06-02:20,74.0,41.0
2016-06-02:21,68.0,27.0
2016-06-02:22,61.0,24.0
2016-06-02:23,54.0,27.0
2016-06-02:24,52.0,23.0
2016-06-03:01,47.0,21.0
2016-06-03:02,54.0,35.0
2016-06-03:03,63.0,41.0
2016-06-03:04,64.0,43.0
2016-06-03:05,41.0,27.0
2016-06-03:06,44.0,25.0
2016-06-03:07,40.0,23.0
2016-06-03:08,39.0,17.0
2016-06-03:09,38.0,23.0
2016-06-03:10,46.0,24.0
2016-06-03:11,51.0,27.0
2016-06-03:12,53.0,27.0
2016-06-03:13,54.0,30.0
2016-06-03:14,32.0,16.0
2016-06-03:15,38.0,19.0
2016-06-03:16,40.0,24.0
2016-06-03:17,44.0,24.0
2016-06-03:18,56.0,33.0
2016-06-03:19,62.0,32.0
2016-06-03:20,55.0,25.0
2016-06-03:21,62.0,24.0
2016-06-03:22,62.0,27.0
2016-06-03:23,47.0,21.0
2016-06-03:24,54.0,20.0
2016-06-04:01,45.0,31.0
2016-06-04:02,68.0,34.0
2016-06-04:03,61.0,36.0
2016-06-04:04,51.0,34.0
2016-06-04:05,51.0,30.0
2016-06-04:06,50.0,30.0
2016-06-04:07,40.0,28.0
2016-06-04:08,45.0,22.0
2016-06-04:09,36.0,21.0
2016-06-04:10,49.0,25.0
2016-06-04:11,55.0,23.0
2016-06-04:12,49.0,27.0
2016-06-04:13,55.0,23.0
2016-06-04:14,62.0,29.0
2016-06-04:15,50.0,21.0
2016-06-04:16,54.0,23.0
2016-06-04:17,68.0,31.0
2016-06-04:18,81.0,35.0
2016-06-04:19,59.0,30.0
2016-06-04:20,71.0,32.0
2016-06-04:21,76.0,31.0
2016-06-04:22,64.0,22.0
2016-06-04:23,66.0,30.0
2016-06-04:24,69.0,36.0
2016-06-05:01,70.0,45.0
2016-06-05:02,67.0,44.0
2016-06-05:03,63.0,41.0
2016-06-05:04,67.0,41.0
2016-06-05:05,73.0,42.0
2016-06-05:06,63.0,34.0
2016-06-05:07,62.0,29.0
2016-06-05:08,61.0,33.0
2016-06-05:09,70.0,35.0
2016-06-05:10,63.0,33.0
2016-06-05:11,38.0,21.0
2016-06-05:12,56.0,21.0
